Market Data - All Shares
As of  29/11/2020 12:29

Name,Symbol ,ISIN,Index,Last Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
A.L.D.,ALD,IL0010840036,,176.90,3.69,2.13,11:36
ABILITY,ABIL,KYG8789K1242,,71.10,,,
ACCEL,ACCL,IL0007700169,"TA-Growth, TA-AllShare",235.00,1.38,620.68,12:29
ADGAR INV.,ADGR,IL0018200837,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",537.20,-0.70,296.91,12:22
ADKA,ADKA,IL0011436438,"TA-Growth, TA-AllShare",1123.00,0.45,198.85,12:22
AERODROME GROUP,ARDM,IL0003630105,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Industrials",278.00,1.35,243.94,12:24
AFCON HOLD,AFHL,IL0005780130,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",11420.00,-0.26,22.84,11:41
AFI PROPERTIES,AFPR,IL0010913544,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties Abroad",10250.00,-1.06,834.92,12:22
AFRICA INDUST,AFID,IL0008000114,,451.00,,,
AFRICA RESIDENC,AFRE,IL0010979487,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Construction",11630.00,0.95,305.71,12:20
AI SYSTEMS,AICS,IL0001690119,,235.50,,,
AIRPORT CITY,ARPT,IL0010958358,"TA-35, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Investment Properties in Israel",4685.00,1.19,1740.56,12:26
ALBAAD,ALBA,IL0006250125,"TA-SME60, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",6900.00,-0.86,241.74,12:27
ALLIUM MEDICAL,ALMD,IL0011014508,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",58.60,-1.18,16.24,12:06
ALLOT,ALLT,IL0010996549,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",3259.00,-2.25,330.34,12:22
