Market Data - Dual Listed by Securities Law
As of (date and time) 10/09/2026 

Name,Symbol ,ISIN,Index Membership,Last closing,Change (%),Turnover(NIS thousands),Last transaction,Foreign Stock Exchange
ALARUM,ALAR,IL0010838568,,56.6,17.92,2334.08,EoD,NASDAQ-CM
ALLOT,ALLT,IL0010996549,,2283.0,0.66,283.08,EoD,NASDAQ GSM
ALPHA TAU,DRTS,IL0011839383,,4326.0,-5.01,119.38,EoD,NASDAQ-CM
ARBE ROBOTICS,ARBE,IL0011796625,,246.3,-5.05,276.27,EoD,NASDAQ-GM
ARYT,ARYT,IL0005870147,,1527.0,-0.52,7338.64,EoD,OTC
AUDIOCODES,AUDC,IL0010829658,,2867.0,-4.91,468.26,EoD,NASDAQ GSM
BATM,BVC,IL0010849045,,46.9,-4.09,111.53,EoD,LONDON
BIOHARVEST,BHST,CA09076J2074,,589.8,0.0,0.0,EoD,NASDAQ-GM
BIOLINE RX,BLRX,IL0011015182,,1.3,0.0,68.31,EoD,NASDAQ-CM
BRAINSWAY,BWAY,IL0011007189,,4255.0,-1.0,2203.0,EoD,NASDAQ-GM
CAMTEK,CAMT,IL0010952641,,43460.0,-2.01,18351.07,EoD,NASDAQ-GM
CAN FITE BIO,CANF,IL0010944739,,346.3,-1.25,15.31,EoD,NYSE - AMEX
CELLCOM,CEL,IL0011015349,,3589.0,-2.29,4458.68,EoD,OTC
CION,CION,US17259U2042,,1677.0,0.0,0.0,EoD,NYSE
COMPUGEN,CGEN,IL0010852080,,748.6,-2.22,117.25,EoD,NASDAQ-CM
DELEK GROUP,DLEKG,IL0010841281,,9118.0,0.21,21172.25,EoD,OTC
ELBIT REAL EST,ELRL,IL0010811169,,459.8,1.59,2.2,EoD,OTC
ELBIT SYSTEMS,ESLT,IL0010811243,,223100.0,2.61,164932.91,EoD,NASDAQ GSM
ELLOMAY,ELLO,IL0010826357,,6149.0,-2.32,92.17,EoD,NYSE - AMEX
ELRON,ELRN,IL0007490779,,354.6,-4.08,171.66,EoD,OTC
ENERGEAN,ENOG,GB00BG12Y042,,3333.0,-5.04,8750.41,EoD,LONDON
ENLIGHT ENERGY,ENLT,IL0007200111,,22500.0,-3.81,69085.73,EoD,NASDAQ-GM
EVOGENE,EVGN,IL0011050551,,150.5,-2.78,131.63,EoD,NASDAQ-CM
FORESIGHT,FRSX,IL0001990188,,4.0,0.0,5.2,EoD,NASDAQ-CM
FORMULA,FORTY,IL0002560162,,36800.0,-1.53,4160.28,EoD,NASDAQ GSM
G CITY,GCT,IL0001260111,,1102.0,-2.04,3482.97,EoD,OTC
GILAT,GILT,IL0010825102,,2929.0,-2.98,10867.72,EoD,NASDAQ GSM
GIX,GIXI,IL0007440113,,1603.0,-1.11,232.62,EoD,NASDAQ-CM
GOLDEN ENERGY,GLDE,IL0010834435,,201.7,3.6,26.07,EoD,OTC
ICL,ICL,IL0002810146,,1750.0,-1.35,51365.1,EoD,NYSE
INPLAY,IPO,CA45780T4046,,4099.0,6.52,7.3,EoD,TORONTO TSX
INTERCURE,INCR,IL0011063760,,1614.0,-1.41,161.47,EoD,NASDAQ-GM
KAMADA,KMDA,IL0010941198,,2452.0,-1.53,1706.75,EoD,NASDAQ GSM
KENON,KEN,SG9999012629,,20000.0,-5.39,5235.35,EoD,NYSE
LINEAGE THERAP,LCTX,US53566P1093,,310.8,-6.69,15.78,EoD,NYSE - AMEX
NAYAX,NYAX,IL0011751166,,14500.0,-3.85,60461.59,EoD,NASDAQ-GM
NICE,NICE,IL0002730112,,30060.0,-1.64,21354.76,EoD,NASDAQ GSM
NOVA,NVMI,IL0010845571,,112320.0,-1.14,125168.67,EoD,NASDAQ GSM
ODYSIGHT,ODYS,US81063V2043,,1099.0,-3.17,6.97,EoD,NASDAQ-GM
