Symbol,Name,Wtd Alpha,Last,Change,%Chg,52W High,52W Low,52W %Chg,Time
AAPL,Apple Inc,78.3,116.29,-0.03,-0.03%,137.98,53.15,79.80%,16:01 ET
ADBE,Adobe Systems Inc,44.3,452.93,-18.21,-3.87%,536.88,255.13,54.56%,16:02 ET
ADI,Analog Devices,26.6,134.92,-0.9,-0.66%,140.38,79.07,19.35%,16:01 ET
ADP,Automatic Data Procs,13.7,171.06,1.17,0.69%,182.32,103.11,5.48%,15:59 ET
ADSK,Autodesk Inc,51,248.37,-14.24,-5.42%,276.68,125.38,62.51%,16:03 ET
ALGN,Align Technology,76,464.31,-12.68,-2.66%,507.05,127.88,78.74%,15:59 ET
ALXN,Alexion Pharm Inc,25.8,127.1,2.22,1.78%,128.57,72.67,15.19%,15:59 ET
AMAT,Applied Materials,29.3,69.39,-1.91,-2.68%,75.93,36.64,24.02%,15:59 ET
AMD,Adv Micro Devices,85.7,77.98,-5.14,-6.18%,94.28,35.58,115.91%,16:00 ET
AMGN,Amgen Inc,10.3,241.62,6.62,2.82%,264.97,177.05,9.91%,15:59 ET
AMZN,Amazon.com Inc,66.5,3037.16,-106.58,-3.39%,3552.25,1626.03,70.49%,16:01 ET
ANSS,Ansys Inc,34.8,319.49,-8.98,-2.73%,357.92,200.07,43.70%,15:59 ET
ASML,Asml Hld NY Reg,49.2,399.86,-6.47,-1.59%,420.65,191.25,50.16%,16:00 ET
ATVI,Activision Blizzard,32.9,75,-0.41,-0.54%,87.73,50.51,38.77%,16:00 ET
AVGO,Broadcom Ltd,23.5,363.39,-12.15,-3.24%,393.89,155.67,15.92%,15:59 ET
BIDU,Baidu Inc,30.1,143.23,-0.96,-0.67%,148.38,82,14.51%,15:59 ET
BIIB,Biogen Inc,-25.3,236.39,0.13,0.06%,374.99,223.25,-19.23%,15:59 ET
BKNG,Booking Holdings Inc,17.1,2008.62,-109.62,-5.18%,2128.02,1107.29,6.55%,15:59 ET
BMRN,Biomarin Pharmaceuticals,17,76.08,0.99,1.32%,131.95,68.25,0.29%,15:59 ET
CDNS,Cadence Design Sys,67.1,112.4,-6.17,-5.20%,127.5,51.39,67.66%,16:01 ET
CDW,CDW Corp,12.8,137.59,-6.36,-4.42%,146.95,73.39,3.58%,15:59 ET
CERN,Cerner Corp,11,74.72,0.85,1.15%,80.9,53.08,11.34%,15:59 ET
CHKP,Check Point Software,1.3,116.51,-3.01,-2.52%,130.98,80.06,1.13%,15:59 ET
CHTR,Charter Communicatio,35.2,626.81,13.61,2.22%,663.7,345.67,34.00%,15:59 ET
CMCSA,Comcast Corp A,15.1,47.78,0.6,1.27%,48.23,31.7,6.01%,15:59 ET
COST,Costco Wholesale,25.4,366.38,1.38,0.38%,389.5,271.28,21.80%,15:59 ET
CPRT,Copart Inc,46,117.02,-4.31,-3.55%,130.96,55.69,44.56%,15:59 ET
CSCO,Cisco Systems Inc,-15.8,38.73,0.53,1.39%,50.28,32.4,-20.31%,15:59 ET
CSX,CSX Corp,40.9,91.52,3.32,3.76%,93.71,46.81,23.81%,16:00 ET
CTAS,Cintas Corp,67.6,358.72,-4.74,-1.30%,368.12,154.33,39.03%,15:59 ET
