Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
AAPL,"Apple Inc",+70.65,134.32,2.38,+1.80%,145.09,69.25,+95.35%,04/23/21
ADBE,"Adobe Systems Inc",+42.11,515.84,8.55,+1.69%,536.88,332.57,+53.81%,04/23/21
ADI,"Analog Devices",+50.62,159.02,3.65,+2.35%,164.4,100.09,+56.19%,04/23/21
ADP,"Automatic Data Procs",+44.29,195.86,1.03,+0.53%,197.28,127.31,+44.10%,04/23/21
ADSK,"Autodesk Inc",+56.46,295.27,7.27,+2.52%,321.13,170.57,+68.20%,04/23/21
AEP,"American Electric Power Company",+9.22,87.7,-0.25,-0.28%,94.21,74.8,+5.64%,04/23/21
ALGN,"Align Technology",+145.86,620.12,4.81,+0.78%,634.46,186.65,+228.85%,04/23/21
ALXN,"Alexion Pharm Inc",+52.00,166.92,-0.73,-0.44%,168.51,94.82,+60.28%,04/23/21
AMAT,"Applied Materials",+191.21,134.86,3.11,+2.36%,146,46.22,+164.95%,04/23/21
AMD,"Adv Micro Devices",+42.14,82.76,3.7,+4.68%,99.23,48.42,+48.05%,04/23/21
AMGN,"Amgen Inc",+13.62,257.03,1.98,+0.78%,276.69,210.28,+10.56%,04/23/21
AMZN,"Amazon.com Inc",+37.29,3340.88,31.84,+0.96%,3552.25,2256.38,+39.24%,04/23/21
ANSS,"Ansys Inc",+39.66,371.73,6.92,+1.90%,413.19,244.53,+43.55%,04/23/21
ASML,"Asml Hld NY Reg",+140.32,670.91,23.82,+3.68%,671.28,275.96,+131.83%,04/23/21
ATVI,"Activision Blizzard",+36.50,93.02,-0.68,-0.73%,104.53,62.34,+41.20%,04/23/21
AVGO,"Broadcom Ltd",+69.11,466.13,11.02,+2.42%,495.14,254.75,+80.02%,04/23/21
BIDU,"Baidu Inc",+109.39,220.94,6.38,+2.97%,354.82,90.94,+121.27%,04/23/21
BIIB,"Biogen Inc",-11.67,262.63,3.63,+1.40%,363.92,223.25,-10.14%,04/23/21
BKNG,"Booking Holdings Inc",+62.73,2395.43,48.38,+2.06%,2489.41,1303.25,+76.13%,04/23/21
CDNS,"Cadence Design Sys",+75.10,142.08,2.02,+1.44%,149.08,75.27,+77.98%,04/23/21
CDW,"CDW Corp",+80.11,182.61,1.74,+0.96%,184.58,93.75,+81.05%,04/23/21
CERN,"Cerner Corp",+11.81,75.56,-0.38,-0.50%,84.2,63.11,+6.20%,04/23/21
CHKP,"Check Point Software",+12.27,119.8,-0.14,-0.12%,139.26,101.27,+15.37%,04/23/21
CHTR,"Charter Communicatio",+25.89,657.54,-0.14,-0.02%,681.71,485.01,+31.74%,04/23/21
CMCSA,"Comcast Corp A",+43.11,54.39,-0.01,-0.02%,58.58,34.17,+50.71%,04/23/21
COST,"Costco Wholesale",+21.50,373.28,2.02,+0.54%,393.15,293.84,+22.23%,04/23/21
CPRT,"Copart Inc",+52.71,124.68,1.79,+1.46%,130.96,68.8,+81.12%,04/23/21
CSCO,"Cisco Systems Inc",+30.41,51.91,0.41,+0.80%,53.18,35.28,+24.72%,04/23/21
CSX,"CSX Corp",+58.89,103.11,1.29,+1.27%,103.74,60,+67.74%,04/23/21
CTAS,"Cintas Corp",+51.82,353.72,5.16,+1.48%,369.2,197.13,+77.37%,04/23/21
CTSH,"Cognizant Tech Sol",+34.90,78.69,-0.35,-0.44%,82.73,47.39,+49.46%,04/23/21
DLTR,"Dollar Tree Inc",+45.41,115.56,0.41,+0.36%,120.37,72.12,+54.22%,04/23/21
DOCU,"Docusign Inc",+78.65,224.84,3.15,+1.42%,290.23,100.11,+120.02%,04/23/21
DXCM,Dexcom,+24.79,415,4.62,+1.13%,456.23,305.63,+28.87%,04/23/21
EA,"Electronic Arts Inc",+23.27,143.14,1.88,+1.33%,150.3,110.15,+25.06%,04/23/21
EBAY,"Ebay Inc",+46.50,60.91,0.17,+0.28%,65.11,37.55,+60.67%,04/23/21
EXC,"Exelon Corp",+25.92,44.91,-0.17,-0.38%,46.37,33.97,+23.65%,04/23/21
FAST,"Fastenal Company",+40.77,52.18,0.43,+0.83%,52.49,34.84,+49.43%,04/23/21
FB,"Facebook Inc",+44.01,301.13,4.61,+1.55%,315.88,180.82,+62.66%,04/23/21
FISV,"Fiserv Inc",+29.72,126.02,1.39,+1.12%,126.52,92.15,+33.20%,04/23/21
FOX,"Fox Corp Cl B",+50.24,37.34,0.24,+0.65%,42.14,23.36,+52.72%,04/23/21
FOXA,"Fox Corp Cl A",+49.69,38.41,0.29,+0.76%,44.8,23.57,+54.51%,04/23/21
GILD,"Gilead Sciences Inc",-13.09,65.48,-0.16,-0.24%,85.67,56.56,-15.81%,04/23/21
GOOG,"Alphabet Cl C",+78.76,2315.3,47.38,+2.09%,2325.82,1232.2,+81.41%,04/23/21
GOOGL,"Alphabet Cl A",+77.82,2299.93,47.41,+2.10%,2306.12,1230.38,+80.93%,04/23/21
IDXX,"Idexx Laboratories",+97.28,559.1,12.84,+2.35%,573.99,263.95,+108.30%,04/23/21
ILMN,"Illumina Inc",+33.62,414.97,6.55,+1.60%,555.77,260.42,+32.70%,04/23/21
INCY,"Incyte Corp",-10.76,85.58,1.4,+1.66%,110.36,75.52,-16.02%,04/23/21
INTC,"Intel Corp",+7.27,59.24,-3.33,-5.32%,68.49,43.61,+0.34%,04/23/21
INTU,"Intuit Inc",+55.18,414.92,8.14,+2.00%,423.74,256.58,+60.78%,04/23/21
ISRG,"Intuitive Surg Inc",+70.11,875.53,15.87,+1.85%,893.79,492,+70.60%,04/23/21
JD,"Jd.com Inc Ads",+50.65,76.75,0.64,+0.84%,108.29,40.58,+70.78%,04/23/21
KDP,"Keurig Dr Pepper Inc",+41.16,36.18,0.15,+0.42%,36.45,25.55,+38.25%,04/23/21
KHC,"Kraft Heinz Company",+40.09,40.41,-0.56,-1.37%,41.64,28.12,+41.64%,04/23/21
KLAC,"K L A-Tencor Corp",+113.42,332.07,6.99,+2.15%,359.69,147.54,+108.26%,04/23/21
LRCX,"Lam Research Corp",+154.93,627.49,12.95,+2.11%,669,229.69,+137.72%,04/23/21
LULU,"Lululemon Athletica",+40.28,340.98,2.23,+0.66%,399.9,212.1,+61.11%,04/23/21
MAR,"Marriot Int Cl A",+74.89,148.36,1.72,+1.17%,159.98,71.52,+82.93%,04/23/21
MCHP,"Microchip Technology",+82.92,156.38,5.01,+3.31%,166.67,78.8,+98.45%,04/23/21
MDLZ,"Mondelez Intl Inc",+16.47,59.51,-0.04,-0.07%,60.23,48.77,+15.94%,04/23/21
MELI,"Mercadolibre Inc",+105.13,1600.91,37.45,+2.40%,2020,553.61,+172.86%,04/23/21
MNST,"Monster Beverage Cp",+59.10,98.68,1.17,+1.20%,99.24,58.73,+65.49%,04/23/21
