Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,"Agilent Technologies",110.2,-2.3,-2.04%,112.82,112.91,108.99,1418124,"15:43 ET"
AAL,"American Airlines Gp",12.56,-0.64,-4.85%,14.33,13.34,12.5,107258359,"15:43 ET"
AAP,"Advance Auto Parts Inc",156.21,-0.41999999999999,-0.27%,153.25,158.86,150.34,880456,"15:43 ET"
AAPL,"Apple Inc",116.85,0.53,+0.46%,120.5,117.59,114.13,111449012,"15:43 ET"
AAXN,"Axon Inc",118.21,-6.05,-4.87%,126.6,128.38,116.79,1651758,"15:43 ET"
ABBV,"Abbvie Inc",98.69,3.57,+3.75%,96.01,98.88,95.62,8891400,"15:43 ET"
ABC,"Amerisourcebergen Corp",110.09,3.83,+3.60%,106.95,111.01,106.5,785139,"15:43 ET"
ABMD,"Abiomed Inc",268.28,-11.33,-4.05%,280.77,292.23,262.31,624910,"15:43 ET"
ABT,"Abbott Laboratories",111.3,1.91,+1.75%,109.25,111.59,108.4,3173466,"15:43 ET"
ACAD,"Acadia Pharmaceutica",49.2,-0.83,-1.66%,50.96,51.9,48.81,1782415,"15:43 ET"
ACC,"American Campus Communities Inc",40.99,0.97,+2.42%,39.94,41.2,39.74,1310295,"15:43 ET"
ACGL,"Arch Capital Grp Ltd",35.13,0.69,+2.00%,34.57,35.48,34.21,1192649,"15:43 ET"
ACHC,"Acadia Healthcr Company",40.56,0.78,+1.96%,40.93,40.95,39,510804,"15:43 ET"
ACI,"Albertsons Companies Inc Cl A",15,0.2,+1.35%,14.79,15.05,14.75,1631875,"15:43 ET"
ACM,"Aecom Technology Corp",48.37,1.03,+2.18%,47.76,49.34,47.76,1313581,"15:43 ET"
ACN,"Accenture Plc",238.19,-2.03,-0.85%,238.61,239.6,235.58,1772647,"15:43 ET"
ADBE,"Adobe Systems Inc",452.13,-19.01,-4.03%,466.72,468.01,446,3572711,"15:43 ET"
ADI,"Analog Devices",135.26,-0.56,-0.41%,135,136.86,133.88,3561151,"15:43 ET"
ADM,"Archer Daniels Midland",50.08,0.79,+1.60%,49.65,50.64,49.49,1677017,"15:43 ET"
ADP,"Automatic Data Procs",171.69,1.8,+1.06%,169.12,173.4,168.18,1122338,"15:43 ET"
ADPT,"Adaptive Biotechnologies Corp",46.75,-1.33,-2.77%,48.02,49.2,45.88,453819,"15:42 ET"
ADS,"Alliance Data Systems Corp",68.97,-0.37,-0.53%,70.03,70.72,66.83,743995,"15:42 ET"
ADSK,"Autodesk Inc",248.32,-14.29,-5.44%,259.38,259.98,247.69,992284,"15:43 ET"
ADT,"ADT Inc",7.32,0.06,+0.82%,7.33,7.49,7.15,2372380,"15:43 ET"
AEE,"Ameren Corp",82.68,-0.36,-0.43%,83.09,83.81,82.55,925227,"15:43 ET"
AEP,"American Electric Power Company",91.23,0.97,+1.07%,90.04,91.74,89.39,1388624,"15:43 ET"
AES,"The Aes Corp",20.91,-0.059999999999999,-0.29%,20.95,21.07,20.51,3666443,"15:43 ET"
AFG,"American Financial Group",86.68,2.54,+3.02%,84.57,87.13,84.02,474152,"15:42 ET"
AFL,"Aflac Inc",41.83,0.34,+0.82%,41.49,42.3,41.11,3171982,"15:43 ET"
AGCO,"Agco Corp",88.98,-0.53999999999999,-0.60%,90.25,90.7,87.5,950802,"15:42 ET"
AGIO,"Agios Pharmaceuticals",41.64,0.99,+2.44%,41,42.24,40.03,427391,"15:42 ET"
AGNC,"American Capital Age",14.9,0.75,+5.30%,14.31,14.9,14.16,15758764,"15:43 ET"
AGO,"Assured Guaranty Ltd",30.75,0.25,+0.82%,30.73,31.19,30.5,432301,"15:43 ET"
AGR,"Avangrid Inc",51.79,0.66,+1.29%,51.28,51.94,51.07,364342,"15:42 ET"
AIG,"American International Group",38.28,0.76,+2.03%,37.89,38.6,37.24,7539305,"15:43 ET"
AIV,"Apartment Investment and Management",29.69,0.91,+3.16%,28.72,30.32,28.57,1212278,"15:43 ET"
AIZ,"Assurant Inc",133.26,1.46,+1.11%,133.49,134.14,131.58,472113,"15:43 ET"
AJG,"Arthur J. Gallagher & Company",113.89,3.91,+3.56%,110.32,114.4,110,691906,"15:43 ET"
AKAM,"Akamai Technologies",96.86,-2.41,-2.43%,98.41,99,95.04,1665624,"15:42 ET"
AL,"Air Lease Corp Cl A",33.89,-2.29,-6.33%,36.84,37.64,33.06,2908975,"15:43 ET"
ALB,"Albemarle Corp",117.84,1.11,+0.95%,116,117.98,113.07,936307,"15:43 ET"
ALGN,"Align Technology",465.75,-11.24,-2.36%,484.48,484.78,457.61,494476,"15:42 ET"
ALK,"Alaska Air Group",45.35,-0.56,-1.22%,45.9,46.65,44.2,2833035,"15:43 ET"
ALKS,"Alkermes Plc",18.2,0.29,+1.62%,17.99,18.32,17.49,1237483,"15:43 ET"
ALL,"Allstate Corp",94.29,0.40000000000001,+0.43%,94.79,94.91,93.07,1507205,"15:43 ET"
ALLE,"Allegion Plc",115.44,3.57,+3.19%,112.58,116.57,111.28,708460,"15:43 ET"
ALLY,"Ally Financial",29.2,-0.67,-2.24%,29.99,30.2,29.11,4452790,"15:43 ET"
ALNY,"Alnylam Pharmaceuticals",125.82,-1.66,-1.30%,127.2,128.1,124.58,624841,"15:42 ET"
ALSN,"Allison Transmission Holdings",40.99,1.85,+4.73%,39.62,41.26,39.26,820025,"15:43 ET"
ALXN,"Alexion Pharm Inc",127.58,2.7,+2.16%,124,127.72,123.21,782287,"15:43 ET"
AM,"Antero Midstream Corp",6.3,0.14,+2.27%,6.26,6.39,6.12,3460108,"15:42 ET"
AMAT,"Applied Materials",69.53,-1.77,-2.48%,70.95,71.49,69.2,5301166,"15:43 ET"
AMCR,"Amcor Plc",11.84,-0.2,-1.66%,11.81,11.88,11.66,4939017,"15:43 ET"
AMD,"Adv Micro Devices",78.28,-4.84,-5.82%,81.93,82.29,77.63,59010370,"15:43 ET"
AME,"Amtek Inc",116.48,2.41,+2.11%,114.34,117.43,113.78,1097555,"15:43 ET"
AMED,"Amedisys Inc",239.75,-5.41,-2.21%,242.81,243.88,236.01,160535,"15:40 ET"
AMG,"Affiliated Managers Group",85.48,1.57,+1.87%,84.26,85.79,83.72,232573,"15:43 ET"
AMGN,"Amgen Inc",242.86,7.86,+3.34%,244,246.41,239.47,2574581,"15:43 ET"
AMH,"American Homes 4 Rent",28.83,-0.25,-0.86%,28.98,29,27.89,4672798,"15:43 ET"
AMP,"Ameriprise Financial Services",183.5,0.56,+0.31%,182.74,184.5,178.65,598315,"15:43 ET"
AMT,"American Tower Corp",231.92,-6.06,-2.55%,238.93,239.99,230.22,1908407,"15:43 ET"
AMZN,"Amazon.com Inc",3047.28,-96.46,-3.07%,3095.02,3114,3019.01,5639288,"15:43 ET"
AN,"Autonation Inc",62.75,1.71,+2.80%,61.04,63.06,60.79,839057,"15:43 ET"
ANAT,"Amer Natl Insurance",79.86,1.32,+1.68%,78.98,80.26,78.42,16954,"15:32 ET"
ANET,"Arista Networks Inc",257.58,-4.1,-1.57%,257.9,260.92,255.67,500202,"15:43 ET"
ANSS,"Ansys Inc",322.03,-6.4400000000001,-1.96%,321.99,329.29,318.01,319566,"15:43 ET"
ANTM,"Anthem Inc",329.01,6.6,+2.05%,323.05,330.26,314.41,1562606,"15:42 ET"
AON,"AON Plc",199.97,7.06,+3.66%,194.14,199.97,192.51,1143409,"15:43 ET"
AOS,"Smith [A.O.] Corp",54.88,1.75,+3.29%,52.99,55.24,52.99,598501,"15:43 ET"
APA,"Apache Corp",10,0.25,+2.56%,10.03,10.2,9.57,13001824,"15:43 ET"
APD,"Air Products and Chemicals",310.38,-2.29,-0.73%,315.08,316.13,309.63,882330,"15:43 ET"
APH,"Amphenol Corp",121.8,0.20999999999999,+0.17%,121,122.92,120.51,1439047,"15:43 ET"
APLE,"Apple Hospitality REIT Inc",12.36,0.3,+2.49%,12.05,12.48,12.04,3506305,"15:43 ET"
APO,"Apollo Global Management Llc C",44.11,0.11,+0.25%,43.55,44.35,42.85,639145,"15:43 ET"
APTV,"Aptiv Plc",108.66,1.97,+1.85%,107.17,110,106.7,2039364,"15:43 ET"
ARD,"Ardagh Group S.A.",17.31,-0.15,-0.86%,17.63,17.66,17.02,97854,"15:39 ET"
ARE,"Alexandria Real Estate Equities",161.3,7.23,+4.69%,154.51,161.3,153.62,757821,"15:43 ET"
ARES,"Ares Management LP",44.47,0.17,+0.38%,44.23,44.97,43.18,316876,"15:41 ET"
ARMK,"Aramark Holdings Corp",36.21,1.09,+3.10%,35.26,36.9,35.26,2318587,"15:43 ET"
ARW,"Arrow Electronics",85.31,-0.42999999999999,-0.50%,86.3,86.85,84.77,411836,"15:43 ET"
ASB,"Associated Banc-Corp",15.79,0.22,+1.41%,15.76,15.96,15.5,869883,"15:43 ET"
ASH,"Ashland Global Holdings Inc",80.2,1.69,+2.15%,78.55,80.52,77.12,306005,"15:43 ET"
ATH,"Athene Holding Ltd",40.76,0.18,+0.44%,40.83,41.33,40.28,1462566,"15:43 ET"
ATO,"Atmos Energy Corp",102.76,4.97,+5.08%,98.24,102.81,97.92,868740,"15:43 ET"
ATR,Aptargroup,128.42,5.25,+4.26%,123.39,128.46,122.95,148749,"15:43 ET"
ATUS,"Altice USA Inc Cl A",29.83,0.41,+1.39%,29.38,30.08,29.27,3808444,"15:43 ET"
ATVI,"Activision Blizzard",75.38,-0.030000000000001,-0.04%,74.8,76.24,73.21,6923598,"15:43 ET"
AVB,"Avalonbay Communities",171.47,6.78,+4.12%,165.29,174.49,160,2102801,"15:43 ET"
AVGO,"Broadcom Ltd",363.49,-12.05,-3.21%,370.32,373.2,360.36,1766709,"15:43 ET"
AVLR,"Avalara Inc",151.16,-2.68,-1.74%,153.2,154.62,147.05,725633,"15:42 ET"
AVT,"Avnet Inc",28.39,0.18,+0.64%,28.08,28.6,27.7,500608,"15:43 ET"
AVTR,"Avantor Inc",26.17,-0.64,-2.39%,26.99,27.05,26.11,5736102,"15:43 ET"
AVY,"Avery Dennison Corp",150.99,-1.36,-0.89%,151.64,152.72,147.66,953905,"15:42 ET"
AWI,"Armstrong World Industries Inc",72.73,-0.72,-0.98%,73.99,75.9,72.15,568776,"15:43 ET"
AWK,"American Water Works",163.42,1.09,+0.67%,162.21,164.61,161.6,660567,"15:43 ET"
AXP,"American Express Company",115.88,-1.49,-1.27%,118.59,119.89,115.12,5486115,"15:43 ET"
AXS,"Axis Capital Holdings",49.66,2.05,+4.31%,47.75,49.83,47.48,195005,"15:42 ET"
AXTA,"Axalta Coating Systems Ltd",28.07,0.19,+0.68%,28.1,28.49,27.48,2243838,"15:43 ET"
AYI,"Acuity Brands Inc",105.43,1.78,+1.72%,104.62,106.18,103.83,332331,"15:43 ET"
AYX,"Alteryx Inc",109.97,-5.24,-4.55%,115,115.61,108.25,2015021,"15:42 ET"
AZEK,"The Azek Company Inc Cl A",33.8,0.34999999999999,+1.05%,33.34,34.5,32.93,473187,"15:43 ET"
AZO,Autozone,1169.99,18.6,+1.62%,1151.27,1181.91,1150.05,171688,"15:41 ET"
AZPN,"Aspen Technology",119.87,2.19,+1.86%,116.84,120.84,115.34,323570,"15:42 ET"
BA,"Boeing Company",187.99,8.63,+4.81%,182.8,193.95,180.38,42012719,"15:43 ET"
BAC,"Bank of America Corp",27.54,-0.22,-0.79%,27.49,28.19,27.18,61032169,"15:43 ET"
BAH,"Booz Allen Hamilton Holding Corp",87.02,0.56,+0.65%,86.27,87.3,86,448434,"15:43 ET"
BAX,"Baxter International Inc",81.73,0.76000000000001,+0.94%,81.2,81.8,79.16,3050019,"15:43 ET"
BBY,"Best Buy Company",112.9,1.9,+1.71%,111.6,113.71,110.99,2034889,"15:43 ET"
BC,"Brunswick Corp",68.25,4.07,+6.34%,64.34,69.33,63.6,927782,"15:43 ET"
BDN,"Brandywine Realty Trust",10.11,0.41,+4.23%,9.75,10.2,9.72,1436550,"15:42 ET"
BDX,"Becton Dickinson and Company",240.6,0.28999999999999,+0.12%,241.04,243.39,239.88,1409027,"15:43 ET"
BEN,"Franklin Resources",20.63,0.21,+1.03%,20.42,21.01,20.19,2834627,"15:43 ET"
BERY,"Berry Global Group",52.8,2.01,+3.96%,50.94,53.3,50.8,1220557,"15:43 ET"
BF.A,"Brown Forman Inc Cl A",72.61,1.73,+2.44%,70.47,72.85,70.47,12286,"15:38 ET"
BFAM,"Bright Horizons Family Solutions Inc",167.43,-5.58,-3.23%,171.76,174,166.52,622145,"15:43 ET"
BF.B,"Brown Forman Inc Cl B",78.8,1.82,+2.36%,76.9,79.16,76.9,395285,"15:43 ET"
BG,"Bunge Ltd",58.65,1.8,+3.17%,57.21,58.94,56.5,981748,"15:42 ET"
BHF,"Brighthouse Financial Inc",37.27,0.56,+1.53%,36.82,37.51,36.01,550902,"15:43 ET"
BIGC,"Bigcommerce Holdings Inc",74.41,2,+2.76%,73.76,77.77,71.71,1407883,"15:40 ET"
BIIB,"Biogen Inc",236.23,-0.030000000000001,-0.01%,241.24,244.84,234.56,2565767,"15:43 ET"
BILL,"Bill.com Holdings Inc",95.47,-1.88,-1.93%,95.02,96.17,89.19,1757961,"15:42 ET"
BIO,"Bio-Rad Laboratories",555.57,-24.39,-4.21%,572.91,572.91,550.45,284194,"15:42 ET"
BK,"Bank of New York Mellon Corp",39.12,-0.039999999999999,-0.10%,39.17,39.52,38.43,4691172,"15:43 ET"
BKI,"Black Knight Inc",91.57,4.8,+5.53%,87.64,91.83,87.64,714345,"15:43 ET"
BKNG,"Booking Holdings Inc",2001.82,-116.42,-5.50%,2079.59,2120.98,1989.61,600898,"15:43 ET"
BKR,"Baker Hughes A Ge CO Cl A",17.41,-0.26,-1.47%,17.7,18.22,17.07,7314208,"15:43 ET"
BLI,"Berkeley Lights Inc",86.79,-0.94,-1.07%,89.56,91.25,78.76,241322,"15:42 ET"
BLK,Blackrock,657.98,-8.04,-1.21%,661.07,668.62,645.12,513466,"15:43 ET"
BLL,"Ball Corp",95.04,2.06,+2.22%,92.9,95.04,91.98,1547179,"15:43 ET"
BLUE,"Bluebird Bio",46.8,0.34,+0.73%,46.78,47.21,45.07,963314,"15:43 ET"
BMRN,"Biomarin Pharmaceuticals",76.46,1.37,+1.82%,75,76.56,73.28,1268270,"15:43 ET"
BMY,"Bristol-Myers Squibb Company",64.57,0.48999999999999,+0.76%,64.21,64.79,63.71,7315727,"15:43 ET"
BOH,"Bank of Hawaii Corp",74.47,2.89,+4.04%,71.68,74.81,70.28,304688,"15:43 ET"
BOKF,"Bok Financial Corp",69.14,0.73,+1.07%,69.54,70.01,68.55,244389,"15:42 ET"
BPOP,"Popular Inc",51.04,0.79,+1.57%,50.62,51.42,50.41,259341,"15:43 ET"
BPYU,"Brookfield Property REIT Inc",15.7,0.3,+1.95%,15.36,15.8,15.36,225696,"15:40 ET"
BR,"Broadridge Financial Solutions Llc",146.01,-0.87,-0.59%,146.86,147.72,144.71,357083,"15:43 ET"
BRK.B,"Berkshire Hathaway Cl B",227.86,6.36,+2.87%,221.82,228.63,220.94,4965474,"15:43 ET"
BRKR,"Bruker Corp",46.99,-1.24,-2.57%,47.93,48.19,46.08,412496,"15:42 ET"
BRO,"Brown & Brown",47.07,1.15,+2.50%,46.1,47.21,45.91,445276,"15:43 ET"
BRX,"Brixmor Property Group Inc",14.67,0.44,+3.09%,14.23,14.8,14.04,5295334,"15:43 ET"
BSX,"Boston Scientific Corp",38.16,-0.050000000000004,-0.13%,38.25,38.53,37.92,7533660,"15:43 ET"
BURL,"Burlington Stores Inc",232.71,-3.69,-1.56%,236,239.36,227.88,710789,"15:42 ET"
BWA,"Borgwarner Inc",38.92,0.93,+2.45%,38.51,39.2,37.96,2119154,"15:42 ET"
BWXT,"Bwx Technologies Inc",55.23,0.86,+1.58%,54.81,55.51,54.4,291487,"15:43 ET"
BXP,"Boston Properties",92.91,4.14,+4.66%,89.39,92.99,88.63,2590378,"15:43 ET"
BYND,"Beyond Meat Inc",123.61,-26.89,-17.87%,118.92,131.92,113.26,27309274,"15:43 ET"
