Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,Agilent Technologies,116.14,1.15,1.00%,115.88,116.19,112.47,2441500,3/5/2021
AAL,American Airlines Gp,20.45,-0.79,-3.72%,21.4,21.5,18.94,63183801,3/5/2021
AAP,Advance Auto Parts Inc,171.51,5.97,3.61%,167.04,172.1,165.23,817100,3/5/2021
AAPL,Apple Inc,121.42,1.29,1.07%,120.98,121.93,117.57,153766594,3/5/2021
ABBV,Abbvie Inc,106.7,1.05,0.99%,106.01,106.99,104.07,7277800,3/5/2021
ABC,Amerisourcebergen Corp,104.83,1.84,1.79%,103.73,105.45,101.84,1145600,3/5/2021
ABMD,Abiomed Inc,301.22,5.59,1.89%,296.5,302.57,281,412100,3/5/2021
ABT,Abbott Laboratories,117.25,1.24,1.07%,117,117.58,114.8,4859500,3/5/2021
ACAD,Acadia Pharmaceutica,48.98,3.16,6.90%,46.03,49.25,44.3,1719000,3/5/2021
ACC,American Campus Communities Inc,41.85,0.86,2.10%,41.19,41.94,40.01,1561600,3/5/2021
ACGL,Arch Capital Grp Ltd,36.37,0.67,1.88%,36.08,36.49,35.09,4405700,3/5/2021
ACHC,Acadia Healthcr Company,54.98,0.68,1.25%,54.99,55.25,52.75,652300,3/5/2021
ACI,Albertsons Companies Inc Cl A,17.75,-0.18,-1.00%,17.92,18.35,17.59,2894800,3/5/2021
ACM,Aecom Technology Corp,58.26,1.68,2.97%,57.2,58.26,55.3,811400,3/5/2021
ACN,Accenture Plc,249.51,2.51,1.02%,249.24,250.68,244.44,3236400,3/5/2021
ADBE,Adobe Systems Inc,440.83,1.77,0.40%,444.88,444.95,423.71,4614900,3/5/2021
ADI,Analog Devices,148.88,4.36,3.02%,149,149.62,143.39,4040100,3/5/2021
ADM,Archer Daniels Midland,57.59,2.1,3.78%,56.27,57.73,55.95,6637000,3/5/2021
ADP,Automatic Data Procs,178.26,7.25,4.24%,171.83,179,171.5,2535800,3/5/2021
ADPT,Adaptive Biotechnologies Corp,42.23,-1.45,-3.32%,43.95,44,38.25,2124700,3/5/2021
ADS,Alliance Data Systems Corp,103.75,6.46,6.64%,98.86,104.96,94.51,1136200,3/5/2021
ADSK,Autodesk Inc,267.39,1.95,0.73%,270.33,270.33,255.02,1835500,3/5/2021
ADT,ADT Inc,7.24,0.37,5.39%,6.99,7.32,6.88,6352300,3/5/2021
AEE,Ameren Corp,72.86,1.68,2.36%,71.34,73.31,71.31,1557800,3/5/2021
AEP,American Electric Power Company,78.9,1.65,2.14%,77.5,79.29,77.25,4182900,3/5/2021
AES,The Aes Corp,25.99,0.11,0.43%,26,26.24,24.83,10636800,3/5/2021
AFG,American Financial Group,113.42,4.24,3.88%,110.9,113.8,109.86,518200,3/5/2021
AFL,Aflac Inc,49.95,1.55,3.20%,48.98,50.1,48.62,4230500,3/5/2021
AGCO,Agco Corp,133.4,7.64,6.08%,128.65,134.19,126.13,816300,3/5/2021
AGIO,Agios Pharmaceuticals,48.89,1.56,3.30%,47,48.92,45.14,1258600,3/5/2021
AGNC,Agnc Investment Corp,15.9,-0.02,-0.09%,15.99,16.06,15.39,13894699,3/5/2021
AGO,Assured Guaranty Ltd,43.67,0.48,1.11%,43.71,43.97,42.6,517300,3/5/2021
AGR,Avangrid Inc,46.08,0.62,1.36%,45.83,46.25,44.9,790600,3/5/2021
AIG,American International Group,46.97,0.7,1.51%,46.94,47.27,45.9,5327800,3/5/2021
AIRC,Apartment Income REIT Corp,41.25,-0.14,-0.34%,41.87,42.2,40.05,2018700,3/5/2021
AIV,Apartment Investment and Management,4.82,0.05,1.05%,4.79,4.82,4.6,2733900,3/5/2021
AIZ,Assurant Inc,131.92,3.84,3.00%,128.99,132.23,128.6,375600,3/5/2021
AJG,Arthur J. Gallagher & Company,124.11,3.55,2.94%,121.5,124.33,120.51,1288900,3/5/2021
AKAM,Akamai Technologies,97.13,3.69,3.95%,94.26,97.42,92.69,3621200,3/5/2021
AL,Air Lease Corp Cl A,47.99,0.31,0.65%,48.51,48.71,45.84,668200,3/5/2021
ALB,Albemarle Corp,143.88,2.37,1.67%,144.27,144.58,133.82,1416600,3/5/2021
ALGM,Allegro Microsystems Inc,25.63,0.18,0.71%,25.92,26.43,24.31,819700,3/5/2021
ALGN,Align Technology,536.46,16.01,3.08%,525,539.94,504.03,953400,3/5/2021
ALK,Alaska Air Group,64.89,0.27,0.42%,65.04,65.29,59.69,1783900,3/5/2021
ALKS,Alkermes Plc,19.28,1.07,5.88%,18.44,19.34,18.02,1528900,3/5/2021
ALL,Allstate Corp,111.62,2.27,2.08%,110.4,112.33,109.49,2158300,3/5/2021
ALLE,Allegion Plc,113.31,2.91,2.64%,111.62,113.87,110.68,1082700,3/5/2021
ALLY,Ally Financial,43.98,0.9,2.09%,43.69,44.11,41.72,3445200,3/5/2021
ALNY,Alnylam Pharmaceuticals,143.39,6.02,4.38%,136.95,143.42,133.09,491300,3/5/2021
ALSN,Allison Transmission Holdings,40.61,0.86,2.16%,40.14,40.83,39.08,1267500,3/5/2021
ALXN,Alexion Pharm Inc,150.1,1.64,1.10%,149.2,150.56,148.18,3055700,3/5/2021
AM,Antero Midstream Corp,9.46,-0.05,-0.53%,9.64,9.69,9.01,6057700,3/5/2021
AMAT,Applied Materials,113.45,5.21,4.81%,111.59,114.34,105.65,9962700,3/5/2021
AMCR,Amcor Plc,11.61,0.34,3.02%,11.31,11.63,11.21,5394800,3/5/2021
AMD,Adv Micro Devices,78.52,0.77,0.99%,79,79.48,74.2,58548898,3/5/2021
AME,Amtek Inc,122.25,1.86,1.54%,121.48,122.76,118.86,982600,3/5/2021
