Symbol,Name,Last,Industry,Exchange,Symbol Country
GREEN.S.DX,Green Landscaping Group Ab,90.6,N/A,DXE,Sweden
BICO.S.DX,Bico Ab,600,N/A,DXE,Sweden
RIZZB.S.DX,Rizzo Group Ab,1.798,N/A,DXE,Sweden
MCAP.S.DX,Medcap Ab,205.25,N/A,DXE,Sweden
CINT.S.DX,Cint Group Ab,112.5,N/A,DXE,Sweden
PRFO.S.DX,Profoto Holding Ab,104.2,N/A,DXE,Sweden
SDIPB.S.DX,Sdiptech Ab,425,N/A,DXE,Sweden
AFRY.S.DX,Afry Ab,292,N/A,DXE,Sweden
RVRC.S.DX,Rvrc Holding Ab,80.4,N/A,DXE,Sweden
CIBUS.S.DX,Cibus Nordic Real Estate Ab,232,N/A,DXE,Sweden
SF.S.DX,Stillfront Group Ab,60.05,N/A,DXE,Sweden
SAVE.S.DX,Nordnet Ab Publ,163.65,N/A,DXE,Sweden
ITAB.S.DX,Itab Shop Concept Ab,15.32,N/A,DXE,Sweden
HEM.S.DX,Hemnet Group Ab,178.65,N/A,DXE,Sweden
NWG.S.DX,Nordic Waterproofing Holding Ab,211,N/A,DXE,Sweden
K2AB.S.DX,K2A Knaust & Andersson Fastigheter Ab,332,N/A,DXE,Sweden
NENTA.S.DX,Nordic Entertainment Group Ab,234,N/A,DXE,Sweden
NP3.S.DX,Np3 Fastigheter Ab,235.5,N/A,DXE,Sweden
8TRA.S.DX,Traton Se,247,N/A,DXE,Sweden
G5EN.S.DX,G5 Entertainment Ab,452.4,N/A,DXE,Sweden
XACR2.S.DX,Xact Bear 2,13.066,N/A,DXE,Sweden
XACL2.S.DX,Xact Bull 2,1540.8,N/A,DXE,Sweden
TEL2B.S.DX,Tele2 Ab,129.9,N/A,DXE,Sweden
FMMB.S.DX,Fm Mattsson Mora Group Ab,256,N/A,DXE,Sweden
CCC.S.DX,Cavotec Sa,23.7,N/A,DXE,Sweden
XVIVO.S.DX,Xvivo Perfusion Ab,430,N/A,DXE,Sweden
XBRAN.S.DX,Xbrane Biopharma Ab,145,N/A,DXE,Sweden
XANOB.S.DX,Xano Industri Ab,331,N/A,DXE,Sweden
XACTS.S.DX,Xact Svenska Smabolag Ucits ETF,310.025,N/A,DXE,Sweden
XACTR.S.DX,Xact Bear,22.335,N/A,DXE,Sweden
