"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,quarterized_revenue,quarterized_earnings,effective_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,skip_reason
AAME,Atlantic American Corporation,Financial Services,United States,3.47814E+13,193848000,6595200,51640200,3615200,5105200,122744100,193848000,6595200,51640200,3615200,5105200,122744100,0.517,0.517,4.76348,0,4.76348,0.43119,9.52695,3.834,0.0967,0.03386,1,0.06219,1,0.08786,0.05069,0,0.909,4.29,0.21189,0.6638,20415800,19426000,0.95152,152,106036704,88400416,127802.6316,7.54729,-0.75,0.51193,0.51193,0.51193,0.51193,5.78845,3.60963,5.78845,3.60963,1,1,5708600,5082093.333,18.57491,1.14363E+12,5.71816E+11,1.9965,1.88778,1.94214,1.39361,USD,1,0.02,0.02,0.02,0.02,1.34426,1.58,15.97,3.42555,25.23546,171.51899,-73.13713,0.37665,0.37765,1.50756,1.53104,1.09481,1.23811,0.03647,0.04256,1.37367,1.44607,1.5293,1.17646,0.04952,1.41987,1.47459,None
AAP,Advance Auto Parts Inc Advance ,Consumer Cyclical,United States,3812315.263,9881431467,480996733.3,2452626800,127292533.3,304144633.3,6167029133,9881431467,480996733.3,2452626800,127292533.3,304144633.3,6167029133,1.478,1.478,26.57283,16.03804,23.93913,1.22517,23.93913,14.223,0.04878,0.27378,5.625,0.12982,2.5,0.2105,1.01313,11.83,7.14,188.64,0.03785,3.50839,65261000,493020992,7.5546,40000,14933739520,12381969408,12325.5248,0.168,-0.75,0.01515,0.01515,0.01515,0.01515,0.12979,1.69893,0.12979,1.69893,1.58,1.58,896533400,240886933.3,16.6572,61.99481,39.32601,2.12421,2.27692,2.20056,1.48343,USD,1,0.25,0.25,0.25,0.25,0.34945,130.33,210.18,172.23875,9.52239,44.74027,-10.24836,1.46049,9.70485,1.48337,1.43967,0.84431,2.1747,0.10776,0.10354,1.35676,1.35701,1.47152,1.51951,0.11565,1.36689,1.4192,None
AAT,"American Assets Trust, Inc.",Real Estate,United States,1.53194E+11,343378200,31506733.33,82670266.67,2625333.333,17066033.33,213024233.3,343378200,31506733.33,82670266.67,2625333.333,17066033.33,213024233.3,10.482,10.482,130.07118,45.12345,108.83425,6.70447,108.83425,18.75,0.05111,0.22757,2.5,0.07967,2.5,0.1701,0.9734,0.81,0.281,36,0.00781,1.75755,60472300,16849000,0.27862,190,3455487232,2210262528,88678.94737,-0.896,-0.75,-0.05442,-0.05442,-0.05442,-0.05442,-0.6856,0.3644,-0.6856,0.3644,30.55,30.55,136667400,34346600,25.28392,100.60638,62.94515,1.30474,1.34197,1.32336,1.15037,USD,1,0.28,0.25,0.25,0.2,31.40039,20.73,36.6,31.36693,14.77054,73.66136,-4.46721,1.92439,50.78701,1.77435,1.73814,0,0,0.60315,0.63509,3.31558,5.06029,1.76625,0.01,0.62912,4.19793,2.98209,None
ABEV,Ambev S.A.,Consumer Defensive,Brazil,107283.0575,9387472966,1909348334,2852089891,614766551,1262057443,6119781428,9387472966,1909348334,2852089891,614766551,1262057443,6119781428,0.646,0.646,22.61438,24.71429,23.13936,0.86146,23.13936,2.018,0.20689,1.14611,5.625,0.52036,2.5,0.84315,0.09792,0.14,0.153,3.37,0.0454,0.66373,15739199488,12913021952,0.82044,50000,40311472128,53769093120,258260.439,1.405,-0.75,0.02852,0.02852,0.02852,0.02852,1.06088,6.3544,1.06088,6.3544,-2.3268,61.5,3180073322,823888067.6,12.67627,48.92834,30.8023,0.67913,0.62696,0.65305,0.80811,BRL,0.17101,0.015,0.082,0.117,0.083,0.42194,2.13,3.47,2.90307,16.08418,58.21596,-7.63275,1.85075,40.1866,2.5091,2.62956,0.22365,0.28484,0.99531,1.10434,1.04895,1.15638,2.57933,0.26425,1.05983,1.11266,1.846,None
AC,"Associated Capital Group, Inc.",Financial Services,United States,169739782.4,20877133.33,13327933.33,4701733.333,24303066.67,18815500,12789433.33,20877133.33,13327933.33,4701733.333,24303066.67,18815500,12789433.33,35.213,35.213,7.3906,14.15058,9.0806,44.19136,18.16119,34.33399,6.03543,0,0,0,0,3.45882,0.73236,2.59,4.959,36.31,0.13657,0.88907,3158130,111127000,35.1876,25,646011136,810734656,4445080,-0.05784,-0.75,-0.05784,-0.05784,-0.05784,-0.05784,-0.05784,0.99216,-0.05784,0.99216,1,1,-155063200,126505600,77642.17625,5.10658,38823.64142,0.06712,0.06369,0.0654,0.25574,USD,1,0.1,0.0995,0.0995,0.0995,-0.05266,30.21,42.26,35.65671,1.83215,20.19199,-14.07951,1.01245,1.07705,18.61083,20.83535,0.1128,0.04029,3.80641,10.59201,12.92619,10.93599,19.73309,0.08654,7.20921,11.94109,15.83709,None
ACC,American Campus Communities Inc,Real Estate,United States,2.04132E+12,886327133.3,81701866.67,225633666.7,11453200,46577533.33,555980400,886327133.3,81701866.67,225633666.7,11453200,46577533.33,555980400,12.378,12.378,1209.2307,82.73684,927.60724,7.61418,927.60724,27.164,0.00886,0.23033,2.5,0.04656,1,0.15618,0.98151,0.57,0.039,46.26,0.00084,2.11822,137866000,5352000,0.03882,2988,10569865216,6501760512,1791.16466,-0.807,-0.75,-0.05261,-0.05261,-0.05261,-0.05261,-0.6184,0.4316,-0.6184,0.4316,10.36,10.36,357491400,72028733.33,29.56677,146.74512,88.15594,1.26737,1.4067,1.33703,1.1563,USD,1,0.47,0.47,0.47,0.47,41.36366,31.07,47.54,43.11854,7.28564,48.8896,-2.69247,1.84457,39.3881,1.83757,1.72633,0,0,0.94214,1.20735,1.27934,1.19925,1.79195,0.01,1.08475,1.2493,1.52062,None
ACGLO,Arch Capital Group Ltd. - Depos,Financial Services,Bermuda,6213.07288,7496234067,1328310933,2306019667,454421533.3,891366233.3,4901126867,7496234067,1328310933,2306019667,454421533.3,891366233.3,4901126867,1.305,1.305,6.51874,0,6.51874,1.66385,13.03747,4.935,0.18342,0,0,0,0,0.11481,0.29962,0,4.056,26.18,0.15493,0.86228,402939008,1657948032,4.11464,4500,12091710464,15416873984,368432.896,2.04,-0.75,0.07584,0.07584,0.07584,0.07584,1.54896,8.7948,1.54896,8.7948,1,1,2366626533,736923066.7,5.10926,16.40838,10.75882,2.4247,2.44606,2.43538,1.56057,USD,1,0.341,0.341,0.341,0.341,0.02978,24.49,27.06,26.37152,-0.72624,6.90078,-3.25203,1.31518,5.17489,1.47831,1.4652,1.00176,0.92101,0.21541,0.19114,1.7247,1.96515,1.48176,0.97138,0.21327,1.85493,1.66834,None
ACI,"Albertsons Companies, Inc.",Consumer Defensive,United States,86325187.5,65889146667,598380000,16138720000,33093333.33,315736666.7,41013933333,65889146667,598380000,16138720000,33093333.33,315736666.7,41013933333,0.333,0.333,28.35402,0,28.35402,0.12846,28.35402,6.007,0.0122,0.30761,34.80469,0.00139,1,0.18946,0.73627,0,0,18.98,0,1000,466513984,764200000,1.63811,300000,23231537152,8952403968,2547.33333,0.3952,-0.75,0.3952,0.3952,0.3952,0.3952,0.3952,3.02599,0.3952,3.02599,-0.79,7.9,2882013333,780166666.7,8.06087,29.77766,18.91927,14.91276,17.4321,16.17243,4.0215,USD,1,0.1,0.1,0.1,0,16.87985,12.91,20.89,17.48015,8.58033,47.01782,-9.14313,1.5213,12.39638,1.10748,1.12555,0.2465,0.30231,0.13891,0.18293,1.04757,1.06704,1.12652,0.2844,0.17092,1.06731,1.09691,None
ACNB,ACNB Corporation,Financial Services,United States,1076246.849,78805800,19688000,22983200,7153533.333,13420766.67,50894500,78805800,19688000,22983200,7153533.333,13420766.67,50894500,-1.765,4.93162,9.24559,0,9.24559,2.80661,18.49117,18.70181,0.3029,1.40939,5.625,2.13886,6.875,1.67816,0.25011,0,3.115,28.31,0.11003,0.97429,8715020,27088000,3.1082,396,250992576,250992576,68404.0404,-0.0057,-0.75,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,1.0443,-0.0057,1.0443,1,1,25516466.67,7533400,9.83649,33.3173,21.5769,8.701,9.07503,8.88801,2.98128,USD,1,0.25,0.25,0.25,0.25,0.18491,19,33.74,27.52197,2.86328,49,-16.09366,1.26323,4.06343,1.11518,1.11028,0,0,99.73204,95.15754,0.12442,0.19526,1.12273,0.01,97.45479,0.16984,0.64628,None
ACRE,Ares Commercial Real Estate Cor,Real Estate,United States,14202387043,63264266.67,28685533.33,23377466.67,14878133.33,21781833.33,43320866.67,63264266.67,28685533.33,23377466.67,14878133.33,21781833.33,43320866.67,21.926,21.926,9.39319,10.39041,9.64249,6.73015,9.64249,91.89671,0.60075,1.14377,2.5,1.58807,2.5,1.33008,0.54634,1.46,1.615,15.11,0.10688,1.06426,40501100,54843000,1.35411,10000000,2001678848,614401664,5.4843,-0.13628,-0.75,-0.13628,-0.13628,-0.13628,-0.13628,-0.13628,0.91372,-0.13628,0.91372,-5.59,55.9,32907733.33,9234800,60.827,216.75389,138.79045,3.07534,2.86719,2.97126,1.72374,USD,1,0.35,0.33,0.33,0.33,0.88404,7.82,15.37,13.12161,15.15359,93.22251,-1.69161,1.93113,51.86369,1.3258,1.35161,0.04185,8.70701,1.87655,2.10623,8.55573,11.09515,1.34871,4.38443,2.00139,9.83544,5.59207,None
