ev,pe,evr / pm,0.002,10.929,19.299,32.959,54.117,90.295,151.711,322.338
0.000000,417458.229360,14053.571,3120.000000,2407.000000,2050.000000,1703.000000,1355.000000,1015.000000,673.000000,334.000000
0.000000,417458.229360,10.81844,2517.000000,1849.000000,1520.000000,1202.000000,908.000000,636.000000,414.000000,197.000000
0.000000,417458.229360,6.54996,2211.000000,1591.000000,1285.000000,993.000000,729.000000,506.000000,327.000000,157.000000
0.000000,417458.229360,4.58667,1877.000000,1291.000000,1011.000000,749.000000,533.000000,382.000000,254.000000,117.000000
0.000000,417458.229360,3.40178,1533.000000,995.000000,749.000000,538.000000,382.000000,276.000000,181.000000,82.000000
0.000000,417458.229360,2.29567,1174.000000,711.000000,513.000000,361.000000,254.000000,182.000000,124.000000,50.000000
0.000000,417458.229360,1.50467,798.000000,434.000000,303.000000,208.000000,150.000000,107.000000,78.000000,32.000000
0.000000,417458.229360,0.87078,392.000000,194.000000,138.000000,101.000000,76.000000,53.000000,35.000000,16.000000
0.000000,76.039750,14053.571,2439.000000,2066.000000,1782.000000,1489.000000,1184.000000,886.000000,594.000000,295.000000
0.000000,76.039750,10.81844,2062.000000,1696.000000,1418.000000,1137.000000,863.000000,606.000000,391.000000,187.000000
0.000000,76.039750,6.54996,1847.000000,1492.000000,1222.000000,954.000000,704.000000,491.000000,315.000000,152.000000
0.000000,76.039750,4.58667,1562.000000,1216.000000,965.000000,720.000000,515.000000,371.000000,244.000000,112.000000
0.000000,76.039750,3.40178,1270.000000,937.000000,715.000000,515.000000,367.000000,266.000000,171.000000,77.000000
0.000000,76.039750,2.29567,970.000000,669.000000,486.000000,341.000000,240.000000,172.000000,114.000000,45.000000
0.000000,76.039750,1.50467,652.000000,408.000000,286.000000,197.000000,141.000000,100.000000,71.000000,28.000000
0.000000,76.039750,0.87078,315.000000,178.000000,126.000000,94.000000,70.000000,49.000000,31.000000,13.000000
0.000000,45.389300,14053.571,2091.000000,1791.000000,1550.000000,1295.000000,1019.000000,758.000000,525.000000,269.000000
0.000000,45.389300,10.81844,1836.000000,1540.000000,1303.000000,1052.000000,795.000000,559.000000,365.000000,175.000000
0.000000,45.389300,6.54996,1662.000000,1375.000000,1145.000000,900.000000,662.000000,461.000000,301.000000,146.000000
0.000000,45.389300,4.58667,1416.000000,1132.000000,913.000000,686.000000,489.000000,349.000000,233.000000,106.000000
0.000000,45.389300,3.40178,1158.000000,883.000000,682.000000,494.000000,351.000000,253.000000,167.000000,74.000000
0.000000,45.389300,2.29567,887.000000,635.000000,466.000000,329.000000,232.000000,165.000000,112.000000,43.000000
