"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
GRVY,"GRAVITY Co., Ltd.",Communication Services,South Korea,1e-06,317911396.908,43355194.1592,95397868.1712,358050564.522,55304123.616,423920206.71,49329658.8876,259659037.4406,337980980.715,317911396.908,43355194.1592,358050564.522,55304123.616,49329658.8876,337980980.715,-0.432,2.084376,12.567248,12.567248,12.567248,0.001735,12.567248,-1.938,14.281053,17130317712.7967,0,69248287866.66667,34624143933.333336,0.15446,4.619477,34.804688,0.376932,2.5,2.779462,0.09078,0,8.067,105.53,0.076443,0.003982,6948900,62703087616,9023.455168,279,704479488,704479488,224742249.519713,48.72,0.291551,0.598139,0.291551,0.598139,0.291551,36.689535,60.821887,0.291551,5.649543,0.34253,0.34253,44830371.0288,11207592.7572,15.714335,62.857342,39.285839,0.681515,0.515347,0.598431,0.773583,KRW,USD,0.000882,1.0,0,0,0,0,105.53,49.5,239.9,141.86478,-25.612263,113.191919,-56.010838,0.58855,0.58955,2.735987,2.950304,0.162741,0.11259,4.899223,2.609456,2.675339,2.899452,2.853146,0.147665,3.76434,2.797395,2.82527,193270365.7416,220887900.3072,207079133.0244,0.258216,125909840800.0,150378130666.66666,138143985733.3333,71145702.3312,74918068.7808,73031885.556,32.90428,None
QFIN,"360 DigiTech, Inc.",Financial Services,China,0.000443,1598091355.28,417685230.361,419113270.2498,2161083807.708,720446237.259,2203724667.396,569065733.81,1311418968.8229,1879587581.494,1598091355.28,417685230.361,2161083807.708,720446237.259,569065733.81,1879587581.494,0.06,0.06,7.418308,5.839864,7.221002,0.373679,14.442005,0.084,0.107529,6372662940.476191,0,5605077666.666667,2802538833.333333,0.33337,4.015133,15.46875,1.565262,4.375,2.799204,0.58833,5.87,4.621,35.74,0.129295,0.479695,152396000,4660639232,30.582425,1643,835194112,5224134656,2836664.17042,6.347,1.239086,1.431687,1.239086,1.431687,1.239086,5.118172,22.873377,1.239086,11.381422,1.410856,1.410856,566364564.8052,1083951651.552,1.474658,0.770509,1.122583,1.626496,1.61071,1.618603,1.272243,CNY,USD,0.154581,1.0,0,0,0,0,35.74,9.67,45,25.677464,39.1882,269.596691,-20.577778,1.4758,10.331523,1.709805,1.634818,0.666228,0.580327,1.154533,1.241227,1.833038,1.7136,1.682311,0.633278,1.20788,1.783319,1.732815,3033081947.8288,3947846426.188,3490464187.0084,0.183034,7788420600.0,9524659266.666666,8656539933.333332,1854946143.7514,2417006349.0846,2135976246.418,3.39602,None
APT,"Alpha Pro Tech, Ltd.",Industrials,Canada,0.000969,76368866.666667,15904733.333333,46024733.333333,102700000.0,27087000.0,193217000.0,21495866.666667,119620866.666667,89534433.333333,76368866.666667,15904733.333333,102700000.0,27087000.0,21495866.666667,89534433.333333,0.982,0.982,4.283505,7.163794,4.643541,1.092381,4.643541,3.123,3.301286,28997028.946526,32312000.0,19060533.333333,25686266.666667,0.26374,0.968389,5.625,0.651178,2.5,0.787093,0.43864,1.16,1.94,8.2,0.236585,1.858229,13500300,27086000,2.006326,115,100897232,112187496,235530.434783,21.143,0.694852,4.592371,0.694852,4.592371,0.694852,17.005343,41.487535,0.694852,8.585779,0.54,0.54,11106933.333333,18274000.0,9.084167,5.521354,7.302761,0.13157,0.187028,0.159299,0.399123,USD,USD,1.0,1.0,0,0,0,0,8.2,7.57,25.55,10.986297,-25.361566,8.322325,-67.906067,0.070078,0.071078,9.29495,6.773578,0.03163,0.126519,0.0,0.0,10.537842,7.606319,8.044264,0.089074,0.01,9.082081,8.563172,53694266.666667,65567266.666667,59630766.666667,0.380483,37594200.0,45333733.333333,41463966.666667,6442333.333333,10031933.333333,8237133.333333,3.862755,None
HMY,Harmony Gold Mining Company Lim,Basic Materials,South Africa,0.001449,1853542464.4,-120045053.066667,-784728370.4,2445256316.0,247250575.0,-2680818682.0,63602760.966667,-1732773526.2,2149399390.2,1853542464.4,-120045053.066667,2445256316.0,247250575.0,63602760.966667,2149399390.2,0.084,0.084,8.755656,7.897959,8.648444,0.066758,8.648444,0.392,0.414015,6846492367.346939,7611000000.0,4544000000.0,6077500000.0,0.10111,-0.069767,0.0,0.182275,1.0,0.133079,0.30421,0.49,0.442,3.86,0.114508,0.074864,609897984,3575000064,5.861636,33093,2985270016,2360305152,108028.890218,3.343,0.146804,1.186932,0.146804,1.186932,0.146804,2.803983,16.995098,0.146804,4.081498,3.084342,3.084342,313861839.466667,537311809.0,9.511414,5.555936,7.533675,0.749093,0.698541,0.723817,0.850774,ZAR,USD,0.069161,1.0,0.076997,0.027,0.038,0.037,3.86,3.66,7.61,4.549552,-15.156489,5.464481,-49.277267,0.101266,0.102266,2.454781,2.461097,1.554529,0.291918,0.727589,0.735743,1.318576,1.30559,2.467939,0.933224,0.741666,1.322083,1.895011,2869743480.333333,3439182879.2,3154463179.766666,0.040163,1845000000.0,2108400000.0,1976700000.0,1221355595.6,1400164445.0,1310760020.3,2.984478,None
ONEW,OneWater Marine Inc.,Consumer Cyclical,United States,0.001569,856756600.0,18665866.666667,16757000.0,1223003000.0,44603000.0,101713000.0,31634433.333333,59235000.0,1039879800.0,856756600.0,18665866.666667,1223003000.0,44603000.0,31634433.333333,1039879800.0,0.595,0.595,0.160758,0.160758,0.160758,0.498512,0.160758,5.432,5.791257,118390091.703486,133955000.0,71505266.666667,102730133.333333,0.03647,0.04723,2.25,0.115369,2.5,0.094629,0.80826,0,252.18,41.25,6.113455,0.097325,11661600,44603000,3.824775,1169,728159872,609681088,38154.833191,17.871,0.345317,8.693738,0.345317,8.693738,0.345317,15.576685,39.717309,0.345317,6.126366,0.01032,0.01032,111662000.0,290138000.0,6.521107,2.509702,4.515405,7.125588,2.758959,4.942273,2.223122,USD,USD,1.0,1.0,1.8,0,0,0,0.856436,18.01,56.775,40.716717,1.30974,129.039423,-27.344782,1.19902,2.971379,1.502405,1.522994,0.131249,0.134626,0.416214,0.690173,1.277066,1.176686,1.522699,0.142938,0.563194,1.236876,1.379788,446174856.533333,580714066.666667,513444461.6,0.081612,54494836.4,43396866.666667,48945851.533333,300571168.066667,382000466.666667,341285817.366667,2.033219,None
LAKE,"Lakeland Industries, Inc.",Consumer Cyclical,United States,0.009179,133149666.666667,19822000.0,35550733.333333,147510000.0,31113000.0,190387000.0,25467500.0,112968866.666667,140329833.333333,133149666.666667,19822000.0,147510000.0,31113000.0,25467500.0,140329833.333333,0.82,0.82,5.615324,10.753769,6.25763,1.165385,6.25763,3.097,3.216438,36242784.522656,39232000.0,27662666.666667,33447333.333333,0.21092,4.45994,34.804688,0.442442,2.5,2.71508,0.70113,1.99,3.811,22.03,0.172991,1.349562,8032990,31113000,3.873153,2000,120901416,171905984,15556.5,-0.462,0.301221,6.23038,0.301221,6.23038,0.301221,1.211095,11.254976,0.301221,5.738356,0.75,0.75,22927066.666667,38731000.0,5.273305,3.121567,4.197436,0.146618,0.14452,0.145569,0.381535,USD,USD,1.0,1.0,0,0,0,0,22.03,17.88,47.95,28.208284,-21.902374,23.210291,-54.056309,0.276023,0.277023,7.872627,7.96264,2.266623,1.707211,0.0,0.0,7.39237,7.624007,7.927633,1.996917,0.01,7.518188,7.722911,120066466.666667,140414533.333333,130240500.0,0.215542,88638466.666667,107886733.333333,98262600.0,15209933.333333,17660466.666667,16435200.0,3.223547,None
CEPU,Central Puerto S.A.,Utilities,Argentina,0.011468,385812590.6536,112980944.009467,519588590.4032,415973745.874,68321703.182,2362525326.212,90651323.595733,1441056958.3076,400893168.2638,385812590.6536,112980944.009467,415973745.874,68321703.182,90651323.595733,400893168.2638,1.057,1.057,5.813953,1.70068,5.299794,0.018607,5.299794,1.674,1.675225,23242961133.094383,25195189000.0,21222703800.0,23208946400.0,0.16811,0.905309,2.5,0.280512,2.5,0.631482,0.03188,1.47,0.43,2.5,0.172,0.003922,150516992,6195338240,41.160391,10000000,38965657600,685710016,619.533824,-0.524,0.407459,0.183154,0.407459,0.183154,0.407459,-0.347211,0.215279,0.407459,6.633252,0.06,0.06,163325885.859067,206980175.38,238.576129,188.257921,213.417025,0.909163,0.834855,0.872009,0.933814,ARS,USD,0.010442,1.0,0.119,0.341,0,0,2.5,1.9,3.05,2.321556,7.686415,31.578947,-18.032787,1.043478,1.290923,2.120565,2.203869,0.540504,0.841267,2.115269,2.055525,1.317631,1.325808,2.172217,0.700886,2.095397,1.33172,1.751968,1478971801.136266,1687411913.608133,1583191857.3722,0.077259,8207159600.0,8941787200.0,8574473400.0,701707187.308933,764687685.6676,733197436.488267,7.552175,None
PKX,POSCO,Basic Materials,South Korea,0.01166,53532720223.41146,1548136862.182344,40025204945.571045,52316452543.34772,1968174747.75222,161783931098.48508,1758155804.967282,100904568022.02806,52924586383.37959,53532720223.41146,1548136862.182344,52316452543.34772,1968174747.75222,1758155804.967282,52924586383.37959,0.15,0.15,16.54973,10.321775,15.771236,0.000378,15.771236,1.301,1.301482,6826345521491.367,6834699106900.0,6807866655376.0,6821282881138.0,0.03762,0.072309,2.5,1.528149,30.078125,0.909262,0.04113,7.21,4.49675,76.38,0.058873,0.00051,302502016,2224820584448,7354.729776,10000000,8887662018560,22425497600,222482.058445,1.592,-0.050868,-0.104414,-0.050868,-0.104414,-0.050868,1.167896,11.056926,-0.050868,0.244913,13.503968,13.503968,6518055077.720424,6642591341.3118,1363.545093,1337.981153,1350.763123,0.710294,0.739786,0.72504,0.851493,KRW,USD,0.000882,1.0,0.674472,1.0048,0.338661,0.105256,76.38,37.86,92.19,71.045746,7.508196,101.743265,-17.149365,1.418001,8.129417,2.51536,2.463439,0.20839,0.180935,2.382278,2.10196,2.047006,2.129412,2.4994,0.204663,2.252119,2.098209,2.298805,69645772882.33841,72043120904.16403,70844446893.25122,0.044817,17792259332732.0,20242030956814.0,19017145144773.0,27688522868.630234,29260471408.691208,28474497138.66072,25.363624,None
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,0.030785,43102155279.66,15705640828.04,52582809554.939995,49869782709.3,19380121386.0,222536231636.1,17542881107.02,137559520595.52,46485968994.48,43102155279.66,15705640828.04,49869782709.3,19380121386.0,17542881107.02,46485968994.48,0.16,0.16,32.22819,26.384615,31.497743,0.447562,10.499248,0.235,0.240219,908184563289.3618,949438402000.0,786245434000.0,867841918000.0,0.38861,2.031783,5.625,2.426046,6.25,2.032337,0.17751,4.55,3.725,118.91,0.031326,0.321097,5186079744,540589162496,104.238498,10000000,222903894016,622588919808,54058.91625,0.194,0.162368,0.283463,0.162368,0.283463,0.162368,0.216366,4.901513,0.162368,4.279489,1.89,1.89,25752516456.32,30381171264.6,8.655616,7.336909,7.996263,0.423125,0.491656,0.45739,0.676307,TWD,USD,0.03585,1.0,0.451263,0.439846,0.442,0.435024,118.91,61.5,142.2,119.57448,-0.555704,93.349593,-16.37834,1.4228,8.29591,3.499926,3.039737,0.024997,0.021394,1.762694,2.123475,1.835513,1.71732,3.279831,0.033196,1.953084,1.786416,2.533124,89187389671.15999,100656537956.62001,94921963813.89,0.204814,428024940133.3333,456889531333.3333,442457235733.3333,26706104869.84,33191116477.260002,29948610673.550003,7.222095,None
SBSW,D/B/A Sibanye-Stillwater Limite,Basic Materials,South Africa,0.035204,6722749819.813334,1038830495.133333,-17996614.346667,8810585776.4,2027240315.9,958765110.8,1533035405.516667,470384248.226667,7766667798.106667,6722749819.813334,1038830495.133333,8810585776.4,2027240315.9,1533035405.516667,7766667798.106667,0.099,0.099,8.01686,8.01686,8.01686,0.096475,8.01686,0.261,0.273625,44134392459.77011,48498700000.0,31230686666.666668,39864693333.333336,0.23009,1.530291,13.921875,0.635956,2.5,1.099024,0.10087,0,0,16.83,0.0,1000.0,738145984,29311899648,39.710166,66275,12633467904,12290129920,442276.871339,61.901,0.567159,269.545762,0.567159,269.545762,0.567159,113.81219,106.932796,0.567159,7.780993,0.070439,0.070439,1367886084.153333,1995135779.7,9.23576,6.332134,7.783947,1.60439,1.072999,1.338694,1.15702,ZAR,USD,0.069161,1.0,0.861536,0.118795,0.162484,0.234174,16.83,9.38,20.68,17.91694,-6.066549,79.424307,-18.617021,1.318584,5.255898,1.799218,2.016544,0.0,0.0,0.220746,0.244251,2.313626,2.782792,1.917881,0.01,0.242499,2.558209,2.238045,7944430933.186666,9082699730.9,8513565332.043333,0.20007,22005580000.0,31112220000.0,26558900000.0,4423083863.84,4533486951.36,4478285407.6,4.846338,None
