"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
AAMC,Altisource Asset Management Cor,Financial Services,United States,74097382820.72765,3119133.33333,18626333.33333,46276133.33333,716800.0,22990733.33333,43097000.0,20808533.33333,44686566.66667,1917966.66667,3119133.33333,18626333.33333,716800.0,22990733.33333,20808533.33333,1917966.66667,0,102.78224,0.78535,0.78535,0.78535,20.45152,1.5707,-9.78,9.47366,-15017679.25796,-3299571.42857,-16457666.66667,-9878619.04762,0,0.0,0.0,0.0,0.0,0.01,0.25144,0,24.384,19.1351,1.27431,1000.0,2048320,-14762000,-7.20688,112,197132912,39225328,-131803.57143,1.42361,-0.02112,1.42361,-0.02112,1.42361,-0.02112,1.42361,12.18153,-0.02112,0.24789,0.55166,0.55166,7825666.66667,7026000.0,25.19056,28.05763,26.62409,-0.07365,-0.1226,10.81235,3.28821,USD,USD,1.0,1.0,0,0,0,0,19.1351,12.51,31.24,20.17797,-5.16836,52.95843,-38.74808,0.70743,0.70843,6.01617,4.58265,0.80775,0.46987,1.13486,1.13177,7.16632,5.56151,5.30941,0.64881,1.14331,6.37392,5.84166,78008600.0,86055933.33333,82032266.66667,0.27366,64048866.66667,61870666.66667,62959766.66667,13119333.33333,23351466.66667,18235400.0,0.29919,None
ABC,AmerisourceBergen Corporation,Healthcare,United States,4860705870113454.0,181768732533.33334,-1344464933.33333,2061668400.0,49810393666.66666,-294745933.33333,1240772200.0,-819605433.33333,1651220300.0,115789563100.0,181768732533.33334,-1344464933.33333,49810393666.66666,-294745933.33333,-819605433.33333,115789563100.0,0.125,0.125,338.84414,11.03311,297.86776,0.12323,297.86776,8.9,10.11525,2163470639.66292,749720666.66667,2395577133.33333,1572648900.0,-0.01909,-0.00683,0.0,-0.00607,0.0,0.00185,0.67316,10.57,-18.344,116.44,-0.15754,1000.0,207411008,-3746521088,-18.06327,22000,24513202176,24188272640,-170296.41309,-0.547,0.06641,-0.20263,0.06641,-0.20263,0.06641,-0.46091,0.20391,0.06641,2.82701,1.08,1.08,2090621733.33333,166103533.33333,11.72532,147.57785,79.65158,-17.61533,-112.16439,6489.98588,80.56045,USD,USD,1.0,1.0,0.44,0.44,0.44,0.42,116.44,92,125.86,111.79964,4.1506,26.56522,-7.48451,1.44359,9.05035,1.02802,1.0006,7.93169,2.99624,0.1079,0.17397,0.95867,1.03266,1.02431,5.47396,0.15093,1.00566,1.01499,41436180400.0,45916829000.0,43676504700.0,0.00123,-1242763733.33333,1073130333.33333,-84816700.0,40541505800.0,45955480266.66666,43248493033.33333,0.44726,None
ABST,Absolute Software Corporation,Technology,Canada,4.018497548267021e+16,100763764.4,7777653.4,-162542137.26667,29920539.93333,2193124.26667,-164563050.2,4985388.83333,-163552593.73333,65342152.16667,100763764.4,7777653.4,29920539.93333,2193124.26667,4985388.83333,65342152.16667,5.06,5.06,143.93901,143.93901,143.93901,6.17734,47.97967,31.921,36.40816,14374189.3618,5127543.13333,15538464.4,10333003.76667,0.07707,0.0,0.0,0.0,0.0,0.05404,0.75576,0,0,14.44,0.0,1000.0,49510600,8952796,0.18083,530,587837184,717591936,16892.06792,-0.011,0.0532,0.78362,0.0532,0.78362,0.0532,0.18765,4.58191,0.0532,2.5565,767.04239,767.04239,17788053.4,10189073.86667,33.04674,57.6929,45.36982,-3.50769,5.00672,126576.24739,355.77556,USD,USD,1.0,1.0,0.063,0.061,0.06,0.057,14.44,9.36,21.2,13.92362,3.70864,54.2735,-31.88679,0.85811,0.85911,0.70712,1.06224,0.08823,0.08974,0.46591,0.43678,0.77,1.37895,0.89468,0.09898,0.46135,1.08447,0.98958,116476331.33333,200404385.73333,158440358.53333,0.05147,-22174590.13333,43147989.4,10486699.63333,164056184.46667,187818912.86667,175937548.66667,0.44831,None
ACCO,Acco Brands Corporation,Industrials,United States,9433283532.5717,1793040000.0,84553333.33333,-576533333.33333,425300000.0,-66666.66667,-557093333.33333,42243333.33333,-566813333.33333,1109170000.0,1793040000.0,84553333.33333,425300000.0,-66666.66667,42243333.33333,1109170000.0,1.204,1.204,24.47887,5.79333,22.14318,0.49347,22.14318,11.124,11.94612,158567856.52643,43166666.66667,227093333.33333,135130000.0,0.01998,0.11594,2.5,-0.00261,0.0,0.08158,0.90848,1.5,0.355,8.79,0.04039,1.17069,95491904,33600000,0.35186,6160,2024631552,829824576,5454.54545,-0.26655,-0.08622,-0.26655,-0.08622,-0.26655,-0.08622,-0.26655,0.22334,-0.08622,0.24138,0.72,0.72,157580000.0,12446666.66667,12.84828,162.66456,87.75642,2.86192,3.10902,2.98547,1.72785,USD,USD,1.0,1.0,0.065,0.065,0.065,0.065,8.79,5.2,9.77,8.73884,0.58543,69.03846,-10.03071,1.57112,15.04006,1.35239,1.3228,0.26816,0.30756,0.28128,0.28632,1.36101,1.51881,1.34759,0.29786,0.2938,1.44991,1.39875,2927726666.66667,2958440000.0,2943083333.33333,0.03435,206160000.0,260393333.33333,233276666.66667,2168400000.0,2238226666.66667,2203313333.33333,0.15153,None
ADES,"Advanced Emissions Solutions, I",Industrials,United States,52056621125.52776,57747600.0,5234200.0,33288400.0,19509400.0,6516800.0,39360733.33333,5875500.0,36324566.66667,38628500.0,57747600.0,5234200.0,19509400.0,6516800.0,5875500.0,38628500.0,1.478,1.478,22.78525,1.63594,20.14159,1.90133,20.14159,28.036,53.20202,1328320.87554,1091933.33333,-3204666.66667,-1056366.66667,-0.06635,0.19775,1.0,0.24933,1.0,0.1995,0.61955,4.34,-0.258,7.32,-0.03525,1.30755,18855600,-4669000,-0.24762,136,104097904,133874760,-34330.88235,-0.5319,0.41373,-0.5319,0.41373,-0.5319,0.41373,-0.5319,0.19681,0.41373,6.6822,-37.8669,2640.82866,43551600.0,19086266.66667,2.39022,5.45407,3.92215,0.73429,0.63271,0.6835,0.82674,USD,USD,1.0,1.0,0.25,0.25,0.25,0.25,7.32,3.52,8.41,5.87761,24.54044,107.95455,-12.96076,1.55419,14.09381,2.81346,2.63352,1.4278,2.11144,10.93883,3.25732,1.64953,1.7184,2.73349,1.77962,7.10807,1.69396,2.21373,151367333.33333,149592133.33333,150479733.33333,0.05905,16975466.66667,26453133.33333,21714300.0,63087533.33333,57468266.66667,60277900.0,0.26619,None
ADN,"Advent Technologies Holdings, I",Utilities,United States,4.508686360249261e+21,734955.0,-1966579.85714,-11507239.28571,926127.06667,981274.93333,-10960445.93333,-492652.4619,-11233842.60952,830541.03333,734955.0,-1966579.85714,926127.06667,981274.93333,-492652.4619,830541.03333,137.775,137.775,10.71209,10.71209,10.71209,202.45085,10.71209,-81.611,15.74067,-2627939.49168,-1006194.73333,-1835502.28571,-1420848.50952,0.00055,0.0,0.0,0.0,0.0,0.01031,0.33731,0,0,9.88,0.0,1000.0,46128700,1248,3e-05,49,312980672,459903136,25.46939,-0.39742,0.50195,-0.39742,0.50195,-0.39742,0.50195,-0.39742,0.21026,0.50195,7.33483,-26.95399,3710.02624,-886604.85714,-6675928.53333,28.32778,468819.68619,234424.00698,-2.27154,-1.15228,172.1912,13.12216,USD,USD,1.0,1.0,0,0,0,0,9.88,8.7,19.21,13.13641,-24.78921,13.56322,-48.56845,0.22455,0.22555,0.50936,2.86754,0.18001,0.29292,0.00074,0.00064,0.50367,14.4457,1.69845,0.24646,0.01069,7.48469,4.59157,1719364.0,74114039.26667,37916701.63333,0.00701,-1870534.28571,67110208.2,32619836.95714,3662414.28571,16689345.66667,10175879.97619,5.24671,None
ADTN,"ADTRAN, Inc.",Technology,United States,1882206156483.882,526518533.33333,-13849866.66667,811429333.33333,129052066.66667,2889200.0,780001866.66667,-5480333.33333,795715600.0,327785300.0,526518533.33333,-13849866.66667,129052066.66667,2889200.0,-5480333.33333,327785300.0,1.82,1.82,73.89091,31.75,68.6233,1.8929,22.87443,57.295,74.53401,10302997.1798,3984533.33333,4221533.33333,4103033.33333,0.02549,-0.02664,0.0,0.05539,2.5,0.04513,0.94061,0.64,0.275,20.71,0.01328,2.65482,48395700,13243000,0.27364,1405,945537152,983400640,9425.62278,0.24716,-0.05445,0.24716,-0.05445,0.24716,-0.05445,0.24716,5.22154,-0.05445,0.24456,14.72,14.72,-4900200.0,1892333.33333,51.82451,499.66733,275.74592,0.41108,0.42755,0.41932,0.64755,USD,USD,1.0,1.0,0.09,0.09,0.09,0.09,20.71,9.66,22.31,17.82493,16.1856,114.38923,-7.17167,1.74704,28.4322,3.43957,3.34047,0.08095,0.02144,1.19132,0.98424,3.2145,3.19823,3.40002,0.06119,1.09778,3.21636,3.30819,554070133.33333,528954800.0,541512466.66667,0.00988,226488266.66667,221519600.0,224003933.33333,161021800.0,158411066.66667,159716433.33333,0.32873,None
AER,AerCap Holdings N.V.,Industrials,Ireland,5605972234718.964,4689056333.33333,353444200.0,7259977666.66667,1075977266.66667,32287666.66667,7573221333.33333,192865933.33333,7416599500.0,2882516800.0,4689056333.33333,353444200.0,1075977266.66667,32287666.66667,192865933.33333,2882516800.0,7.893,7.893,35.09225,6.58651,31.52903,1.5556,31.52903,15.288,16.8131,1872592740.34537,560345600.0,2437617600.0,1498981600.0,-0.07984,0.0689,1.0,0.0217,1.0,0.04416,0.97014,7.86,-2.725,51.98,-0.05242,0.72586,130734000,-347364992,-2.65704,376,34339964928,6768099328,-923843.06383,-0.176,-0.04991,-0.54287,-0.04991,-0.54287,-0.04991,-0.26772,0.22323,-0.04991,0.24501,19.68,19.68,2552450200.0,480195733.33333,13.45373,71.51243,42.48308,3.75428,3.69705,3.72566,1.9302,USD,USD,1.0,1.0,0,0,0,0,51.98,21.99,63.49,52.28783,-0.58872,136.38017,-18.12884,1.4453,9.11486,1.2684,1.27292,0.0,0.0,19.26756,19.43835,1.2935,1.62199,1.28066,0.01,19.36295,1.46774,1.3742,42655950800.0,42583191333.33334,42619571066.66667,0.02453,750828933.33333,1508168133.33333,1129498533.33333,33630034133.33333,33459867533.33333,33544950833.33333,0.15228,None
AFCG,"AFC Gamma, Inc.",Real Estate,United States,5.020341105493697e+16,11483306.0,10352717.0,517720.0,3610859.66667,1635920.0,497822.66667,5994318.5,507771.33333,7547082.83333,11483306.0,10352717.0,3610859.66667,1635920.0,5994318.5,7547082.83333,13.415,13.415,47.85426,47.85426,47.85426,24.98006,47.85426,0,100000,0.0,0,0,0.0,0.90154,0.0,0.0,0.0,0.0,0.52517,0.44193,0,0,20.83,0.0,1000.0,13366900,10352717,0.7745,10000000,154044112,286853664,1.03527,-0.9,-0.9,-0.9,-0.9,0,0,-0.9,0.16,-0.9,0.16,-53.1714,1880.71039,3645254.0,1561714.0,42.25881,98.63785,70.44833,0.02525,0.02362,0.02444,0.15632,USD,USD,1.0,1.0,0.38,0,0,0,20.83,19.75,25.05,22.34904,-6.7969,5.46835,-16.84631,0.40755,0.40855,40.6061,43.34478,0.00364,0.01456,0.0,0.0,40.6061,43.20241,41.98544,0.0191,0.01,41.91425,41.94984,93961692.0,175243165.66667,134602428.83333,0.06453,91647712.0,170436454.66667,131042083.33333,2313980.0,4070101.66667,3192040.83333,7.42622,None
AFT,Apollo Senior Floating Rate Fun,Financial Services,United States,3162149954968638.5,25765910.46667,9847328.13333,-39652729.13333,5543177.8,9397594.0,-49520368.4,9622461.06667,-44586548.76667,15654544.13333,25765910.46667,9847328.13333,5543177.8,9397594.0,9622461.06667,15654544.13333,15.638,15.638,68.00866,68.00866,68.00866,10.76961,136.01732,0,100000,0.0,0,0,0.0,0.15829,0.35751,1.0,1.76092,1.0,1.141,0.4529,0,0.231,15.81,0.01461,0.97264,15573100,3595977,0.23091,10000000,355258464,244653408,0.3596,1.895,-0.1198,-0.35536,-0.1198,-0.35536,-0.1198,1.33241,11.79301,-0.1198,0.23802,51.04185,51.04185,20849678.0,5212419.5,17.03904,68.15615,42.5976,0.63044,0.6167,0.62357,0.78966,USD,USD,1.0,1.0,0.08,0.08,0.08,0.074,15.81,12.14,16.09,14.93674,5.8464,30.23064,-1.74021,1.85823,41.17122,2.60238,2.6439,0.0,0.0,0.04443,0.04983,0.90996,0.83761,2.63314,0.01,0.05713,0.88378,1.75846,419136935.66667,398768464.8,408952700.23333,0.04353,-2090119.53333,-3628163.4,-2859141.46667,162175391.53333,151680731.6,156928061.56667,0.20317,None
