Symbol,Name,Sector,Value,Close,Grade
TSM,Taiwan Semiconductor Manufactur,Technology,-0.22717,117.53,159.698
SID,Companhia Siderurgica Nacional ,Basic Materials,-0.03652,9.03,157.0338
GGB,Gerdau S.A.,Basic Materials,-0.11913,5.81,149.1184
PHI,PLDT Inc. Sponsored,Communication Services,-0.0708,25.34,138.94
ELP,Companhia Paranaense de Energia,Utilities,-0.09196,5.68,117.2375
LEN.B,Lennar Corporation,Consumer Cyclical,0.09726,78.63,110.3027
LEN,Lennar Corporation,Consumer Cyclical,-0.04082,96.86,107.6672
PKX,POSCO,Basic Materials,-0.79573,75.24,106.209
ORAN,Orange,Communication Services,0.01975,11.3,97.623
DHI,D.R. Horton  Inc.,Consumer Cyclical,-0.14401,87.04,95.8728
CEPU,Central Puerto S.A.,Utilities,-0.29446,2.43,95.4431
BBY,Best Buy Co.  Inc.,Consumer Cyclical,-0.04404,112.0,88.7624
LPX,Louisiana-Pacific Corporation,Industrials,-0.2395,55.32,84.2703
CI,Cigna Corporation,Healthcare,-0.01394,234.91,80.3403
BABA,Alibaba Group Holding Limited,Consumer Cyclical,-0.18444,214.76,79.2415
MHO,M/I Homes  Inc.,Consumer Cyclical,-0.13433,56.18,73.7145
NUE,Nucor Corporation,Basic Materials,-0.0727,95.42,70.7932
CIG,Comp En De Mn Cemig,Utilities,-0.04668,2.31,69.8692
ABEV,Ambev S.A.,Consumer Defensive,-0.03894,3.4,69.3291
INTC,Intel Corporation,Technology,-0.07431,55.81,69.1487
PGR,Progressive Corporation (The),Financial Services,-0.03003,94.95,66.3948
VEDL,Vedanta Limited,Basic Materials,0.22647,14.44,64.2496
CDK,CDK Global  Inc.,Technology,-0.24656,48.97,63.9188
MTH,Meritage Homes Corporation,Consumer Cyclical,-0.15365,89.65,60.0737
CCS,Century Communities  Inc.,Consumer Cyclical,-0.14299,60.06,58.9448
MKSI,MKS Instruments  Inc.,Technology,-0.09703,161.82,58.4255
SBSW,D/B/A Sibanye-Stillwater Limite,Basic Materials,0.37578,16.98,57.5592
RS,Reliance Steel & Aluminum Co.,Basic Materials,-0.05339,151.01,57.1962
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,-0.12626,47.8,57.1117
LOGI,Logitech International S.A. - R,Technology,-0.09181,119.52,57.0583
