"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
GRVY,"GRAVITY Co., Ltd.",Communication Services,South Korea,1e-06,314306959.301333,42863638.669867,94316259.688533,353991034.312,54677092.736,419113855.16,54677092.736,419113855.16,353991034.312,314306959.301333,42863638.669867,353991034.312,54677092.736,54677092.736,353991034.312,-0.432,1.960071,12.377587,12.377587,12.377587,0.001709,12.377587,-1.938,12.689915,-179011269.349845,0,69248287866.66667,0,0.15446,4.619477,34.804688,0.376932,2.5,2.779462,0.09078,0,8.067,99.42,0.081141,0.003922,6948900,62703087616,9023.455168,279,693847680,693847680,224742249.519713,48.72,0.291551,0.598139,0.291551,0.598139,0.291551,36.689535,60.821887,0.291551,5.649543,0.33736,0.33736,44322090.178133,11080522.544533,15.65467,62.618679,62.618679,0.681515,0.515347,0.515347,0.718877,KRW,USD,0.000872,1.0,0,0,0,0,99.42,56.92,239.9,136.48059,-27.154477,74.666198,-58.557732,0.464532,0.465532,2.735987,2.950304,0.162741,0.11259,4.899223,2.609456,2.675339,2.899452,2.960304,0.12259,2.619456,2.909452,2.934878,191079091.7536,218383502.344533,218383502.344533,0.270372,125909840800.0,150378130666.66666,150378130666.66666,70339061.7152,74068657.570133,74068657.570133,28.871079,None
QFIN,"360 DigiTech, Inc.",Financial Services,China,4.9e-05,1592922248.613333,416334206.527667,417757627.3498,2154093673.708,718115917.759,2196596609.396,718115917.759,2196596609.396,2154093673.708,1592922248.613333,416334206.527667,2154093673.708,718115917.759,718115917.759,2154093673.708,0.06,0.06,6.403376,5.040886,6.233065,0.322554,12.466129,0.084,0.126,4971393523.809524,0,5605077666.666667,2522284950,0.33337,4.015133,15.46875,1.565262,4.375,2.799204,0.58833,5.87,4.621,30.22,0.152912,0.414066,152396000,4660639232,30.582425,1643,835194112,4509397504,2836664.17042,6.347,1.239086,1.431687,1.239086,1.431687,1.239086,5.118172,22.873377,1.239086,11.381422,1.21783,1.21783,564532630.2052,1080445555.552,1.479443,0.773009,0.773009,1.626496,1.61071,1.61071,1.270138,CNY,USD,0.154081,1.0,0,0,0,0,4.564366,9.67,45,26.56365,13.764486,212.512927,-15.704444,1.163317,2.478501,1.709805,1.634818,0.666228,0.580327,1.154533,1.241227,1.833038,1.7136,1.644818,0.590327,1.251227,1.7236,1.684209,3023271292.095467,3935076918.854667,3935076918.854667,0.202491,7788420600.0,9524659266.666666,9524659266.666666,1848946227.384733,2409188420.7846,2409188420.7846,3.08635,None
APT,"Alpha Pro Tech, Ltd.",Industrials,Canada,0.000129,76368866.666667,15904733.333333,46024733.333333,102700000.0,27087000.0,193217000.0,27087000.0,193217000.0,102700000.0,76368866.666667,15904733.333333,102700000.0,27087000.0,27087000.0,102700000.0,0.982,0.982,4.015464,6.715517,4.352971,1.024025,4.352971,3.123,3.122898,32309895.613192,32312000.0,19060533.333333,32312000.0,0.26374,0.968389,5.625,0.651178,2.5,0.787093,0.43864,1.16,1.94,7.09,0.273625,1.74195,13500300,27086000,2.006326,115,100897232,105167336,235530.434783,21.143,0.694852,4.592371,0.694852,4.592371,0.694852,17.005343,41.487535,0.694852,8.585779,0.54,0.54,11106933.333333,18274000.0,9.084167,5.521354,5.521354,0.13157,0.187028,0.187028,0.433467,USD,USD,1.0,1.0,0,0,0,0,7.09,6.97,25.55,10.685548,-33.6487,1.721664,-72.250489,0.012917,0.013917,9.29495,6.773578,0.03163,0.126519,0.0,0.0,10.537842,7.606319,6.783578,0.136519,0.01,7.616319,7.199949,53694266.666667,65567266.666667,65567266.666667,0.433118,37594200.0,45333733.333333,45333733.333333,6442333.333333,10031933.333333,10031933.333333,3.7997,None
ONEW,OneWater Marine Inc.,Consumer Cyclical,United States,0.000957,856756600.0,18665866.666667,16757000.0,1223003000.0,44603000.0,101713000.0,44603000.0,101713000.0,1223003000.0,856756600.0,18665866.666667,1223003000.0,44603000.0,44603000.0,1223003000.0,0.616,0.616,0.167658,0.167658,0.167658,0.519908,0.167658,5.619,5.620089,134006947.232604,133955000.0,71505266.666667,133955000.0,0.03647,0.04723,2.25,0.115369,2.5,0.094629,0.80662,0,252.18,42.61,5.918329,0.101503,10968200,44603000,4.066574,1169,753276928,635848896,38154.833191,17.871,0.345317,8.693738,0.345317,8.693738,0.345317,15.576685,39.717309,0.345317,6.126366,0.010763,0.010763,111662000.0,290138000.0,6.746045,2.596271,2.596271,7.125588,2.758959,2.758959,1.662011,USD,USD,1.0,1.0,0,0,0,0,42.61,18.01,56.775,41.229343,3.348724,136.590783,-24.949362,1.269186,4.179765,1.502405,1.522994,0.131249,0.134626,0.416214,0.690173,1.277066,1.176686,1.532994,0.144626,0.700173,1.186686,1.35984,446174856.533333,580714066.666667,580714066.666667,0.096807,54494836.4,43396866.666667,43396866.666667,300571168.066667,382000466.666667,382000466.666667,2.049671,None
HMY,Harmony Gold Mining Company Lim,Basic Materials,South Africa,0.001319,1871552333.2,-121211465.866667,-792353151.2,2469015548.0,249652975.0,-2706866746.0,249652975.0,-2706866746.0,2469015548.0,1871552333.2,-121211465.866667,2469015548.0,249652975.0,249652975.0,2469015548.0,0.084,0.084,9.140271,8.244898,9.028349,0.069691,9.028349,0.392,0.392058,7613242367.346939,7611000000.0,4544000000.0,7611000000.0,0.10111,-0.069767,0.0,0.182275,1.0,0.133079,0.30421,0.49,0.442,4.17,0.105995,0.078152,609897984,3575000064,5.861636,33093,2985270016,2463987712,108028.890218,3.343,0.146804,1.186932,0.146804,1.186932,0.146804,2.803983,16.995098,0.146804,4.081498,3.21983,3.21983,316911465.066667,542532577.0,9.419886,5.502471,5.502471,0.749093,0.698541,0.698541,0.836788,ZAR,USD,0.069833,1.0,0,0,0,0,4.17,3.66,7.61,4.502117,-7.376901,13.934426,-45.203679,0.258228,0.259228,2.454781,2.461097,1.554529,0.291918,0.727589,0.735743,1.318576,1.30559,2.471097,0.301918,0.745743,1.31559,1.893343,2897627224.333334,3472599557.6,3472599557.6,0.091892,1845000000.0,2108400000.0,2108400000.0,1233222846.8,1413769085.0,1413769085.0,2.937489,None
FKWL,Franklin Wireless Corp.,Technology,United States,0.006315,57010078.266667,2399299.6,15832492.533333,210539968.0,21443018.0,110525091.0,21443018.0,110525091.0,210539968.0,57010078.266667,2399299.6,210539968.0,21443018.0,21443018.0,210539968.0,0.222,0.222,4.171941,14.924529,5.516015,0.435448,1.838672,1.637,1.628415,28795562.757178,29097591.0,3671533.533333,29097591.0,0.10185,0.022022,1.0,0.240941,2.5,0.179927,0.26752,0.53,1.896,8.3,0.228434,2.051348,11590300,21443018,1.850083,71,46643916,91679272,302014.338028,2.985,0.611304,0.611342,0.611304,0.611342,0.611304,2.391586,15.714752,0.611304,8.068596,2.306426,2.306426,11773717.8,40586575.0,3.961698,1.149245,1.149245,1.382089,1.164762,1.164762,1.080241,USD,USD,1.0,1.0,0,0,0,0,8.3,7,28.14,15.489635,-46.415781,18.571429,-70.50462,0.12299,0.12399,2.319511,2.062036,0.23542,0.02507,0.0,0.0,2.037829,2.005574,2.072036,0.03507,0.01,2.015574,2.043805,46033264.066667,86293769.266667,86293769.266667,0.268489,15685978.8,38809737.266667,38809737.266667,27142467.266667,44546473.466667,44546473.466667,2.666202,None
CEPU,Central Puerto S.A.,Utilities,Argentina,0.007404,384888886.8836,112710447.591133,518344603.1632,414977830.949,68158128.907,2356869021.562,68158128.907,2356869021.562,414977830.949,384888886.8836,112710447.591133,414977830.949,68158128.907,68158128.907,414977830.949,1.057,1.057,5.488372,1.605442,5.003006,0.017565,5.003006,1.674,1.640877,24236082433.094383,25195189000.0,21222703800.0,25195189000.0,0.16811,0.905309,2.5,0.280512,2.5,0.631482,0.03188,1.47,0.43,2.43,0.176955,0.003702,150516992,6195338240,41.160391,10000000,38965657600,647310208,619.533824,-0.524,0.407459,0.183154,0.407459,0.183154,0.407459,-0.347211,0.215279,0.407459,6.633252,0.06,0.06,162934854.720733,206484628.13,239.148693,188.709726,188.709726,0.909163,0.834855,0.834855,0.914704,ARS,USD,0.010417,1.0,0,0,0,0,2.43,1.9,3.05,2.311168,5.141643,27.894737,-20.327869,0.921739,0.922739,2.120565,2.203869,0.540504,0.841267,2.115269,2.055525,1.317631,1.325808,2.213869,0.851267,2.065525,1.335808,1.774839,1475430880.332933,1683371950.206466,1683371950.206466,0.060489,8207159600.0,8941787200.0,8941787200.0,700027175.847267,762856887.7226,762856887.7226,7.523376,None
SBSW,D/B/A Sibanye-Stillwater Limite,Basic Materials,South Africa,0.008318,6788071140.773334,1048924248.733333,-18171477.706667,8896193469.2,2046937912.7,968080912.4,2046937912.7,968080912.4,8896193469.2,6788071140.773334,1048924248.733333,8896193469.2,2046937912.7,2046937912.7,8896193469.2,0.099,0.099,5.813031,5.813031,5.813031,0.093404,5.813031,0.261,0.260873,48451395793.10345,48498700000.0,31230686666.666668,48498700000.0,0.23009,1.530291,13.921875,0.635956,2.5,1.099024,0.10087,0,0,16.98,0.0,1000.0,738145984,29311899648,39.710166,66275,12633467904,11898913792,442276.871339,61.901,0.567159,269.545762,0.567159,269.545762,0.567159,113.81219,106.932796,0.567159,7.780993,0.051076,0.051076,1381177092.793334,2014521434.1,9.146885,6.271201,6.271201,1.60439,1.072999,1.072999,1.036857,ZAR,USD,0.069833,1.0,0,0,0,0,16.98,10.19,20.68,17.938906,-5.345398,66.633955,-17.891683,1.294566,4.707016,1.799218,2.016544,0.0,0.0,0.220746,0.244251,2.313626,2.782792,2.026544,0.01,0.254251,2.792792,2.409668,8021622668.226667,9170951407.7,9170951407.7,0.243198,22005580000.0,31112220000.0,31112220000.0,4466060575.52,4577536390.08,4577536390.08,4.917601,None
PKX,POSCO,Basic Materials,South Korea,0.008427,52925773282.10294,1530584290.048757,39571404435.98408,51723295485.03313,1945859841.31512,159949646165.3957,1945859841.31512,159949646165.3957,51723295485.03313,52925773282.10294,1530584290.048757,51723295485.03313,1945859841.31512,1945859841.31512,51723295485.03313,0.15,0.15,16.282871,10.15534,15.51693,0.000372,15.51693,1.301,1.300843,6833053634372.367,6834699106900.0,6807866655376.0,6834699106900.0,0.03762,0.072309,2.5,1.528149,30.078125,0.909262,0.04113,7.21,4.49675,75.24,0.059765,0.000502,302502016,2224820584448,7354.729776,10000000,8887662018560,22063894528,222482.058445,1.592,-0.050868,-0.104414,-0.050868,-0.104414,-0.050868,1.167896,11.056926,-0.050868,0.244913,13.286221,13.286221,6444154226.499104,6567278514.3128,1379.182078,1353.324973,1353.324973,0.710294,0.739786,0.739786,0.861108,KRW,USD,0.000872,1.0,0,0,0,0,75.24,38.26,92.19,71.69817,4.939917,96.654469,-18.385942,1.371407,6.652715,2.51536,2.463439,0.20839,0.180935,2.382278,2.10196,2.047006,2.129412,2.473439,0.190935,2.11196,2.139412,2.306426,68856138269.15997,71226305474.4116,71226305474.4116,0.047319,17792259332732.0,20242030956814.0,20242030956814.0,27374594037.920143,28928720032.175434,28928720032.175434,25.728255,None
LAKE,"Lakeland Industries, Inc.",Consumer Cyclical,United States,0.008497,133149666.666667,19822000.0,35550733.333333,147510000.0,31113000.0,190387000.0,31113000.0,190387000.0,147510000.0,133149666.666667,19822000.0,147510000.0,31113000.0,31113000.0,147510000.0,0.82,0.82,5.998425,11.487437,6.684552,1.244893,6.684552,3.097,3.093167,39135117.85599,39232000.0,27662666.666667,39232000.0,0.21092,4.45994,34.804688,0.442442,2.5,2.71508,0.70113,1.99,3.811,23.03,0.16548,1.441635,8032990,31113000,3.873153,2000,120901416,183634160,15556.5,-0.462,0.301221,6.23038,0.301221,6.23038,0.301221,1.211095,11.254976,0.301221,5.738356,0.75,0.75,22927066.666667,38731000.0,5.273305,3.121567,3.121567,0.146618,0.14452,0.14452,0.381158,USD,USD,1.0,1.0,0,0,0,0,23.03,17.88,47.95,27.924963,-17.528987,28.803132,-51.970803,0.342534,0.343534,7.872627,7.96264,2.266623,1.707211,0.0,0.0,7.39237,7.624007,7.97264,1.717211,0.01,7.634007,7.803323,120066466.666667,140414533.333333,140414533.333333,0.24158,88638466.666667,107886733.333333,107886733.333333,15209933.333333,17660466.666667,17660466.666667,3.321049,None
