"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
ONEW,OneWater Marine Inc.,Consumer Cyclical,United States,0.0109095,856756600.0,18665866.6666667,16757000.0,1223003000.0,44603000.0,101713000.0,44603000.0,101713000.0,1223003000.0,856756600.0,18665866.6666667,1223003000.0,44603000.0,44603000.0,1223003000.0,0.649,0.649,0.1862955,0.1862955,0.1862955,0.5777028,0.1862955,5.919,5.9202133,134009941.9665484,133955000.0,71505266.6666667,133955000.0,0.03647,0.0484377,2.25,0.1153686,2.5,0.0949743,0.75741,0.19106,0,252.18,46.21,5.4572603,0.112786,10968200,44603000,4.0665743,1169,793530048,706532224,38154.8331908,17.871,0.3453168,8.6937384,0.3453168,8.6937384,0.3453168,15.5766846,39.7173088,0.3453168,6.1263659,0.0119599,0.0119599,111662000.0,290138000.0,7.1065362,2.735009,2.735009,7.1255883,2.7589587,2.7589587,1.6620114,USD,USD,1.0,1.0,1.8,0,0,0,46.21,18.01,56.775,42.15507,9.6190802,156.579678,-18.6085425,1.4549207,9.4849685,1.5024046,1.5229942,0.1312489,0.1346262,0.4162141,0.6901733,1.277066,1.1766865,1.5329942,0.1446262,0.7001733,1.1866865,1.3598403,446174856.5333334,580714066.6666666,580714066.6666666,0.1768072,54494836.4,43396866.6666667,43396866.6666667,300571168.0666667,382000466.6666667,382000466.6666667,2.0765812,None
FKWL,Franklin Wireless Corp.,Technology,United States,0.0299328,57010078.2666667,2399299.6,15832492.5333333,210539968.0,21443018.0,110525091.0,21443018.0,110525091.0,210539968.0,57010078.2666667,2399299.6,210539968.0,21443018.0,21443018.0,210539968.0,0.222,0.222,4.7204638,16.886793,6.241255,0.4927007,2.0804183,1.637,1.628415,28795562.7571778,29097591.0,3671533.5333333,29097591.0,0.10185,0.04602,1.0,0.2409411,2.5,0.1833549,0.26752,0.21645,0.53,1.896,8.95,0.2118436,2.321058,11590300,21443018,1.8500831,71,46643916,103733184,302014.3380282,2.985,0.6113045,0.6113421,0.6113045,0.6113421,0.6113045,2.3915855,15.7147519,0.6113045,8.0685962,2.6096725,2.6096725,11773717.8,40586575.0,3.9616981,1.1492449,1.1492449,1.3820888,1.1647621,1.1647621,1.0802414,USD,USD,1.0,1.0,0,0,0,0,8.95,7.91,28.14,14.513841,-38.3347248,13.147914,-68.1947406,0.1028176,0.1038176,2.3195111,2.0620358,0.2354204,0.0250702,0.0,0.0,2.0378287,2.0055739,2.0720358,0.0350702,0.01,2.0155739,2.0438049,46033264.0666667,86293769.2666667,86293769.2666667,0.3484886,15685978.8,38809737.2666667,38809737.2666667,27142467.2666667,44546473.4666667,44546473.4666667,2.696477,None
HAPP,Happiness Biotech Group Limited,Healthcare,China,0.0343204,63481805.8666667,15059207.0666667,57855825.2,55581642.0,7449042.0,280367806.0,7449042.0,280367806.0,55581642.0,63481805.8666667,15059207.0666667,55581642.0,7449042.0,7449042.0,55581642.0,0.015,0.015,1.8193226,1.8193226,1.8193226,0.6756728,1.8193226,0.082,0.0819546,9994229.3658537,10005288.0,18465985.8,10005288.0,0.13402,1.2294036,5.625,0.3543734,2.5,0.8329116,0.04266,0.5106,0,0.797,1.45,0.5496552,0.5034722,25900000,7449041,0.2876078,151,818620,37555000,49331.397351,-0.622,0.0443136,-0.1347731,0.0443136,-0.1347731,0.0443136,-0.5001933,0.1999807,0.0443136,2.3550798,-3.6372392,27493.3801277,9972364.3333333,10472958.0,0.0820889,0.0781651,0.0781651,0.1363154,0.0675516,0.0675516,0.2609069,USD,USD,1.0,1.0,0.015,0,0,0,1.45,1.37,2.59,1.8385797,-21.1347759,5.8394161,-44.015444,0.1311475,0.1321475,12.8744748,15.8115202,2.5044064,3.4112431,0.0,0.0,10.6262124,12.7951261,15.8215202,3.4212431,0.01,12.8051261,14.3133231,72787757.8,91870909.8,91870909.8,0.1810816,53344383.2666667,68520525.0,68520525.0,6601167.5333333,5808662.4,5808662.4,3.1639626,None
APT,"Alpha Pro Tech, Ltd.",Industrials,Canada,0.0860005,76368866.6666667,15904733.3333333,46024733.3333333,102700000.0,27087000.0,193217000.0,27087000.0,193217000.0,102700000.0,76368866.6666667,15904733.3333333,102700000.0,27087000.0,27087000.0,102700000.0,0.982,0.982,6.1907215,10.353449,6.7110624,1.5787596,6.7110624,3.123,3.1228983,32309895.6131924,32312000.0,19060533.3333333,32312000.0,0.26374,1.2096207,5.625,0.6511783,2.5,0.9249399,0.43864,0.09768,1.16,1.94,10.41,0.1863593,2.6855993,13500300,27086000,2.0063258,115,100897232,162138608,235530.4347826,21.143,0.6948521,4.5923708,0.6948521,4.5923708,0.6948521,17.0053427,41.4875347,0.6948521,8.5857791,0.54,0.54,11106933.3333333,18274000.0,9.0841665,5.5213545,5.5213545,0.13157,0.1870281,0.1870281,0.4334674,USD,USD,1.0,1.0,0,0,0,0,10.41,6.97,24.98,10.541739,-1.2496894,49.3543759,-58.3266613,0.38201,0.38301,9.2949497,6.773578,0.0316297,0.1265186,0.0,0.0,10.5378422,7.6063194,6.783578,0.1365186,0.01,7.6163194,7.1999487,53694266.6666667,65567266.6666667,65567266.6666667,0.5131177,37594200.0,45333733.3333333,45333733.3333333,6442333.3333333,10031933.3333333,10031933.3333333,4.2243483,None
SJ,Scienjoy Holding Corporation,Communication Services,China,0.1719332,1065857428.5714285,158710857.1428571,244073714.2857143,1370939000.0,209398000.0,1462426000.0,209398000.0,1462426000.0,1370939000.0,1065857428.5714285,158710857.1428571,1370939000.0,209398000.0,209398000.0,1370939000.0,-0.071,0.127911,0.8374397,0.8374397,0.8374397,0.127911,0.8374397,-0.447,0.8374397,-117767120.8053691,156766000.0,173168571.4285714,156766000.0,0.15274,0.0,0.0,0.0,0.0,0.09728,0.00874,0.92634,0,0,5.63,0.0,1000.0,30764600,209398000,6.8064594,249,175358208,175358208,840955.8232932,0.884,0.3011638,0.2512666,0.3011638,0.2512666,0.3011638,0.7258167,8.7694874,0.3011638,5.7378392,1.1537896,1.1537896,169546000.0,107549000.0,1.034281,1.6304959,1.6304959,1.3517506,0.9132694,0.9132694,0.9566513,USD,USD,1.0,1.0,0,0,0,0,5.63,5.24,18.5,8.258688,-31.8293656,7.4427481,-69.5675676,0.0588235,0.0598235,2.2456026,2.3143811,0.0836126,0.3344504,0.0940076,0.0788743,1.8598073,1.8398583,2.3243811,0.3444504,0.0888743,1.8498583,2.0871197,594227000.0,800967466.6666666,800967466.6666666,0.3614313,162594000.0,217042200.0,217042200.0,273648714.2857143,345145533.3333333,345145533.3333333,2.1006113,None
QIWI,QIWI plc,Technology,Cyprus,0.1920559,489495233.7,89498597.4,163165077.9,550391490.0,123055443.0,747215982.0,123055443.0,747215982.0,550391490.0,489495233.7,89498597.4,550391490.0,123055443.0,123055443.0,550391490.0,-0.753,1.1622138,5.0470066,6.071429,5.1750594,0.0158131,1.7250198,-2.079,5.1982469,7188158591.630591,14684000000.0,13337266666.666666,14684000000.0,0.22738,3.0419053,15.46875,0.5507437,2.5,1.9380698,3.4589498,0.07232,1.68,2.021,10.29,0.1964043,0.019761,62713000,10416000000,166.0899654,2865,639672576,639672576,3635602.0942408,0.224,0.1951602,0.5952709,0.1951602,0.5952709,0.1951602,0.3168177,5.8786564,0.1951602,4.6676943,1426.88,1426.88,120069361.8,182870716.5,5.3275254,3.4979497,3.4979497,1.7158567,1.306831,1.306831,1.1441671,RUB,USD,0.0133785,1.0,0.22,0.31,0.34,0.33,10.29,9.69,20.84,10.706232,-3.8877543,6.1919505,-50.6238004,0.1076233,0.1086233,1.5955937,1.7876992,0.2069672,0.1770794,0.5689474,0.4546873,1.3641989,1.5896851,1.7976992,0.1870794,0.4646873,1.5996851,1.6986922,1055593082.7,978811195.5,978811195.5,0.2257193,16162066666.666666,19834933333.333332,19834933333.333332,666284976.0,553398976.8,553398976.8,7.1327545,None
FFHL,"Fuwei Films (Holdings) Co., Ltd",Consumer Cyclical,China,0.2347996,51301407.8010667,1150315.8925333,-16673360.71344,51887479.804,3021370.4072,-57230693.7864,3021370.4072,-57230693.7864,51887479.804,51301407.8010667,1150315.8925333,51887479.804,3021370.4072,3021370.4072,51887479.804,0.157,0.157,11.505376,11.505376,11.505376,0.1037683,11.505376,0.524,0.5239685,100793877.8625954,100806000.0,75521666.6666667,100806000.0,0.05823,0.6296639,13.921875,-0.0533552,0.0,0.3788229,0.09271,0.6545,0,0.93,10,0.093,0.1533962,3265840,19610000,6.0045808,208,52809640,34944488,94278.8461538,0.8539901,0.0247701,0.8539901,0.0247701,0.8539901,0.0247701,0.8539901,9.4911585,0.0247701,1.8238529,13.4724935,13.4724935,12525135.78352,18110040.9088,4.2162928,2.916042,2.916042,1.1042929,0.9260217,0.9260217,0.9633002,CNY,USD,0.1540808,1.0,0,0,0,0,10,3.43,17.12,9.968261,0.3184006,191.5451895,-41.588785,0.9598247,0.9608247,1.9245568,2.0897307,4.397119,2.6336637,8.7587804,8.8508098,1.0155686,1.1229688,2.0997307,2.6436637,8.8608098,1.1329688,1.6163497,70424951.1240533,69301609.6435733,69301609.6435733,0.1435974,-7364866.6666667,26720866.6666667,26720866.6666667,36836374.20144,33259563.0543467,33259563.0543467,2.3420615,None
YY,JOYY Inc.,Communication Services,China,0.2941431,9603902666.666666,6411047933.333333,14533700533.333334,9136531000.0,9184798000.0,60215624000.0,9184798000.0,60215624000.0,9136531000.0,9603902666.666666,6411047933.333333,9136531000.0,9184798000.0,9184798000.0,9136531000.0,0.737,0.737,2.8840446,18.754387,4.8678374,1.801522,4.8678374,-9.63,0.1862198,-88805349.9480789,0,-1392130333.3333333,0,0.58588,1.8611371,2.5,0.1135958,1.0,1.2571292,0.89441,0.01438,2.85,18.533,54.48,0.3401799,0.1050239,78205400,-46687088,-0.5969804,7931,1710391040,4180078592,-5886.6584289,1.3069323,2.3711186,1.3069323,2.3711186,1.3069323,2.3711186,1.3069323,11.6821139,2.3711186,15.6484369,414.13,414.13,3891179466.6666665,972794866.6666666,0.4395559,1.7582238,1.7582238,0.3249541,0.4806732,0.4806732,0.694306,USD,USD,1.0,1.0,0.51,0.51,0.51,0.31,54.48,52.64,148.88,91.35072,-40.361718,3.4954407,-63.4067706,0.0382377,0.0392377,4.3778637,3.4211864,0.9706876,2.3318501,0.7601016,0.3563566,3.9946988,3.0345044,3.4311864,2.3418501,0.3663566,3.0445044,3.2378454,46492206200.0,30001648600.0,30001648600.0,0.4061431,18084670466.666668,10375230800.0,10375230800.0,10964961866.666666,7646843400.0,7646843400.0,1.9615416,None
LAKE,"Lakeland Industries, Inc.",Consumer Cyclical,United States,0.3832661,133149666.6666667,19822000.0,35550733.3333333,147510000.0,31113000.0,190387000.0,31113000.0,190387000.0,147510000.0,133149666.6666667,19822000.0,147510000.0,31113000.0,31113000.0,147510000.0,0.82,0.82,7.0742583,13.547738,7.8834433,1.4681677,7.8834433,3.097,3.0931666,39135117.8559897,39232000.0,27662666.6666667,39232000.0,0.21092,6.0114571,34.8046875,0.4424422,2.5,3.6016618,0.70113,0.03026,1.99,3.811,25.83,0.1475416,1.7001954,8032990,31113000,3.8731531,2000,120901416,216569408,15556.5,-0.462,0.3012205,6.2303795,0.3012205,6.2303795,0.3012205,1.2110949,11.2549756,0.3012205,5.7383563,0.75,0.75,22927066.6666667,38731000.0,5.273305,3.1215671,3.1215671,0.1466175,0.1445198,0.1445198,0.3811576,USD,USD,1.0,1.0,0,0,0,0,25.83,17.88,47.95,27.608044,-6.4403114,44.4630872,-46.1313869,0.5287662,0.5297662,7.8726266,7.96264,2.2666232,1.7072113,0.0,0.0,7.39237,7.6240065,7.97264,1.7172113,0.01,7.6340065,7.8033233,120066466.6666667,140414533.3333333,140414533.3333333,0.3215796,88638466.6666667,107886733.3333333,107886733.3333333,15209933.3333333,17660466.6666667,17660466.6666667,3.4854429,None
ESGR,Enstar Group Limited,Financial Services,Bermuda,0.860189,2160909200.0,1186914933.3333333,3654403600.0,3171856000.0,2455062000.0,16485203000.0,2455062000.0,16485203000.0,3171856000.0,2160909200.0,1186914933.3333333,3171856000.0,2455062000.0,2455062000.0,3171856000.0,0.24,0.24,2.326078,17.134666,4.1771515,1.7986463,8.354303,0.329,0.3304472,2293949142.8571424,2273768000.0,1148514800.0,2273768000.0,0.77401,0.5695176,1.0,4.7095193,4.375,3.0036593,0.83081,0.09973,15,110.495,259.91,0.4251279,0.8332226,18597600,2401041920,129.104934,1189,761348864,5705047040,2019379.2430614,0.640498,0.762363,0.640498,0.762363,0.640498,0.762363,0.640498,8.253112,0.762363,8.9813402,2.13,2.13,1969526200.0,4222602000.0,0.3865645,0.1803032,0.1803032,2.610134,2.366475,2.366475,1.5393352,USD,USD,1.0,1.0,3.0,0,0,0,259.91,148.56,269.12,240.91805,7.8831578,74.952881,-3.4222652,1.847213,39.7284724,1.4270108,1.4509438,4.8865913,439.1283879,0.2394077,0.2654605,9.6056364,8.7446774,1.4609438,439.1383879,0.2754605,8.7546774,5.1078106,19946775333.333332,21860170866.666668,21860170866.666668,0.2123075,9999926666.666666,8701452400.0,8701452400.0,13948194933.333334,15074117600.0,15074117600.0,1.12595,None
