"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
YY,JOYY Inc.,Communication Services,Singapore,0.0001816,9603902666.666666,6411047933.333333,14533700533.333334,9136531000.0,9184798000.0,60215624000.0,9184798000.0,60215624000.0,9136531000.0,9603902666.666666,6411047933.333333,9136531000.0,9184798000.0,9184798000.0,9136531000.0,0.066,0.066,2.4388926,15.85965,4.1164873,1.5234574,4.1164873,-0.868,0.0167893,-88828571.4285714,0,-1392130333.3333333,0,0.58588,1.8611371,2.5,0.1135958,1.0,1.2571292,0.87287,0.01438,2.85,18.533,46.35,0.399849,0.0888134,78205400,-46687088,-0.5969804,7931,154206400,3534884096,-5886.6584289,1.3069323,2.3711186,1.3069323,2.3711186,1.3069323,2.3711186,1.3069323,11.6821139,2.3711186,15.6484369,414.13,414.13,3891179466.6666665,972794866.6666666,0.0396297,0.1585189,0.1585189,0.3249541,0.4806732,0.4806732,0.694306,USD,USD,1.0,1.0,0.51,0.51,0.51,0.31,46.35,44.95,148.88,88.36144,-47.5449925,3.1145717,-68.8675443,0.0269412,0.0279412,4.3778637,3.4211864,0.9706876,2.3318501,0.7601016,0.3563566,3.9946988,3.0345044,3.4311864,2.3418501,0.3663566,3.0445044,3.2378454,46492206200.0,30001648600.0,30001648600.0,33693254600.0,22340113533.333332,22340113533.333332,0.4061431,0.5111348,18084670466.666668,10375230800.0,10375230800.0,10964961866.666666,7646843400.0,7646843400.0,1.948594,None
HAPP,Happiness Biotech Group Limited,Healthcare,China,0.012702,63481805.8666667,15059207.0666667,57855825.2,55581642.0,7449042.0,280367806.0,7449042.0,280367806.0,55581642.0,63481805.8666667,15059207.0666667,55581642.0,7449042.0,7449042.0,55581642.0,0.015,0.015,1.4052697,1.4052697,1.4052697,0.521899,1.4052697,0.082,0.0819546,9994229.3658537,10005288.0,18465985.8,10005288.0,0.13402,1.2294036,5.625,0.3543734,2.5,0.8329116,0.04266,0.5106,0,0.797,1.12,0.7116071,0.3888889,25900000,7449041,0.2876078,151,818620,29008000,49331.397351,-0.622,0.0443136,-0.1347731,0.0443136,-0.1347731,0.0443136,-0.5001933,0.1999807,0.0443136,2.3550798,-2.8094534,35594.1125157,9972364.3333333,10472958.0,0.0820889,0.0781651,0.0781651,0.1363154,0.0675516,0.0675516,0.2609069,USD,USD,1.0,1.0,0.015,0,0,0,1.12,1.11,2.58,1.7867194,-37.315283,0.9009009,-56.5891473,0.0136054,0.0146054,12.8744748,15.8115202,2.5044064,3.4112431,0.0,0.0,10.6262124,12.7951261,15.8215202,3.4212431,0.01,12.8051261,14.3133231,72787757.8,91870909.8,91870909.8,66186590.2666667,86027725.8,86027725.8,0.1810816,0.1865889,53344383.2666667,68520525.0,68520525.0,6601167.5333333,5808662.4,5808662.4,3.0212258,None
ONEW,OneWater Marine Inc.,Consumer Cyclical,United States,0.0168581,856756600.0,18665866.6666667,16757000.0,1223003000.0,44603000.0,101713000.0,44603000.0,101713000.0,1223003000.0,856756600.0,18665866.6666667,1223003000.0,44603000.0,44603000.0,1223003000.0,0.649,0.649,0.1726148,0.1726148,0.1726148,0.5352789,0.1726148,5.919,5.9202133,134009941.9665484,133955000.0,71505266.6666667,133955000.0,0.03647,0.0484377,2.25,0.1153686,2.5,0.0949743,0.75741,0.19106,0,252.18,45.51,5.5411997,0.1045035,10968200,44603000,4.0665743,1169,793530048,654647680,38154.8331908,17.871,0.3453168,8.6937384,0.3453168,8.6937384,0.3453168,15.5766846,39.7173088,0.3453168,6.1263659,0.0110816,0.0110816,111662000.0,290138000.0,7.1065362,2.735009,2.735009,7.1255883,2.7589587,2.7589587,1.6620114,USD,USD,1.0,1.0,1.8,0,0,0,45.51,18.01,56.775,42.883236,6.1253866,152.6929484,-19.8414795,1.4188056,8.1571304,1.5024046,1.5229942,0.1312489,0.1346262,0.4162141,0.6901733,1.277066,1.1766865,1.5329942,0.1446262,0.7001733,1.1866865,1.3598403,446174856.5333334,580714066.6666666,580714066.6666666,77876582.5333333,141985933.3333333,141985933.3333333,0.1768072,0.4141368,54494836.4,43396866.6666667,43396866.6666667,300571168.0666667,382000466.6666667,382000466.6666667,2.0568654,None
QIWI,QIWI plc,Technology,Cyprus,0.0992057,489495233.7,89498597.4,163165077.9,550391490.0,123055443.0,747215982.0,123055443.0,747215982.0,550391490.0,489495233.7,89498597.4,550391490.0,123055443.0,123055443.0,550391490.0,-0.753,1.1268917,4.8936176,5.886905,5.0177785,0.0153325,1.6725928,-2.079,5.0402615,7192834147.186148,14684000000.0,13337266666.666666,14684000000.0,0.22738,3.0419053,15.46875,0.5507437,2.5,1.9380698,3.4589498,0.07232,1.68,2.021,9.82,0.2058045,0.0191604,62713000,10416000000,166.0899654,2865,620231616,620231616,3635602.0942408,0.224,0.1951602,0.5952709,0.1951602,0.5952709,0.1951602,0.3168177,5.8786564,0.1951602,4.6676943,1426.88,1426.88,120069361.8,182870716.5,5.165611,3.3916399,3.3916399,1.7158567,1.306831,1.306831,1.1441671,RUB,USD,0.0133785,1.0,0.22,0.31,0.34,0.33,9.82,9.68,20.73,10.666906,-7.9395656,1.446281,-52.62904,0.0253394,0.0263394,1.5955937,1.7876992,0.2069672,0.1770794,0.5689474,0.4546873,1.3641989,1.5896851,1.7976992,0.1870794,0.4646873,1.5996851,1.6986922,1055593082.7,978811195.5,978811195.5,388233367.2,424186748.1,424186748.1,0.2257193,0.3900973,16162066666.666666,19834933333.333332,19834933333.333332,666284976.0,553398976.8,553398976.8,7.1323819,None
ESGR,Enstar Group Limited,Financial Services,Bermuda,1.6529822,2160909200.0,1186914933.3333333,3654403600.0,3171856000.0,2455062000.0,16485203000.0,2455062000.0,16485203000.0,3171856000.0,2160909200.0,1186914933.3333333,3171856000.0,2455062000.0,2455062000.0,3171856000.0,0.24,0.24,2.3054438,16.982668,4.1400968,1.7826909,8.2801937,0.329,0.3304472,2293949142.8571424,2273768000.0,1148514800.0,2273768000.0,0.77401,0.5695176,1.0,4.7095193,4.375,3.0036593,0.83081,0.09973,15,110.495,258.99,0.4266381,0.8258312,18597600,2401041920,129.104934,1189,761348864,5654438400,2019379.2430614,0.640498,0.762363,0.640498,0.762363,0.640498,0.762363,0.640498,8.253112,0.762363,8.9813402,2.13,2.13,1969526200.0,4222602000.0,0.3865645,0.1803032,0.1803032,2.610134,2.366475,2.366475,1.5393352,USD,USD,1.0,1.0,3.0,0,0,0,258.99,148.56,269.12,243.69165,6.277749,74.3336026,-3.7641201,1.8319509,37.7992316,1.4270108,1.4509438,4.8865913,439.1283879,0.2394077,0.2654605,9.6056364,8.7446774,1.4609438,439.1383879,0.2754605,8.7546774,5.1078106,19946775333.333332,21860170866.666668,21860170866.666668,5525466133.333333,6418668066.666667,6418668066.666667,0.2123075,0.4824878,9999926666.666666,8701452400.0,8701452400.0,13948194933.333334,15074117600.0,15074117600.0,1.1249428,None
SBSW,D/B/A Sibanye-Stillwater Limite,Basic Materials,South Africa,2.6848798,6788032259.034666,1048918240.5466666,-18171373.6213333,8896142512.24,2046926187.9399998,968075367.28,2046926187.9399998,968075367.28,8896142512.24,6788032259.034666,1048918240.5466666,8896142512.24,2046926187.9399998,2046926187.9399998,8896142512.24,0.099,0.099,5.9825518,5.9825518,5.9825518,0.0961269,5.9825518,0.261,0.2608726,48451395793.10345,48498700000.0,31230686666.666668,48498700000.0,0.23009,2.3659733,13.921875,0.6359561,2.5,1.5765565,0.10087,0.00218,0,0,16.6,0.0,1000.0,738145984,29311899648,39.7101661,66275,12633467904,12245841920,442276.8713391,61.901,0.5671586,269.5457618,0.5671586,269.5457618,0.5671586,113.8121905,106.9327964,0.5671586,7.7809933,0.0525651,0.0525651,1381169181.4786668,2014509895.0199997,9.1469373,6.2712365,6.2712365,1.6043899,1.0729989,1.0729989,1.0368566,ZAR,USD,0.0698326,1.0,0.861536,0.118795,0.162484,0.234174,16.6,10.26,20.68,17.951078,-7.5264449,61.7933723,-19.729207,1.2168906,3.2472013,1.7992182,2.0165441,0.0,0.0,0.2207465,0.2442509,2.3136261,2.782792,2.0265441,0.01,0.2542509,2.792792,2.4096681,8021576720.765333,9170898876.939999,9170898876.939999,3436136360.533333,4449079638.863999,4449079638.863999,0.323198,0.5600786,22005580000.0,31112220000.0,31112220000.0,4466034994.144,4577510170.176,4577510170.176,4.9222354,None
PAM,Pampa Energia S.A. Pampa Energi,Utilities,Argentina,6.2285492,6586666666.666667,738600000.0,2479475520.0,109591000000.0,9533000000.0,269548000000.0,9533000000.0,269548000000.0,109591000000.0,6586666666.666667,738600000.0,109591000000.0,9533000000.0,9533000000.0,109591000000.0,1.282,1.282,0.0969567,3.6725664,0.5439079,0.0084708,0.5439079,3.035,3.2688684,39942746028.336075,33787000000.0,1839333333.3333333,33787000000.0,-0.2876,-0.1517674,0.0,0.2603438,2.5,0.0743201,0.15293,0.05387,4.52,-5.4,16.24,-0.3325123,0.0070154,55680000,23291625472,418.3122391,10000000,139908923392,924288000,2329.1625472,3.067,-0.2738837,-0.1143837,-0.2738837,-0.1143837,-0.2738837,2.2716541,15.3220074,-0.2738837,0.2226116,0.46,0.46,1773800000.0,59113000000.0,78.8752528,2.3668047,2.3668047,2.1634887,2.0722745,2.0722745,1.4405397,USD,USD,1.0,1.0,0.075,0.088,0.079,0,16.24,9.33,17.95,14.916259,8.8744839,74.0621651,-9.5264624,1.6032483,16.9826189,1.5958206,1.6059105,0.9392119,1.1360843,0.4624345,0.5022886,1.5773178,1.579496,1.6159105,1.1460843,0.5122886,1.589496,1.6027033,19098006461.066666,325733400000.0,325733400000.0,5220463036.266666,99593200000.0,99593200000.0,0.1292663,0.1957194,2423103762.6666665,51512933333.333336,51512933333.333336,12321114562.666666,201888600000.0,201888600000.0,1.0460695,None
SENEB,Seneca Foods Corp.,Consumer Defensive,United States,6.5155748,1376418933.3333333,81410266.6666667,516597866.6666667,1467644000.0,126100000.0,2136006000.0,126100000.0,2136006000.0,1467644000.0,1376418933.3333333,81410266.6666667,1467644000.0,126100000.0,126100000.0,1467644000.0,0.388,0.388,3.9300036,3.9300036,3.9300036,0.3252372,3.9300036,3.086,3.09482,183584399.5463383,182535000.0,126321733.3333333,182535000.0,0.08592,1.0052621,13.921875,0.1920351,2.5,0.651577,0.07558,0.74199,0,13.715,50,0.2743,0.8464063,1705940,125584000,73.6157192,3000,569779904,477332480,41861.3333333,-0.301,0.0933587,3.2644129,0.0933587,3.2644129,0.0933587,0.5903532,7.9334447,0.0933587,3.3054656,6.6570376,6.6570376,143716866.6666667,183180000.0,3.9646001,3.1104919,3.1104919,0.8935428,0.7660908,0.7660908,0.8762662,USD,USD,1.0,1.0,0.1,0.1,0,0,50,34.73,61.96,50.44784,-0.8877288,43.9677512,-19.302776,1.1215571,1.9903449,2.3071401,2.4576562,1.9690964,2.125321,1.3888336,1.4770586,3.7963795,2.9477452,2.4676562,2.135321,1.4870586,2.9577452,2.7127007,909241933.3333334,915034733.3333334,915034733.3333334,495724000.0,527052200.0,527052200.0,0.237809,0.3392552,403825466.6666667,351339200.0,351339200.0,412841333.3333333,387311933.3333333,387311933.3333333,2.5950521,None
HMY,Harmony Gold Mining Company Lim,Basic Materials,South Africa,11.7018548,1871541613.04,-121210771.5733333,-792348612.6399999,2469001405.6,249651545.0,-2706851241.2,249651545.0,-2706851241.2,2469001405.6,1871541613.04,-121210771.5733333,2469001405.6,249651545.0,249651545.0,2469001405.6,0.084,0.084,8.076923,7.285714,7.9780219,0.0615832,7.9780219,0.392,0.3920577,7613242367.346939,7611000000.0,4544000000.0,7611000000.0,0.10111,-0.0509132,0.0,0.1822749,1.0,0.1357724,0.30421,1.23e-05,0.49,0.442,3.49,0.1266476,0.0690602,609897984,3575000064,5.8616361,33093,2985270016,2177335808,108028.8902185,3.343,0.1468037,1.186932,0.1468037,1.186932,0.1468037,2.803983,16.9950978,0.1468037,4.0814976,2.8452462,2.8452462,316909649.8133333,542529469.4,9.4199404,5.502503,5.502503,0.7490932,0.6985409,0.6985409,0.8367876,ZAR,USD,0.0698326,1.0,0.076997,0.027,0.038,0.037,3.49,3.46,6.71,4.415036,-20.9519469,0.867052,-47.9880775,0.0184615,0.0194615,2.4547807,2.4610966,1.5545292,0.2919183,0.7275891,0.7357434,1.3185762,1.3055901,2.4710966,0.3019183,0.7457434,1.3155901,1.8933433,2897610626.866667,3472579666.72,3472579666.72,1664245867.6933331,2056304706.12,2056304706.12,0.1718922,0.2214079,1845000000.0,2108400000.0,2108400000.0,1233215782.9599998,1413760987.0,1413760987.0,2.9167172,None
EDUC,Educational Development Corpora,Communication Services,United States,17.3552296,162582373.3333333,9476260.0,33907806.6666667,204635100.0,12624000.0,144109800.0,12624000.0,144109800.0,204635100.0,162582373.3333333,9476260.0,204635100.0,12624000.0,12624000.0,204635100.0,0.624,0.624,6.9133334,6.9133334,6.9133334,0.4231901,6.9133334,7.265,7.2737984,17545196.6620785,17502700.0,13548166.6666667,17502700.0,0.06169,0.147612,2.5,0.146648,2.5,0.145062,0.29454,0.26929,0,1.5,10.39,0.1443696,2.150114,8350970,12624000,1.5116807,214,127774592,86599560,58990.6542056,3.03,0.4580421,0.702335,0.4580421,0.702335,0.4580421,2.4480837,15.8963534,0.4580421,7.017881,2.8239775,2.8239775,6443033.3333333,7817700.0,19.8314343,16.344269,16.344269,1.3222734,1.4276737,1.4276737,1.195853,USD,USD,1.0,1.0,0.1,0.1,0.1,0.06,10.39,10.3,20,14.815468,-29.870592,0.8737864,-48.05,0.0185567,0.0195567,1.776479,1.7263959,0.0317135,0.0219608,2.3582702,2.7597633,1.7634611,1.5124667,1.7363959,0.0319608,2.7697633,1.5224667,1.6294313,77999046.6666667,93401473.3333333,93401473.3333333,34127513.3333333,38526813.3333333,38526813.3333333,0.2351585,0.4276679,19551666.6666667,20688446.6666667,20688446.6666667,43871533.3333333,54874660.0,54874660.0,2.4866776,None
