"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
AAMC,Altisource Asset Management Cor,Financial Services,United States,25304598252101.816,3119133.3333333,18626333.3333333,46276133.3333333,7168000.0,39821000.0,119099000.0,39821000.0,119099000.0,7168000.0,3119133.3333333,18626333.3333333,7168000.0,39821000.0,39821000.0,7168000.0,0,27.5018013,0.5853674,0.5853674,0.5853674,4.0788086,1.1707349,-9.78,4.9504762,-14822369.7341513,-17641100.0,-16457666.6666667,-17641100.0,0,0.0,0.0,0.0,0.0,0.01,0.25144,0.49745,0,24.384,14.15,1.7232509,1000.0,2048320,54737800,26.7232659,112,197132912,29236900,488730.3571429,1.4236143,-0.0211218,1.4236143,-0.0211218,1.4236143,-0.0211218,1.4236143,12.1815308,-0.0211218,0.2478878,0.411184,0.411184,7825666.6666667,9279000.0,25.1905582,21.24506,21.24506,-0.0736482,-0.2813347,-0.2813347,13.2598802,USD,USD,1.0,1.0,0,0,0,0,1.4744039,13.94,31.24,18.921368,-25.2168236,20.5823003,-54.7055058,0.2753589,0.2763589,6.0161726,4.5826494,0.8077453,0.4698715,1.1348603,1.1317673,7.1663239,5.561509,4.5926494,0.4798715,1.1417673,5.571509,5.0820792,78008600.0,86055933.3333333,86055933.3333333,-185036200.0,-187295533.3333333,-187295533.3333333,0.5627339,1e-06,64048866.6666667,61870666.6666667,61870666.6666667,13119333.3333333,23351466.6666667,23351466.6666667,1.7511232,None
AAP,Advance Auto Parts Inc Advance ,Consumer Cyclical,United States,530492301.4528239,9881431466.666666,480996733.3333333,3882458000.0,10738809000.0,635363000.0,16570735000.0,635363000.0,16570735000.0,10738809000.0,9881431466.666666,480996733.3333333,10738809000.0,635363000.0,635363000.0,10738809000.0,1.534,1.534,22.175314,16.962202,21.523675,1.257919,21.523675,13.282,13.2820005,1239877097.1992168,1239877000.0,997860933.3333334,1239877000.0,0.05917,0.2747786,5.625,0.1380033,2.5,0.2148987,1.0113,0.00423,12.17,9.309,209.3,0.0444768,3.826037,65438900,635363008,9.7092556,40000,16468048896,13508551680,15884.0752,3.266,0.0303662,0.0341698,0.0303662,0.0341698,0.0303662,2.4580425,15.9281455,0.0303662,1.99259,1.46,1.46,896533400.0,1288712000.0,18.3685838,12.7786883,12.7786883,2.1242065,2.3324105,2.3324105,1.5282231,USD,USD,1.0,1.0,1.0,0.25,0.25,0.25,21.2810914,142.46,217.69,189.94604,10.1891885,46.9184332,-2.1631678,1.7769507,31.4812705,1.4833661,1.4292249,0.8443127,4.0489056,0.1077623,0.0987232,1.3567571,1.3354605,1.4392249,4.0589056,0.1087232,1.3454605,1.3923427,11084985666.666666,11878842600.0,11878842600.0,3545949466.6666665,3566828733.3333335,3566828733.3333335,0.1534869,0.2781311,1561323666.6666667,1585706266.6666667,1585706266.6666667,7539036200.0,8312013866.666667,8312013866.666667,2.0824843,None
ABBV,AbbVie Inc.,Healthcare,United States,4910124617369.213,39547866666.666664,5675933333.333333,2633533333.3333335,53729000000.0,6663000000.0,7422000000.0,6663000000.0,7422000000.0,53729000000.0,39547866666.666664,5675933333.333333,53729000000.0,6663000000.0,6663000000.0,53729000000.0,5.134,5.134,39.986267,8.367816,36.0339606,3.829018,36.0339606,9.969,10.0402798,27279099309.058083,26889000000.0,18624400000.0,26889000000.0,0.12401,0.7361105,5.625,0.2859122,2.5,0.5300395,0.6899,0.00125,13.92,2.913,115.64,0.0251902,15.000645,1766220032,6597000192,3.7350953,48000,275834241024,205729316864,137437.504,-0.1163302,0.242818,-0.1163302,0.242818,-0.1163302,0.242818,-0.1163302,0.238367,0.242818,5.1776567,1.97,1.97,15387600000.0,20451000000.0,17.9257481,13.4875674,13.4875674,2.2211763,10.3928359,10.3928359,3.2247922,USD,USD,1.0,1.0,1.3,1.3,1.3,1.18,11.7549944,79.11,119.15,111.283455,3.9148182,46.1762103,-0.5060848,1.8246753,36.9074121,1.0169753,1.0966821,0.0081574,0.1597628,0.1100633,0.1448061,1.5131948,0.8810482,1.1066821,0.1697628,0.1548061,0.8910482,0.9988652,116698000000.0,149102066666.66666,149102066666.66666,4008333333.3333335,13120933333.333334,13120933333.333334,0.1446875,0.6078145,6921733333.333333,-3543733333.3333335,-3543733333.3333335,112678466666.66667,135957600000.0,135957600000.0,0.9565929,None
ABM,ABM Industries Incorporated,Industrials,United States,2951338.9695536,6148880000.0,47426666.6666667,809260000.0,5868500000.0,214800000.0,3325400000.0,214800000.0,3325400000.0,5868500000.0,6148880000.0,47426666.6666667,5868500000.0,214800000.0,214800000.0,5868500000.0,0.601,0.601,14.974794,14.535168,14.9198407,0.5437173,14.9198407,7.821,7.820103,450796594.0416827,450900000.0,339566666.6666667,450900000.0,0.0366,0.0111263,2.5,0.1990853,6.25,0.1358097,0.95144,0.01194,3.27,3.174,47.36,0.0670186,1.9941263,67131296,214800000,3.1996999,100000,3524871424,3190750464,2148.0,3.0502255,-0.016535,3.0502255,-0.016535,3.0502255,-0.016535,3.0502255,17.7148947,-0.016535,0.2483465,0.99,0.99,357213333.3333333,500700000.0,9.8676928,7.039887,7.039887,1.4984788,1.4111021,1.4111021,1.1888982,USD,USD,1.0,1.0,0.19,0.19,0.19,0.185,5.0044166,33.51,55.48,47.503597,-0.3022866,41.330946,-14.6359048,1.2608102,4.0169671,1.6695663,1.7097878,1.3261464,0.9119719,0.2467466,0.2687251,1.4618179,1.4319926,1.7197878,0.9219719,0.2787251,1.4419926,1.5808902,3736880000.0,3779126666.6666665,3779126666.6666665,1497020000.0,1568446666.6666667,1568446666.6666667,0.1568385,0.2369508,424446666.6666667,443280000.0,443280000.0,2239860000.0,2210680000.0,2210680000.0,2.0457729,None
ABMD,"ABIOMED, Inc.",Healthcare,United States,912915660.0501437,818421400.0,216429200.0,664892466.6666666,847522000.0,225525000.0,2955511000.0,225525000.0,2955511000.0,847522000.0,818421400.0,216429200.0,847522000.0,225525000.0,225525000.0,847522000.0,16.512,16.512,65.111336,61.500954,64.6600382,17.484024,64.6600382,54.62,54.6519638,255909518.4913951,255610000.0,251432733.3333333,255610000.0,0.2661,1.4842443,5.625,1.5905451,6.25,1.380967,0.93705,0.02134,5.23,4.94,322.17,0.0153335,10.951278,45296000,225524992,4.9789163,1725,13994137600,14818094080,130739.1257971,0.788,0.0733133,0.1886176,0.0733133,0.1886176,0.0733133,0.6381544,8.2384567,0.0733133,2.957642,7.56,7.56,276882933.3333333,274578000.0,50.5417125,50.9659827,50.9659827,0.1299262,0.1267057,0.1267057,0.3569575,USD,USD,1.0,1.0,0,0,0,0,32.2718436,242.73,387.4,314.03186,2.5915014,32.7277222,-16.8378936,1.0982235,1.7544641,8.7260185,8.9010576,0.0,0.0,3.2265436,0.9275621,5.7851668,6.0773659,8.9110576,0.01,0.9375621,6.0873659,7.4992117,1314385800.0,1438271200.0,1438271200.0,1164171200.0,1276655333.3333333,1276655333.3333333,0.2568028,0.276653,589324466.6666666,619817200.0,619817200.0,150214600.0,161615866.6666667,161615866.6666667,7.7189835,None
ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,United States,1.7062131583137118e+46,1523000.0,-7519000.0,-24523333.3333333,226000.0,-29042000.0,-53962000.0,-29042000.0,-53962000.0,226000.0,1523000.0,-7519000.0,226000.0,-29042000.0,-29042000.0,226000.0,20.667,20.667,1598.1795438,1598.1795438,1598.1795438,110.652469,1598.1795438,0,100000,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.01,0.49643,0.12336,0,-69,14.9,-4.5230874,1000.0,100000000,-32277000,-0.783841,7,25007458,540997616,-4611000.0,0.0794539,-0.1538008,0.0794539,-0.1538008,0.0794539,-0.1538008,0.0794539,3.0687573,-0.1538008,0.2346199,20114.544946,20114.544946,-7239333.3333333,-4186000.0,2894.8697358,59740.7023411,59740.7023411,-0.2370209,-0.640293,-0.640293,65.0292992,USD,USD,1.0,1.0,0,0,0,0,1.2831343,13.95,26.98,16.903334,-11.8517093,6.8100358,-44.7739066,0.1458173,0.1468173,8.1376886,1.4556666,4.9867476,0.0174128,0.0,0.0,8.0749435,1.4463912,1.4656666,0.0274128,0.01,1.4563912,1.4610289,32060000.0,42373000.0,42373000.0,-16200666.6666667,-34114666.6666667,-34114666.6666667,1e-06,1e-06,27765666.6666667,12994000.0,12994000.0,4246333.3333333,29109000.0,29109000.0,2.9745393,None
ABR,Arbor Realty Trust,Real Estate,United States,941764143635.8242,399295733.3333333,145815000.0,-66760533.3333333,571633000.0,299737000.0,-386644000.0,299737000.0,-386644000.0,571633000.0,399295733.3333333,145815000.0,571633000.0,299737000.0,299737000.0,571633000.0,15.078,15.078,7.4766736,9.549223,7.7357423,4.586705,7.7357423,0,100000,0.0,60311000.0,60837133.3333333,60311000.0,0.52435,5.8904356,15.46875,1.2982716,2.5,3.8218051,0.43125,0.02225,1.93,2.465,18.36,0.1342593,1.712348,142264000,292184000,2.0538154,522,8619260928,2621925632,559739.4636015,0.3021651,0.1186247,0.3021651,0.1186247,0.3021651,0.1186247,0.3021651,5.7469546,0.1186247,3.6941943,1.14,1.14,-5372933.3333333,779490000.0,6.2336358,11.0575645,11.0575645,4.7053788,4.6922321,4.6922321,2.1671561,USD,USD,1.0,1.0,0.34,0.33,0.32,0.31,18.36,10.68,19.49,17.087986,7.4439083,71.9101124,-5.797845,1.7434733,28.0861262,1.2629751,1.2511405,0.0,0.0,0.8285992,0.7807537,4.1531785,5.4377104,1.2611405,0.01,0.7907537,5.4477104,3.3544255,6606321533.333333,7697291733.333333,7697291733.333333,1109161133.3333333,1316986933.3333333,1316986933.3333333,0.1389406,0.327593,4011862866.6666665,5281479066.666667,5281479066.666667,5254236466.666667,6150590133.333333,6150590133.333333,0.2707727,None
ABT,Abbott Laboratories,Healthcare,United States,907441246.9611427,32868400000.0,3728066666.6666665,26500133333.333332,37338000000.0,5724000000.0,108231000000.0,5724000000.0,108231000000.0,37338000000.0,32868400000.0,3728066666.6666665,37338000000.0,5724000000.0,5724000000.0,37338000000.0,5.93,5.93,38.564713,26.351177,37.038021,5.8561106,37.038021,21.379,21.400657,10335940660.4612,10315000000.0,8171800000.0,10315000000.0,0.1533,4.2947987,34.8046875,0.4219328,2.5,2.6066229,0.7571,0.00721,4.67,3.191,122.81,0.0259832,6.5149026,1776819968,5693000192,3.2040388,109000,221419765760,218655457280,52229.3595596,2.179,0.0774484,0.8507106,0.0774484,0.8507106,0.0774484,1.8469277,13.8401716,0.0774484,3.0329556,2.19,2.19,7061466666.666667,9823000000.0,31.356059,22.5409514,22.5409514,1.2137975,1.1832479,1.1832479,1.088772,USD,USD,1.0,1.0,0.45,0.45,0.45,0.36,12.462466,99.75,128.54,118.690865,3.4704735,23.1177945,-4.4577563,1.6019451,16.8999649,1.831542,1.8512018,0.1179287,0.1213046,0.3138016,0.4093857,1.6673731,1.7223066,1.8612018,0.1313046,0.4193857,1.7323066,1.7967542,70835200000.0,71955600000.0,71955600000.0,31904600000.0,32865466666.666668,32865466666.666668,0.1795491,0.2741646,7330866666.666667,8633600000.0,8633600000.0,38717200000.0,38868666666.666664,38868666666.666664,2.5725464,None
ACC,American Campus Communities Inc,Real Estate,United States,7.476908842927337e+17,886327133.3333334,81701866.6666667,0,876876000.0,11508000.0,0,11508000.0,0,876876000.0,886327133.3333334,81701866.6666667,876876000.0,11508000.0,11508000.0,876876000.0,12.776,12.776,1249.7437,110.77273,1107.3723288,7.6631002,1107.3723288,28.112,29.8890499,353784741.3204325,309057000.0,427605400.0,309057000.0,0.01312,0.2180026,2.5,0.0016277,1.0,0.138554,0.97558,0.00797,0.44,0.039,48.46,0.0008048,2.1891844,137866000,9366000,0.0679355,2988,11202982912,6719588864,3134.5381526,-0.0607641,-0.0085867,-0.0607641,-0.0085867,-0.0607641,-0.0085867,-0.0607641,0.2439236,-0.0085867,0.2491413,25.89,25.89,357491400.0,257796000.0,31.337769,43.4567756,43.4567756,1.2673734,1.439313,1.439313,1.2007137,USD,USD,1.0,1.0,0.47,0.47,0.47,0.47,5.2407955,31.07,51.69,45.770287,5.8765483,55.9703894,-3.3410718,1.6867119,23.0274316,1.8375709,1.7099284,0.0,0.0,0.9421449,1.4071921,1.2793432,1.0840159,1.7199284,0.01,1.4171921,1.0940159,1.4069721,7430890533.333333,7535080266.666667,7535080266.666667,3235921000.0,3062484200.0,3062484200.0,0.1015273,0.1037577,21145733.3333333,4859533.3333333,4859533.3333333,4076579000.0,4406922933.333333,4406922933.333333,0.2967388,None
ACGLN,Arch Capital Group Ltd. - Depos,Financial Services,Bermuda,9170811486144.244,7496234066.666667,1328310933.3333333,11359947666.666666,9257241000.0,1699560000.0,48402687000.0,1699560000.0,48402687000.0,9257241000.0,7496234066.666667,1328310933.3333333,9257241000.0,1699560000.0,1699560000.0,9257241000.0,1.286,1.286,7.0107554,7.0107554,7.0107554,1.2871221,14.0215108,4.863,4.8671352,2446014841.9699774,2441855000.0,1774808133.3333333,2441855000.0,0.18342,0.0,0.0,0.0,0.0,0.1148114,0.01,1.23e-05,0,0,26.04,0.0,1000.0,100000000,1657948032,16.5794803,4500,11915199488,11915199488,368432.896,2.04,0.2046924,0.2824858,0.2046924,0.2824858,0.2046924,1.6006214,12.9015669,0.2046924,4.7742944,4.3800209,4.3800209,2366626533.3333335,3038896000.0,5.0346767,3.9208974,3.9208974,2.4246974,2.4460609,2.4460609,1.5649888,USD,USD,1.0,1.0,0,0,0,0,26.04,24.98,26.29,25.7038,1.3079778,4.2433947,-0.9509319,1.6183206,17.9633525,1.4783103,1.4652049,1.001757,0.921005,0.2154077,0.1911399,1.7247021,1.9651481,1.4752049,0.931005,0.2011399,1.9751481,1.7251765,39619209066.666664,43559669466.666664,43559669466.666664,11108709733.333334,12159409266.666666,12159409266.666666,0.1390168,0.2397732,4718643933.333333,6672088600.0,6672088600.0,26800340466.666668,29728988400.0,29728988400.0,1.1888799,None
