pi,ev,pe,evr / pm,0.01247,11.8604,20.9385,35.3421,59.17216,97.10906,172.20096,368.93309
0.000010,3.000000,29046.813085,41547.050000,3255.000000,2509.000000,2159.000000,1807.000000,1440.000000,1085.000000,721.000000,359.000000
0.000010,3.000000,29046.813085,10.532500,2536.000000,1874.000000,1541.000000,1215.000000,912.000000,624.000000,382.000000,166.000000
0.000010,3.000000,29046.813085,5.732500,2161.000000,1554.000000,1246.000000,954.000000,701.000000,479.000000,292.000000,131.000000
0.000010,3.000000,29046.813085,3.698000,1769.000000,1220.000000,949.000000,710.000000,516.000000,359.000000,219.000000,94.000000
0.000010,3.000000,29046.813085,2.498238,1356.000000,879.000000,661.000000,465.000000,333.000000,230.000000,143.000000,59.000000
0.000010,3.000000,29046.813085,1.591500,926.000000,546.000000,389.000000,261.000000,191.000000,133.000000,87.000000,35.000000
0.000010,3.000000,29046.813085,0.887750,459.000000,249.000000,178.000000,123.000000,92.000000,58.000000,40.000000,18.000000
0.000010,3.000000,58.497369,41547.050000,2562.000000,2131.000000,1837.000000,1532.000000,1222.000000,922.000000,605.000000,293.000000
0.000010,3.000000,58.497369,10.532500,2132.000000,1719.000000,1430.000000,1136.000000,861.000000,594.000000,363.000000,157.000000
0.000010,3.000000,58.497369,5.732500,1855.000000,1462.000000,1186.000000,912.000000,674.000000,464.000000,283.000000,125.000000
0.000010,3.000000,58.497369,3.698000,1526.000000,1160.000000,910.000000,682.000000,498.000000,350.000000,211.000000,88.000000
0.000010,3.000000,58.497369,2.498238,1168.000000,835.000000,629.000000,442.000000,318.000000,222.000000,136.000000,53.000000
0.000010,3.000000,58.497369,1.591500,803.000000,522.000000,372.000000,248.000000,183.000000,128.000000,83.000000,31.000000
0.000010,3.000000,58.497369,0.887750,393.000000,236.000000,168.000000,115.000000,86.000000,55.000000,37.000000,15.000000
0.000010,3.000000,38.241610,41547.050000,2196.000000,1850.000000,1599.000000,1330.000000,1054.000000,802.000000,526.000000,265.000000
0.000010,3.000000,38.241610,10.532500,1875.000000,1543.000000,1293.000000,1029.000000,779.000000,549.000000,338.000000,149.000000
0.000010,3.000000,38.241610,5.732500,1667.000000,1349.000000,1105.000000,851.000000,629.000000,440.000000,271.000000,120.000000
0.000010,3.000000,38.241610,3.698000,1388.000000,1087.000000,861.000000,644.000000,470.000000,335.000000,207.000000,85.000000
0.000010,3.000000,38.241610,2.498238,1075.000000,797.000000,604.000000,425.000000,305.000000,216.000000,133.000000,51.000000
0.000010,3.000000,38.241610,1.591500,743.000000,503.000000,359.000000,239.000000,177.000000,126.000000,82.000000,31.000000
0.000010,3.000000,38.241610,0.887750,372.000000,231.000000,164.000000,112.000000,84.000000,54.000000,37.000000,15.000000
0.000010,3.000000,28.752529,41547.050000,1830.000000,1544.000000,1338.000000,1106.000000,885.000000,673.000000,446.000000,227.000000
0.000010,3.000000,28.752529,10.532500,1577.000000,1303.000000,1098.000000,870.000000,664.000000,465.000000,288.000000,125.000000
0.000010,3.000000,28.752529,5.732500,1419.000000,1157.000000,954.000000,733.000000,546.000000,382.000000,236.000000,102.000000
0.000010,3.000000,28.752529,3.698000,1213.000000,960.000000,769.000000,574.000000,424.000000,301.000000,185.000000,79.000000
0.000010,3.000000,28.752529,2.498238,960.000000,720.000000,552.000000,387.000000,276.000000,195.000000,120.000000,47.000000
0.000010,3.000000,28.752529,1.591500,681.000000,467.000000,339.000000,226.000000,164.000000,118.000000,76.000000,28.000000
0.000010,3.000000,28.752529,0.887750,344.000000,214.000000,154.000000,105.000000,77.000000,50.000000,34.000000,15.000000
0.000010,3.000000,22.824182,41547.050000,1459.000000,1226.000000,1045.000000,855.000000,682.000000,522.000000,338.000000,175.000000
0.000010,3.000000,22.824182,10.532500,1242.000000,1019.000000,838.000000,652.000000,493.000000,342.000000,204.000000,85.000000
0.000010,3.000000,22.824182,5.732500,1118.000000,904.000000,724.000000,543.000000,395.000000,272.000000,160.000000,64.000000
0.000010,3.000000,22.824182,3.698000,987.000000,778.000000,606.000000,442.000000,322.000000,225.000000,134.000000,54.000000
0.000010,3.000000,22.824182,2.498238,814.000000,614.000000,461.000000,320.000000,224.000000,155.000000,92.000000,32.000000
0.000010,3.000000,22.824182,1.591500,594.000000,415.000000,294.000000,195.000000,138.000000,98.000000,61.000000,20.000000
0.000010,3.000000,22.824182,0.887750,315.000000,197.000000,138.000000,92.000000,66.000000,40.000000,26.000000,9.000000
0.000010,3.000000,18.246015,41547.050000,1093.000000,907.000000,763.000000,625.000000,498.000000,378.000000,255.000000,132.000000
0.000010,3.000000,18.246015,10.532500,918.000000,742.000000,598.000000,463.000000,347.000000,235.000000,147.000000,56.000000
0.000010,3.000000,18.246015,5.732500,825.000000,656.000000,513.000000,380.000000,272.000000,180.000000,113.000000,40.000000
0.000010,3.000000,18.246015,3.698000,738.000000,572.000000,436.000000,312.000000,223.000000,151.000000,96.000000,33.000000
0.000010,3.000000,18.246015,2.498238,629.000000,469.000000,346.000000,237.000000,162.000000,108.000000,68.000000,19.000000
