Symbol,Name,Sector,Value,Close,Grade
LEN.B,Lennar Corporation,Consumer Cyclical,137.99116,77.82,2458.7596
BABA,Alibaba Group Holding Limited,Consumer Cyclical,58.49588,156.0,2137.8172
CCS,Century Communities  Inc.,Consumer Cyclical,2.86972,62.99,1300.6351
SID,Companhia Siderurgica Nacional ,Basic Materials,84.64395,5.01,1208.5017
PHI,PLDT Inc. Sponsored,Communication Services,43132.16798,32.66,1188.2274
VIPS,Vipshop Holdings Limited,Consumer Cyclical,357744.43204,11.02,1125.1765
USM,United States Cellular Corporat,Communication Services,316.48747,31.98,1106.4548
UMC,United Microelectronics Corpora,Technology,0.32039,10.96,915.8071
LBTYB,Liberty Global plc,Communication Services,33.83987,29.0,900.4921
TSM,Taiwan Semiconductor Manufactur,Technology,0.08881,110.83,899.8945
BEN,Franklin Resources  Inc.,Financial Services,1294.99662,30.51,872.3095
MHK,Mohawk Industries  Inc.,Consumer Cyclical,95555.31139,181.32,819.9974
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,288013.89095,47.53,817.5481
MT,Arcelor Mittal NY Registry Shar,Basic Materials,5344.02252,28.8,753.3971
LBTYK,Liberty Global plc,Communication Services,8008.87198,29.63,737.2763
OPY,Oppenheimer Holdings  Inc.,Financial Services,234477.12082,49.68,728.9096
GTN.A,Gray Television  Inc.,Communication Services,18402.41669,22.35,722.3123
GGB,Gerdau S.A.,Basic Materials,138.91086,4.85,709.4645
PKX,POSCO,Basic Materials,0.00304,67.9,699.899
EPD,Enterprise Products Partners L.,Energy,876451.18076,23.12,695.9299
SENEB,Seneca Foods Corp.,Consumer Defensive,93.64862,53.4,692.8235
JEF,Jefferies Financial Group Inc.,Financial Services,1577109.11489,39.28,682.7413
BRK.A,Berkshire Hathaway Inc.,Financial Services,2010752039.11644,425431.0,676.4131
ULH,Universal Logistics Holdings  I,Industrials,5.2008,20.04,659.3773
QFIN,360 DigiTech  Inc.,Financial Services,1055426443.96323,19.95,656.6468
DAC,Danaos Corporation,Industrials,143.31855,74.09,656.5762
UHS,Universal Health Services  Inc.,Healthcare,2393.69111,133.16,634.2403
VEDL,Vedanta Limited,Basic Materials,441.4401,15.66,627.9728
MFC,Manulife Financial Corporation,Financial Services,5491781.88049,19.48,615.1217
PAM,Pampa Energia S.A. Pampa Energi,Utilities,0.0038,18.04,608.819
LX,LexinFintech Holdings Ltd.,Financial Services,127382.37673,5.8,605.4293
DHI,D.R. Horton  Inc.,Consumer Cyclical,117.27895,84.29,598.3067
GHC,Graham Holdings Company,Consumer Defensive,4407.30629,609.25,594.3269
WOR,Worthington Industries  Inc.,Industrials,2.42424,54.6,586.2213
WLK,Westlake Chemical Corporation,Basic Materials,21.84344,99.01,565.5277
SNFCA,Security National Financial Cor,Financial Services,54.00451,8.24,563.7539
PBR.A,Petroleo Brasileiro S.A.- Petro,Energy,2517665.25881,10.38,552.4031
FRO,Frontline Ltd.,Energy,139819198201.24496,9.1,548.7451
TME,Tencent Music Entertainment Gro,Communication Services,3787233.71814,7.43,543.8568
FOX,Fox Corporation,Communication Services,446436.89718,38.84,531.3823
TROX,Tronox Holdings plc,Basic Materials,9621.57524,24.59,526.9135
CIG,Comp En De Mn Cemig,Utilities,120781.96032,2.44,524.9969
ASX,ASE Technology Holding Co.  Ltd,Technology,44.91493,7.14,524.4141
SEB,Seaboard Corporation,Industrials,190.77844,4216.3,522.0071
SVA,None,Healthcare,883278884.94661,6.47,510.6061
VALE,VALE S.A.,Basic Materials,153.22804,14.46,494.1955
HIMX,Himax Technologies  Inc.,Technology,0.08585,10.39,478.975
ESGR,Enstar Group Limited,Financial Services,0.14256,243.86,468.4012
RILY,B. Riley Financial  Inc.,Financial Services,245825916563.37042,60.04,468.2329
GTN,Gray Television  Inc.,Communication Services,27737.88333,23.73,459.6438
TX,Ternium S.A. Ternium S.A.,Basic Materials,574.28323,42.42,458.4606
ELP,Companhia Paranaense de Energia,Utilities,55650588.62795,5.67,455.9567
FFHL,Fuwei Films (Holdings) Co.  Ltd,Consumer Cyclical,0.01508,9.4,453.5556
ORAN,Orange,Communication Services,903563841113.5251,10.91,451.6651
LBTYA,Liberty Global plc,Communication Services,22601206583.20727,29.55,443.7554
Y,Alleghany Corporation,Financial Services,1864.98098,642.2,436.9115
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,57.64653,33.09,434.8262
ABEV,Ambev S.A.,Consumer Defensive,99283.82641,2.68,432.0887
NL,NL Industries  Inc.,Industrials,27708109.27697,6.57,430.1808
LYB,LyondellBasell Industries NV,Basic Materials,12.66182,97.96,429.1855
SENEA,Seneca Foods Corp.,Consumer Defensive,1046.89221,53.69,423.9838
RJF,Raymond James Financial  Inc.,Financial Services,328796858.97706,95.86,421.9213
ANAT,American National Group  Inc.,Financial Services,67480448.53967,190.21,421.6118
TGS,Transportadora de Gas del Sur S,Energy,0.37247,5.15,411.1428
MPLX,MPLX LP,Energy,1520756.35261,29.39,401.0868
CO,Global Cord Blood Corporation,Healthcare,12374.3015,4.75,400.0324
PBR,Petroleo Brasileiro S.A.- Petro,Energy,716787932523.19,10.64,391.6235
PHM,PulteGroup  Inc.,Consumer Cyclical,248.45697,47.66,389.7439
X,United States Steel Corporation,Basic Materials,20136.1173,20.78,388.994
EC,Ecopetrol S.A.,Energy,0.00023,15.17,387.5149
ZIM,ZIM Integrated Shipping Service,Industrials,13192435.74407,44.42,387.2637
TDS,Telephone and Data Systems  Inc,Communication Services,8533.1123,19.72,384.73
HNNA,Hennessy Advisors  Inc.,Financial Services,1043.58883,10.05,383.3217
MPB,Mid Penn Bancorp,Financial Services,2627786736242.4893,28.4,381.6587
LEN,Lennar Corporation,Consumer Cyclical,368.34555,94.06,361.5071
STNE,StoneCo Ltd.,Technology,7326339413.20606,34.26,351.162
JD,JD.com  Inc.,Consumer Cyclical,236.25553,76.3,345.2988
BRK.B,Berkshire Hathaway Inc. New,Financial Services,647341289740.5107,282.95,334.7038
BBY,Best Buy Co.  Inc.,Consumer Cyclical,128.93153,107.59,333.0618
BDL,Flanigan's Enterprises  Inc.,Consumer Cyclical,76761.52939,26.8,327.4728
AAWW,Atlas Air Worldwide Holdings,Industrials,30018.72129,83.2,326.5675
KMI,Kinder Morgan  Inc.,Energy,6899069.81591,16.94,324.9733
VBFC,Village Bank and Trust Financia,Financial Services,1791033055734.6436,50.0,321.8521
WLKP,Westlake Chemical Partners LP,Basic Materials,425.60691,24.39,315.9579
MTH,Meritage Homes Corporation,Consumer Cyclical,15.03094,98.97,313.1563
MBT,Mobile TeleSystems PJSC,Communication Services,17358052824.28421,9.509653,313.0749
FLGT,Fulgent Genetics  Inc.,Healthcare,6214.24072,81.1,304.0946
HMNF,HMN Financial  Inc.,Financial Services,5056523506929.098,23.24,301.0862
STLD,Steel Dynamics  Inc.,Basic Materials,29.37323,59.44,297.6407
ORI,Old Republic International Corp,Financial Services,10224845.32761,24.58,297.4321
MCY,Mercury General Corporation,Financial Services,37862.77267,56.45,291.5342
MS,Morgan Stanley,Financial Services,181486954834608.78,98.8,290.0981
MET,MetLife  Inc.,Financial Services,19961741.0375,64.55,289.4209
GGAL,Grupo Financiero Galicia S.A.,Financial Services,3970667.25186,10.23,287.9839
ATH,Athene Holding Ltd.,Financial Services,523889558.34492,71.71,287.572
EBIX,Ebix  Inc.,Technology,6108.65402,28.16,283.6953
PSEC,Prospect Capital Corporation,Financial Services,379500204273.6793,7.97,279.9815
LGIH,LGI Homes  Inc.,Consumer Cyclical,23.14559,141.56,279.4266
CONN,Conn's  Inc.,Consumer Cyclical,256.06969,22.57,278.8246
FDP,Fresh Del Monte Produce  Inc.,Consumer Defensive,12116.10924,33.59,278.6554
ONEW,OneWater Marine Inc.,Consumer Cyclical,0.00734,42.67,276.3162
BEDU,Bright Scholar Education Holdin,Consumer Defensive,54770.63142,2.79,275.5215
TKC,Turkcell Iletisim Hizmetleri AS,Communication Services,6324487536.92244,4.28,275.406
BIO,Bio-Rad Laboratories  Inc.,Healthcare,8589.34999,731.44,271.1837
CEPU,Central Puerto S.A.,Utilities,627.8115,3.23,271.1678
EBS,Emergent Biosolutions  Inc.,Healthcare,11.38717,53.31,270.2801
MBIN,Merchants Bancorp,Financial Services,27985008199039.047,41.7,265.6726
EDU,New Oriental Education & Techno,Consumer Defensive,243821.78118,2.18,263.7371
QRTEB,Liberty Interactive Corporation,Consumer Cyclical,42906.07591,10.45,260.7407
BSAC,Banco Santander - Chile,Financial Services,0.00115,19.36,260.0411
CI,Cigna Corporation,Healthcare,22051.70934,204.71,259.4183
AFL,AFLAC Incorporated,Financial Services,20483159.96368,54.16,257.0445
QIWI,QIWI plc,Technology,656.23394,8.62,251.5845
TGP,Teekay LNG Partners L.P.,Energy,3327955.74032,17.1,247.8016
HTH,Hilltop Holdings Inc.,Financial Services,6272633413.09963,33.67,247.5868
FONR,Fonar Corporation,Healthcare,582.86486,15.67,246.8372
LARK,Landmark Bancorp Inc.,Financial Services,250662917942271.94,27.75,242.7439
KMPR,Kemper Corporation,Financial Services,415107.94743,68.4,237.305
HHR,HeadHunter Group PLC,Industrials,572394557.68907,54.83,236.7956
SMLP,Summit Midstream Partners  LP,Energy,10490774596.46238,35.48,233.1254
CMCL,Caledonia Mining Corporation Pl,Basic Materials,231800.70568,12.89,230.1237
COWN,Cowen Inc.,Financial Services,2692721222.28593,35.55,229.3442
SSP,E.W. Scripps Company (The),Communication Services,140683.81274,18.42,228.8292
TGH,Textainer Group Holdings Limite,Industrials,3507464.62275,36.22,228.2924
HBT,HBT Financial  Inc.,Financial Services,5778139225257.854,16.38,226.9711
CSIQ,Canadian Solar Inc.,Technology,267109.99212,32.07,225.4248
EBR.B,Centrais Electricas Brasileiras,Utilities,945043245117.247,6.85,221.9935
AMKR,Amkor Technology  Inc.,Technology,6512.32144,25.66,220.0816
TNK,Teekay Tankers Ltd.,Energy,7574655215.47977,14.11,216.1261
EBR,Centrais Electricas Brasileiras,Utilities,971616212690.5897,6.81,213.7228
PAA,Plains All American Pipeline  L,Energy,25523418433704.24,10.22,213.2427
SPLP,Steel Partners Holdings LP LTD ,Industrials,34065433.32476,28.27,212.0231
WMK,Weis Markets  Inc.,Consumer Defensive,73040382.11926,54.93,210.304
HRL,Hormel Foods Corporation,Consumer Defensive,719078.0024,41.34,209.6118
CVCY,Central Valley Community Bancor,Financial Services,175575509674501.78,21.3,208.7636
OPBK,OP Bancorp,Financial Services,4205891441534620.5,10.37,208.3809
UBOH,United Bancshares  Inc.,Financial Services,2.168588310375992e+16,30.0,208.0286
CRMT,America's Car-Mart  Inc.,Consumer Cyclical,178322.91204,118.75,207.9491
SNP,China Petroleum & Chemical Corp,Energy,47965329130.73389,52.52,207.8384
BMA,Banco Macro S.A.,Financial Services,53.6401,16.63,205.3599
PFSI,PennyMac Financial Services  In,Financial Services,15452724765418.46,62.57,203.5959
SSNC,SS&C Technologies Holdings  Inc,Technology,4849650.20238,70.55,201.2895
ATHM,Autohome Inc.,Communication Services,1979587871.77776,48.82,200.847
TMHC,Taylor Morrison Home Corporatio,Consumer Cyclical,493.9253,26.83,200.1797
