Symbol,Name,Sector,Value,Close,Grade
LEN.B,Lennar Corporation,Consumer Cyclical,135.68725/-0.48183,83.18,5662.4525
BABA,Alibaba Group Holding Limited,Consumer Cyclical,289.13404/-0.23292,177.42,3030.4279
CCS,Century Communities  Inc.,Consumer Cyclical,6.82776/-0.24197,64.92,2416.3538
GTN.A,Gray Television  Inc.,Communication Services,9872.70068/-0.31426,22.0,2362.4062
USM,United States Cellular Corporat,Communication Services,308.42022/-0.76196,31.71,2349.6913
PHI,PLDT Inc. Sponsored,Communication Services,55102.1556/-0.10268,31.7,2291.2129
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,30720.78541/-0.33857,50.39,2284.5913
QFIN,360 DigiTech  Inc.,Financial Services,906065139.64017/-0.1409,23.51,2281.0919
VIPS,Vipshop Holdings Limited,Consumer Cyclical,110045.38259/-0.18404,12.78,1987.4778
SEB,Seaboard Corporation,Industrials,34.88961/-0.70317,4119.01,1933.4452
PKX,POSCO,Basic Materials,0.00039/-1.06801,65.25,1868.8759
BEN,Franklin Resources  Inc.,Financial Services,814.3513/-0.45126,30.21,1808.6309
FOX,Fox Corporation,Communication Services,316677.06425/-0.10987,39.64,1788.7109
LBTYB,Liberty Global plc,Communication Services,3614.66737/-1.00627,30.3,1756.1882
TME,Tencent Music Entertainment Gro,Communication Services,2740023.82882/-0.19455,8.32,1748.2525
SID,Companhia Siderurgica Nacional ,Basic Materials,3.55592/-0.30835,4.42,1703.4588
CO,Global Cord Blood Corporation,Healthcare,2041.52437/-0.79466,4.36,1637.5915
TSM,Taiwan Semiconductor Manufactur,Technology,0.28467/-0.09108,116.29,1636.2037
GGB,Gerdau S.A.,Basic Materials,34.46241/-0.26004,4.66,1634.33
MHK,Mohawk Industries  Inc.,Consumer Cyclical,117337.95723/-0.17553,191.85,1620.3537
DHI,D.R. Horton  Inc.,Consumer Cyclical,695.56702/-0.22676,89.22,1605.9021
UHS,Universal Health Services  Inc.,Healthcare,1189.2003/-0.26055,137.35,1595.6641
UMC,United Microelectronics Corpora,Technology,0.01371/-0.00786,10.37,1587.3271
SENEB,Seneca Foods Corp.,Consumer Defensive,10.67397/-0.71183,53.75,1429.5828
