"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
AA,Alcoa Corporation,Basic Materials,United States,268828.763012,10298533333.333334,1.0,-338733333.3333333,-1804533333.3333333,0.25,33612000000.0,3.0,1634000000.0,2.0,-3786666666.6666665,0.375,1634000000.0,-3786666666.6666665,33612000000.0,10298533333.333334,1.0,-338733333.3333333,33612000000.0,3.0,1634000000.0,2.0,1634000000.0,33612000000.0,1.0,1.0,11.400462,7.406015,10.9011561,0.8222693,10.9011561,5.198,5.1729575,2177023387.456714,2198000000.0,1466666666.6666667,2198000000.0,0.07292,-0.3292231,0.1,0.3084738,3.25,0.1600732,0.79484,0.00962,6.65,4.32,49.99,0.0864173,2.3756692,187060000,817000000,4.3675826,12900,11207131136,9212704768,63333.3333333,2.9095208,0.315,2.9095208,-0.1046669,2.9095208,-0.1046669,2.9095208,17.3073175,0.2100833,4.8334843,0.04,0.04,267200000.0,0.5,196500000.0,0.5,41.942856,57.0337462,57.0337462,2.5125221,1.0,2.4507308,1.0,2.4507308,1.566481,USD,USD,1.0,1.0,0.09,0.07209,0.07209,0.07209,2.8453846,12.15,57.57,40.5755,23.2024251,311.4403292,-13.1665798,1.6662263,21.3995165,1.6122173,1.0,1.5921404,1.0,0.4806807,1.0,0.0371188,0.5,1.2148194,3.0,1.0003147,2.0,4.574894,3.0,0.7556321,0.5,1.6021404,0.0471188,1.0103147,0.7656321,1.1838862,7570500000.0,0.5,14403333333.333334,1.0,14403333333.333334,3913000000.0,1.0,3727133333.3333335,1.0,3727133333.3333335,0.213446,0.5384066,1449600000.0,1471133333.3333333,1471133333.3333333,4715633333.333333,0.5,9061866666.666666,1.0,9061866666.666666,1.7879884,None
AACG,ATA Creativity Global,Consumer Defensive,China,1.9324754817000272e+31,17696948.996317,1.0,4784130.0510174,-275614967.7288976,0.125,27726773.102901,1.0,-55709841.577896,0.125,-1065738207.743802,0.1666667,-55709841.577896,-1065738207.743802,27726773.102901,17696948.996317,1.0,4784130.0510174,27726773.102901,1.0,-55709841.577896,0.125,-55709841.577896,27726773.102901,0.163,0.163,7173.4776627,2863.2481202,6634.6989699,0.4377272,6634.6989699,-0.574,11614.4018583,-25185449.4773519,0,-74526364.6,0,-0.25116,2.9354096,0.1,-0.2859135,0.1,1.5747721,0.16482,0.05471,-0.67,-0.286,2.42,-0.1181818,0.3411078,31701200,-50744176,-1.6007021,580,28912896,77660856,-87489.9586207,0.0434248,0.393,0.0434248,20.8417698,0.0434248,20.8417698,0.0434248,2.3338629,5.5051925,23.7131465,-0.18,555555.5555556,-39685346.4418312,0.25,-158741385.7673248,1.0,13725.8289318,1821.3836209,1821.3836209,1.2106944,1.0,3.1940274,2.0,3.1940274,1.7881842,CNY,USD,0.156279,1.0,6.0,0.41,0.41,0.174,1.1272728,1.08,19.75,2.8831916,-16.0652383,124.0740741,-87.7468354,0.1435458,0.1445458,3.9799592,1.0,0.8558048,0.5,0.0860717,0.3333333,0.0261278,1.0,0.3794811,0.3333333,2.2206415,2.0,2.032929,1.0,0.1888641,0.5,0.8658048,0.0361278,2.2306415,0.1988641,0.5323344,89058678.6922482,1.0,58115655.5696699,0.6666667,58115655.5696699,19296092.7319016,0.5,21503918.1504819,0.6666667,21503918.1504819,1e-06,1e-06,-62948519.2666667,-173562649.9333333,-173562649.9333333,43047442.0705694,1.0,76431340.2275019,1.5,76431340.2275019,1e-05,None
AAIC,Arlington Asset Investment Corp,Real Estate,United States,1.057784075593315e+25,-108149333.3333333,0.25,-43527933.3333333,-14261683733.333334,0.125,15314000.0,1.0,780250.0,0.25,-29412536000.0,0.25,780250.0,-29412536000.0,15314000.0,-108149333.3333333,0.25,-43527933.3333333,15314000.0,1.0,780250.0,0.25,780250.0,15314000.0,12.259,12.259,784.00006,13.517242,687.6897077,8.27595,687.6897077,0,100000,0.0,0,0,0,0.2038,0.4126453,0.890625,146.8379863,200.8926563,84.0644337,0.44027,0.02288,0.29,0.005,3.9,0.0012821,0.6621622,32331100,216000,0.0066809,12,187731168,126737912,18000.0,-0.4285714,-0.4285714,-0.4285714,-0.4285714,-0.4285714,-0.4285714,-0.4285714,0.2071429,-0.4285714,0.2071429,-1.89,52910.0529101,20303333.3333333,0.5,8070000.0,0.6666667,9.2463225,23.2628461,23.2628461,8.3985656,1.0,3.8951185,1.0,3.8951185,1.9746054,USD,USD,1.0,1.0,0.225,0.225,0.225,0.375,0.4961832,2.38,4.42,3.9204254,-0.5209996,63.8655462,-11.7647059,1.4901961,10.9511694,1.1761003,1.0,1.3077129,1.0,13.2341054,3.0,3.3085264,0,74.3067863,1.0,29.1269732,0.5,1.2185372,1.0,1.3623689,1.0,1.3177129,3.3185264,29.1369732,1.3723689,1.3450409,1268633233.3333333,0.5,1009617666.6666666,1.0,1009617666.6666666,125319700.0,0.5,199184733.3333333,1.0,199184733.3333333,0.1007728,0.1039172,306773466.6666667,226668666.6666667,226668666.6666667,2256309333.3333335,1.0,775125000.0,1.0,775125000.0,1e-05,None
AAME,Atlantic American Corporation,Financial Services,United States,581299708159.4896,775392000.0,4.0,6595200.0,84241200.0,2.0,620199000.0,3.0,4063750.0,0.25,270597000.0,1.5,4063750.0,270597000.0,620199000.0,775392000.0,4.0,6595200.0,620199000.0,3.0,4063750.0,0.25,4063750.0,620199000.0,0.555,0.555,5.482574,5.482574,5.482574,0.4038067,7.3100987,4.976,4.9759072,23055139.8713826,23056000.0,11216200.0,23056000.0,0.07863,0.0046653,0.1,0.005742,0.1,0.0572385,0.06533,0.80153,0,0.746,4.18,0.1784689,0.5865482,20410800,15856000,0.7768436,152,114718096,83480176,104315.7894737,-0.547,0.035,0.6639526,0.01478,0.6639526,0.01478,-0.2442618,0.2255738,0.029945,1.980462,-22.4454787,4455.2402408,1427150.0,0.25,-10946000.0,0.5,80.3826479,104803.6689202,104803.6689202,1.9965031,1.0,0.9278263,0.5,0.9278263,0.9642374,USD,USD,1.0,1.0,0.02,0.02,0.02,0.02,0.9112149,2,15.97,4.1032624,1.8701607,109.0,-73.8259236,0.3120974,0.3130974,1.5075604,1.0,3.078894,2.0,3.2844196,3.0,1.03677,1.0,0.0364723,1.0,0.041057,1.0,1.3736742,1.0,2.7264132,2.0,3.088894,1.04677,0.051057,2.7364132,2.9126536,771171600.0,2.0,397581466.6666667,1.0,397581466.6666667,129930533.3333333,1.0,208925000.0,1.5,208925000.0,0.1102212,0.1194508,18297600.0,17373133.3333333,17373133.3333333,511200533.3333333,2.0,258243133.3333333,1.0,258243133.3333333,1.4752678,None
AAON,"AAON, Inc.",Industrials,United States,26493439.134442,1937830933.3333333,4.0,65693600.0,619286666.6666666,2.0,511136000.0,1.0,76343000.0,1.0,2124588000.0,1.5,76343000.0,2124588000.0,511136000.0,1937830933.3333333,4.0,65693600.0,511136000.0,1.0,76343000.0,1.0,76343000.0,511136000.0,6.984,6.984,49.454548,44.2,48.7977295,7.2504964,48.7977295,30.285,30.284936,117878502.146277,117879000.0,105848333.3333333,117879000.0,0.14936,5.2891636,36.9075,0.4010546,2.75,3.1683034,0.71928,0.20797,1.6,1.43,70.25,0.0203559,9.659883,52403700,76343000,1.4568246,2268,3569935360,3705989632,33660.9347443,0.158,0.146,0.3154489,0.0884758,0.3154489,0.0884758,0.1973622,4.6925468,0.131619,3.8779326,4.09,4.09,105994533.3333333,1.0,85976000.0,0.6666667,33.6803724,41.5224639,41.5224639,0.2719235,1.0,0.6039323,2.0,0.6039323,0.7781308,USD,USD,1.0,1.0,0.19,0.19,0.19,0.16,0.1635406,56.27,81.25,65.89028,6.616636,24.8444997,-13.5384615,1.1192954,1.9663843,4.6921375,1.0,2.1595556,0.5,0.148599,0.3333333,0.0385207,0.5,0.0088362,0.3333333,0.0070597,0.5,3.4821082,1.0,3.4837296,1.0,2.1695556,0.0485207,0.0170597,3.4937296,2.8316426,798737066.6666666,2.0,730493700.0,1.5,730493700.0,627145600.0,2.0,560858200.0,1.5,560858200.0,0.2045088,0.2361182,140388266.6666667,176427000.0,176427000.0,85795733.3333333,1.0,169635500.0,1.5,169635500.0,4.3245713,None
AAPL,Apple Inc.,Technology,United States,3460483050.9692316,1065930666666.6666,4.0,56515000000.0,18081666666.666668,0.5,1041465000000.0,3.0,173604000000.0,2.0,53761000000.0,1.0,173604000000.0,53761000000.0,1041465000000.0,1065930666666.6666,4.0,56515000000.0,1041465000000.0,3.0,173604000000.0,2.0,173604000000.0,1041465000000.0,7.293,7.293,29.109241,26.177818,28.7428131,7.080052,9.5809377,22.821,22.82104,110935388771.9206,110935000000.0,77317533333.33333,110935000000.0,0.25004,0.999752,4.75,1.6100517,6.1875,1.251393,0.58674,0.00073,5.68,5.108,149.48,0.0341718,38.30242,16530199552,86801997824,5.2511161,147000,2531665379328,2457875513344,590489.7811156,0.932,0.364,0.0348006,0.0483259,0.0348006,0.0483259,0.7077002,8.6624916,0.2850815,5.5893021,1.34,1.34,152273200000.0,2.0,156621000000.0,1.5,16.6258106,16.164278,16.164278,6.5662455,2.0,4.0796775,1.0,4.0796775,2.0208212,USD,USD,1.0,1.0,0.22,0.22,0.205,0.205,0.2923946,107.32,157.26,139.31822,7.2939347,39.2843832,-4.9472212,1.6884261,23.1682035,0.4414524,0.3333333,1.2454597,1.0,0.0890256,0.3333333,0.5142269,2.0,1.9668411,3.0,2.1936839,2.0,1.3740836,1.0,0.5583912,0.5,1.2554597,0.5242269,2.2036839,0.5683912,0.9119254,168397900000.0,0.5,501934800000.0,1.5,501934800000.0,41100166666.666664,0.5,65915933333.333336,1.0,65915933333.333336,0.4458696,2.7337183,39574866666.666664,13012733333.333334,13012733333.333334,509190933333.3333,2.0,403060900000.0,1.5,403060900000.0,2.5776206,None
AAT,"American Assets Trust, Inc.",Real Estate,United States,8908378312230.393,1373512800.0,4.0,31506733.3333333,0,1.0,339243000.0,1.0,18134000.0,1.0,0,1.0,18134000.0,0,339243000.0,1373512800.0,4.0,31506733.3333333,339243000.0,1.0,18134000.0,1.0,18134000.0,339243000.0,10.769,10.769,129.86755,44.568184,119.2051292,6.9912004,119.2051292,19.311,19.3110301,189175589.2755424,189175000.0,193845266.6666667,189175000.0,0.05345,0.4206239,4.75,0.1790442,2.75,0.3091477,0.98381,0.01341,0.88,0.302,39.12,0.0077198,1.8953269,60472100,18134000,0.2998738,199,3653181184,2371715840,91125.6281407,0.168,0.117,0.1059722,0.0066162,0.1059722,0.0066162,0.1524931,4.1550359,0.0894041,3.2400512,28.35,28.35,136667400.0,1.0,134589000.0,1.0,26.7304506,27.1432374,27.1432374,1.3047417,1.0,1.4057526,1.0,1.4057526,1.1866444,USD,USD,1.0,1.0,0.3,0.28,0.28,0.25,0.65625,20.73,40.62,37.0856,5.4856872,88.7120116,-3.6927622,1.8491704,39.9817363,1.7743526,1.0,0.8509445,0.5,0.0,0,0.0,0,1.8094405,3.0,0.3222442,0.5,1.1051937,0.3333333,10.9635052,2.0,0.8609445,0.01,0.3322442,10.9735052,5.9172248,2690411200.0,1.0,3002690933.3333335,1.0,3002690933.3333335,1191124533.3333333,1.0,838457022.2222221,0.6666667,838457022.2222221,0.1060392,0.1216278,136690733.3333333,345639600.0,345639600.0,1513676400.0,1.0,1767243066.6666667,1.0,1767243066.6666667,0.316061,None
AATC,Autoscope Technologies Corporat,Technology,United States,286.9005189,13863866.6666667,1.0,2819066.6666667,-15055600.0,0.5,13394000.0,1.0,2907000.0,1.0,-53341333.3333333,0.375,2907000.0,-53341333.3333333,13394000.0,13863866.6666667,1.0,2819066.6666667,13394000.0,1.0,2907000.0,1.0,2907000.0,13394000.0,2.178,2.178,12.962962,12.962962,12.962962,2.8050117,4.3209873,14.492,14.4919883,2012996.7568314,2013000.0,1459666.6666667,2013000.0,0.21704,0.7497259,4.75,0.6483168,2.75,0.6546539,0.28645,0.41737,0,0.54,7,0.0771429,1.8191268,5367190,2907000,0.5416242,46,29172302,37570328,63195.6521739,4.013,0.118,0.2881919,-0.0567516,0.2881919,-0.0567516,3.081798,17.8050505,0.0743121,2.9760245,4.2062984,4.2062984,1191800.0,0.5,1150000.0,0.5,24.4775147,25.3672191,25.3672191,0.0650084,0.5,0.0569583,1.0,0.0569583,0.2396594,USD,USD,1.0,1.0,0.12,0.12,0,0,0.9337016,3.53,11.58,6.8939714,1.5379901,98.3002833,-39.5509499,0.8621118,0.8631118,31.7551065,3.0,20.7764897,1.0,0.0,0,0.0,0,0.0,0,0.0,0,21.2800766,3.0,25.5260417,2.0,20.7864897,0.01,0.01,25.5360417,23.1612657,38162666.6666667,2.0,32188100.0,1.5,32188100.0,34214266.6666667,2.0,30471500.0,1.5,30471500.0,0.1903129,0.1954006,9109866.6666667,11612733.3333333,11612733.3333333,1974200.0,1.0,1144400.0,1.0,1144400.0,4.2933915,None
AAWW,Atlas Air Worldwide Holdings,Industrials,United States,7900.3740391,11775357866.666666,4.0,164962866.6666667,1479724066.6666667,1.0,10782279000.0,3.0,910128000.0,2.0,9797287500.0,1.5,910128000.0,9797287500.0,10782279000.0,11775357866.666666,4.0,164962866.6666667,10782279000.0,3.0,910128000.0,2.0,910128000.0,10782279000.0,1.193,1.193,5.089527,7.2265835,5.3566591,0.6542144,5.3566591,4.917,4.9169476,871824419.6664634,871843000.0,654862200.0,871843000.0,0.12661,0.0546319,0.777,0.3242864,2.75,0.2392854,1.10765,0.06557,11.21,15.917,80.34,0.1981205,0.9416264,29024900,455064000,15.6784003,4061,4286669312,2351307264,112057.128786,0.357,0.2,0.3158196,0.1395399,0.3158196,0.1395399,0.3467049,6.1381651,0.184885,4.5498252,0.51,0.51,697372733.3333334,1.0,792258000.0,1.0,6.146884,5.4106987,5.4106987,1.7646388,1.0,0.7649674,0.5,0.7649674,0.8756242,USD,USD,1.0,1.0,0,0,0,0,0.300321,50.22,86.45,72.2883,11.138317,59.9761051,-7.0676692,1.6627105,21.1300135,1.5703571,1.0,3.3139676,2.0,0.4169565,1.0,0.08651,0.5,5.2462919,3.0,1.443556,1.0,0.875315,1.0,0.947327,1.0,3.3239676,0.09651,1.453556,0.957327,2.1406473,11440148533.333334,2.0,9097497600.0,1.5,9097497600.0,4158241600.0,2.0,3604971700.0,1.5,3604971700.0,0.2000416,0.3524647,-121937200.0,-72802133.3333333,-72802133.3333333,7281906933.333333,2.0,2441122622.2222223,0.6666667,2441122622.2222223,1.8914137,None
AB,AllianceBernstein Holding L.P.,Financial Services,United States,1266829.8228179,1148289866.6666667,4.0,258767200.0,0,1.0,1084809000.0,3.0,664398000.0,2.0,0,1.0,664398000.0,0,1084809000.0,1148289866.6666667,4.0,258767200.0,1084809000.0,3.0,664398000.0,2.0,664398000.0,1084809000.0,14.83,14.83,16.322044,14.419948,16.084282,15.149214,21.4457093,0,100000,0.0,0,0,0,0.91868,16.0911605,17.8125,2.541,2.75,10.0621889,0.13997,0.04967,3.81,3.366,53.73,0.0626466,3.4181545,99708800,332199008,3.331692,3929,5362726912,5478001152,84550.5237974,0.597,0.541,0.1173378,0.1092851,0.1173378,0.1092851,0.4770845,7.15713,0.4330713,6.8308151,0.94,0.94,508280800.0,2.0,456532500.0,1.5,10.5507171,11.7466487,11.7466487,0.0010276,1.0,0.0033671,2.0,0.0033671,0.0590267,USD,USD,1.0,1.0,0.91,0.81,0.97,0.69,0.7855054,28.61,55.28,47.095463,14.0874228,87.801468,-2.8039074,1.8837645,44.6847868,1094.5885545,1.0,772.2260299,0.5,0.0,0,0.0,0,0.1334229,3.0,0.0350296,0.5,0.0,0,0.0,0,772.2360299,0.01,0.0450296,0.01,386.123015,1572761733.3333333,1.0,2407991000.0,1.5,2407991000.0,1571138133.3333333,1.0,2403903000.0,1.5,2403903000.0,0.3759138,0.376383,0.0,0.0,0.0,1623600.0,1.0,4088000.0,1.5,4088000.0,28.3630466,None
