"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
ABG,Asbury Automotive Group Inc,Consumer Cyclical,United States,156.091002,7073393333.333333,1.0,216526666.6666667,2368653333.3333335,2.0,9416900000.0,1.0,481000000.0,1.0,9187800000.0,1.5,481000000.0,9187800000.0,9416900000.0,7073393333.333333,1.0,216526666.6666667,9416900000.0,1.0,481000000.0,1.0,481000000.0,9416900000.0,0.498,0.498,6.589182,5.892625,6.5021124,0.4004384,6.5021124,6.45,6.4490222,727079546.6666666,727300000.0,404546666.6666667,727300000.0,0.05108,2.5039464,75.703125,0.3501083,6.1875,0.9693782,0.90235,0.00771,27.66,24.736,169.23,0.1461679,2.4224546,23135700,481000000,20.7903802,7600,4688241152,3770887936,63289.4736842,0.528,0.304,0.2744915,0.0169859,0.2744915,0.0169859,0.4646229,7.0663251,0.2322465,5.0691958,0.35,0.35,460380000.0,1.0,985900000.0,1.0,10.1834162,4.7552908,4.7552908,1.7622884,0.5,4.0631317,2.0,4.0631317,2.0167211,USD,USD,1.0,1.0,0.225,0.225,0.225,0.225,0.3429184,112.76,230.97,189.1091,-10.5119743,50.0798155,-26.7307443,0.9554183,0.9564183,3.8765053,3.0,6.0313897,4.0,1.7777363,1.0,136.3012486,4.0,0.0780252,0.5,0.0585062,0.5,1.1964275,1.0,6.2907297,4.0,6.0413897,136.3112486,0.0685062,6.3007297,6.1710597,6507080000.0,2.0,3567446666.6666665,1.0,3567446666.6666665,1489306666.6666667,2.0,1790510000.0,1.5,1790510000.0,0.2348303,0.3686385,241606666.6666667,409553333.3333333,409553333.3333333,5017773333.333333,2.0,1582515555.5555556,0.6666667,1582515555.5555556,2.9129631,None
AL,Air Lease Corporation,Industrials,United States,8573243221697.356,1937794133.3333333,1.0,550427866.6666666,5884621600.0,2.0,1980315000.0,1.0,395944000.0,1.0,20269131000.0,1.5,395944000.0,20269131000.0,1980315000.0,1937794133.3333333,1.0,550427866.6666666,1980315000.0,1.0,395944000.0,1.0,395944000.0,1980315000.0,10.527,10.527,13.633846,9.289309,13.0907789,2.5504854,13.0907789,0,100000,0.0,0,1728374285.7142856,0,0.19994,0.3180634,1.1875,0.546003,2.75,0.3556688,0.93487,0.06156,4.77,3.25,45.5,0.0714286,0.7671665,113987000,373089984,3.2730924,120,20847521792,5050764288,3109083.2,-0.108,0.063,-0.0726426,0.0723288,-0.0726426,0.0723288,-0.0991607,0.2400839,0.0653322,2.8060167,0.89,0.89,1190619400.0,1.0,1301985000.0,1.0,17.5098119,16.012106,16.012106,6.0179544,2.0,6.0881691,2.0,6.0881691,2.4684216,USD,USD,1.0,1.0,0.16,0.16,0.16,0.16,0.1283423,36.4,52.96,44.22925,2.8730987,25.0,-14.0861027,1.0990338,1.7622452,0.44441,0.3333333,1.328747,1.0,0.0,1.0,0.0,1.0,10.7419255,1.0,11.0797325,1.0,5.2121791,2.0,3.4604803,1.0,1.338747,0.01,11.0897325,3.4704803,2.4046136,45484773333.333336,2.0,26315500333.333332,1.0,26315500333.333332,11308392800.0,2.0,9760434700.0,1.5,9760434700.0,0.115046,0.1405662,713054933.3333334,1163922000.0,1163922000.0,34176220533.333332,2.0,19808441066.666668,1.0,19808441066.666668,0.3399115,None
ANAT,"American National Group, Inc.",Financial Services,United States,145790086.8513774,3778901866.6666665,1.0,468875533.3333333,11836886666.666666,2.0,4470838000.0,1.0,875553000.0,1.0,37455699000.0,1.5,875553000.0,37455699000.0,4470838000.0,3778901866.6666665,1.0,468875533.3333333,4470838000.0,1.0,875553000.0,1.0,875553000.0,4470838000.0,0.887,0.887,5.929245,5.929245,5.929245,1.1384823,7.90566,3.559,3.5572734,1115171994.6614218,1116254000.0,566945933.3333334,1116254000.0,0.19593,0.595938,4.75,0.5293527,2.75,0.4414069,0.66425,0.23537,0,31.913,189.23,0.1686466,0.7819105,26887200,875553024,32.5639347,4600,3965046272,5087596032,190337.613913,0.083,0.02,0.5914328,0.0213463,0.5914328,0.0213463,0.2101082,4.8337562,0.0203366,1.6760639,28.2199593,28.2199593,411486466.6666667,1.0,177157500.0,0.5,9.6359093,22.3814756,22.3814756,3.7231495,1.0,7.0930965,2.0,7.0930965,2.6642868,USD,USD,1.0,1.0,0.82,0.82,0.82,0.82,189.23,83.95,195.89,151.5907,24.8295575,125.4079809,-3.3998673,1.8810077,44.2938485,1.2697127,1.0,2.5647929,2.0,0.3824863,1.0,0.1798454,0.5,0.3888535,1.0,0.3966105,1.0,0.3196609,0.5,0.7268701,1.0,2.5747929,0.1898454,0.4066105,0.7368701,1.6558315,57379233866.666664,2.0,45081332200.0,1.5,45081332200.0,12184854800.0,2.0,9917621100.0,1.5,9917621100.0,0.1194216,0.1882826,-1179521066.6666667,-945791800.0,-945791800.0,45178382000.0,2.0,23435410266.666668,1.0,23435410266.666668,0.3622673,None
AQUA,Evoqua Water Technologies Corp.,Industrials,United States,21707172967256.6,1444111933.3333333,1.0,56902733.3333333,-227716000.0,0.25,4393287000.0,3.0,51482000.0,1.0,-417728000.0,0.375,51482000.0,-417728000.0,4393287000.0,1444111933.3333333,1.0,56902733.3333333,4393287000.0,3.0,51482000.0,1.0,51482000.0,4393287000.0,4.469,4.469,115.97619,49.70408,107.6921763,3.9992032,107.6921763,28.785,28.7844231,227371886.8334202,227381000.0,225626933.3333333,227381000.0,0.03515,0.0041179,0.1,1.2742733,27.4725,0.4388471,1.0379901,0.01217,0.98,0.42,48.64,0.0086349,10.110004,120233000,51482000,0.4281853,10000000,6544637440,5856549376,5.1482,-0.142,0.11,-0.1697193,0.0222037,-0.1697193,0.0222037,-0.1489298,0.235107,0.0880509,3.2173375,3.72,3.72,319264133.3333333,2.0,178705000.0,1.0,20.4991315,36.622576,36.622576,5.3690756,2.0,2.3426171,1.0,2.3426171,1.5315611,USD,USD,1.0,1.0,0,0,0,0,0.8422844,22,48.97,33.2043,46.4870514,121.0909091,-0.673882,1.9755284,59.4428493,2.7795638,2.0,2.8598659,2.0,0.2373683,1.0,0.2231608,1.0,0.7171408,1.0,2.8601097,4.0,0.9090705,0.5,0.4459416,0.25,2.8698659,0.2331608,2.8701097,0.4559416,1.6629038,3662436400.0,2.0,1861801600.0,1.0,1861801600.0,1020042266.6666666,2.0,836637200.0,1.5,836637200.0,0.1276517,0.1615344,298357666.6666667,296514133.3333333,296514133.3333333,1319240600.0,1.0,1302455000.0,1.0,1302455000.0,2.3103323,None
ARBK,Argo Blockchain plc,Financial Services,United Kingdom,5.261562093834927e+16,71957758.374901,4.0,44316.7225519,3538135.9698267,0.25,72698242.5992304,1.0,6453630.8511822,0.25,136261099.8701784,1.0,6453630.8511822,136261099.8701784,72698242.5992304,71957758.374901,4.0,44316.7225519,72698242.5992304,1.0,6453630.8511822,0.25,6453630.8511822,72698242.5992304,15.83,15.83,28.208954,28.208954,28.208954,16.24929,37.6119387,22.032,21.9745436,39323791.9527959,39528894.0,4290321.2857143,39528894.0,0.40184,-0.0175779,12.3834375,0.0433514,0.1,0.1435378,0.04593,0.00015,0,0.67,17.66,0.0379388,4.7487435,46808200,21877666,0.4673896,9,861862976,884674944,2430851.7777778,1.7910809,4.128,1.7910809,4.5365334,1.7910809,4.5365334,1.7910809,13.6331271,4.2301334,20.817288,15.7496815,15.7496815,544196.3609829,1.0,-22827202.1241696,0.5,1583.7352797,3775596.2001469,3775596.2001469,0.2517292,1.0,0.4877199,1.0,0.4877199,0.6993695,GBP,USD,1.3429368,1.0,0,0,0,0,0.1283582,14.5,21,17.244762,2.407908,21.7931034,-15.9047619,0.9723077,0.9733077,6.0545177,0.3333333,3.1716079,1.0,3019.6479108,6.0,3.7809156,1.0,0.0,1.0,0.0,1.0,6.7614203,0.5,2.2885717,1.0,3.1816079,3.7909156,0.01,2.2985717,2.7400898,77379678.4611415,2.0,277865580.8537229,1.0,277865580.8537229,30736406.3452365,1.0,192094384.1464275,1.0,192094384.1464275,0.1232257,0.1335961,4968942.7142857,77775090.4285714,77775090.4285714,15906865.7706686,2.0,85771196.7072953,1.0,85771196.7072953,2.817745,None
ATHM,Autohome Inc.,Communication Services,China,307232897.670062,5158846375.5192,4.0,498506276.109,3549905382.6492004,2.0,1401072261.8130002,1.0,540155687.067,1.0,2107135450.5210001,1.0,540155687.067,2107135450.5210001,1401072261.8130002,5158846375.5192,4.0,498506276.109,1401072261.8130002,1.0,540155687.067,1.0,540155687.067,1401072261.8130002,-0.947,3.0543146,7.718666,6.780198,7.6013575,0.4779483,7.6013575,-2.559,26051.8431679,-836130413.442751,0,3203086133.3333335,0,0.38553,61.1926657,156.856875,1.0428948,2.75,20.8746968,0.59051,1.23e-05,5.05,4.436,34.44,0.1288037,0.2009897,124980000,3451848960,27.6192108,6152,4279315456,4279315456,561093.7841352,0.079,0.191,0.1314401,0.0865806,0.1314401,0.0865806,0.09211,3.2849635,0.1648952,4.3107285,38.35,38.35,488739170.5878,1.0,122184792.64695,1.0,8.7558267,35.0233066,35.0233066,0.3240415,1.0,0.4750568,2.0,0.4750568,0.6902437,CNY,USD,0.156483,1.0,0.87,0.77,0.76,0,34.44,33.02,147.67,69.44795,-50.4089034,4.300424,-76.6777274,0.024771,0.025771,26.0063623,6.0,10.953025,2.0,0.8756087,6.0,0.0458858,0.5,0.1214272,0.5,0.278929,0.5,24.2184831,6.0,10.3807995,2.0,10.963025,0.0558858,0.288929,10.3907995,10.6769122,6473755894.846801,2.0,5705744409.0945015,1.5,5705744409.0945015,4793480165.173201,2.0,4440400556.618701,1.5,4440400556.618701,0.1946687,0.2216457,12487963866.666666,15743633666.666666,15743633666.666666,743036835.465,1.0,696387166.725,1.0,696387166.725,2.6976126,None
AXTA,Axalta Coating Systems Ltd.,Basic Materials,United States,1312358522864.837,4106573333.3333335,1.0,161313333.3333333,221833333.3333333,0.5,4353500000.0,1.0,280400000.0,1.0,3931050000.0,1.5,280400000.0,3931050000.0,4353500000.0,4106573333.3333335,1.0,161313333.3333333,4353500000.0,1.0,280400000.0,1.0,280400000.0,4353500000.0,2.505,2.505,27.749998,15.416666,26.2083315,1.7466608,26.2083315,12.036,13.1802219,761236342.3064141,616500000.0,811040000.0,616500000.0,0.06441,0.1763553,4.75,0.192493,2.75,0.1454194,0.99701,0.00222,2.16,1.2,33.34,0.0359928,5.276501,228351008,280400000,1.2279341,13000,10904287232,7604088320,21569.2307692,-0.162,0.06,0.4287287,-0.0975243,0.4287287,-0.0975243,-0.0143178,0.2485682,0.0206189,1.6859288,0.93,0.93,526600000.0,1.0,425500000.0,1.0,20.706964,25.626997,25.626997,4.0550196,1.0,3.958448,1.0,3.958448,1.9905849,USD,USD,1.0,1.0,0,0,0,0,0.1688311,26.42,34.2,30.53975,9.1691975,26.1922786,-2.5146199,1.7789203,31.69122,1.2583837,1.0,1.2609456,1.0,0.4400403,2.0,1142.0235294,8.0,0.9789399,1.0,0.4576067,0.5,7.1988738,3.0,1.1038062,0.5,1.2709456,1142.0335294,0.4676067,1.1138062,1.1923759,6980880000.0,1.0,7193360000.0,1.0,7193360000.0,1371140000.0,1.0,1442093333.3333333,1.0,1442093333.3333333,0.1389804,0.2944396,1582226666.6666667,1491466666.6666667,1491466666.6666667,5547173333.333333,1.0,5704733333.333333,1.0,5704733333.333333,1.3840414,None
AZEK,The AZEK Company Inc.,Industrials,United States,503894213.2019979,4079743733.3333335,4.0,14841400.0,-828652800.0,0.25,3536919000.0,3.0,93202000.0,1.0,-2509386666.6666665,0.375,93202000.0,-2509386666.6666665,3536919000.0,4079743733.3333335,4.0,14841400.0,3536919000.0,3.0,93202000.0,1.0,93202000.0,3536919000.0,5.595,5.595,69.84746,29.647482,64.8224627,5.412366,64.8224627,26.95,26.934763,245034923.9332097,245312000.0,181220466.6666667,245312000.0,0.07901,0.0255035,0.777,2.4917451,27.4725,0.8664195,0.97718,0.03072,1.39,0.59,41.35,0.0142684,4.4720564,154842000,93150000,0.601581,2000,6596224000,6381038592,46575.0,0.1900644,0.311,0.1900644,0.2390875,0.1900644,0.2390875,0.1900644,4.6096377,0.2930219,5.6631496,1.54,1.54,308256266.6666667,2.0,103839500.0,0.5,21.3985074,63.5232643,63.5232643,0.933891,1.0,1.0134176,2.0,1.0134176,1.0076865,USD,USD,1.0,1.0,0,0,0,0,0.1958792,33.28,51.32,41.5736,-0.5378413,24.2487981,-19.4271239,0.8946785,0.8956785,5.2622443,2.0,1.4898429,0.5,1.6742959,2.0,0.0440836,0.5,0.324525,1.0,0.1604699,0.5,6.0140994,2.0,1.6788541,0.5,1.4998429,0.0540836,0.1704699,1.6888541,1.5943485,4078106933.3333335,2.0,3160027800.0,1.5,3160027800.0,1207897533.3333333,1.0,2096391300.0,1.5,2096391300.0,0.129494,0.1444583,302573600.0,353329866.6666667,353329866.6666667,831155933.3333334,1.0,1063636500.0,1.5,1063636500.0,1.9992868,None
BAOS,Baosheng Media Group Holdings L,Communication Services,China,2.747310340468317e+16,9900758.1428571,0.0,22920405.1428571,64138771.7142857,2.0,4525366.0,0.0,125227.0,0.0,146024858.0,1.0,125227.0,146024858.0,4525366.0,9900758.1428571,0.25,22920405.1428571,4525366.0,1.0,125227.0,0.25,125227.0,4525366.0,7.178,7.178,341.1466217,341.1466217,341.1466217,9.440292,341.1466217,-16.09,4299.3560841,-1067499.9322561,-116198.0,23406740.5714286,-116198.0,0.11069,0.590577,0.0,-0.0167519,1.0,0.2291717,0.00081,0.72452,0,0.021,1.54,0.0136364,0.5426843,29260800,500908,0.0171187,78,32482522,42720768,6421.8974359,-0.5519194,-0.754,-0.5519194,-0.5243755,-0.5519194,-0.5243755,-0.5519194,0.1948081,-0.6965939,0.1803406,-618.109543,161.7836209,-23643533.1428571,0.5,-56113792.0,0.5,72788.4772705,57886.8774365,57886.8774365,3.1981592,2.0,0.5099254,1.0,0.5099254,0.7150906,USD,USD,1.0,1.0,0,0,0,0,-0.8329571,1.41,10.2,3.409065,-54.8263233,9.2198582,-84.9019608,0.0295791,0.0305791,20.2037304,12.0,3.6055749,1.0,2.9672296,2.0,3.4069132,1.0,0.0266094,0.3333333,0.0066524,1.0,10.1710161,6.0,3.4533106,1.0,3.6155749,3.4169132,0.0166524,3.4633106,3.5394428,177258225.1428571,2.0,103385640.8,1.0,103385640.8,71588047.7142857,2.0,72159831.4,1.0,72159831.4,0.1012113,0.1017354,35665424.7142857,66206667.0,66206667.0,26417544.3571429,0.5,31225809.4,1.0,31225809.4,1.8911465,None
BAP,Credicorp Ltd.,Financial Services,Peru,38655956254730.13,38259099257.400665,1.0,8415297134.726733,8679779476.546534,1.0,47672706836.612,1.0,25149207641.74,2.0,28647690640.842003,1.5,25149207641.74,28647690640.842003,47672706836.612,38259099257.400665,1.0,8415297134.726733,47672706836.612,1.0,25149207641.74,2.0,25149207641.74,47672706836.612,-0.141,0.2007385,12.327154,2.3314607,11.0776923,0.7945342,14.7702564,0,100000,0.0,831973000.0,447086200.0,831973000.0,0.2638,0.5642223,4.75,2.5716167,8.9375,1.134213,0.65124,0.30475,51.62,9.763,120.4,0.081088,0.3798675,79516000,3177370112,39.9588776,35733,9569750016,9569750016,88919.769177,10.125,0.851,-0.5085372,-0.2122245,-0.5085372,-0.2122245,7.4666157,27.5751088,0.5851939,7.8997965,1.03,1.03,-64582503838.0652,0.5,-161468824819.588,0.5,674860.9287608,5926.6858644,5926.6858644,3.7394898,0.5,4.4366374,0.5,4.4366374,2.1073327,PEN,USD,3.957551,1.0,0.44,4.835,3.738,2.316,-0.1174098,88.67,169.5,127.43525,-5.5206468,35.784369,-28.9675516,0.7851045,0.7861045,1.1394521,1.0,1.1150018,1.0,12.3314706,1.0,4.5661786,1.0,10.353523,1.0,11.0454573,1.0,0.1696748,0.5,0.3667956,1.0,1.1250018,4.5761786,11.0554573,0.3767956,0.7508987,1675724897149.3733,2.0,1471591346697.0625,1.5,1471591346697.0625,98662762992.93353,1.0,99160704434.28413,1.0,99160704434.28413,0.1170898,0.3536207,-92240988333.33333,-111334793000.0,-111334793000.0,1474503865065.0637,2.0,1319845362334.1113,1.5,1319845362334.1113,1e-05,None
