Symbol,Name,Sector,Value,Close,Grade
BABA,Alibaba Group Holding Limited,Consumer Cyclical,225.52837/-0.20977,161.58,3315.5403
LEN.B,Lennar Corporation,Consumer Cyclical,1884.86384/0.03875,90.49,3034.2681
GTN.A,Gray Television  Inc.,Communication Services,2067.69591/-0.29922,21.0,2203.9978
LBTYB,Liberty Global plc,Communication Services,2042.42546/-0.43556,29.32,1991.794
PKX,POSCO,Basic Materials,0.00028/-0.70528,57.75,1984.4188
SID,Companhia Siderurgica Nacional ,Basic Materials,1.8297/-0.36725,3.8,1893.4766
LX,LexinFintech Holdings Ltd.,Financial Services,67.01569/-0.15633,5.41,1728.5394
VIPS,Vipshop Holdings Limited,Consumer Cyclical,3600764.00419/-0.1072,12.23,1691.7123
BAP,Credicorp Ltd.,Financial Services,38655956254730.13/-0.22615,120.4,1688.1027
CO,Global Cord Blood Corporation,Healthcare,6347.80068/-0.34355,4.29,1637.0646
PHI,PLDT Inc. Sponsored,Communication Services,73207.16148/0.17254,34.18,1532.9127
GGB,Gerdau S.A.,Basic Materials,2.78793/-0.30782,4.55,1495.202
EPD,Enterprise Products Partners L.,Energy,12339.73212/-0.23905,22.27,1413.6416
TSM,Taiwan Semiconductor Manufactur,Technology,0.23128/-0.13635,119.06,1390.0779
GTN,Gray Television  Inc.,Communication Services,2099.93056/-0.11295,22.31,1346.7363
FOX,Fox Corporation,Communication Services,76923.6925/-0.18899,37.54,1292.1422
UMC,United Microelectronics Corpora,Technology,0.06844/0.02563,11.3,1248.0251
OPY,Oppenheimer Holdings  Inc.,Financial Services,630438.48919/0.0426,52.03,1223.5723
PANL,Pangaea Logistics Solutions Ltd,Industrials,60.66951/-0.3522,3.81,1219.2939
SEB,Seaboard Corporation,Industrials,88.036/-0.43345,3943.05,1203.2449
ORAN,Orange,Communication Services,619616930398.5986/-0.03589,11.06,1157.1395
USM,United States Cellular Corporat,Communication Services,98128.85241/-0.2881,31.59,1141.9374
UHS,Universal Health Services  Inc.,Healthcare,18728.00247/-0.16794,127.26,1139.8886
DHI,D.R. Horton  Inc.,Consumer Cyclical,9450.04295/0.07078,101.54,1089.0869
JEF,Jefferies Financial Group Inc.,Financial Services,437557.6915/-0.02967,40.54,1081.5489
SNFCA,Security National Financial Cor,Financial Services,475.54646/-0.18739,8.98,1069.6761
SVA,None,Healthcare,23762832416.78809/-0.10836,6.47,1019.4836
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,478250.00326/-0.20492,51.99,999.4618
BRK.A,Berkshire Hathaway Inc.,Financial Services,3889991190.01158/-0.06256,426198.0,987.5835
THO,Thor Industries  Inc.,Consumer Cyclical,58.82549/-0.2448,111.56,963.7564
TX,Ternium S.A. Ternium S.A.,Basic Materials,108.94383/-0.24448,39.28,934.3324
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,91.07999/-0.11176,34.72,884.7569
EBS,Emergent Biosolutions  Inc.,Healthcare,19.26847/-0.24793,40.9,879.5155
ELP,Companhia Paranaense de Energia,Utilities,13138760641.18752/-0.12016,5.4,853.9845
DAC,Danaos Corporation,Industrials,21.11255/-0.26172,71.71,852.8473
LYB,LyondellBasell Industries NV,Basic Materials,1.95813/-0.33095,91.99,843.5197
MFC,Manulife Financial Corporation,Financial Services,5883391.23991/-0.01717,20.31,833.9152
TME,Tencent Music Entertainment Gro,Communication Services,65020266.1578/-0.13426,8.06,816.9247
ABEV,Ambev S.A.,Consumer Defensive,100424.08884/-0.1677,3.11,799.6911
ASX,ASE Technology Holding Co.  Ltd,Technology,51.71642/-0.0839,7.61,771.259
MPB,Mid Penn Bancorp,Financial Services,1834463496685.4/0.07475,29.88,767.2202
GHC,Graham Holdings Company,Consumer Defensive,1992.92951/-0.20804,602.0,763.5055
MBT,Mobile TeleSystems Public Joint,Communication Services,758570948.30669/-0.24581,8.69,759.7452
KMPR,Kemper Corporation,Financial Services,174374.89401/-0.11371,59.46,755.0447
WIT,Wipro Limited,Technology,4763292157.19008/0.13616,9.09,713.6584
BIO.B,Bio-Rad Laboratories  Inc.,Healthcare,206898.58752/-0.48737,720.35,692.6713
FLGT,Fulgent Genetics  Inc.,Healthcare,18063.63052/-0.97637,98.32,689.9911
APT,Alpha Pro Tech  Ltd.,Industrials,97721.6595/-0.23294,5.18,682.9793
QFIN,360 DigiTech  Inc.,Financial Services,107515289382.15602/0.23401,26.83,681.9484
CIG,Comp En De Mn Cemig,Utilities,113645.1765/-0.15671,2.39,671.3625
HIMX,Himax Technologies  Inc.,Technology,0.06951/-0.47658,10.04,640.5151
CCS,Century Communities  Inc.,Consumer Cyclical,1677.94155/-0.07439,73.74,628.3701
VALE,VALE S.A.,Basic Materials,16.02759/-0.34114,11.81,627.8458
SENEB,Seneca Foods Corp.,Consumer Defensive,265.13617/-0.32741,48.68,627.453
RJF,Raymond James Financial  Inc.,Financial Services,865802166.49725/0.23057,98.54,626.0804
HNNA,Hennessy Advisors  Inc.,Financial Services,2709.51461/-0.30794,10.78,618.7097
MS,Morgan Stanley,Financial Services,53202013077.09888/0.09331,97.68,611.5269
NL,NL Industries  Inc.,Industrials,276458475.33907/-0.30521,7.23,608.8561
BEDU,Bright Scholar Education Holdin,Consumer Defensive,221.53935/-0.22217,1.91,602.5303
BRK.B,Berkshire Hathaway Inc. New,Financial Services,3211447891549.7314/0.32834,281.59,601.6937
CI,Cigna Corporation,Healthcare,24358.0019/-0.14177,216.98,600.7993
SRAD,Sportradar Group AG,Technology,10279497467151.232/-0.37814,21.16,596.0251
FRO,Frontline Ltd.,Energy,65987702344.31172/-0.22906,7.6,594.7604
DISH,DISH Network Corporation,Communication Services,1276655615.8387/-0.14463,35.46,589.7494
TGS,Transportadora de Gas del Sur S,Energy,3.00912/-0.16249,5.18,581.0504
WLK,Westlake Chemical Corporation,Basic Materials,15.67398/-0.30058,101.33,580.9072
LIVE,Live Ventures Incorporated,Consumer Cyclical,9.91499/-0.2761,34.05,577.033
LBTYK,Liberty Global plc,Communication Services,1075016.82457/0.00077,28.44,573.3597
ESGR,Enstar Group Limited,Financial Services,21586047.24821/-0.14889,234.27,569.2439
QRTEB,Liberty Interactive Corporation,Consumer Cyclical,8057.99593/-0.37849,8.795,568.8918
ONEW,OneWater Marine Inc.,Consumer Cyclical,0.1743/-0.11926,50.7,559.9213
BIO,Bio-Rad Laboratories  Inc.,Healthcare,20057.46636/-0.01911,779.99,557.199
QIWI,QIWI plc,Technology,16842.47386/-0.19296,8.79,538.3949
WLKP,Westlake Chemical Partners LP,Basic Materials,174.57849/-0.27769,24.49,535.6849
TDS,Telephone and Data Systems  Inc,Communication Services,20421.64639/-0.07332,19.76,530.3935
FDP,Fresh Del Monte Produce  Inc.,Consumer Defensive,580.57524/-0.21386,27.75,527.0357
MHO,M/I Homes  Inc.,Consumer Cyclical,7.00172/-0.1788,60.85,513.3467
WOR,Worthington Industries  Inc.,Industrials,100.52277/-0.34135,54.42,513.2025
RILY,B. Riley Financial  Inc.,Financial Services,11422189573318.283/0.20525,78.37,507.3235
STNE,StoneCo Ltd.,Technology,55022946157.07029/-0.19643,20.7,504.3433
PFSI,PennyMac Financial Services  In,Financial Services,38180354252193.07/-0.15855,62.9,495.0661
BEN,Franklin Resources  Inc.,Financial Services,3337.47754/-0.14343,35.0,490.3974
LAKE,Lakeland Industries  Inc.,Consumer Cyclical,0.49274/-0.14839,20.68,490.3192
ATH,Athene Holding Ltd.,Financial Services,3729241587.92956/0.25532,85.87,488.3231
ULH,Universal Logistics Holdings  I,Industrials,3.57152/-0.46398,20.45,478.552
CMCL,Caledonia Mining Corporation Pl,Basic Materials,60862705.50308/-0.13992,13.95,474.1155
OVLY,Oak Valley Bancorp (CA),Financial Services,88569754575049.31/-0.11779,17.98,473.2589
KNOP,KNOT Offshore Partners LP,Industrials,117033179.43242/-0.05957,18.33,468.9237
MET,MetLife  Inc.,Financial Services,9063465.03982/-0.05355,63.13,467.6476
SMLP,Summit Midstream Partners  LP,Energy,867605291.54043/-0.23257,29.38,459.1858
PLPC,Preformed Line Products Company,Industrials,1315622.63646/-0.27755,68.67,458.0834
BRFS,BRF S.A.,Consumer Defensive,577299212.35984/-0.1723,4.1,451.5696
HUN,Huntsman Corporation,Basic Materials,82933.42263/0.03746,33.01,448.4111
TGH,Textainer Group Holdings Limite,Industrials,4102733.0992/0.08757,37.16,441.0591
JRSH,Jerash Holdings (US)  Inc.,Consumer Cyclical,309.94016/-0.43314,7.51,440.0158
PHM,PulteGroup  Inc.,Consumer Cyclical,847.28402/-0.17649,52.36,436.3078
OBCI,Ocean Bio-Chem  Inc.,Industrials,4574.45978/-0.38445,10.4,434.8956
HBT,HBT Financial  Inc.,Financial Services,25206531055894.438/-0.12375,18.3,434.1604
TKC,Turkcell Iletisim Hizmetleri AS,Communication Services,16152588479.76623/-0.10835,4.23,430.6968
AFL,AFLAC Incorporated,Financial Services,8917803.02517/0.3218,56.92,425.8312
LEN,Lennar Corporation,Consumer Cyclical,5784.80067/0.1954,110.38,424.7752
KRO,Kronos Worldwide Inc,Basic Materials,46.06371/-0.40958,14.12,423.0055
Y,Alleghany Corporation,Financial Services,30237.98865/-0.03666,693.17,422.8163
AM,Antero Midstream Corporation,Energy,126922.69822/-0.0435,10.47,420.8388
KB,KB Financial Group Inc,Financial Services,1.455173330009508e+21/0.21959,47.16,418.5238
BDL,Flanigan's Enterprises  Inc.,Consumer Cyclical,138111.63031/-0.38744,33.79,412.206
ZIM,ZIM Integrated Shipping Service,Industrials,17877728.0788/0.31427,52.8,411.107
MT,Arcelor Mittal NY Registry Shar,Basic Materials,69857.99558/-0.13212,30.14,409.9676
FSBW,FS Bancorp  Inc.,Financial Services,828548448262004.0/0.13361,34.55,406.4532
LARK,Landmark Bancorp Inc.,Financial Services,9.578626997223491e+16/0.22318,28.25,399.3148
EDU,New Oriental Education & Techno,Consumer Defensive,312903.45432/-0.1113,2.2,397.4161
FOR,Forestar Group Inc,Real Estate,657694617.08581/-0.36994,21.37,396.3132
ANAT,American National Group  Inc.,Financial Services,145790086.85138/0.32535,189.23,387.6995
UBOH,United Bancshares  Inc.,Financial Services,8.006553974808329e+18/-0.03374,29.09,386.8698
BSBR,Banco Santander Brasil SA,Financial Services,5.409755142920137e+16/-0.13681,6.19,385.5753
ATHM,Autohome Inc.,Communication Services,307232897.67006/-0.1486,34.44,380.8465
HMLP,Hoegh LNG Partners LP,Energy,13346.22657/-0.19865,4.52,380.2244
FONR,Fonar Corporation,Healthcare,31264.60928/-0.10226,17.44,377.4682
MPLX,MPLX LP,Energy,241659.24817/-0.15629,30.07,377.3035
BBY,Best Buy Co.  Inc.,Consumer Cyclical,27493.25975/0.11753,132.86,375.6923
VMW,Vmware  Inc.,Technology,121349.49405/-0.21798,123.3,367.2315
SBFG,SB Financial Group  Inc.,Financial Services,4.4127845503721775e+19/0.12494,19.12,366.2391
MFIN,Medallion Financial Corp.,Financial Services,26970.01319/-0.08507,8.38,365.2608
BSVN,Bank7 Corp.,Financial Services,21406016926063.832/0.05549,25.5,359.2509
LGIH,LGI Homes  Inc.,Consumer Cyclical,95.55176/-0.26097,147.46,358.5073
STLD,Steel Dynamics  Inc.,Basic Materials,66.21911/-0.21053,62.96,356.6773
DSWL,Deswell Industries  Inc.,Technology,58891.28629/-0.29911,4.75,353.216
SENEA,Seneca Foods Corp.,Consumer Defensive,2217.95407/-0.15343,47.94,351.5097
TTEC,TTEC Holdings  Inc.,Technology,2282.36385/-0.37306,88.32,350.6714
AMKR,Amkor Technology  Inc.,Technology,1640.53102/-0.29258,24.45,349.8425
BSAC,Banco Santander - Chile,Financial Services,0.0/-0.06592,17.72,346.7807
PLAB,Photronics  Inc.,Technology,9301.6083/0.0127,14.04,345.9052
FF,FutureFuel Corp.,Basic Materials,1890372154.57593/-0.26763,8.55,345.6853
BIDU,Baidu  Inc.,Communication Services,61165716193329.836/-0.45154,161.82,338.4749
CRMT,America's Car-Mart  Inc.,Consumer Cyclical,623965.59217/-0.21832,123.37,334.1194
CFFI,C&F Financial Corporation,Financial Services,126872688541601.47/0.09425,50.96,331.216
UNM,Unum Group,Financial Services,969638.18248/-0.07096,26.38,329.7324
NOMD,Nomad Foods Limited,Consumer Defensive,3640048.49324/-0.11531,24.0,328.3899
TROX,Tronox Holdings plc,Basic Materials,112871.18481/0.01433,23.98,314.893
ANET,Arista Networks  Inc.,Technology,2807742.6464/0.29893,132.08,312.9689
EBMT,Eagle Bancorp Montana  Inc.,Financial Services,10157427213360.117/-0.07405,23.0,312.5497
PTR,PetroChina Company Limited,Energy,410661539439.078/-0.07414,46.2,312.0863
LBTYA,Liberty Global plc,Communication Services,737583377288.8889/0.10034,28.43,309.907
HTH,Hilltop Holdings Inc.,Financial Services,3675765961.17401/0.07069,37.07,307.8117
ALL,Allstate Corporation (The),Financial Services,641614944.01069/-0.10579,113.23,306.3218
PAGS,PagSeguro Digital Ltd.,Technology,122004802.00653/-0.19349,32.55,303.1985
VBFC,Village Bank and Trust Financia,Financial Services,258392704512489.8/-0.00055,57.55,302.0413
KBH,KB Home,Consumer Cyclical,174750110.87226/-0.18302,43.81,301.7074
FFHL,Fuwei Films (Holdings) Co.  Ltd,Consumer Cyclical,0.40923/-0.31812,9.34,301.6053
SEM,Select Medical Holdings Corpora,Healthcare,896.51765/-0.22551,32.65,298.7468
SC,Santander Consumer USA Holdings,Financial Services,2674557375.77222/0.22682,41.76,296.325
EBR.B,Centrais Electricas Brasileiras,Utilities,453973536488.17267/0.12533,5.82,294.2306
BIF,Boulder Growth & Income Fund  I,Financial Services,616931635984943.2/-0.12941,13.31,292.9454
SNP,China Petroleum & Chemical Corp,Energy,13913954508.3166/-0.13386,48.14,292.8193
XP,XP Inc.,Financial Services,67557375093.1749/-0.39253,29.15,289.9753
NCBS,Nicolet Bankshares Inc.,Financial Services,3848265344554.471/-0.06896,73.71,289.9577
FKWL,Franklin Wireless Corp.,Technology,1.10286/-0.18946,4.53,289.8052
ALCO,Alico  Inc.,Consumer Defensive,46039.02318/-0.21673,36.42,289.035
CANG,Cango Inc.,Communication Services,1914091.86583/-0.30166,4.37,287.0533
COF,Capital One Financial Corporati,Financial Services,60448383852.01231/-0.06672,151.95,286.2264
SPFI,South Plains Financial  Inc.,Financial Services,1.2238941452527886e+16/0.22893,25.95,286.0236
SLGN,Silgan Holdings Inc.,Consumer Cyclical,4000543.07061/0.08637,43.19,284.0135
QD,Qudian Inc.,Financial Services,515163584.94268/-0.14447,1.7,280.8834
SKM,SK Telecom Co.  Ltd.,Communication Services,105262.89823/-0.38328,31.24,278.94
EBR,Centrais Electricas Brasileiras,Utilities,658854970255.266/0.12662,5.93,278.669
ET,Energy Transfer LP,Energy,35592991212.22775/-0.15568,8.98,277.0587
CONN,Conn's  Inc.,Consumer Cyclical,533.10751/-0.26131,23.07,275.0104
NECB,NorthEast Community Bancorp  In,Financial Services,927904013478762.1/-0.17072,11.13,274.1032
CBNK,Capital Bancorp  Inc.,Financial Services,156504938062857.78/0.26232,27.05,273.4329
PGR,Progressive Corporation (The),Financial Services,20642571910.83815/-0.08856,90.73,273.4246
PBR.A,Petroleo Brasileiro S.A.- Petro,Energy,4149739.89036/-0.18215,9.6,272.6845
TMHC,Taylor Morrison Home Corporatio,Consumer Cyclical,249302.58303/0.33732,33.42,270.0136
BBD,Banco Bradesco Sa,Financial Services,6.663515263650397e+20/-0.06747,3.75,268.0651
AGR,Avangrid  Inc.,Utilities,102060866.25661/-0.2322,51.33,267.3247
SNX,TD SYNNEX Corporation,Technology,649.49341/-0.16271,113.14,264.2273
BSRR,Sierra Bancorp,Financial Services,189264062910842.97/-0.00899,26.85,263.626
CFBK,CF Bankshares Inc.,Financial Services,7.287477809921856e+21/0.08508,21.4,263.2635
TRV,The Travelers Companies  Inc.,Financial Services,11236921.14479/0.06865,156.42,261.283
RIO,Rio Tinto Plc,Basic Materials,108108.56308/-0.2271,60.67,260.9701
MUFG,Mitsubishi UFJ Financial Group ,Financial Services,4.424915024903683e+19/0.0555,5.61,260.5182
WGO,Winnebago Industries  Inc.,Consumer Cyclical,8034.98638/-0.225,72.7,257.8772
SCCO,Southern Copper Corporation,Basic Materials,520.8633/-0.46113,60.02,255.7914
MEI,Methode Electronics  Inc.,Technology,53939.84833/0.04118,47.77,255.4426
FCCY,1st Constitution Bancorp (NJ),Financial Services,59175364909491.04/0.33244,25.06,253.4304
FSI,Flexible Solutions Internationa,Basic Materials,19292.77466/-0.29926,3.82,253.1047
IBA,Industrias Bachoco  S.A.B. de C,Consumer Defensive,585777467.43616/-0.101,41.4,252.0672
AFG,American Financial Group  Inc.,Financial Services,3412909.31333/0.22275,140.95,251.6472
FCNCA,First Citizens BancShares  Inc.,Financial Services,2.900332218283379e+24/0.03469,823.25,251.2714
PSEC,Prospect Capital Corporation,Financial Services,21719872882522.27/0.2215,8.85,250.6221
FINV,FinVolution Group,Financial Services,22252764.53267/-0.00511,6.66,249.9527
ESGRP,Enstar Group Limited - Deposita,Financial Services,1285.8631/-0.18488,28.58,248.2214
GRBK,Green Brick Partners  Inc.,Consumer Cyclical,3574949799.21325/0.16327,26.99,246.9254
CWBC,Community West Bancshares,Financial Services,1993756976860928.0/-0.03162,13.0,242.3309
MBIN,Merchants Bancorp,Financial Services,16188835873.80446/0.0249,46.09,241.4609
CSIQ,Canadian Solar Inc.,Technology,10323580.18754/-0.22746,38.64,240.3022
ZTO,ZTO Express (Cayman) Inc.,Industrials,939834.20691/-0.1599,28.82,239.134
SSNC,SS&C Technologies Holdings  Inc,Technology,158194966.25633/0.26359,79.24,238.1702
VIACA,ViacomCBS Inc.,Communication Services,1510619104.20122/-0.19662,38.15,233.7701
DXF,Dunxin Financial Holdings Limit,Financial Services,16507044717.1769/-0.20625,1.19,230.0748
MCY,Mercury General Corporation,Financial Services,22063.68805/-0.23635,51.78,229.289
CHNR,China Natural Resources  Inc.,Basic Materials,38114235.5046/-0.38178,1.1,226.7889
GSMG,Glory Star New Media Group Hold,Communication Services,12.60158/-0.29815,1.64,226.398
KOP,Koppers Holdings Inc. Koppers H,Basic Materials,3539.49875/-0.11822,33.19,226.0952
EQX,Equinox Gold Corp.,Basic Materials,21809.00457/-0.22557,8.47,225.2877
FHN,First Horizon Corporation,Financial Services,63010873661114.14/-0.1308,17.16,222.0962
PB,Prosperity Bancshares  Inc.,Financial Services,4.038193921642113e+16/0.03568,75.58,221.7762
TSBK,Timberland Bancorp  Inc.,Financial Services,1355443000502.5117/-0.00082,28.15,221.5322
UNTY,Unity Bancorp  Inc.,Financial Services,5056590929913248.0/0.04992,26.57,221.4039
THFF,First Financial Corporation Ind,Financial Services,13269380690768.701/0.05513,44.51,221.2673
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,86834361.69148/-0.04491,35.68,220.8366
MHK,Mohawk Industries  Inc.,Consumer Cyclical,17007.14399/-0.19015,175.03,220.6773
COHN,Cohen & Company Inc.,Financial Services,3224753305799.439/-0.09263,17.79,220.3378
LNC,Lincoln National Corporation,Financial Services,23016651625.44212/0.18009,72.08,218.7759
FBC,Flagstar Bancorp  Inc.,Financial Services,2.5606240816675148e+19/0.03533,47.43,218.7141
SHG,Shinhan Financial Group Co Ltd,Financial Services,8.019684732330435e+19/0.07859,31.45,218.0093
LSBK,Lake Shore Bancorp  Inc.,Financial Services,3129386651758.3657/-0.11836,15.17,217.7867
VSH,Vishay Intertechnology  Inc.,Technology,104.51489/-0.17522,21.56,217.4676
PBR,Petroleo Brasileiro S.A.- Petro,Energy,2250237787365.974/-0.11899,10.04,213.7663
UBCP,United Bancorp  Inc.,Financial Services,46122297830872.445/-0.02875,15.15,213.6821
ABCB,Ameris Bancorp,Financial Services,2.8093284669041976e+16/0.10056,52.48,211.3448
ESEA,Euroseas Ltd.,Industrials,3038560.96449/-0.4688,26.84,211.1647
AVNW,Aviat Networks  Inc.,Technology,460395.15769/-0.44639,31.0,210.7326
MFG,Mizuho Financial Group  Inc. Sp,Financial Services,109597907738627.11/-0.03262,2.61,210.7321
HMNF,HMN Financial  Inc.,Financial Services,18542748502945.992/0.10373,23.65,210.0685
STXB,Spirit of Texas Bancshares  Inc,Financial Services,551854125757944.75/-0.05941,25.35,209.3264
FNCB,FNCB Bancorp Inc. Common Stock,Financial Services,43557984896073.64/0.45617,9.03,209.1076
MYFW,First Western Financial  Inc.,Financial Services,2.6348932240439738e+17/0.33476,31.24,208.8608
EBTC,Enterprise Bancorp Inc,Financial Services,469787267832216.94/0.23515,39.48,208.2127
DCP,DCP Midstream   LP,Energy,78904922.75/-0.17479,29.88,207.2844
RS,Reliance Steel & Aluminum Co.,Basic Materials,2809.53479/-0.17531,158.5725,205.5346
BMA,Banco Macro S.A.,Financial Services,0.33251/-0.00377,15.56,204.751
AVAL,Grupo Aval Acciones y Valores S,Financial Services,0.00123/-0.07012,5.42,204.6958
C,Citigroup  Inc.,Financial Services,483520993526.74756/-0.08504,66.85,204.6538
EHTH,eHealth  Inc.,Financial Services,4400525.81843/-0.36556,26.1,204.6025
JD,JD.com  Inc.,Consumer Cyclical,3427.55413/-0.22539,83.15,201.5408
PKBK,Parke Bancorp  Inc.,Financial Services,2137697351963660.5/0.06426,21.99,200.2595
SAL,Salisbury Bancorp  Inc.,Financial Services,1.7321944784605804e+18/0.22582,53.75,197.274
SMG,Scotts Miracle-Gro Company (The,Basic Materials,97283.75905/-0.24167,168.75,197.0688
RBCAA,Republic Bancorp  Inc.,Financial Services,1639875547308.299/0.24074,55.71,197.0268
KOF,Coca Cola Femsa S.A.B. de C.V.,Consumer Defensive,290.40481/-0.16353,51.32,195.5247
LOMA,Loma Negra Compania Industrial ,Basic Materials,254.39827/-0.07782,6.66,195.4514
ORRF,Orrstown Financial Services Inc,Financial Services,931536011717829.5/0.28194,24.77,194.6362
TPC,Tutor Perini Corporation,Industrials,11236664552.26848/-0.12487,14.22,194.2127
SAFT,Safety Insurance Group  Inc.,Financial Services,2773746.02452/-0.1144,79.47,193.6868
MTZ,MasTec  Inc.,Industrials,2523557.77382/-0.20427,94.7,192.399
LEVL,Level One Bancorp  Inc.,Financial Services,1.6117584161151938e+16/0.30558,39.3,192.0521
JOBS,51job  Inc.,Industrials,223490440.85288/-0.28271,51.13,191.5071
CSTR,CapStar Financial Holdings  Inc,Financial Services,4192383687550549.0/0.24175,21.89,189.2855
GSBC,Great Southern Bancorp  Inc.,Financial Services,123914417162803.83/0.10158,57.98,188.9376
NC,NACCO Industries  Inc.,Energy,5293634060.20867/-0.28552,32.09,188.8316
HONE,HarborOne Bancorp  Inc.,Financial Services,1.3244493800100364e+16/0.27901,14.87,188.6525
ACU,Acme,Consumer Defensive,564.03048/-0.17857,36.0,188.6469
ESGRO,Enstar Group Limited - Deposito,Financial Services,39177.45176/-0.15937,26.64,188.0574
CPB,Campbell Soup Company,Consumer Defensive,104065.11405/-0.21966,41.59,187.9028
CINF,Cincinnati Financial Corporatio,Financial Services,361323.74416/0.06909,118.75,187.3964
BG,Bunge Limited Bunge Limited,Consumer Defensive,1931299052454305.0/0.3618,95.63,186.2449
GLOP,GasLog Partners LP,Energy,1194011483931.168/0.02024,5.04,186.0254
SF,Stifel Financial Corporation,Financial Services,481563273490.8239/0.27225,75.15,184.9174
FDX,FedEx Corporation,Industrials,6039.66643/-0.20694,247.35,182.786
OMF,OneMain Holdings  Inc.,Financial Services,29486728.41399/-0.24139,51.02,182.4125
CBD,Companhia Brasileira de Distrib,Consumer Cyclical,474869101.25468/-0.09821,4.14,182.3113
FUNC,First,Financial Services,2444798469179148.0/0.15324,19.48,182.0566
CNNE,Cannae Holdings  Inc.,Consumer Cyclical,1445257526047.9106/-0.22845,34.05,182.0207
DRD,DRDGOLD Limited,Basic Materials,134.8753/-0.2212,9.87,181.6492
FUTU,Futu Holdings Limited,Financial Services,210775153151.11035/-0.18795,55.3,181.1206
XRX,Xerox Holdings Corporation,Technology,933069986.66439/-0.14597,19.61,180.9309
MGPI,MGP Ingredients  Inc.,Consumer Defensive,113309.92197/0.01959,76.0,179.2862
OCCI,OFS Credit Company  Inc.,Financial Services,3.992005816270009e+16/-0.12079,13.6,178.6039
RRBI,Red River Bancshares  Inc.,Financial Services,1.4283182816380688e+16/-0.14837,52.59,178.2866
HHR,HeadHunter Group PLC,Industrials,165421770.84252/-0.14512,62.05,177.7181
MRBK,Meridian Corporation,Financial Services,158937708617081.3/0.17011,34.89,177.6089
LCNB,LCNB Corporation,Financial Services,2.5202720510971716e+16/0.09175,18.66,174.3691
WRB,W.R. Berkley Corporation,Financial Services,7962337.50053/0.28675,81.66,174.1489
CACI,CACI International  Inc.,Technology,411336.58744/0.0712,278.7,173.6732
UHAL,Amerco,Industrials,139525.90265/0.10893,748.0,173.1366
CVBF,CVB Financial Corporation,Financial Services,141925798958491.5/-0.06252,20.9,173.1062
CAJ,Canon  Inc.,Technology,19475.12767/-0.23342,22.56,172.3928
MN,Manning & Napier  Inc.,Financial Services,782.05313/-0.10074,8.9,172.3345
L,Loews Corporation,Financial Services,7504176820834.83/0.12731,57.17,171.9583
ALRS,Alerus Financial Corporation,Financial Services,2415051837685190.5/-0.00726,33.25,171.0497
MOMO,Hello Group Inc.,Communication Services,6465930.79044/-0.08377,13.45,170.8833
DHT,DHT Holdings  Inc.,Energy,1913051681356596.0/-0.08509,5.85,170.5763
NYMT,New York Mortgage Trust  Inc.,Real Estate,90055752085596.02/-0.96695,4.05,170.4275
ETRN,Equitrans Midstream Corporation,Energy,1.2800328823281375e+18/0.15609,10.54,170.1795
NBN,Northeast Bank,Financial Services,11639434159156.715/-0.0379,33.25,169.5683
HMC,Honda Motor Company  Ltd.,Consumer Cyclical,189554.59133/-0.25121,28.37,169.3758
IVZ,Invesco Ltd,Financial Services,15512.19564/-0.11832,24.94,169.3006
VOXX,VOXX International Corporation,Technology,278.71312/-0.30714,12.46,169.2769
NTES,NetEase  Inc.,Communication Services,2.2808400529505687e+18/0.10482,112.49,168.1023
SMMF,Summit Financial Group  Inc.,Financial Services,710639734591458.0/0.20102,26.91,168.0356
HMY,Harmony Gold Mining Company Lim,Basic Materials,577.729/-0.19937,4.25,167.9577
KELYB,Kelly Services  Inc.,Industrials,10125.33438/-0.3899,18.05,167.6222
ENVA,Enova International  Inc.,Financial Services,53370972.99967/0.13363,40.97,167.0127
CCBG,Capital City Bank Group,Financial Services,1.931260695984585e+17/0.14256,27.69,166.9587
ORI,Old Republic International Corp,Financial Services,29747175.00344/0.22949,25.71,166.5009
FGBI,First Guaranty Bancshares  Inc.,Financial Services,1.0311742734792307e+17/0.22067,22.95,166.0506
ITUB,Itau Unibanco Banco Holding SA,Financial Services,2.068989217252999e+22/-0.09653,4.1,166.0191
CAG,ConAgra Brands  Inc.,Consumer Defensive,215324753.54605/-0.08553,31.81,164.0652
FOXA,Fox Corporation,Communication Services,2167674.90878/-0.02544,40.29,164.0339
