Symbol,Name,Sector,Value,Close,Grade
AKO.A,Embotelladora Andina S.A.,Consumer Defensive,0.0,10.11,0.0004
AKO.B,Embotelladora Andina S.A.,Consumer Defensive,0.0,12.21,0.0004
AVAL,Grupo Aval Acciones y Valores S,Financial Services,0.0,5.37,0.0004
BBAR,Banco BBVA Argentina S.A.,Financial Services,0.0,3.36,0.0004
BCH,Banco De Chile Banco De Chile,Financial Services,0.0,18.48,0.0004
BSAC,Banco Santander - Chile,Financial Services,0.0,17.21,0.0004
CCU,Compania Cervecerias Unidas  S.,Consumer Defensive,0.0,16.26,0.0004
CIB,BanColombia S.A.,Financial Services,0.0,35.42,0.0004
ENIC,Enel Chile S.A.,Utilities,0.0,2.07,0.0004
PKX,POSCO,Basic Materials,0.0,60.15,0.0004
BMA,Banco Macro S.A.,Financial Services,0.0,14.62,0.0004
AM,Antero Midstream Corporation,Energy,2e-05,9.68,0.0004
AGIO,Agios Pharmaceuticals  Inc.,Healthcare,2e-05,34.83,0.0004
GRVY,GRAVITY Co.  Ltd.,Communication Services,8e-05,78.96,0.0004
UMC,United Microelectronics Corpora,Technology,0.00012,12.15,0.0004
GGB,Gerdau S.A.,Basic Materials,0.00014,4.83,0.0004
ZIM,ZIM Integrated Shipping Service,Industrials,0.00015,54.83,0.0004
WF,Woori Financial Group Inc.,Financial Services,0.00015,32.29,0.0004
QIWI,QIWI plc,Technology,0.00016,8.24,0.0004
SUPV,Grupo Supervielle S.A.,Financial Services,0.00027,2.08,0.0004
OPFI,OppFi Inc.,Technology,0.00033,4.66,0.0004
GGAL,Grupo Financiero Galicia S.A.,Financial Services,0.00034,9.53,0.0004
OG,Onion Global Limited,Technology,0.00041,4.2,0.0004
PNFPP,Pinnacle Financial Partners  In,Financial Services,0.00077,28.0,0.0004
XBIT,XBiotech Inc.,Healthcare,0.0009,11.77,0.0004
QFIN,360 DigiTech  Inc.,Financial Services,0.0011,21.99,0.0004
PHI,PLDT Inc. Sponsored,Communication Services,0.00112,32.29,0.0004
SBSW,D/B/A Sibanye-Stillwater Limite,Basic Materials,0.00122,12.76,0.0004
WIT,Wipro Limited,Technology,0.00156,8.75,0.0004
KB,KB Financial Group Inc,Financial Services,0.0017,47.19,0.0004
CANG,Cango Inc.,Communication Services,0.00175,2.86,0.0004
