Symbol,Name,Sector,Value,Close,Grade
AGIO,Agios Pharmaceuticals  Inc.,Healthcare,-0.99064,34.83,0.0004
XBIT,XBiotech Inc.,Healthcare,-0.07608,11.77,0.0004
AKO.A,Embotelladora Andina S.A.,Consumer Defensive,5e-05,10.11,0.0004
FKWL,Franklin Wireless Corp.,Technology,0.00013,3.72,0.0004
CPOP,Pop Culture Group Co.  Ltd,Communication Services,0.00015,1.85,0.0004
YGMZ,MingZhu Logistics Holdings Limi,Industrials,0.00023,1.84,0.0004
EJH,E-Home Household Service Holdin,Industrials,0.00024,2.1,0.0004
KELYB,Kelly Services  Inc.,Industrials,0.00029,17.0,0.0004
LDI,loanDepot  Inc.,Financial Services,0.0003,4.89,0.0004
VIAC,ViacomCBS Inc.,Communication Services,0.00031,29.56,0.0004
LAKE,Lakeland Industries  Inc.,Consumer Cyclical,0.00031,18.85,0.0004
CLPS,CLPS Incorporation,Technology,0.00033,2.36,0.0004
VIACA,ViacomCBS Inc.,Communication Services,0.00034,32.55,0.0004
IPLDP,Interstate Power and Light Comp,Utilities,0.00035,25.0,0.0004
CBD,Companhia Brasileira de Distrib,Consumer Cyclical,0.00036,3.97,0.0004
JZXN,Jiuzi Holdings  Inc.,Consumer Cyclical,0.00037,1.89,0.0004
RMO,Romeo Power  Inc.,Consumer Cyclical,0.00039,3.81,0.0004
QLI,Qilian International Holding Gr,Healthcare,0.00041,3.11,0.0004
SIEB,Siebert Financial Corp.,Financial Services,0.00042,2.64,0.0004
SRLP,Sprague Resources LP,Energy,0.00042,13.74,0.0004
CANG,Cango Inc.,Communication Services,0.00044,2.86,0.0004
ASAI,Sendas Distribuidora S A,Consumer Defensive,0.00046,11.01,0.0004
IFBD,Infobird Co.  Ltd,Technology,0.00046,1.2,0.0004
HGBL,Heritage Global Inc.,Financial Services,0.00047,1.5,0.0004
DSP,Viant Technology Inc.,Technology,0.00047,9.24,0.0004
HMPT,Home Point Capital Inc.,Financial Services,0.00048,3.74,0.0004
VIOT,Viomi Technology Co.  Ltd,Technology,0.00049,3.13,0.0004
WYY,WidePoint Corporation,Technology,0.00049,4.27,0.0004
STNE,StoneCo Ltd.,Technology,0.00051,16.01,0.0004
OESX,Orion Energy Systems  Inc.,Industrials,0.00052,3.59,0.0004
HKIB,AMTD International Inc.,Financial Services,0.00054,3.2,0.0004
GRFS,Grifols  S.A.,Healthcare,0.00054,10.42,0.0004
HMLP,Hoegh LNG Partners LP,Energy,0.00055,4.02,0.0004
TCMD,Tactile Systems Technology  Inc,Healthcare,0.00055,19.17,0.0004
PIM,Putnam Master Intermediate Inco,Financial Services,0.00055,3.89,0.0004
BCOV,Brightcove Inc.,Technology,0.00055,9.46,0.0004
PRLB,Proto Labs  Inc.,Industrials,0.00057,51.25,0.0004
NLS,Nautilus  Inc.,Consumer Cyclical,0.00058,6.87,0.0004
PCTI,PCTEL  Inc.,Technology,0.00058,5.59,0.0004
PHAR,Pharming Group N.V.,Healthcare,0.0006,7.81,0.0004
ATVI,Activision Blizzard  Inc,Communication Services,0.00063,57.29,0.0003
MOG.B,Moog Inc.,Industrials,0.00063,68.48,0.0003
DISCA,Discovery  Inc. - Series A,Communication Services,0.00064,23.25,0.0003
EDU,New Oriental Education & Techno,Consumer Defensive,0.00066,2.06,0.0003
TIGR,UP Fintech Holding Limited,Financial Services,0.00067,5.28,0.0003
FSM,Fortuna Silver Mines Inc,Basic Materials,0.00068,3.26,0.0003
KPLT,Katapult Holdings  Inc.,Technology,0.00069,3.17,0.0003
ATHM,Autohome Inc.,Communication Services,0.0007,31.46,0.0003
HLG,Hailiang Education Group Inc.,Consumer Defensive,0.00071,19.78,0.0003
CXDO,Crexendo  Inc.,Communication Services,0.00071,4.74,0.0003
DISCK,Discovery  Inc. - Series C,Communication Services,0.00071,22.67,0.0003
CMCM,Cheetah Mobile Inc.,Communication Services,0.00073,1.32,0.0003
