Symbol,Name,Sector,Value,Close,Grade
BABA,Alibaba Group Holding Limited,Consumer Cyclical,0.75526/-0.16948,120.25,850.1434
LEN.B,Lennar Corporation,Consumer Cyclical,55.17192/-0.00271,88.97,531.4657
GTN.A,Gray Television  Inc.,Communication Services,47.39699/-0.33419,17.6,433.9846
PKX,POSCO,Basic Materials,0.00036/-0.342,60.18,377.9265
LBTYB,Liberty Global plc,Communication Services,845.75195/-0.41131,28.0,364.9029
SID,Companhia Siderurgica Nacional ,Basic Materials,4.33419/-0.28064,4.48,320.7847
UMC,United Microelectronics Corpora,Technology,0.00144/-0.03955,11.01,318.2989
OPY,Oppenheimer Holdings  Inc.,Financial Services,12515.66494/-0.19787,44.04,273.1349
VIPS,Vipshop Holdings Limited,Consumer Cyclical,19105.39609/-0.08669,8.47,252.0419
CO,Global Cord Blood Corporation,Healthcare,93.44548/-0.31093,3.9,246.6509
FOX,Fox Corporation,Communication Services,3063.02563/-0.21504,34.32,231.5524
PHI,PLDT Inc. Sponsored,Communication Services,592.26082/0.25478,35.5,220.9133
USM,United States Cellular Corporat,Communication Services,1127.19288/-0.29104,32.39,213.9622
TSM,Taiwan Semiconductor Manufactur,Technology,0.07788/-0.09065,116.57,213.7846
GTN,Gray Television  Inc.,Communication Services,365.99496/-0.13819,18.83,211.4318
EPD,Enterprise Products Partners L.,Energy,7565.17999/-0.19218,21.05,200.7056
GGB,Gerdau S.A.,Basic Materials,2.31005/-0.21961,5.2,194.2182
TME,Tencent Music Entertainment Gro,Communication Services,35626.41817/-0.11724,6.29,192.6739
SVA,None,Healthcare,10867856968.39012/-0.32247,6.47,178.9711
ORAN,Orange,Communication Services,8161639.10481/-0.04053,10.38,172.3584
BIO.B,Bio-Rad Laboratories  Inc.,Healthcare,3658.27259/-0.43854,720.35,156.415
LX,LexinFintech Holdings Ltd.,Financial Services,1782.86377/-0.08017,3.71,155.714
SNFCA,Security National Financial Cor,Financial Services,12.43418/-0.18538,8.69,154.0929
FOR,Forestar Group Inc,Real Estate,41321911.12276/-0.29281,21.29,146.4645
SEB,Seaboard Corporation,Industrials,50.99464/-0.43831,3738.79,144.7795
LYB,LyondellBasell Industries NV,Basic Materials,9.56717/-0.26666,89.11,140.581
ZIM,ZIM Integrated Shipping Service,Industrials,0.21275/0.0024,49.76,137.78
DAC,Danaos Corporation,Industrials,5.95403/-0.22989,69.51,136.739
QRTEB,Liberty Interactive Corporation,Consumer Cyclical,13.12789/-0.35429,7.75,134.3741
UHS,Universal Health Services  Inc.,Healthcare,21234.81589/-0.11982,128.3,133.0963
PANL,Pangaea Logistics Solutions Ltd,Industrials,10.37232/-0.27829,3.67,131.5681
JEF,Jefferies Financial Group Inc.,Financial Services,361954.78315/-0.06606,38.23,121.8689
TX,Ternium S.A. Ternium S.A.,Basic Materials,2135.51841/-0.14899,43.31,119.1434
WIT,Wipro Limited,Technology,295.45591/0.04606,8.81,118.6039
ESGR,Enstar Group Limited,Financial Services,0.10511/-0.09598,243.14,118.3351
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,0.5121/-0.07862,32.52,115.3159
AM,Antero Midstream Corporation,Energy,0.10923/-0.17783,9.46,115.2645
ELP,Companhia Paranaense de Energia,Utilities,19770605.8582/-0.0714,5.44,110.9467
DHI,D.R. Horton  Inc.,Consumer Cyclical,7722.77271/0.26916,104.47,107.9238
THO,Thor Industries  Inc.,Consumer Cyclical,24.88742/-0.17158,98.68,106.4812
BBY,Best Buy Co.  Inc.,Consumer Cyclical,52.65559/-0.15618,100.22,105.3124
GHC,Graham Holdings Company,Consumer Defensive,338.39176/-0.1908,571.77,105.0742
TGS,Transportadora de Gas del Sur S,Energy,0.00355/-0.14765,4.5,103.6802
WLK,Westlake Chemical Corporation,Basic Materials,7.05331/-0.44381,92.24,98.7832
DISH,DISH Network Corporation,Communication Services,3495.44493/-0.13786,32.3,98.2427
BIO,Bio-Rad Laboratories  Inc.,Healthcare,582.60695/-0.11795,734.34,97.5776
ASX,ASE Technology Holding Co.  Ltd,Technology,51.50474/-0.06681,7.24,95.1314
ABEV,Ambev S.A.,Consumer Defensive,81088.19883/-0.11838,2.79,94.55
MFC,Manulife Financial Corporation,Financial Services,329452.40819/-0.06295,18.43,93.7793
ULH,Universal Logistics Holdings  I,Industrials,0.21535/-0.39928,17.42,91.6839
QIWI,QIWI plc,Technology,6.00647/-0.1461,7.79,90.6551
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,2498523.18213/-0.13737,54.19,88.7282
FRO,Frontline Ltd.,Energy,679115.10805/-0.23568,6.72,86.1726
BEDU,Bright Scholar Education Holdin,Consumer Defensive,16.22065/-0.17116,1.66,84.8758
KMPR,Kemper Corporation,Financial Services,21730.27258/-0.08499,54.32,83.454
HNNA,Hennessy Advisors  Inc.,Financial Services,22.82627/-0.24533,10.7,83.1562
SEM,Select Medical Holdings Corpora,Healthcare,351.18521/-0.18464,28.15,82.2698
OBCI,Ocean Bio-Chem  Inc.,Industrials,4.85953/-0.33491,8.33,80.918
SENEB,Seneca Foods Corp.,Consumer Defensive,40.63585/-0.28901,46.0,80.5338
JRSH,Jerash Holdings (US)  Inc.,Consumer Cyclical,1.30973/-0.36597,6.59,78.673
AMKR,Amkor Technology  Inc.,Technology,387.12378/-0.29721,21.71,78.0611
VALE,VALE S.A.,Basic Materials,1414.10731/-0.24841,14.16,77.242
IPGP,IPG Photonics Corporation,Technology,343.51451/-0.22041,165.18,76.2865
CIG,Comp En De Mn Cemig,Utilities,18647.60898/-0.09592,2.44,73.5455
FF,FutureFuel Corp.,Basic Materials,50.96665/-0.2416,7.4,72.5361
SMLP,Summit Midstream Partners  LP,Energy,6018.86836/-0.24102,24.52,72.1946
LBTYK,Liberty Global plc,Communication Services,120506.7946/-0.08039,27.4,71.1725
MPB,Mid Penn Bancorp,Financial Services,43919918252.77604/-0.02683,29.75,68.8477
BRFS,BRF S.A.,Consumer Defensive,15002.2763/-0.13355,3.59,66.7814
QFIN,360 DigiTech  Inc.,Financial Services,15137395686.70899/0.84423,20.51,66.5485
WLKP,Westlake Chemical Partners LP,Basic Materials,37.28594/-0.23929,24.1,66.05
FDP,Fresh Del Monte Produce  Inc.,Consumer Defensive,629.91417/-0.16964,26.46,64.2075
BEN,Franklin Resources  Inc.,Financial Services,1416.52595/-0.14064,34.16,63.9009
WOR,Worthington Industries  Inc.,Industrials,148.77624/-0.27489,51.22,61.3789
BRK.A,Berkshire Hathaway Inc.,Financial Services,226677.75995/0.75163,454550.0,59.0661
LAKE,Lakeland Industries  Inc.,Consumer Cyclical,0.95422/-0.10928,20.2,58.6066
CMCL,Caledonia Mining Corporation Pl,Basic Materials,31674364.09083/-0.11615,11.5,58.3608
KNOP,KNOT Offshore Partners LP,Industrials,2034653.32722/-0.11791,13.2,57.4037
STNE,StoneCo Ltd.,Technology,213448931.27086/-0.14904,15.64,55.4455
ONEW,OneWater Marine Inc.,Consumer Cyclical,2902.44853/0.10033,52.015,54.6852
BSVN,Bank7 Corp.,Financial Services,51075708001.81515/-0.23064,22.27,51.2965
LBTYA,Liberty Global plc,Communication Services,197275.8789/-0.0826,27.39,51.2547
BDL,Flanigan's Enterprises  Inc.,Consumer Cyclical,31.60154/-0.3303,31.65,51.0086
CCS,Century Communities  Inc.,Consumer Cyclical,3913.81876/0.11849,77.53,50.8492
LIVE,Live Ventures Incorporated,Consumer Cyclical,1.40401/-0.21855,34.15,50.0584
