"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
FFHL,"Fuwei Films (Holdings) Co., Ltd",Consumer Cyclical,China,0.000106,208895397.8802667,4.0,1170999.5220333,-67892646.02136,0.25,58485457.9336,1.0,1716306.137425,0.25,-181722896.9384,0.25,1716306.137425,-181722896.9384,58485457.9336,208895397.8802667,4.0,1170999.5220333,58485457.9336,1.0,1716306.137425,0.25,1716306.137425,58485457.9336,-0.209,0.4483968,8.634408,8.634408,8.634408,0.0703316,8.634408,-0.668,0.0059867,38567238.0239521,116393000.0,75521666.6666667,116393000.0,0.11739,0.5600828,12.3834375,0.0165736,0.1,0.2323488,0.082,0.6545,0,0.93,7.6,0.1223684,0.1151188,3265840,43770000,13.4023712,208,26224694,26224694,210432.6923077,0.409,0.214,0.8539901,0.0247701,0.8539901,0.0247701,0.5202475,7.4628186,0.1666925,4.3327997,16.5967306,16.5967306,25500696.13244,2.0,17512918.1989,1.0,1.0283913,1.4974486,1.4974486,1.1042929,1.0,0.6875827,1.0,0.6875827,0.830206,CNY,USD,0.1568513,1.0,0,0,0,0,7.6,7.15,17.12,9.54125,-20.3458666,6.2937063,-55.6074766,0.0902708,0.0912708,11.547341,6.0,2.9436124,1.0,4.397119,1.0,1.4860865,1.0,8.7587804,1.0,8.6691099,1.0,1.0155686,1.0,2.0368732,1.0,2.9536124,1.4960865,8.6791099,2.0468732,2.5002428,71691249.8912533,1.0,69369505.5783933,1.0,69369505.5783933,34192527.2679133,1.0,41542390.9643533,1.0,41542390.9643533,0.1247415,0.1413146,-7364866.6666667,131722800.0,131722800.0,18749361.31167,0.5,27827114.61404,1.0,27827114.61404,0.9271911,None
FAMI,"Farmmi, Inc. Ordinary Shares",Consumer Defensive,China,0.0080498,30067567.2666667,0.0,1004964.9333333,7204853.8,1.0,34374726.0,0.0,2243274.0,0.0,33695304.0,1.0,2243274.0,33695304.0,34374726.0,30067567.2666667,1.0,1004964.9333333,34374726.0,1.0,2243274.0,1.0,2243274.0,34374726.0,0.032,0.032,4.572,4.572,4.572,1.2605786,4.572,0.445,0.44445,2499814.9775281,2505994.0,2633130.4,2505994.0,0.06526,0.0252077,0.0,0.0719021,1.0,0.0551233,0.06804,0.03861,0,0.05,0.228,0.2192982,0.1657723,189554000,2243274,0.0118345,69,1109668,43332044,32511.2173913,0.2835623,0.31,0.2835623,0.0142048,0.2835623,0.0142048,0.2835623,5.5750571,0.2360512,5.1085102,16.1234392,16.1234392,-7929284.4,0.5,1211184.0,0.5,714563.6712963,0.9161845,0.9161845,0.6280753,2.0,0.2410819,1.0,0.2410819,0.4920009,USD,USD,1.0,1.0,0,0,0,0,0.228,0.2,2.47,0.513,-55.5555556,14.0,-90.7692308,0.0246696,0.0256696,9.1392091,2.0,5.3423895,1.0,2.8716667,1.0,8.8169787,1.0,0.0,1.0,0.0,1.0,9.9499693,2.0,5.6024692,1.0,5.3523895,8.8269787,0.01,5.6124692,5.4824293,64728055.3333333,2.0,45802505.2,1.0,45802505.2,47827773.0666667,2.0,36310008.8,1.0,36310008.8,0.1489771,0.1617811,24328339.8,36716201.6,36716201.6,7585917.1333333,1.0,8596401.0,1.0,8596401.0,2.4386294,None
FKWL,Franklin Wireless Corp.,Technology,United States,0.0229191,500324156.0,4.0,10610003.1333333,26442495.6666667,1.0,184115345.0,1.0,2212379.375,0.125,128224126.0,1.0,2212379.375,128224126.0,184115345.0,500324156.0,4.0,10610003.1333333,184115345.0,1.0,2212379.375,0.125,2212379.375,184115345.0,0.215,0.215,1.9672996,7.0377364,2.6011042,0.2348084,0.8670347,1.693,1.6859947,23535837.7820437,23730610.0,14442463.0666667,23730610.0,0.09613,1.0381337,12.3834375,0.0002754,0.00625,0.3791797,0.25741,0.21045,0.53,1.896,3.41,0.5560117,0.9673237,11590300,17699036,1.5270559,10000000,39516424,43231820,1.7699036,1.6277626,-0.707,1.6277626,1.162865,1.6277626,1.162865,1.6277626,13.00838,-0.2395337,0.2260466,1.5979629,1.5979629,6146409.8,0.5,6052099.5,0.5,6.429188,6.5293745,6.5293745,0.8054681,1.0,0.6486298,1.0,0.6486298,0.8063756,USD,USD,1.0,1.0,0,0,0,0,3.41,3.39,24.95,9.3341,-63.4672866,0.5899705,-86.3326653,0.0018553,0.0028553,3.7297607,1.0,3.6333487,1.0,0.0519053,0.3333333,0.0731758,1.0,0.0,1.0,0.0,1.0,3.5675523,1.0,3.5767933,1.0,3.6433487,0.0831758,0.01,3.5867933,3.615071,52760171.3333333,1.0,71787772.0,1.0,71787772.0,32305818.3333333,1.0,43400199.0,1.0,43400199.0,0.1308183,0.1509762,30615450.9333333,42086707.8,42086707.8,19330322.4666667,1.0,26997221.3333333,1.0,26997221.3333333,2.7949195,None
FLGT,"Fulgent Genetics, Inc.",Healthcare,United States,0.026823,950730666.6666666,4.0,113274133.3333333,12827200.0,0.25,2320164000.0,3.0,833914000.0,2.0,159118125.0,0.375,833914000.0,159118125.0,2320164000.0,950730666.6666666,4.0,113274133.3333333,2320164000.0,3.0,833914000.0,2.0,833914000.0,2320164000.0,2.492,2.492,6.3709927,28.791428,9.1735471,3.7792852,9.1735471,3.373,3.3729152,571304287.1331159,571333000.0,159078133.3333333,571333000.0,0.53913,0.284634,0.777,46.6156776,89.285625,15.8141472,0.35812,0.34218,3.5,15.817,91.29,0.173261,3.644353,29005200,416956992,14.3752497,700,1926912512,2922853888,595652.8457143,4.104618,45.36,4.104618,7.0064643,4.104618,7.0064643,4.104618,20.5098569,35.7716161,60.0593773,-0.15,666666.6666667,38235766.6666667,0.5,279330750.0,0.75,50.3955506,6.8983186,6.8983186,0.1529081,1.0,0.242648,1.0,0.242648,0.4935931,USD,USD,1.0,1.0,0,0,0,0,91.29,42.51,189.89,87.05075,4.8698604,114.7494707,-51.9247986,0.6619623,0.6629623,10.6885527,1.0,5.3898535,1.0,0.2836837,0.1666667,0.1269409,0.25,4.5608461,0.5,15.8714374,2.0,7.4594709,1.0,3.7354277,1.0,5.3998535,0.1369409,15.8814374,3.7454277,4.5726406,408246933.3333333,1.0,1138504500.0,1.5,1138504500.0,336179066.6666667,1.0,915102900.0,1.5,915102900.0,0.8324644,1.0112789,225664600.0,372354400.0,372354400.0,72067866.6666667,1.0,223401600.0,1.5,223401600.0,3.4831061,None
ZIM,ZIM Integrated Shipping Service,Industrials,Israel,0.2127468,14561768266.666666,4.0,255068066.6666667,-2586588000.0,0.25,25869450000.0,3.0,6600494000.0,2.0,438876750.0,0.25,6600494000.0,438876750.0,25869450000.0,14561768266.666666,4.0,255068066.6666667,25869450000.0,3.0,6600494000.0,2.0,6600494000.0,25869450000.0,0.68,0.68,0.887873,0.887873,0.887873,0.6796125,0.887873,1.316,1.2956712,4598749548.632219,4740827000.0,664199266.6666666,4740827000.0,0.38272,0.0737141,0.777,82.4733913,200.8926563,27.6442751,0.44663,0.37233,0,0,49.76,0.0,1000.0,115000000,3300247040,28.6978003,3794,5864980480,5860400128,869859.5255667,9.259,2.097,2.1209748,0.13732,2.1209748,0.13732,7.4744937,27.5895203,1.60708,12.9270659,-0.04,2500000.0,613988800.0,1.0,6571050000.0,1.5,9.5522597,0.8925484,0.8925484,0.3828592,1.0,1.2085935,0.5,1.2085935,1.1003605,USD,USD,1.0,1.0,0,0,0,0,49.76,11.34,62.2,43.19345,15.2026523,338.8007055,-20.0,1.510814,11.892304,1.0086691,1.0,3.0672656,2.0,0.1281654,0.3333333,0.1919622,1.0,0.1316732,1.0,0.0320513,0.5,0.9011134,1.0,1.4104792,1.0,3.0772656,0.2019622,0.0420513,1.4204792,2.2488724,4767055466.666667,2.0,9629103500.0,1.5,9629103500.0,36457533.3333333,1.0,3458314000.0,1.5,3458314000.0,0.7854734,2.0085872,-84060533.3333333,999276666.6666666,999276666.6666666,4681048000.0,2.0,6162011200.0,1.5,6162011200.0,2.2408938,None
BABA,Alibaba Group Holding Limited,Consumer Cyclical,China,0.7552563,367287605051.4667,4.0,21355001249.15333,143264944961.53333,2.0,127819536031.7,1.0,4890819598.125,0.25,362231451112.2,1.0,4890819598.125,362231451112.2,127819536031.7,367287605051.4667,4.0,21355001249.15333,127819536031.7,1.0,4890819598.125,0.25,4890819598.125,127819536031.7,0.225,0.225,14.473684,10.251889,13.9459596,0.4064211,13.9459596,1.174,1.1723621,156447459080.06815,156884000000.0,140096400000.0,156884000000.0,0.15305,35.6434438,156.856875,0.0093164,0.1,11.9362701,0.23983,0.2622,11.91,8.436,120.25,0.0701538,0.3532874,2712499968,124456001536,45.8823974,258578,183156817920,331196235776,481309.3207311,-0.81,0.294,0.2574979,0.4057023,0.2574979,0.4057023,-0.5431255,0.1956874,0.3219256,5.9238486,43.24,43.24,62834024288.30666,2.0,30872100271.2,1.0,2.9149306,5.9327618,5.9327618,0.653922,1.0,0.6405442,1.0,0.6405442,0.8013401,CNY,USD,0.1568513,1.0,0,0,0,0,120.25,108.7,274.29,190.4125,-36.8476334,10.625575,-56.1595392,0.1395012,0.1405012,2.7878032,1.0,5.5653703,2.0,0.6881641,3.0,1.4675442,1.0,0.1376007,0.3333333,1.2834987,1.0,1.7192748,1.0,1.6846162,1.0,5.5753703,1.4775442,1.2934987,1.6946162,3.6349933,447987389766.4,2.0,402824598922.45996,1.5,402824598922.45996,248278877094.66666,2.0,150750882389.1,1.0,150750882389.1,0.1121413,0.1324431,217231533333.33334,259252933333.33334,259252933333.33334,160730253562.50668,2.0,96554617364.78,1.0,96554617364.78,2.3850076,None
LAKE,"Lakeland Industries, Inc.",Consumer Cyclical,United States,0.9542232,532598666.6666667,4.0,19822000.0,71101466.6666667,2.0,147510000.0,1.0,15556500.0,0.5,285580500.0,1.5,15556500.0,285580500.0,147510000.0,532598666.6666667,4.0,19822000.0,147510000.0,1.0,15556500.0,0.5,15556500.0,147510000.0,0.82,0.82,5.347677,10.241205,5.959368,1.1098388,5.959368,3.097,3.0931666,39135117.8559897,39232000.0,27662666.6666667,39232000.0,0.21092,101.5960534,588.2132813,0.0304179,0.171875,33.9467971,0.70113,0.03026,1.99,3.811,20.2,0.1886634,1.2852367,8032990,31113000,3.8731531,2000,120901416,163712336,15556.5,-0.462,-0.252,6.2303795,0.3012205,6.2303795,0.3012205,1.2110949,11.2549756,-0.1136949,0.2386305,0.63,0.63,45854133.3333333,2.0,38731000.0,1.0,2.6366525,3.1215671,3.1215671,0.2932351,2.0,0.2890396,2.0,0.2890396,0.5386241,USD,USD,1.0,1.0,0,0,0,0,20.2,18.58,47.95,23.76345,-14.9955078,8.7190527,-57.8727842,0.1103166,0.1113166,15.7452532,2.0,15.92528,2.0,2.2666232,1.0,3.4144225,2.0,0.0,1.0,0.0,1.0,7.39237,1.0,15.248013,2.0,15.93528,3.4244225,0.01,15.258013,15.5966465,240132933.3333333,2.0,210621800.0,1.5,210621800.0,209713066.6666667,2.0,184131100.0,1.5,184131100.0,0.1738599,0.184486,88638466.6666667,107886733.3333333,107886733.3333333,15209933.3333333,1.0,17660466.6666667,1.0,17660466.6666667,3.0640558,None
GSMG,Glory Star New Media Group Hold,Communication Services,China,1.3442478,373880266.6666667,4.0,35602400.0,130354266.6666667,2.0,123763000.0,1.0,48989000.0,1.0,294673000.0,1.0,48989000.0,294673000.0,123763000.0,373880266.6666667,4.0,35602400.0,123763000.0,1.0,48989000.0,1.0,48989000.0,123763000.0,1.213,1.213,1.7925717,1.7925717,1.7925717,0.7095521,1.7925717,4.471,4.385757,34907426.2469246,36238500.0,28117733.3333333,36238500.0,0.39584,60.8253546,156.856875,1.0868372,2.75,20.7703439,0.00264,0.63487,0,0,1.36,0.0,1000.0,67551000,48990000,0.7252298,159,150119872,87816296,308113.2075472,1.498,2.211,0.8136658,0.6487507,0.8136658,0.6487507,1.3269164,11.7691859,1.8204377,13.7423596,1.3509304,1.3509304,4727733.3333333,0.5,4370500.0,0.5,31.7530329,34.3484434,34.3484434,0.9507245,2.0,0.3685799,1.0,0.3685799,0.6081078,USD,USD,1.0,1.0,0,0,0,0,1.36,1.27,4.86,2.5607,-46.8895224,7.0866142,-72.0164609,0.0501393,0.0511393,7.2560752,2.0,3.7319673,1.0,0.3792373,1.0,0.708502,1.0,27.2593037,1.0,27.2593037,1.0,5.8964876,2.0,3.0374322,1.0,3.7419673,0.718502,27.2693037,3.0474322,3.3946997,214185866.6666667,2.0,133531400.0,1.0,133531400.0,154139600.0,2.0,97138133.3333333,1.0,97138133.3333333,0.4668725,0.6043231,51614666.6666667,64937866.6666667,64937866.6666667,29593533.3333333,1.0,35939533.3333333,1.0,35939533.3333333,2.6322312,None
OCG,Oriental Culture Holding LTD,Consumer Cyclical,Hong Kong,2.2419051,58289587.4285714,0.0,4141758.5714286,23168178.8571429,2.0,17438802.0,0.0,2048108.0,0.0,51690428.0,1.0,2048108.0,51690428.0,17438802.0,58289587.4285714,4.0,4141758.5714286,17438802.0,1.0,2048108.0,1.0,2048108.0,17438802.0,1.144,1.144,6.847826,6.847826,6.847826,2.2865207,6.847826,4.016,5.4778648,6502316.7290837,1768498.0,3991865.2857143,1768498.0,0.29811,0.2415333,0.0,0.1197429,1.0,0.2207954,0.1997,0.29105,0,0.644,4.34,0.1483871,2.0684803,20444700,11755173,0.5749741,47,45124320,90161120,250110.0638298,26.018,8.911,0.3046393,0.7019615,0.3046393,0.7019615,19.5896598,44.5102077,6.8587404,26.4391969,0.3495633,0.3495633,7865284.4285714,1.0,8101588.0,1.0,5.7371504,5.5698117,5.5698117,0.5265946,2.0,0.1957757,1.0,0.1957757,0.4434654,USD,USD,1.0,1.0,0,0,0,0,-0.3,2.82,17,5.02125,-13.5673388,53.9007092,-74.4705882,0.2143865,0.2153865,12.1345297,2.0,7.0466017,1.0,0.0156408,1.0,0.0117134,1.0,0.0,1.0,0.0,1.0,10.7707536,2.0,6.3545226,1.0,7.0566017,0.0217134,0.01,6.3645226,6.7105622,56674121.7142857,2.0,35759934.6,1.0,35759934.6,46606772.2857143,2.0,29514293.6,1.0,29514293.6,0.1572738,0.1693938,21248295.7142857,27345295.6,27345295.6,5033674.7142857,1.0,6245641.0,1.0,6245641.0,3.5623764,None
RVP,"Retractable Technologies, Inc.",Healthcare,United States,7.3907675,61542105.4666667,1.0,13330741.0666667,-86050444.0,0.25,151657060.0,1.0,48752136.0,1.0,-23208968.0,0.375,48752136.0,-23208968.0,151657060.0,61542105.4666667,1.0,13330741.0666667,151657060.0,1.0,48752136.0,1.0,48752136.0,151657060.0,2.409,2.409,5.4331307,5.4331307,5.4331307,1.603152,5.4331307,6.134,6.1340804,59569876.9435931,59568316.0,14011211.0,59568316.0,0.32146,0.3726242,1.59375,0.8211986,2.75,0.5060943,0.23055,0.57769,0,1.316,6.99,0.188269,3.5983896,34004100,51378160,1.5109402,239,365411200,243129312,214971.3807531,1.831,2.672,4.3664061,0.6158803,4.3664061,0.6158803,2.4648515,15.9498456,2.1579701,14.9400309,2.2042426,2.2042426,10362743.8666667,1.0,50298196.0,1.0,35.2620121,7.2648967,7.2648967,0.7610618,1.0,1.1825378,1.0,1.1825378,1.0884455,USD,USD,1.0,1.0,0,0,0,0,6.99,6.57,21.5,10.6396,-34.3020414,6.3926941,-67.4883721,0.0562626,0.0572626,2.7036223,1.0,1.8906904,1.0,0.1665251,0.5,0.0344267,0.5,0.2065948,1.0,0.2058245,1.0,2.869682,1.0,1.1369864,0.5,1.9006904,0.0444267,0.2158245,1.1469864,1.5238384,73902789.6,1.0,223640239.5,1.5,223640239.5,38938182.4666667,1.0,100348516.5,1.5,100348516.5,0.3179936,0.5858282,31090430.8666667,47492009.5333333,47492009.5333333,33376963.2,1.0,121280014.1,1.5,121280014.1,1.4347455,None
