Symbol,Name,Sector,Value,Close,Grade
PKX,POSCO,Basic Materials,0.0,60.18,1.6363
UMC,United Microelectronics Corpora,Technology,0.0,11.01,1.608
GGB,Gerdau S.A.,Basic Materials,0.00015,5.2,1.5695
SID,Companhia Siderurgica Nacional ,Basic Materials,0.00481,4.48,1.4758
IP,International Paper Company,Consumer Cyclical,0.00977,47.01,1.4007
ORAN,Orange,Communication Services,0.0115,10.38,1.338
TSM,Taiwan Semiconductor Manufactur,Technology,0.013,116.57,1.286
BBY,Best Buy Co.  Inc.,Consumer Cyclical,0.01799,100.22,1.2008
LEN.B,Lennar Corporation,Consumer Cyclical,0.02798,88.97,1.1442
LEN,Lennar Corporation,Consumer Cyclical,0.03935,108.46,1.0612
MFC,Manulife Financial Corporation,Financial Services,0.04252,18.43,1.0269
DHI,D.R. Horton  Inc.,Consumer Cyclical,0.04283,104.47,0.9987
HPE,Hewlett Packard Enterprise Comp,Technology,0.10435,14.95,0.8932
PHI,PLDT Inc. Sponsored,Communication Services,0.00146,35.5,0.8662
CDW,CDW Corporation,Technology,0.10758,187.83,0.8638
WIT,Wipro Limited,Technology,0.00181,8.81,0.8374
BSAC,Banco Santander - Chile,Financial Services,0.0,17.22,0.8242
ZIM,ZIM Integrated Shipping Service,Industrials,0.00012,49.76,0.7962
UBS,UBS Group AG Registered,Financial Services,0.01092,17.86,0.7933
QFIN,360 DigiTech  Inc.,Financial Services,0.00125,20.51,0.7738
ASX,ASE Technology Holding Co.  Ltd,Technology,0.00898,7.24,0.7675
BABA,Alibaba Group Holding Limited,Consumer Cyclical,0.01202,120.25,0.7643
VIPS,Vipshop Holdings Limited,Consumer Cyclical,0.00367,8.47,0.7499
THO,Thor Industries  Inc.,Consumer Cyclical,0.0053,98.68,0.7297
ELP,Companhia Paranaense de Energia,Utilities,0.01623,5.44,0.722
ASAI,Sendas Distribuidora S A,Consumer Defensive,0.00569,12.85,0.7185
BRK.B,Berkshire Hathaway Inc. New,Financial Services,0.28345,300.17,0.7116
STLD,Steel Dynamics  Inc.,Basic Materials,0.0164,62.4,0.7108
CSAN,Cosan S.A.,Energy,0.02886,15.66,0.6855
UHS,Universal Health Services  Inc.,Healthcare,0.29104,128.3,0.6833
TX,Ternium S.A. Ternium S.A.,Basic Materials,0.01079,43.31,0.6817
CACI,CACI International  Inc.,Technology,0.01142,265.86,0.6674
STX,Seagate Technology Holdings PLC,Technology,0.03586,104.61,0.6655
MTH,Meritage Homes Corporation,Consumer Cyclical,0.01227,116.06,0.6475
PGR,Progressive Corporation (The),Financial Services,0.03753,101.52,0.6381
ESGRO,Enstar Group Limited - Deposito,Financial Services,0.01301,26.9637,0.628
