Symbol,Name,Sector,Value,Close,Grade
PKX,POSCO,Basic Materials,0.0/0.00481,60.18,3.0315
SID,Companhia Siderurgica Nacional ,Basic Materials,0.00481/0.00428,4.48,2.9365
IP,International Paper Company,Consumer Cyclical,0.00977/0.00532,47.01,2.7271
BBY,Best Buy Co.  Inc.,Consumer Cyclical,0.01799/0.00298,100.22,2.7252
ORAN,Orange,Communication Services,0.0115/0.00515,10.38,2.7006
GGB,Gerdau S.A.,Basic Materials,0.00015/0.01051,5.2,2.6483
UMC,United Microelectronics Corpora,Technology,0.0/0.07845,11.01,2.3304
TSM,Taiwan Semiconductor Manufactur,Technology,0.013/0.01093,116.57,2.3202
MFC,Manulife Financial Corporation,Financial Services,0.04252/0.009,18.43,2.1953
UHS,Universal Health Services  Inc.,Healthcare,0.29104/0.0078,128.3,1.9229
BABA,Alibaba Group Holding Limited,Consumer Cyclical,0.01202/0.00226,120.25,1.6477
HPE,Hewlett Packard Enterprise Comp,Technology,0.10435/0.08005,14.95,1.5866
VIPS,Vipshop Holdings Limited,Consumer Cyclical,0.00367/0.00025,8.47,1.5757
BSAC,Banco Santander - Chile,Financial Services,0.0/0.00438,17.22,1.5288
ELP,Companhia Paranaense de Energia,Utilities,0.01623/0.00587,5.44,1.4733
THO,Thor Industries  Inc.,Consumer Cyclical,0.0053/0.00341,98.68,1.4657
LEN,Lennar Corporation,Consumer Cyclical,0.03935/0.26751,108.46,1.4593
LEN.B,Lennar Corporation,Consumer Cyclical,0.02798/0.30623,88.97,1.4549
LOGI,Logitech International S.A. - R,Technology,0.04355/0.00296,82.62,1.448
CSAN,Cosan S.A.,Energy,0.02886/0.00841,15.66,1.3567
QFIN,360 DigiTech  Inc.,Financial Services,0.00125/0.00921,20.51,1.353
ASAI,Sendas Distribuidora S A,Consumer Defensive,0.00569/0.00799,12.85,1.3281
CDW,CDW Corporation,Technology,0.10758/0.25429,187.83,1.2973
ASX,ASE Technology Holding Co.  Ltd,Technology,0.00898/0.01332,7.24,1.2493
LMT,Lockheed Martin Corporation,Industrials,0.06481/0.01022,344.84,1.2225
DHI,D.R. Horton  Inc.,Consumer Cyclical,0.04283/0.43474,104.47,1.1988
LDOS,Leidos Holdings  Inc.,Technology,1.06845/0.0028,89.02,1.1963
ESGRO,Enstar Group Limited - Deposito,Financial Services,0.01301/0.01176,26.9637,1.1324
WIT,Wipro Limited,Technology,0.00181/0.20171,8.81,1.1101
TX,Ternium S.A. Ternium S.A.,Basic Materials,0.01079/0.02925,43.31,1.0991
CI,Cigna Corporation,Healthcare,0.10872/0.01066,218.67,1.0981
STLD,Steel Dynamics  Inc.,Basic Materials,0.0164/0.12303,62.4,1.0879
UWMC,UWM Holdings Corporation,Financial Services,2.52364/0.00449,6.68,1.0495
PHI,PLDT Inc. Sponsored,Communication Services,0.00146/0.35676,35.5,1.0377
ZIM,ZIM Integrated Shipping Service,Industrials,0.00012/0.18581,49.76,1.0243
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,0.01422/0.03473,54.19,1.0108
PGR,Progressive Corporation (The),Financial Services,0.03753/0.15465,101.52,0.9833
UBS,UBS Group AG Registered,Financial Services,0.01092/0.35659,17.86,0.9761
CACI,CACI International  Inc.,Technology,0.01142/0.09128,265.86,0.9698
FITBO,Fifth Third Bancorp - Depositar,Financial Services,0.87751/0.01149,26.31,0.9593
ESGRP,Enstar Group Limited - Deposita,Financial Services,0.01616/0.08956,29.01,0.9196
STX,Seagate Technology Holdings PLC,Technology,0.03586/0.24458,104.61,0.914
FITBP,Fifth Third Bancorp - Depositar,Financial Services,1.26619/0.01179,26.55,0.9111
ULH,Universal Logistics Holdings  I,Industrials,0.00329/0.00097,17.42,0.8004
MTH,Meritage Homes Corporation,Consumer Cyclical,0.01227/0.28163,116.06,0.7995
CBD,Companhia Brasileira de Distrib,Consumer Cyclical,0.02062/0.00065,4.09,0.7939
ATHM,Autohome Inc.,Communication Services,0.0449/0.00036,28.89,0.7664
BG,Bunge Limited Bunge Limited,Consumer Defensive,0.20303/0.17841,88.27,0.7639
BRK.B,Berkshire Hathaway Inc. New,Financial Services,0.28345/0.89913,300.17,0.7482
LU,Lufax Holding Ltd,Financial Services,0.02325/0.00071,5.7,0.7405
CCU,Compania Cervecerias Unidas  S.,Consumer Defensive,0.0/0.00636,16.09,0.7374
PHM,PulteGroup  Inc.,Consumer Cyclical,1.81181/0.04074,53.99,0.7301
PNFPP,Pinnacle Financial Partners  In,Financial Services,0.00077/0.0073,27.89,0.7269
LAD,Lithia Motors  Inc.,Consumer Cyclical,0.34021/0.0026,284.52,0.7206
SKM,SK Telecom Co.  Ltd.,Communication Services,0.00315/0.01375,46.41,0.7152
VSH,Vishay Intertechnology  Inc.,Technology,0.00625/0.00521,20.24,0.7119
LX,LexinFintech Holdings Ltd.,Financial Services,0.0991/0.00043,3.71,0.7084
SNP,China Petroleum & Chemical Corp,Energy,0.0083/0.00875,47.42,0.7043
BSBR,Banco Santander Brasil SA,Financial Services,1.4922/0.00161,5.63,0.6798
BAH,Booz Allen Hamilton Holding Cor,Industrials,0.13078/0.00956,82.75,0.6694
PAGS,PagSeguro Digital Ltd.,Technology,2.27726/0.00093,25.21,0.6656
SEM,Select Medical Holdings Corpora,Healthcare,0.165/0.00447,28.15,0.6568
LYB,LyondellBasell Industries NV,Basic Materials,0.75313/0.00472,89.11,0.6555
FHN,First Horizon Corporation,Financial Services,1.17732/0.03387,16.31,0.6508
ADM,Archer-Daniels-Midland Company,Consumer Defensive,0.18679/0.37226,66.17,0.6368
TKC,Turkcell Iletisim Hizmetleri AS,Communication Services,0.21246/0.00449,3.57,0.6329
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,0.00367/0.01329,32.52,0.6265
FINV,FinVolution Group,Financial Services,0.00983/0.01092,5.09,0.6255
SRE,DBA Sempra,Utilities,0.13893/0.01445,128.59,0.6203
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,0.10179/0.02266,164.98,0.6119
CRMT,America's Car-Mart  Inc.,Consumer Cyclical,0.09581/0.00389,105.23,0.6108
KB,KB Financial Group Inc,Financial Services,0.00174/0.09997,48.12,0.6095
DOW,Dow Inc.,Basic Materials,1.63763/0.0052,54.6,0.6009
ABEV,Ambev S.A.,Consumer Defensive,0.80082/0.00826,2.79,0.5987
MHO,M/I Homes  Inc.,Consumer Cyclical,0.00539/0.02148,59.42,0.5949
MANT,ManTech International Corporati,Technology,0.55071/0.003,70.16,0.5899
INTC,Intel Corporation,Technology,2.05703/0.00755,50.83,0.579
VIAC,ViacomCBS Inc.,Communication Services,7.21476/0.00056,29.74,0.5787
EDU,New Oriental Education & Techno,Consumer Defensive,1.73953/0.00086,2.15,0.5745
BBD,Banco Bradesco Sa,Financial Services,3.91072/0.00237,3.56,0.574
MATX,Matson  Inc.,Industrials,0.01093/0.10919,82.46,0.5728
CCS,Century Communities  Inc.,Consumer Cyclical,0.13093/0.28523,77.53,0.5727
VALE,VALE S.A.,Basic Materials,0.94729/0.00784,14.16,0.5718
TTEC,TTEC Holdings  Inc.,Technology,0.2058/0.00982,83.81,0.5711
KMPR,Kemper Corporation,Financial Services,1.47071/0.002,54.32,0.5689
BBDO,Banco Bradesco Sa,Financial Services,6.33094/0.00121,3.01,0.5666
VIACA,ViacomCBS Inc.,Communication Services,8.03552/0.00066,33.2,0.5638
WF,Woori Financial Group Inc.,Financial Services,0.00016/0.37926,32.79,0.5587
IVZ,Invesco Ltd,Financial Services,0.41099/0.01438,22.71,0.5586
CMI,Cummins Inc.,Industrials,3.95441/0.00432,218.29,0.5586
FBC,Flagstar Bancorp  Inc.,Financial Services,0.11259/0.01261,45.78,0.5585
SAIC,SCIENCE APPLICATIONS INTERNATIO,Technology,0.29924/0.00778,84.16,0.5584
RS,Reliance Steel & Aluminum Co.,Basic Materials,0.02286/0.07657,157.88,0.5547
RF,Regions Financial Corporation,Financial Services,0.05474/0.11659,21.96,0.5534
CFG,Citizens Financial Group  Inc.,Financial Services,0.03551/0.17784,47.12,0.5507
CIG,Comp En De Mn Cemig,Utilities,0.02691/0.01491,2.44,0.5459
TMHC,Taylor Morrison Home Corporatio,Consumer Cyclical,0.24915/0.2721,33.0,0.5448
WGO,Winnebago Industries  Inc.,Consumer Cyclical,0.0758/0.00929,67.87,0.5418
ABG,Asbury Automotive Group Inc,Consumer Cyclical,0.21639/0.00999,165.9,0.5383
PTR,PetroChina Company Limited,Energy,0.03545/0.05769,45.19,0.53
NUE,Nucor Corporation,Basic Materials,0.03026/0.29449,113.9,0.5284
EBR.B,Centrais Electricas Brasileiras,Utilities,3.30844/0.00606,5.84,0.5284
COF,Capital One Financial Corporati,Financial Services,0.20764/0.07612,148.02,0.5247
ALL,Allstate Corporation (The),Financial Services,1.46562/0.01115,115.82,0.523
UNM,Unum Group,Financial Services,0.47145/0.00954,24.18,0.5127
EBR,Centrais Electricas Brasileiras,Utilities,3.41576/0.00742,5.85,0.5087
SLM,SLM Corporation,Financial Services,0.02296/0.1302,18.64,0.5053
ERIC,Ericsson,Technology,9.97417/0.00381,10.58,0.5052
HIMX,Himax Technologies  Inc.,Technology,0.05572/0.01344,11.36,0.5051
RCII,Rent-A-Center Inc.,Industrials,0.73078/0.01037,46.72,0.498
TGT,Target Corporation,Consumer Defensive,1.18918/0.03342,224.78,0.4812
AMP,Ameriprise Financial  Inc.,Financial Services,0.7559/0.55978,300.23,0.4775
VZ,Verizon Communications Inc.,Communication Services,9.85844/0.00923,52.75,0.4661
ENIA,Enel Americas S.A.,Utilities,27.47437/0.00396,5.86,0.4539
SBS,Companhia de saneamento Basico ,Utilities,3.34806/0.01224,7.01,0.443
AKAM,Akamai Technologies  Inc.,Technology,0.46343/0.17747,116.83,0.4416
Y,Alleghany Corporation,Financial Services,0.40607/0.05052,669.49,0.4413
LGIH,LGI Homes  Inc.,Consumer Cyclical,0.4032/0.0534,152.27,0.4315
TFC,Truist Financial Corporation,Financial Services,1.28965/0.1058,59.18,0.4315
HDB,HDFC Bank Limited,Financial Services,0.01603/0.00421,65.13,0.4313
RDY,Dr. Reddy's Laboratories Ltd,Healthcare,0.03096/0.00765,61.83,0.4256
ESGR,Enstar Group Limited,Financial Services,0.0573/0.07768,243.14,0.4248
DRD,DRDGOLD Limited,Basic Materials,0.00215/0.00422,8.6,0.4237
FOX,Fox Corporation,Communication Services,4.45991/0.01529,34.32,0.4215
