Symbol,Name,Sector,Value,Close,Grade
PAM,Pampa Energia S.A. Pampa Energi,Utilities,2e-05,19.64,8.8213
TSM,Taiwan Semiconductor Manufactur,Technology,0.00625,121.3,7.4213
UMC,United Microelectronics Corpora,Technology,0.0,11.63,5.2394
ORAN,Orange,Communication Services,0.01157,10.62,5.1755
PKX,POSCO,Basic Materials,0.0,60.03,5.1311
GGB,Gerdau S.A.,Basic Materials,0.00013,4.82,4.9554
PHI,PLDT Inc. Sponsored,Communication Services,0.00145,36.9,4.6927
SID,Companhia Siderurgica Nacional ,Basic Materials,0.00452,4.32,4.5467
ASX,ASE Technology Holding Co.  Ltd,Technology,0.00417,7.58,4.4485
BABA,Alibaba Group Holding Limited,Consumer Cyclical,0.01099,117.81,4.0266
BSAC,Banco Santander - Chile,Financial Services,0.0,16.14,3.4597
WIT,Wipro Limited,Technology,0.00087,9.41,3.4535
LEN.B,Lennar Corporation,Consumer Cyclical,0.03162,92.16,3.363
MFC,Manulife Financial Corporation,Financial Services,0.03376,18.44,3.2339
UBS,UBS Group AG Registered,Financial Services,0.00859,17.59,3.0754
COF,Capital One Financial Corporati,Financial Services,0.15867,143.73,2.9883
HPE,Hewlett Packard Enterprise Comp,Technology,0.04931,15.55,2.9702
CACI,CACI International  Inc.,Technology,0.00513,264.99,2.9309
CDW,CDW Corporation,Technology,0.05302,198.87,2.8542
BRK.B,Berkshire Hathaway Inc. New,Financial Services,0.29981,294.41,2.7604
CSAN,Cosan S.A.,Energy,0.02667,15.07,2.7495
TX,Ternium S.A. Ternium S.A.,Basic Materials,0.0107,42.31,2.7019
ZIM,ZIM Integrated Shipping Service,Industrials,0.00013,52.22,2.6473
WF,Woori Financial Group Inc.,Financial Services,0.00012,33.93,2.6082
PGR,Progressive Corporation (The),Financial Services,0.02836,101.16,2.5116
VIPS,Vipshop Holdings Limited,Consumer Cyclical,0.00363,8.44,2.4876
KB,KB Financial Group Inc,Financial Services,0.00131,48.34,2.4726
LEN,Lennar Corporation,Consumer Cyclical,0.04439,112.35,2.3345
TEL,TE Connectivity Ltd. New Switze,Technology,0.07574,156.76,2.3082
DHI,D.R. Horton  Inc.,Consumer Cyclical,0.04452,105.58,2.2701
SNP,China Petroleum & Chemical Corp,Energy,0.00859,46.34,2.2254
BBY,Best Buy Co.  Inc.,Consumer Cyclical,0.01381,97.37,2.2083
STX,Seagate Technology Holdings PLC,Technology,0.01765,110.31,2.194
SONY,Sony Group Corporation,Technology,0.00932,123.1,2.1629
ELP,Companhia Paranaense de Energia,Utilities,0.01582,5.42,2.1566
QFIN,360 DigiTech  Inc.,Financial Services,0.00108,21.52,2.1306
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,0.01463,53.5,2.0943
IP,International Paper Company,Consumer Cyclical,0.01753,45.27,2.0908
MTH,Meritage Homes Corporation,Consumer Cyclical,0.0193,117.7,1.9421
EBR.B,Centrais Electricas Brasileiras,Utilities,0.34987,5.87,1.9294
PTR,PetroChina Company Limited,Energy,0.03553,44.0,1.9285
LMT,Lockheed Martin Corporation,Industrials,0.06602,343.14,1.9254
CTSH,Cognizant Technology Solutions ,Technology,0.27042,85.9,1.8928
EBR,Centrais Electricas Brasileiras,Utilities,0.35521,5.92,1.8478
LOGI,Logitech International S.A. - R,Technology,0.01577,85.39,1.8468
ADM,Archer-Daniels-Midland Company,Consumer Defensive,0.18787,64.62,1.8456
CI,Cigna Corporation,Healthcare,0.1149,222.33,1.818
MS,Morgan Stanley,Financial Services,0.12409,98.3,1.7748
STLD,Steel Dynamics  Inc.,Basic Materials,0.01588,61.45,1.7355
BCH,Banco De Chile Banco De Chile,Financial Services,0.0,16.03,1.7217
VSH,Vishay Intertechnology  Inc.,Technology,0.00297,20.93,1.6855
CIG,Comp En De Mn Cemig,Utilities,0.02338,2.33,1.6582
ACN,Accenture plc,Technology,0.2915,403.69,1.6474
RS,Reliance Steel & Aluminum Co.,Basic Materials,0.02263,157.75,1.6384
ASAI,Sendas Distribuidora S A,Consumer Defensive,0.02488,12.48,1.6109
THO,Thor Industries  Inc.,Consumer Cyclical,0.00548,98.66,1.6073
BG,Bunge Limited Bunge Limited,Consumer Defensive,0.21313,89.0,1.5978
MHO,M/I Homes  Inc.,Consumer Cyclical,0.0061,60.75,1.5732
NUE,Nucor Corporation,Basic Materials,0.02816,113.64,1.5108
RILY,B. Riley Financial  Inc.,Financial Services,0.0078,79.45,1.5082
UNH,UnitedHealth Group Incorporated,Healthcare,0.26339,494.13,1.492
SC,Santander Consumer USA Holdings,Financial Services,0.03259,42.18,1.486
INTC,Intel Corporation,Technology,0.92557,50.97,1.4633
SLM,SLM Corporation,Financial Services,0.01898,18.86,1.4361
LRCX,Lam Research Corporation,Technology,0.63985,691.22,1.4264
TRV,The Travelers Companies  Inc.,Financial Services,0.48129,154.69,1.4017
LU,Lufax Holding Ltd,Financial Services,0.01684,5.79,1.3898
SKM,SK Telecom Co.  Ltd.,Communication Services,0.00328,47.79,1.3772
BSBR,Banco Santander Brasil SA,Financial Services,1.05729,5.32,1.3608
