Symbol,Name,Sector,Value,Close,Grade
BABA,Alibaba Group Holding Limited,Consumer Cyclical,2037.3042,117.81,1120.7199
PAM,Pampa Energia S.A. Pampa Energi,Utilities,0.00011,19.64,984.4687
LEN.B,Lennar Corporation,Consumer Cyclical,1823.89704,92.16,878.1793
UMC,United Microelectronics Corpora,Technology,0.06276,11.63,514.4926
GTN.A,Gray Television  Inc.,Communication Services,169.15078,18.58,473.4971
TSM,Taiwan Semiconductor Manufactur,Technology,8.69715,121.3,466.4417
LBTYB,Liberty Global plc,Communication Services,1122.44324,27.5,398.0994
SID,Companhia Siderurgica Nacional ,Basic Materials,0.32255,4.32,378.8728
ONEW,OneWater Marine Inc.,Consumer Cyclical,0.05713,52.01,370.0775
BRK.A,Berkshire Hathaway Inc.,Financial Services,488638.7465,444587.7,366.7516
CO,Global Cord Blood Corporation,Healthcare,3217.60647,4.12,351.6877
GGB,Gerdau S.A.,Basic Materials,2.08028,4.82,339.9806
SEB,Seaboard Corporation,Industrials,32.52783,3840.89,332.0317
PHI,PLDT Inc. Sponsored,Communication Services,150613.33482,36.9,316.4104
WIT,Wipro Limited,Technology,122866.291,9.41,313.5218
PKX,POSCO,Basic Materials,0.00034,60.03,299.3344
USM,United States Cellular Corporat,Communication Services,37912.70782,32.39,282.1433
GTN,Gray Television  Inc.,Communication Services,1642.38646,19.8,256.437
OPY,Oppenheimer Holdings  Inc.,Financial Services,16248.448,43.95,254.8652
PANL,Pangaea Logistics Solutions Ltd,Industrials,35.74686,3.62,246.1875
ZIM,ZIM Integrated Shipping Service,Industrials,0.04185,52.22,244.9177
LX,LexinFintech Holdings Ltd.,Financial Services,129786.09068,3.66,228.7242
ORAN,Orange,Communication Services,126507623.07174,10.62,216.6933
WLK,Westlake Chemical Corporation,Basic Materials,8.43601,92.42,200.2476
BEN,Franklin Resources  Inc.,Financial Services,26479.18294,32.87,191.8863
SNFCA,Security National Financial Cor,Financial Services,112.20435,8.76,189.405
DAC,Danaos Corporation,Industrials,222.38709,70.0,189.1493
QRTEB,Liberty Interactive Corporation,Consumer Cyclical,1417.02495,7.37,189.0278
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,34130299.11474,53.5,181.8518
QFIN,360 DigiTech  Inc.,Financial Services,120019859437.14067,21.52,181.7102
ASX,ASE Technology Holding Co.  Ltd,Technology,836.13241,7.58,179.4844
BIO.B,Bio-Rad Laboratories  Inc.,Healthcare,7890.51756,722.9102,177.3119
TGS,Transportadora de Gas del Sur S,Energy,0.62675,4.47,177.2062
QIWI,QIWI plc,Technology,16.30722,7.56,174.1663
DHI,D.R. Horton  Inc.,Consumer Cyclical,169979.46291,105.58,169.3428
TME,Tencent Music Entertainment Gro,Communication Services,63319020.04605,6.42,161.5935
JEF,Jefferies Financial Group Inc.,Financial Services,467867.46981,37.84,161.1856
ULH,Universal Logistics Holdings  I,Industrials,2.86205,17.85,161.1653
VIPS,Vipshop Holdings Limited,Consumer Cyclical,307064488.91571,8.44,155.9636
AM,Antero Midstream Corporation,Energy,1.24425,9.54,153.1097
FOX,Fox Corporation,Communication Services,31502.38635,34.13,152.9835
GHC,Graham Holdings Company,Consumer Defensive,583.64395,582.93,150.1369
