"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
GRVY,"GRAVITY Co., Ltd.",Communication Services,South Korea,1.41e-05,1208928373.276,4.0,41216927.7806,181385742.5432,2.0,360370547.6085,1.0,66867094.788,1.0,900627175.4512501,1.5,66867094.788,900627175.4512501,360370547.6085,1208928373.276,4.0,41216927.7806,360370547.6085,1.0,66867094.788,1.0,66867094.788,360370547.6085,-0.523,1.2784399,6.9105697,6.9105697,6.9105697,0.001072,6.9105697,-1.92,34722.2222222,-119977108.3333333,0,69248287866.66667,0,0.18555,2007.0260939,14000.0,1.9515703,10.0,669.7220714,0.08032,1.23e-05,0,9.594,65.65,0.1461386,0.001883,6948900,79746088960,11476.0737613,279,460712096,460712096,285828275.8422939,0.042,-0.024,0.5981389,0.2915506,0.5981389,0.2915506,0.1810347,4.5048175,0.0548877,2.5928114,38.1726211,38.1726211,42619349.3284,1.0,10654837.3321,1.0,10.809928,43.2397118,43.2397118,0.681515,1.0,0.7225611,2.0,0.7225611,0.851036,KRW,USD,0.0008385,1.0,0,0,0,0,65.65,64.14,192.89,100.3616,-34.5865351,2.3542251,-65.9650578,0.0234563,0.0244563,16.4159238,6.0,7.6220309,2.0,0.1627407,1.0,0.1458913,1.0,4.8992233,1.0,0.1900494,0.25,8.026016,3.0,7.7228716,2.0,7.6320309,0.1558913,0.2000494,7.7328716,7.6824513,367476647.7876,2.0,388675302.2568,1.5,388675302.2568,231911373.8864,2.0,285313617.46875,1.5,285313617.46875,0.2720384,0.3343635,125909840800.0,214519433000.0,214519433000.0,67636815.6516,1.0,68304788.6768,1.0,68304788.6768,25.8748713,None
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,United States,3.8e-05,621066933.3333334,4.0,-351438266.6666667,-12703758400.0,0.125,44045000.0,1.0,400421250.0,0.25,-8048500000.0,0.25,400421250.0,-8048500000.0,44045000.0,621066933.3333334,4.0,-351438266.6666667,44045000.0,1.0,400421250.0,0.25,400421250.0,44045000.0,2.796,2.796,1.3282565,18346.4088189,2294.4633268,8.857377,2294.4633268,-1.725,59130.7922892,-342860428.4057971,-356310000.0,-343152000.0,-356310000.0,7.8824596,-0.6081526,3.5,4489423333.3296385,0.025,1496474446.8689818,1.13747,0.01203,-6.08,24.95,32.57,0.7660424,1.3000667,54308500,-340532000,-6.270326,562,568233728,1799783680,-605928.8256228,0.0884126,0.6551579,0.0884126,0.6551579,0.0884126,0.6551579,0.0884126,3.2234256,0.6551579,8.3441826,25951.7683808,25951.7683808,-627017866.6666666,0.5,-745248000.0,0.5,110345.0632671,76247.6018721,76247.6018721,0.7850883,1.0,0.3331552,2.0,0.3331552,0.578196,USD,USD,1.0,1.0,0,0,0,0,32.57,29.21,62.16,47.34295,-31.204118,11.50291,-47.6029601,0.2039454,0.2049454,2.7936567,1.0,21.4597637,2.0,0.0,1.0,0.0,1.0,0.0013709,0.3333333,0.0003427,1.0,19.6239361,3.0,23.2137182,1.0,21.4697637,0.01,0.0103427,23.2237182,22.3467409,847859400.0,1.0,1710681066.6666667,1.0,1710681066.6666667,500579266.6666667,1.0,1535874666.6666667,1.0,1535874666.6666667,0.3340712,0.3607122,520294000.0,1440417800.0,1440417800.0,347280133.3333333,1.0,116537600.0,0.6666667,116537600.0,1.7476432,None
JFIN,Jiayin Group Inc.,Communication Services,China,8.42e-05,287027478.2305601,1.0,61917956.6801867,-473912660.1653334,0.5,828086508.0084002,3.0,136715945.5272,2.0,-1850356166.0661335,0.375,136715945.5272,-1850356166.0661335,828086508.0084002,287027478.2305601,1.0,61917956.6801867,828086508.0084002,3.0,136715945.5272,2.0,136715945.5272,828086508.0084002,-0.009,0.1454869,1.7670366,1.1736842,1.6928675,0.0687407,1.6928675,-0.033,2020202.020202,-1825390181.8181818,0,524888400.0,0,0.24765,2.0380139,10.0,600.9006258,2500.0,201.0630966,0.00963,1.23e-05,1.9,1.262,2.3,0.5486957,1000.0,54025000,434028000,8.0338362,894,120475752,120475752,485489.9328859,0.49,0.438,-0.3177307,-0.2628556,-0.3177307,-0.2628556,0.2880673,5.6171903,0.2627861,5.3762667,5.8766387,5.8766387,-11147748.5621333,0.5,-44590994.2485333,1.0,9253.105606,270179.5598647,270179.5598647,-0.503359,4.0,-15.2101236,0.5,-15.2101236,1522.0123649,CNY,USD,0.1574956,1.0,0,0,0,0,2.3,2.05,14.95,4.444025,-48.2451156,12.195122,-84.6153846,0.0387597,0.0397597,0.494242,1.0,1.6303966,2.0,0.0221531,0.1666667,0.0014131,0.25,0.1335224,2.0,0.0824404,1.0,0.6061971,0.5,2.823697,2.0,1.6403966,0.0114131,0.0924404,2.833697,2.2370468,58491524.4054133,0.5,212150920.07856,1.5,212150920.07856,-62452013.76008,2.0,-20696160.8053867,1.5,-20696160.8053867,0.7444278,1e-06,109501866.6666667,215652733.3333333,215652733.3333333,121028144.8018133,0.5,258388368.07964,1.5,258388368.07964,1e-05,None
OPFI,OppFi Inc.,Technology,United States,0.0001291,583795005.1428572,4.0,55112612.5714286,143479888.6666667,2.0,678570000.0,3.0,8366750.0,0.25,45828333.3333333,0.1666667,8366750.0,45828333.3333333,678570000.0,583795005.1428572,4.0,55112612.5714286,678570000.0,3.0,8366750.0,0.25,8366750.0,678570000.0,1.702,1.702,2.516674,6.8192773,3.0544994,0.3090676,0.4363571,0,100000,0.0,-1729000.0,5415948.8571429,-1729000.0,0.12281,5333.5453458,14000.0,0.0585908,0.625,1777.9099155,0.4156,1.23e-05,0.83,2.249,6.08,0.3699013,1000.0,13464500,30283116,2.2491081,526,419643200,76209064,57572.4638783,-0.27,0.59,1.6962329,0.826808,1.6962329,0.826808,0.2215582,4.9569971,0.649202,8.3073073,13.7864417,13.7864417,322662918.8571429,2.0,164592000.0,1.0,1.3005622,2.5495966,2.5495966,8.079115,2.0,-27.4792024,0.25,-27.4792024,2748.9202379,USD,USD,1.0,1.0,0,0,0,0,6.08,4.11,11.6,8.156375,-25.4570811,47.9318735,-47.5862069,0.5260347,0.5270347,4.2154484,3.0,0.8008962,0.5,12.6131792,0.3333333,23.7126062,2.0,19.6097822,12.0,0.7312759,1.0,0.4835004,0.0833333,7.6439022,1.0,0.8108962,23.7226062,0.7412759,7.6539022,4.2323992,143052363.8333333,0.5,647625642.8571429,1.5,647625642.8571429,144088483.3333333,2.0,41532285.7142857,0.6666667,41532285.7142857,0.1129191,0.3014517,221895107.0,343422142.8571429,343422142.8571429,103700336.0,0.5,411387428.5714286,1.5,411387428.5714286,0.9471671,None
ZIM,ZIM Integrated Shipping Service,Industrials,Israel,0.0004635,14561768266.666666,4.0,255068066.6666667,-2586588000.0,0.25,25869450000.0,3.0,6600494000.0,2.0,438876750.0,0.25,6600494000.0,438876750.0,25869450000.0,14561768266.666666,4.0,255068066.6666667,25869450000.0,3.0,6600494000.0,2.0,6600494000.0,25869450000.0,0.752,0.752,2.273782,3.3420777,2.407319,0.8760204,2.407319,1.455,1.432499,4598595976.9759445,4740827000.0,664199266.6666666,4740827000.0,0.38272,0.0332045,0.35,10263.3656212,25000.0,3421.2615153,0.44817,0.37233,19.06,28.015,63.63,0.4402797,2.3839822,118588000,3300247040,27.8295193,3794,6484011008,7554055680,869859.5255667,9.259,2.097,2.1209748,0.13732,2.1209748,0.13732,7.4744937,27.5895203,1.60708,12.9270659,0.3220712,0.3220712,613988800.0,1.0,6571050000.0,1.5,10.5604711,0.9867542,0.9867542,0.3828592,1.0,1.2085935,0.5,1.2085935,1.1003605,USD,USD,1.0,1.0,0,0,0,0,63.63,11.34,64.6,46.28205,37.4831063,461.1111111,-1.501548,1.9635749,57.3171849,1.0086691,1.0,3.0672656,2.0,0.1281654,0.3333333,0.1919622,1.0,0.1316732,1.0,0.0320513,0.5,0.9011134,1.0,1.4104792,1.0,3.0772656,0.2019622,0.0420513,1.4204792,2.2488724,4767055466.666667,2.0,9629103500.0,1.5,9629103500.0,36457533.3333333,1.0,3458314000.0,1.5,3458314000.0,0.7854734,2.0085872,-84060533.3333333,999276666.6666666,999276666.6666666,4681048000.0,2.0,6162011200.0,1.5,6162011200.0,2.2773812,None
ZEPP,Zepp Health Corporation,Technology,China,0.0013403,3530231954.8917336,4.0,52273650.6159467,283926263.8700801,2.0,1033328001.6176001,1.0,8532009.1388,0.25,731830552.1388,1.0,8532009.1388,731830552.1388,1033328001.6176001,3530231954.8917336,4.0,52273650.6159467,1033328001.6176001,1.0,8532009.1388,0.25,8532009.1388,1033328001.6176001,0.051,0.051,9.824561,3.678832,9.0563449,0.0483594,1.2937636,1.819,2.7285,91096206.7069819,0,335663466.6666667,0,0.03303,7.1054763,140.0,0.0007258,0.025,2.3807441,0.62603,0.08017,1.37,0.513,5,0.1026,0.1096129,62953600,216692000,3.4420907,1507,331408000,317286144,143790.3118779,-0.391,-0.281,0.0002504,0.3422129,0.0002504,0.3422129,-0.2931874,0.2206813,-0.1251968,0.2374803,-30.8892713,3237.3699914,48550202.6389867,1.0,12137550.6597467,1.0,6.8260889,27.3043557,27.3043557,1.2741959,1.0,1.1378616,1.0,1.1378616,1.067706,CNY,USD,0.1574956,1.0,0,0,0,0,5,4.26,20.25,9.1757,-45.5082446,17.370892,-75.308642,0.0925578,0.0935578,1.9175427,1.0,1.8826885,1.0,0.7387325,2.0,0.0113858,0.25,0.3653111,0.3333333,1.3735844,2.0,1.767955,1.0,1.7544061,1.0,1.8926885,0.0213858,1.3835844,1.7644061,1.8285473,1594090728.4275734,2.0,959630508.0257335,1.0,959630508.0257335,749525109.3008534,2.0,448641798.1646934,1.0,448641798.1646934,0.1088909,0.1190174,1820385533.3333333,1711213466.6666667,1711213466.6666667,837495431.6485868,2.0,510414459.9040267,1.0,510414459.9040267,2.2294709,None
GSMG,Glory Star New Media Group Hold,Communication Services,China,0.0024347,373880266.6666667,4.0,35602400.0,130354266.6666667,2.0,166251000.0,1.0,53915000.0,1.0,393482000.0,1.0,53915000.0,393482000.0,166251000.0,373880266.6666667,4.0,35602400.0,166251000.0,1.0,53915000.0,1.0,53915000.0,166251000.0,0.434,0.434,2.123412,2.1666665,2.1288188,0.4794149,2.1288188,1.878,1.8589013,39259483.4930777,40058000.0,28117733.3333333,40058000.0,0.21475,542.8866055,1400.0,2.6653544,10.0,181.9232366,0.01252,0.90059,0.54,0.551,1.2,0.4591667,0.5763547,68122400,35702000,0.5240861,159,72229696,79703208,224540.8805031,-0.69,0.829,0.8136658,0.6487507,0.8136658,0.6487507,-0.3140836,0.2185916,0.7839377,9.1040254,-6.777874,14753.8888054,4727733.3333333,0.5,-4280000.0,0.5,15.2778702,1687609.7196262,1687609.7196262,0.9507245,2.0,0.470072,1.0,0.470072,0.686618,USD,USD,1.0,1.0,0,0,0,0,1.2,1.11,4.86,2.31865,-48.2457464,8.1081081,-75.308642,0.048,0.049,7.2560752,2.0,3.1609133,1.0,0.3792373,1.0,2.0905482,1.0,27.2593037,1.0,37.706728,1.0,5.8964876,2.0,2.5839699,1.0,3.1709133,2.1005482,37.716728,2.5939699,2.8824416,214185866.6666667,2.0,192932800.0,1.0,192932800.0,154139600.0,2.0,130516800.0,1.0,130516800.0,0.3794496,0.5130886,51614666.6666667,91063400.0,91063400.0,29593533.3333333,1.0,61985800.0,1.0,61985800.0,2.3929844,None
IMAB,I-MAB,Healthcare,China,0.0030288,132091160.7311467,1.0,-33015130.6467733,-1199066585.3309867,0.25,245762906.5508,1.0,-14308790.2512,0.25,-7111039736.832001,0.25,-14308790.2512,-7111039736.832001,245762906.5508,132091160.7311467,1.0,-33015130.6467733,245762906.5508,1.0,-14308790.2512,0.25,-14308790.2512,245762906.5508,-0.892,11.1341142,522.9147753,4763.2627454,1052.9582716,1.753574,1052.9582716,5.724,13.9913567,122933980.7826695,-232181000.0,-368723800.0,-232181000.0,-0.01456,-381.4616068,0.025,20363332.1243535,0.025,6787650.2170622,0.53125,0.01151,-1.67,-0.052,35.42,-0.0014681,0.4942205,78047696,-22713000,-0.2910144,228,2736352256,2736352256,-99618.4210526,0.3278917,29.2083783,0.3278917,29.2083783,0.3278917,29.2083783,0.3278917,5.9761829,29.2083783,54.2947762,3211.2989148,3211.2989148,-17157171.6751467,0.5,26830084.1902,0.5,627.0088815,101.9882098,101.9882098,-0.1473616,1.0,0.1275164,1.0,0.1275164,0.3580943,CNY,USD,0.1574956,1.0,0,0,0,0,35.42,33.44,85.4,64.8783,-45.4054746,5.9210526,-58.5245902,0.0762125,0.0772125,3.2285514,0.5,8.8555788,1.0,0.64903,1.0,7.4813915,1.0,0.13079,0.0833333,0.0516629,1.0,6.5844654,1.0,9.4268373,1.0,8.8655788,7.4913915,0.0616629,9.4368373,9.1512081,665658859.7964534,1.0,952762555.3977067,1.0,952762555.3977067,364007789.1094133,1.0,845355165.5689334,1.0,845355165.5689334,8.5e-05,8.31e-05,3007301666.6666665,4558356533.333333,4558356533.333333,198781769.5763734,2.0,107407389.8287733,1.0,107407389.8287733,3.355855,None
SGMA,"SigmaTron International, Inc.",Technology,United States,0.0036952,280343927.6666667,1.0,608564.1333333,36004952.6666667,1.0,1000594020.0,3.0,13761748.0,1.0,249297357.0,1.5,13761748.0,249297357.0,1000594020.0,280343927.6666667,1.0,608564.1333333,1000594020.0,3.0,13761748.0,1.0,13761748.0,1000594020.0,0.326,0.326,2.7612658,2.7612658,2.7612658,0.1133114,0.3944665,6.386,6.355806,17164715.125274,17327030.0,10347350.4666667,17327030.0,0.04126,0.0104937,2.5,11.7754089,250.0,3.9433875,0.22501,0.21996,0,3.129,8.8,0.3555682,0.5163142,4374180,13761748,3.1461321,3200,108577328,37792916,4300.54625,4.025,0.44,2.0940746,-0.0097307,2.0940746,-0.0097307,3.5422687,19.0709157,0.3275673,5.9733497,0.779519,0.779519,3946708.8333333,0.5,-12205002.0,0.5,27.5108534,889613.3568843,889613.3568843,2.0599732,1.0,2.2818391,1.0,2.2818391,1.5115757,USD,USD,1.0,1.0,0,0,0,0,8.8,4.58,17.3,7.2269,21.7672861,92.139738,-49.132948,0.663522,0.664522,0.4964098,0.3333333,1.4407219,1.0,478.9189664,1.0,119.7297416,1.0,1.2782057,1.0,1.5309474,1.0,3.6262873,2.0,1.7294345,1.0,1.4507219,119.7397416,1.5409474,1.7394345,1.5950782,365581717.3333333,2.0,343026313.2,1.5,343026313.2,59685368.8666667,1.0,104227797.4,1.5,104227797.4,0.1401186,0.2320353,59247481.4666667,74637547.0,74637547.0,246210979.6,2.0,238798515.8,1.5,238798515.8,2.1108319,None
BRDG,Bridge Investment Group Holding,Real Estate,United States,0.0046098,1331914666.6666667,4.0,144735333.3333333,2575750.0,1.0,1437696000.0,3.0,199347000.0,1.0,10303000.0,1.0,199347000.0,10303000.0,1437696000.0,1331914666.6666667,4.0,144735333.3333333,1437696000.0,3.0,199347000.0,1.0,199347000.0,1437696000.0,1.685,1.685,3.5741937,20.330275,5.6687039,0.9965707,5.6687039,2.665,2.7830598,325017630.956848,296221000.0,171483666.6666667,296221000.0,0.45709,6094.940233,14000.0,99.4487455,250.0,2064.9496895,0.71041,0.04184,1.09,6.2,22.72,0.2728873,8.690196,25162600,155996992,6.1995578,1650,942915008,557603200,94543.6315152,1.134,1.506,0.0467363,0.03371,0.0467363,0.03371,0.8621841,9.5353868,1.1379275,10.9173685,6.5748186,6.5748186,68943333.3333333,0.5,174416000.0,1.0,13.6766669,5.4061268,5.4061268,1.9269372,2.0,1.4961304,0.5,1.4961304,1.2241641,USD,USD,1.0,1.0,0,0,0,0,22.72,14.05,25.61,19.04203,19.31501,61.7081851,-11.2846544,1.5,11.390625,0.7867201,0.3333333,1.1131535,0.5,18.8120226,12.0,0.648776,0.5,0.1580882,0.3333333,135.9127524,8.0,26.0668444,12.0,2.7182682,1.0,1.1231535,0.658776,135.9227524,2.7282682,1.9257109,750404666.6666666,2.0,572909285.7142857,1.0,572909285.7142857,364436666.6666667,2.0,73657904.7619048,0.6666667,73657904.7619048,0.4479556,2.8063898,87655333.3333333,128198571.4285714,128198571.4285714,354893333.3333333,2.0,382161214.2857143,1.5,382161214.2857143,2.3560001,None
