Symbol,Name
A,Agilent Technologies_
AAIC,Arlington Asset Inves
AAL,American Airlines Gro
AAME,Atlantic American Cor
AAN,Aarons Holdings Compa
AAOI,Applied Optoelectroni
AATC,Autoscope Technologie
AAU,Almaden Minerals_ Ltd
ABCL,AbCellera Biologics I
ABEO,Abeona Therapeutics I
ABIO,ARCA biopharma_ Inc. 
ABST,Absolute Software Cor
ACB,Aurora Cannabis Inc. 
ACCD,Accolade_ Inc. - comm
ACHC,Acadia Healthcare Com
ACHL,Achilles Therapeutics
ACHR,Archer Aviation Inc. 
ACIU,AC Immune SA - Common
ACMR,ACM Research_ Inc. - 
ACOR,Acorda Therapeutics_ 
ACP,Aberdeen Income Credi
ACQR,Independence Holdings
ACQRU,Independence Holdings
ACR,ACRES Commercial Real
ACRE,Ares Commercial Real 
ACRS,Aclaris Therapeutics_
ACRX,AcelRx Pharmaceutical
ACTG,Acacia Research Corpo
ACU,Acme United Corporati
ACV,Virtus AllianzGI Dive
ACVA,ACV Auctions Inc. - C
ADAG,Adagene Inc. - ADS_ e
ADAP,Adaptimmune Therapeut
ADBE,Adobe Inc. - Common S
ADC,Agree Realty Corporat
ADCT,ADC Therapeutics SA C
ADES,Advanced Emissions So
ADIL,Adial Pharmaceuticals
ADN,Advent Technologies H
ADPT,Adaptive Biotechnolog
ADS,Alliance Data Systems
ADSE,ADS-TEC ENERGY PLC - 
ADSK,Autodesk_ Inc. - Comm
ADT,ADT Inc. Common Stock
ADTH,AdTheorent Holding Co
ADTX,Aditxt_ Inc. - Common
ADV,Advantage Solutions I
ADVM,Adverum Biotechnologi
ADX,Adams Diversified Equ
ADXN,Addex Therapeutics Lt
AEF,Aberdeen Emerging Mar
AEFC,Aegon Funding Company
AEHL,Antelope Enterprise H
AEI,Alset EHome Internati
AEMD,Aethlon Medical_ Inc.
AEO,American Eagle Outfit
AERI,Aerie Pharmaceuticals
AES,The AES Corporation C
AESC,The AES Corporation C
AEVA,Aeva Technologies_ In
AEY,ADDvantage Technologi
AEYE,AudioEye_ Inc. - Comm
AEZS,Aeterna Zentaris Inc.
AFB,AllianceBernstein Nat
AFCG,AFC Gamma_ Inc. - Com
AFGC,American Financial Gr
AFGE,American Financial Gr
AFIB,Acutus Medical_ Inc. 
AFMD,Affimed N.V. - Common
AFYA,Afya Limited - Class 
AGCB,Altimeter Growth Corp
AGEN,Agenus Inc. - Common 
AGFY,Agrify Corporation - 
AGGRU,Agile Growth Corp. - 
AGI,Alamos Gold Inc. Clas
AGIL,AgileThought_ Inc. - 
AGIO,Agios Pharmaceuticals
AGL,agilon health_ inc. C
AGMH,AGM Group Holdings In
AGNC,AGNC Investment Corp.
AGNCO,AGNC Investment Corp.
AGNCP,AGNC Investment Corp.
AGR,Avangrid_ Inc. Common
AGRO,Adecoagro S.A. Common
AGRX,Agile Therapeutics_ I
AGTC,Applied Genetic Techn
AGX,Argan_ Inc. Common St
AGYS,Agilysys_ Inc. - Comm
AHCO,AdaptHealth Corp.  - 
AHPI,Allied Healthcare Pro
AHT,Ashford Hospitality T
AI,C3.ai_ Inc. Class A C
AIHS,Senmiao Technology Li
AIKI,AIkido Pharma Inc. - 
AIM,AIM ImmunoTech Inc. C
AIMC,Altra Industrial Moti
AIO,Virtus AllianzGI Arti
AIRI,Air Industries Group 
AIZ,Assurant_ Inc. Common
AJX,Great Ajax Corp. Comm
AJXA,Great Ajax Corp. 7.25
AKBA,Akebia Therapeutics_ 
AKRO,Akero Therapeutics_ I
AKTS,Akoustis Technologies
AKTX,Akari Therapeutics Pl
AKU,Akumin Inc. - Common 
AKUS,Akouos_ Inc. - Common
ALDX,Aldeyra Therapeutics_
ALEC,Alector_ Inc. - Commo
ALF,ALFI_ Inc. - Common S
ALGN,Align Technology_ Inc
ALGS,Aligos Therapeutics_ 
ALHC,Alignment Healthcare_
ALIM,Alimera Sciences_ Inc
ALIT,Alight_ Inc. Class A 
ALKT,Alkami Technology_ In
ALLE,Allegion plc Ordinary
ALLK,Allakos Inc. - Common
ALLO,Allogene Therapeutics
ALLT,Allot Ltd. - Ordinary
ALNA,Allena Pharmaceutical
ALNY,Alnylam Pharmaceutica
ALOT,AstroNova_ Inc. - Com
ALPP,Alpine 4 Holdings_ In
ALRM,Alarm.com Holdings_ I
ALRN,Aileron Therapeutics_
ALT,Altimmune_ Inc. - Com
ALTR,Altair Engineering In
ALVR,AlloVir_ Inc. - Commo
ALXO,ALX Oncology Holdings
ALZN,Alzamend Neuro_ Inc. 
AMAM,Ambrx Biopharma Inc. 
AMBO,Ambow Education Holdi
AMC,AMC Entertainment Hol
AMED,Amedisys Inc - Common
AMEH,Apollo Medical Holdin
AMPE,Ampio Pharmaceuticals
AMPG,Amplitech Group_ Inc.
AMPS,Altus Power_ Inc. Cla
AMRN,Amarin Corporation pl
AMRS,Amyris_ Inc. - Common
AMS,American Shared Hospi
AMSC,American Superconduct
AMST,Amesite Inc. - Common
AMT,American Tower Corpor
AMTI,Applied Molecular Tra
AMWD,American Woodmark Cor
AMWL,American Well Corpora
AMZN,Amazon.com_ Inc. - Co
ANGI,Angi Inc. - Class A C
ANGN,Angion Biomedica Corp
ANGO,AngioDynamics_ Inc. -
ANIK,Anika Therapeutics In
ANNX,Annexon_ Inc. - commo
ANPC,AnPac Bio-Medical Sci
ANTE,AirNet Technology Inc
ANVS,Annovis Bio_ Inc. Com
ANY,Sphere 3D Corp. - Com
AOUT,American Outdoor Bran
APAM,Artisan Partners Asse
APDN,Applied DNA Sciences_
APEI,American Public Educa
APEN,Apollo Endosurgery_ I
API,Agora_ Inc. - ADS
APLS,Apellis Pharmaceutica
APLT,Applied Therapeutics_
APPH,AppHarvest_ Inc. - Co
APPN,Appian Corporation - 
APPS,Digital Turbine_ Inc.
APRE,Aprea Therapeutics_ I
APTO,Aptose Biosciences_ I
APVO,Aptevo Therapeutics I
APWC,Asia Pacific Wire & C
AQB,AquaBounty Technologi
AQMS,Aqua Metals_ Inc. - C
AQNA,Algonquin Power & Uti
AQNB,Algonquin Power & Uti
ARAV,Aravive_ Inc. - Commo
ARCT,Arcturus Therapeutics
ARDX,Ardelyx_ Inc. - Commo
ARI,Apollo Commercial Rea
ARKO,ARKO Corp. - Common S
ARR,ARMOUR Residential RE
ARRWU,Arrowroot Acquisition
ARTL,Artelo Biosciences_ I
ARVL,Arrival - Ordinary Sh
ARVN,Arvinas_ Inc. - Commo
ARWR,Arrowhead Pharmaceuti
ASAN,Asana_ Inc. Class A C
ASC,Ardmore Shipping Corp
ASG,Liberty All-Star Grow
ASLN,ASLAN Pharmaceuticals
ASMB,Assembly Biosciences_
ASND,Ascendis Pharma A_S -
ASTC,Astrotech Corporation
ASTL,Algoma Steel Group In
ASTR,Astra Space_ Inc. - C
ASTS,AST SpaceMobile_ Inc.
ASUR,Asure Software Inc - 
ASXC,Asensus Surgical_ Inc
ASYS,Amtech Systems_ Inc. 
ATAI,ATAI Life Sciences N.
ATER,Aterian_ Inc. - Commo
ATEX,Anterix Inc. - Common
ATHE,Alterity Therapeutics
ATHX,Athersys_ Inc. - Comm
ATNF,180 Life Sciences Cor
ATNM,Actinium Pharmaceutic
ATNX,Athenex_ Inc. - Commo
ATOM,Atomera Incorporated 
ATOS,Atossa Therapeutics_ 
ATR,AptarGroup_ Inc. Comm
ATRC,AtriCure_ Inc. - Comm
ATUS,Altice USA_ Inc. Clas
ATXI,Avenue Therapeutics_ 
ATXS,Astria Therapeutics_ 
ATY,AcuityAds Holdings In
AUD,Audacy Common Stock
AURC,Aurora Acquisition Co
AURCU,Aurora Acquisition Co
AUS,Austerlitz Acquisitio
AUTL,Autolus Therapeutics 
AUUD,Auddia Inc. - Common 
AUVI,Applied UV_ Inc. - Co
AVAH,Aveanna Healthcare Ho
AVAV,AeroVironment_ Inc. -
AVCO,Avalon GloboCare Corp
AVDL,Avadel Pharmaceutical
AVEO,AVEO Pharmaceuticals_
AVGR,Avinger_ Inc. - Commo
AVIR,Atea Pharmaceuticals_
AVK,Advent Convertible an
AVLR,Avalara_ Inc. Common 
AVO,Mission Produce_ Inc.
AVPT,AvePoint_ Inc. - Clas
AVRO,AVROBIO_ Inc. - Commo
AVTX,Avalo Therapeutics_ I
AVXL,Anavex Life Sciences 
AVY,Avery Dennison Corpor
AVYA,Avaya Holdings Corp. 
AWF,Alliancebernstein Glo
AWH,Aspira Women's Health
AWRE,Aware_ Inc. - Common 
AWX,Avalon Holdings Corpo
AXDX,Accelerate Diagnostic
AXGN,Axogen_ Inc. - Common
AXLA,Axcella Health Inc. -
AXNX,Axonics_ Inc. - Commo
AXON,Axon Enterprise_ Inc.
AXSM,Axsome Therapeutics_ 
AXU,Alexco Resource Corp 
AY,Atlantica Sustainable
AYLA,Ayala Pharmaceuticals
AYRO,AYRO_ Inc. - Common S
AYTU,Aytu BioPharma_ Inc. 
AYX,Alteryx_ Inc. Class A
AZRE,Azure Power Global Li
BAFN,BayFirst Financial Co
BALY,Bally's Corporation C
BAMH,Brookfield Finance In
BAMI,Brookfield Finance In
BAND,Bandwidth Inc. - Clas
BAOS,Baosheng Media Group 
BARK,BARK_ Inc. Class A Co
BB,BlackBerry Limited Co
BBAR,Banco BBVA Argentina 
BBBY,Bed Bath & Beyond Inc
BBCP,Concrete Pumping Hold
BBGI,Beasley Broadcast Gro
BBIO,BridgeBio Pharma_ Inc
BBN,BlackRock Taxable Mun
BBSI,Barrett Business Serv
BC,Brunswick Corporation
BCAB,BioAtla_ Inc. - Commo
BCACU,Brookline Capital Acq
BCAT,BlackRock Capital All
BCDA,BioCardia_ Inc. - Com
BCEL,Atreca_ Inc. - Class 
BCV,Bancroft Fund Limited
BDR,Blonder Tongue Labora
BDSX,Biodesix_ Inc. - Comm
BDTX,Black Diamond Therape
BEAM,Beam Therapeutics Inc
BEDU,Bright Scholar Educat
BEEM,Beam Global - Common 
BEP,Brookfield Renewable 
BEPC,Brookfield Renewable 
BEST,BEST Inc. American De
BFI,BurgerFi Internationa
BFIN,BankFinancial Corpora
BFK,BlackRock Municipal I
BFLY,Butterfly Network_ In
BFRA,Biofrontera AG - Amer
BFZ,BlackRock California 
BGB,Blackstone Strategic 
BGCP,BGC Partners_ Inc. - 
BGRY,Berkshire Grey_ Inc. 
BGX,Blackstone Long Short
BH,Biglari Holdings Inc.
BHAT,Blue Hat Interactive 
BHFAL,Brighthouse Financial
BHFAO,Brighthouse Financial
BHFAP,Brighthouse Financial
BHIL,Benson Hill_ Inc. Com
BHK,Blackrock Core Bond T
BIGC,BigCommerce Holdings_
BIGZ,BlackRock Innovation 
BIIB,Biogen Inc. - Common 
BILI,Bilibili Inc. - Ameri
BIMI,BIMI International Me
BIO,Bio-Rad Laboratories_
BIOC,Biocept_ Inc. - Commo
BIOL,Biolase_ Inc. - Commo
BIPH,Brookfield Infrastruc
BIT,BlackRock Multi-Secto
BIVI,BioVie Inc. - Common 
BJRI,BJ's Restaurants_ Inc
BKSY,BlackSky Technology I
BKT,BlackRock Income Trus
BKYI,BIO-key International
BL,BlackLine_ Inc. - Com
BLBD,Blue Bird Corporation
BLBX,Blackboxstocks Inc. -
BLCM,Bellicum Pharmaceutic
BLCT,BlueCity Holdings Lim
BLDE,Blade Air Mobility_ I
BLDP,Ballard Power Systems
BLE,BlackRock Municipal I
BLFS,BioLife Solutions_ In
BLI,Berkeley Lights_ Inc.
BLIN,Bridgeline Digital_ I
BLNK,Blink Charging Co. - 
BLPH,Bellerophon Therapeut
BLRX,BioLineRx Ltd. - Amer
BLUE,bluebird bio_ Inc. - 
BLW,Blackrock Limited Dur
BMA,Banco Macro S.A.  ADR
BMBL,Bumble Inc. - common 
BME,Blackrock Health Scie
BMEA,Biomea Fusion_ Inc. -
BMEZ,BlackRock Health Scie
BNED,Barnes & Noble Educat
BNGO,Bionano Genomics_ Inc
BNL,Broadstone Net Lease_
BNSO,Bonso Electronics Int
BNTC,Benitec Biopharma Inc
BNTX,BioNTech SE - America
BNY,BlackRock New York Mu
BODY,The Beachbody Company
BOLT,Bolt Biotherapeutics_
BOMN,Boston Omaha Corporat
BOSC,B.O.S. Better Online 
BOWL,Bowlero Corp. Class A
BOXL,Boxlight Corporation 
BPTH,Bio-Path Holdings_ In
BPTS,Biophytis SA - Americ
BPYPN,Brookfield Property P
BPYPO,Brookfield Property P
BPYPP,Brookfield Property P
BQ,Boqii Holding Limited
BRCN,Burcon NutraScience C
BRDS,Bird Global_ Inc. Cla
BRKR,Bruker Corporation - 
BROG,Brooge Energy Limited
BRQS,Borqs Technologies_ I
BRTX,BioRestorative Therap
BSBK,Bogota Financial Corp
BSET,Bassett Furniture Ind
BSGM,BioSig Technologies_ 
BSKYU,Big Sky Growth Partne
BSQR,BSQUARE Corporation -
BST,BlackRock Science and
BSTZ,BlackRock Science and
BSY,Bentley Systems_ Inco
BTAI,BioXcel Therapeutics_
BTB,Bit Brother Limited -
BTBT,Bit Digital_ Inc. - O
BTCM,BIT Mining Limited AD
BTG,B2Gold Corp Common sh
BTN,Ballantyne Strong_ In
BTRS,BTRS Holdings Inc. - 
BTT,BlackRock Municipal 2
BTTR,Better Choice Company
BTTX,Better Therapeutics_ 
BTWN,Bridgetown Holdings L
BTWNU,Bridgetown Holdings L
BTX,Brooklyn ImmunoTherap
BTZ,BlackRock Credit Allo
BUR,Burford Capital Limit
BURL,Burlington Stores_ In
BV,BrightView Holdings_ 
BWACU,Better World Acquisit
BWAY,BrainsWay Ltd. - Amer
BWEN,Broadwind_ Inc. - Com
BWG,BrandywineGLOBAL Glob
BXRX,Baudax Bio_ Inc. - Co
BYFC,Broadway Financial Co
BYM,Blackrock Municipal I
BYND,Beyond Meat_ Inc. - C
BYRN,Byrna Technologies_ I
BYSI,BeyondSpring_ Inc. - 
BZ,KANZHUN LIMITED - Ame
BZFD,BuzzFeed_ Inc. - Clas
BZUN,Baozun Inc. - America
CABA,Cabaletta Bio_ Inc. -
CABO,Cable One_ Inc. Commo
CAF,Morgan Stanley China 
CAKE,The Cheesecake Factor
CALA,Calithera Biosciences
CAMP,CalAmp Corp. - Common
CAN,Canaan Inc. - America
CANO,Cano Health_ Inc. Cla
CAPR,Capricor Therapeutics
CARA,Cara Therapeutics_ In
CARV,Carver Bancorp_ Inc. 
CASA,Casa Systems_ Inc. - 
CASI,CASI Pharmaceuticals_
CASS,Cass Information Syst
CASY,Caseys General Stores
CBAT,CBAK Energy Technolog
CBAY,CymaBay Therapeutics 
CBH,Virtus AllianzGI Conv
CBIO,Catalyst Biosciences_
CBRL,Cracker Barrel Old Co
CCAP,Crescent Capital BDC_
CCCC,C4 Therapeutics_ Inc.
CCD,Calamos Dynamic Conve
CCNC,Code Chain New Contin
CCOI,Cogent Communications
CCVI,Churchill Capital Cor
CD,Chindata Group Holdin
CDAK,Codiak BioSciences_ I
CDAY,Ceridian HCM Holding 
CDE,Coeur Mining_ Inc. Co
CDNA,CareDx_ Inc. - Common
CDTX,Cidara Therapeutics_ 
CDXC,ChromaDex Corporation
CDZI,Cadiz_ Inc. - Common 
CEE,The Central and Easte
CEI,Camber Energy_ Inc. C
CELC,Celcuity Inc. - Commo
CELH,Celsius Holdings_ Inc
CELP,Cypress Environmental
CELU,Celularity Inc. - Cla
CEMI,Chembio Diagnostics_ 
CENN,Cenntro Electric Grou
CETX,Cemtrex Inc. - Common
CEV,Eaton Vance Californi
CEVA,CEVA_ Inc. - Common S
CFRX,ContraFect Corporatio
CFX,Colfax Corporation Co
CGABL,The Carlyle Group Inc
CGC,Canopy Growth Corpora
CGEM,Cullinan Oncology_ In
CGEN,Compugen Ltd. - Ordin
CGNT,Cognyte Software Ltd.
CGNX,Cognex Corporation - 
CGO,Calamos Global Total 
CGRN,Capstone Green Energy
CHEK,Check-Cap Ltd. - Ordi
CHI,Calamos Convertible O
CHMI,Cherry Hill Mortgage 
CHN,China Fund_ Inc. (The
CHNGU,Change Healthcare Inc
CHPT,ChargePoint Holdings_
CHS,Chico's FAS_ Inc. Com
CHSCO,CHS Inc - Class B Cum
CHTR,Charter Communication
CHUY,Chuy's Holdings_ Inc.
CHW,Calamos Global Dynami
CHWY,Chewy_ Inc. Class A C
CHY,Calamos Convertible a
CIA,Citizens_ Inc. Class 
CIDM,Cinedigm Corp - Class
CIF,MFS Intermediate High
CIFR,Cipher Mining Inc. - 
CJJD,China Jo-Jo Drugstore
CKPT,Checkpoint Therapeuti
CLAA,Colonnade Acquisition
CLAR,Clarus Corporation - 
CLBS,Caladrius Biosciences
CLBT,Cellebrite DI Ltd. - 
CLEU,China Liberal Educati
CLGN,CollPlant Biotechnolo
CLIR,ClearSign Technologie
CLLS,Cellectis S.A. - Amer
CLNE,Clean Energy Fuels Co
CLNN,Clene Inc. - Common S
CLOV,Clover Health Investm
CLPS,CLPS Incorporation - 
CLPT,ClearPoint Neuro Inc.
CLRB,Cellectar Biosciences
CLRO,ClearOne_ Inc. - Comm
CLSD,Clearside Biomedical_
CLSK,CleanSpark_ Inc. - Co
CLSN,Celsion Corporation -
CLVR,Clever Leaves Holding
CLVS,Clovis Oncology_ Inc.
CLVT,Clarivate Plc 5.25% S
CLWT,Euro Tech Holdings Co
CLXT,Calyxt_ Inc. - Common
CMBM,Cambium Networks Corp
CMG,Chipotle Mexican Gril
CMLS,Cumulus Media Inc. - 
CMMB,Chemomab Therapeutics
CMPI,Checkmate Pharmaceuti
CMPS,COMPASS Pathways Plc 
CMSC,CMS Energy Corporatio
CMTL,Comtech Telecommunica
CMU,MFS Municipal Income 
CNET,ZW Data Action Techno
CNEY,CN Energy Group Inc. 
CNK,Cinemark Holdings Inc
CNSL,Consolidated Communic
CNSP,CNS Pharmaceuticals_ 
CNTA,Centessa Pharmaceutic
CNTG,Centogene N.V. - Comm
CNTY,Century Casinos_ Inc.
COCP,Cocrystal Pharma_ Inc
CODA,Coda Octopus Group_ I
COE,China Online Educatio
COHN,Cohen & Company Inc.
COLD,Americold Realty Trus
COLIU,Colicity Inc. - Units
COLM,Columbia Sportswear C
COMP,Compass_ Inc. Class A
COMS,ComSovereign Holding 
CONXU,CONX Corp. - Unit
COOLU,Corner Growth Acquisi
CORT,Corcept Therapeutics 
COUP,Coupa Software Incorp
COUR,Coursera_ Inc. Common
COVAU,COVA Acquisition Corp
COWN,Cowen Inc. - Class A 
CPARU,Catalyst Partners Acq
CPHI,China Pharma Holdings
CPNG,Coupang_ Inc. Class A
CPSH,CPS Technologies Corp
CPSI,Computer Programs and
CRBP,Corbus Pharmaceutical
CRCT,Cricut_ Inc. - Class 
CRDL,Cardiol Therapeutics 
CRIS,Curis_ Inc. - Common 
CRKN,Crown Electrokinetics
CRL,Charles River Laborat
CRM,Salesforce.com Inc Co
CRMD,CorMedix Inc. - Commo
CRNC,Cerence Inc. - Common
CRNT,Ceragon Networks Ltd.
CRON,Cronos Group Inc. - C
CRSP,CRISPR Therapeutics A
CRSR,Corsair Gaming_ Inc. 
CRTD,Creatd Inc. - Common 
CRTX,Cortexyme_ Inc. - Com
CRVS,Corvus Pharmaceutical
