"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
A,"Agilent Technologies, Inc.",Healthcare,United States,351633904.178182,23239466666.666668,4.0,1000933333.3333334,91200000.0,0.5,6319000000.0,1.0,1210000000.0,1.0,107500000.0,0.25,1210000000.0,107500000.0,6319000000.0,23239466666.666668,4.0,1000933333.3333334,6319000000.0,1.0,1210000000.0,1.0,1210000000.0,6319000000.0,7.126,7.126,36.72081,30.91453,35.995025,6.914623,35.995025,26.104,26.145759,1719501423.2301564,1714000000.0,1530333333.3333333,1714000000.0,0.19148,6.6450306,36.9075,0.5986331,2.75,2.4793812,0.90573,0.00246,4.68,3.94,145.17,0.0271406,8.113503,302000992,1210000000,4.0066094,17000,45029474304,43693502464,71176.4705882,0.991,0.119,0.6376404,0.121867,0.6376404,0.121867,0.9026601,9.7508425,0.1197167,3.7100108,2.1606,2.1606,1246200000.0,1.0,1485000000.0,1.0,36.1334251,30.3228783,30.3228783,0.976313,1.0,2.0951059,2.0,2.0951059,1.4484481,USD,USD,1.0,1.0,0.21,0.194,0.194,0.194,0.1360817,112.47,179.57,151.34415,-4.0795432,29.0744198,-19.1568748,0.9746647,0.9756647,2.0253384,1.0,3.9181,2.0,0.2563882,1.0,0.0481036,0.125,0.7604948,1.0,0.7516416,1.0,2.2305238,1.0,4.3044215,2.0,3.9281,0.0581036,0.7616416,4.3144215,4.1212608,20212400000.0,2.0,15807400000.0,1.5,15807400000.0,10222266666.666666,2.0,7732000000.0,1.5,7732000000.0,0.1765464,0.2564925,1961000000.0,1977866666.6666667,1977866666.6666667,9989600000.0,2.0,5383600000.0,1.0,5383600000.0,2.4058281,None
AAP,Advance Auto Parts Inc.,Consumer Cyclical,United States,3828875244.986412,39525725866.666664,4.0,480996733.3333333,7764916000.0,2.0,10966145000.0,1.0,646436000.0,1.0,26346661500.0,1.5,646436000.0,26346661500.0,10966145000.0,39525725866.666664,4.0,480996733.3333333,10966145000.0,1.0,646436000.0,1.0,646436000.0,10966145000.0,1.628,1.628,24.40167,18.137775,23.6186831,1.3624028,23.6186831,14.886,14.8860797,1199151836.1547763,1199139000.0,997860933.3333334,1199139000.0,0.05895,1.8029143,36.9075,0.1736295,2.75,0.6794979,1.02297,0.00439,13.21,9.819,241.32,0.0406887,4.6377487,62355200,646435968,10.3669937,40000,17850765312,14940306432,16160.8992,0.151,0.031,0.0341698,0.0303662,0.0341698,0.0303662,0.1217925,3.7398776,0.0308415,2.0061762,1.1349,1.1349,1793066800.0,2.0,1085406000.0,1.0,9.955438,16.4461642,16.4461642,2.1242065,1.0,1.3046967,0.5,1.3046967,1.1432332,USD,USD,1.0,1.0,1.0,1.0,1.0,0.25,0.4439824,143.15,244.55,212.5041,13.5601619,68.5784143,-1.3207933,1.9362919,52.7017444,0.4944554,0.3333333,0.3460687,0.25,2.5329382,3.0,35.2411868,4.0,0.1077623,1.0,0.0477142,0.5,0.6783785,0.5,0.3163693,0.25,0.3560687,35.2511868,0.0577142,0.3263693,0.341219,22169971333.333332,2.0,11856325333.333334,1.0,11856325333.333334,3545949466.6666665,1.0,2192941600.0,0.6666667,2192941600.0,0.1545225,0.3947803,1561323666.6666667,1300069066.6666667,1300069066.6666667,15078072400.0,2.0,12850369400.0,1.5,12850369400.0,2.2801034,None
AAPL,Apple Inc.,Technology,United States,201141782270.72064,320702600000.0,1.0,77141800000.0,8885200000.0,0.5,365817000000.0,1.0,47340000000.0,0.5,44357000000.0,1.0,47340000000.0,44357000000.0,365817000000.0,320702600000.0,1.0,77141800000.0,365817000000.0,1.0,47340000000.0,0.5,47340000000.0,365817000000.0,7.924,7.924,30.850267,28.004856,30.4945906,7.7278934,4.3563701,24.111,24.1109224,120232226216.91344,120233000000.0,100399666666.66667,120233000000.0,0.25882,1.172646,4.75,0.1753539,0.6875,0.5366066,0.59017,0.00071,6.18,5.61,172.19,0.0325803,45.05858,16334399488,94679998464,5.7963562,154000,2898900549632,2826994712576,614805.1848312,0.622,0.288,0.3718335,0.2028866,0.3718335,0.2028866,0.5594584,7.729695,0.2667217,5.4145101,3.8515,3.8515,91414400000.0,1.0,69358666666.66666,0.6666667,31.7116401,41.7957941,41.7957941,4.0154378,1.0,4.3418107,1.0,4.3418107,2.0847012,USD,USD,1.0,1.0,0.22,0.22,0.22,0.205,0.3539076,116.21,182.94,146.6267,17.4342736,48.1714138,-5.8762436,1.6778061,22.307484,0.420176,0.3333333,1.2311751,1.0,0.1309069,0.5,0.261181,1.0,4.7640512,6.0,1.0040863,1.0,1.2176013,1.0,1.0860327,1.0,1.2411751,0.271181,1.0140863,1.0960327,1.1686039,343088333333.3333,1.0,343716400000.0,1.0,343716400000.0,35139966666.666664,0.5,64428000000.0,1.0,64428000000.0,0.2377298,0.8347737,23849066666.666668,10218333333.333334,10218333333.333334,272808400000.0,1.0,279288400000.0,1.0,279288400000.0,2.9168936,None
AB,AllianceBernstein Holding L.P.,Financial Services,United States,93735.951478,287072466.6666667,1.0,258767200.0,0,1.0,383650000.0,1.0,353876000.0,1.0,0,1.0,353876000.0,0,383650000.0,287072466.6666667,1.0,258767200.0,383650000.0,1.0,353876000.0,1.0,353876000.0,383650000.0,12.978,12.978,14.283286,12.961439,14.1180551,12.978449,14.1180551,0,100000,0.0,0,0,0,0.92239,16.0911605,17.8125,2.5432522,2.75,6.5199342,0.13666,0.0502,3.89,3.53,50.51,0.0698872,3.213102,98754096,353876000,3.5834058,3929,4979184128,4979181568,90067.7017053,0.324,0.298,0.1173378,0.1092851,0.1173378,0.1092851,0.2723345,5.4685673,0.2508213,5.258206,1.7457,1.7457,254140400.0,1.0,334373000.0,1.0,19.5922574,14.891107,14.891107,0.0010276,1.0,0.0010148,1.0,0.0010148,0.0328552,USD,USD,1.0,1.0,0.89,0.91,0.81,0.97,0.3986131,35.09,57.54,48.4838,4.1791279,43.9441436,-12.2175878,1.3737194,6.720292,1094.5885545,1.0,2210.827947,1.0,0.0,1.0,0.0,1.0,0.1334229,3.0,0.0151451,0.5,0.0,1.0,0.0,1.0,2210.837947,0.01,0.0251451,0.01,1105.4239735,1572761733.3333333,1.0,1579550600.0,1.0,1579550600.0,1571138133.3333333,1.0,1577919400.0,1.0,1577919400.0,0.3240359,0.3242675,0.0,0.0,0.0,1623600.0,1.0,1631200.0,1.0,1631200.0,42.798623,None
ABB,ABB Ltd,Industrials,Switzerland,117673834039903.4,26766933333.333332,1.0,3565533333.3333335,21426666666.666668,1.0,28560000000.0,1.0,456750000.0,0.25,83550000000.0,1.0,456750000.0,83550000000.0,28560000000.0,26766933333.333332,1.0,3565533333.3333335,28560000000.0,1.0,456750000.0,0.25,456750000.0,28560000000.0,2.774,2.774,41.778522,22.636364,39.3857523,2.6177955,39.3857523,18.148,18.2604822,4311445083.535376,4258000000.0,3027400000.0,4258000000.0,0.06397,0.7726916,4.75,0.0085365,0.1,0.2827327,0.06084,1.23e-05,1.65,0.894,37.95,0.0235573,5.3334284,1992999936,2055000064,1.0311089,105000,79214026752,74764238848,19571.429181,-0.856,0.068,1.3729628,-0.0204165,1.3729628,-0.0204165,-0.2987593,0.2201241,0.0458959,2.392332,0.3075,0.3075,1083033333.3333333,0.5,3492000000.0,1.0,73.1408945,22.6844292,22.6844292,1.8987658,1.0,1.8184609,1.0,1.8184609,1.3495032,USD,USD,1.0,1.0,0.874,0.774,0.797,0.826,0.2661017,28.62,39.11,35.11895,8.0613173,32.5995807,-2.9659934,1.778837,31.682315,1.557337,1.0,1.5644498,1.0,0.5067775,1.0,0.1411833,1.0,1.101074,2.0,0.5178661,1.0,1.2609285,1.0,0.5744578,0.5,1.5744498,0.1511833,0.5278661,0.5844578,1.0794538,43031733333.333336,1.0,39855733333.333336,1.0,39855733333.333336,14820466666.666666,1.0,14026866666.666666,1.0,14026866666.666666,0.1114601,0.1325625,4516666666.666667,2414000000.0,2414000000.0,27809800000.0,1.0,25478866666.666668,1.0,25478866666.666668,2.4169611,None
ABC,AmerisourceBergen Corporation,Healthcare,United States,32034557.0241548,799627820000.0,4.0,136915133.3333333,1841933866.6666667,1.0,213988843000.0,1.0,1539932000.0,1.0,7352823000.0,1.5,1539932000.0,7352823000.0,213988843000.0,799627820000.0,4.0,136915133.3333333,213988843000.0,1.0,1539932000.0,1.0,1539932000.0,213988843000.0,0.159,0.159,18.430311,11.864112,17.6095361,0.1324729,17.6095361,10.681,10.6810388,3180120129.2481976,3180097000.0,2831809733.3333335,3180097000.0,0.0072,0.0018491,0.777,0.0194635,2.75,0.0105042,0.65078,0.28525,11.48,7.39,134.89,0.0547854,126.93383,208132992,1539932032,7.3987887,38000,33967110144,28347713536,40524.5271579,0.2165394,0.196,0.2165394,0.0988102,0.2165394,0.0988102,0.2165394,4.9033793,0.1717026,4.3937008,1.4977,1.4977,2417352133.3333335,1.0,1333293000.0,0.5,14.0513704,25.4761033,25.4761033,63.0866955,0.5,498.8152057,1.0,498.8152057,22.3351713,USD,USD,1.0,1.0,0.46,0.44,0.44,0.44,0.315942,100.71,136.95,121.12175,11.3672813,33.9390329,-1.5041986,1.8863135,45.0487962,1.0174333,1.0,2.0128541,2.0,2.4009481,0.3333333,2.5154689,1.0,0.0584999,0.5,0.1685419,1.0,0.9495007,1.0,1.9213627,2.0,2.0228541,2.5254689,0.1785419,1.9313627,1.9771084,100242074400.0,2.0,82227945200.0,1.5,82227945200.0,426786266.6666667,1.0,67794600.0,1.5,67794600.0,0.1187276,22.8146705,-1900770066.6666667,-1677824533.3333333,-1677824533.3333333,98861658800.0,2.0,81668751200.0,1.5,81668751200.0,1.7432664,None
ABEV,Ambev S.A.,Consumer Defensive,Brazil,14099.8367647,39669514203.23242,4.0,2017127536.09376,7954011228.11104,2.0,12538040713.7192,1.0,2863464024.9151998,1.0,33614157052.728,1.5,2863464024.9151998,33614157052.728,12538040713.7192,39669514203.23242,4.0,2017127536.09376,12538040713.7192,1.0,2863464024.9151998,1.0,2863464024.9151998,12538040713.7192,0.402,0.402,15.193371,19.642857,15.7495567,0.6236509,15.7495567,1.325,1.2944606,22081533587.92453,23099432000.0,19708771133.333332,23099432000.0,0.22838,7.4370436,36.9075,0.5413477,2.75,2.7365904,0.09023,1.23e-05,0.14,0.181,2.72,0.0665441,0.4987305,15738699776,15849736192,1.007055,50000,27909316608,43281424384,316994.72384,0.562,0.185,0.0723383,0.0870802,0.0723383,0.0870802,0.4395846,6.8801174,0.16052,4.2564952,1.9452,1.9452,6719165224.272213,2.0,3523303843.5392,1.0,4.1536881,7.9213482,7.9213482,1.3582692,2.0,0.2823365,0.5,0.2823365,0.5323535,BRL,USD,0.1806632,1.0,0.108,0.015,0.082,0.117,-0.1042345,2.38,3.95,3.07485,-11.5404003,14.2857143,-31.1392405,0.433121,0.434121,5.0182056,2.0,5.6139232,2.0,0.2236547,1.0,0.7738206,2.0,0.9953143,1.0,2.6890938,2.0,2.0978919,2.0,1.1831796,1.0,5.6239232,0.7838206,2.6990938,1.1931796,3.4085514,40632965876.42656,2.0,23737444090.005814,1.0,23737444090.005814,23947315507.008854,2.0,15026754520.8848,1.0,15026754520.8848,0.2206307,0.2905577,1441900066.6666667,5639830533.333333,5639830533.333333,8099730431.524906,1.0,8463725239.03312,1.0,8463725239.03312,2.9889578,None
ABG,Asbury Automotive Group Inc,Consumer Cyclical,United States,113.983183,7073393333.333333,1.0,216526666.6666667,2368653333.3333335,2.0,9416900000.0,1.0,481000000.0,1.0,9187800000.0,1.5,481000000.0,9187800000.0,9416900000.0,7073393333.333333,1.0,216526666.6666667,9416900000.0,1.0,481000000.0,1.0,481000000.0,9416900000.0,0.507,0.507,6.7597837,5.818024,6.6420637,0.4108062,6.6420637,6.562,6.5610773,727095525.144773,727300000.0,404546666.6666667,727300000.0,0.05108,2.5039464,75.703125,0.3501083,6.1875,0.9693782,0.90849,0.00685,28.74,24.736,167.37,0.1477923,2.4851747,23135700,481000000,20.7903802,7600,4769859072,3868520448,63289.4736842,0.528,0.304,0.2744915,0.0169859,0.2744915,0.0169859,0.4646229,7.0663251,0.2322465,5.0691958,0.3033,0.3033,460380000.0,1.0,985900000.0,1.0,10.3607,4.8380759,4.8380759,1.7622884,0.5,4.0631317,2.0,4.0631317,2.0167211,USD,USD,1.0,1.0,0.225,0.225,0.225,0.225,0.0425214,137.96,230.97,187.467,-10.7202868,21.3177733,-27.5360436,0.6324051,0.6334051,3.8765053,3.0,6.0313897,4.0,1.7777363,1.0,136.3012486,4.0,0.0780252,0.5,0.0585062,0.5,1.1964275,1.0,6.2907297,4.0,6.0413897,136.3112486,0.0685062,6.3007297,6.1710597,6507080000.0,2.0,3567446666.6666665,1.0,3567446666.6666665,1489306666.6666667,2.0,1790510000.0,1.5,1790510000.0,0.2348303,0.3686385,241606666.6666667,409553333.3333333,409553333.3333333,5017773333.333333,2.0,1582515555.5555556,0.6666667,1582515555.5555556,2.9193125,None
ABT,Abbott Laboratories,Healthcare,United States,8274702.7711469,131473600000.0,4.0,3728066666.6666665,53000266666.666664,2.0,42308000000.0,1.0,7244000000.0,1.0,173587500000.0,1.5,7244000000.0,173587500000.0,42308000000.0,131473600000.0,4.0,3728066666.6666665,42308000000.0,1.0,7244000000.0,1.0,7244000000.0,42308000000.0,5.63,5.63,31.801489,26.867926,31.1847936,5.3565297,31.1847936,19.261,19.0899879,12589444855.614973,12813000000.0,8171800000.0,12813000000.0,0.17122,72.5838328,588.2132813,0.4670525,2.75,24.4083684,0.75377,0.00728,4.77,4.03,129.65,0.0310837,6.5837874,1768290048,7208000000,4.0762543,109000,238179401728,226624061440,66128.440367,0.705,0.234,0.8507106,0.0774484,0.8507106,0.0774484,0.7414277,8.8606193,0.1948621,4.6643188,2.6196,2.6196,7061466666.666667,1.0,11264000000.0,1.0,33.7294521,21.1451884,21.1451884,1.2137975,1.0,1.1516235,1.0,1.1516235,1.0741372,USD,USD,1.0,1.0,0.47,0.45,0.45,0.45,0.1384916,105.36,142.6,123.1111,5.3113813,23.0542901,-9.0813464,1.3045113,4.9281853,1.831542,1.0,7.4967918,4.0,0.0506028,0.5,0.1490387,1.0,0.3138016,1.0,1.8440953,4.0,0.8336865,0.5,3.5999112,2.0,7.5067918,0.1590387,1.8540953,3.6099112,5.5583515,70835200000.0,1.0,110155400000.0,1.5,110155400000.0,31904600000.0,1.0,51048400000.0,1.5,51048400000.0,0.1657616,0.2419045,7330866666.666667,10153066666.666666,10153066666.666666,38717200000.0,1.0,39183666666.666664,1.0,39183666666.666664,2.5589433,None
ADM,Archer-Daniels-Midland Company,Consumer Defensive,United States,794044724.2937883,64198266666.666664,1.0,1660466666.6666667,38490400000.0,2.0,80137000000.0,1.0,2614000000.0,1.0,122826000000.0,1.5,2614000000.0,122826000000.0,80137000000.0,64198266666.666664,1.0,1660466666.6666667,80137000000.0,1.0,2614000000.0,1.0,2614000000.0,80137000000.0,0.608,0.608,15.453564,14.968619,15.3929459,0.4994947,15.3929459,13.016,13.058833,3719480095.8819914,3695000000.0,2716933333.3333335,3695000000.0,0.03262,0.1253008,4.75,0.0202702,0.6875,0.920982,0.81119,0.00454,4.78,4.63,69.81,0.0663229,1.8205645,559441024,2614000128,4.6725213,37575,48731385856,40028008448,69567.53501,1.338,0.345,0.1140728,0.006989,0.1140728,0.006989,1.0320182,10.4088297,0.2604972,5.3538931,14.9153822,14.9153822,-7524000000.0,0.5,3737250000.0,0.75,15439.7414886,13.0393701,13.0393701,1.364694,1.0,2.7724835,2.0,2.7724835,1.6660776,USD,USD,1.0,1.0,0.37,0.37,0.37,0.37,69.81,49.28,71.67,63.0513,10.7193666,41.6599026,-2.5952281,1.8338544,38.0354982,1.7431664,1.0,1.7278873,1.0,0.932268,1.0,0.4802488,0.5,0.7734277,2.0,0.8933416,2.0,3.1072957,2.0,1.5913781,1.0,1.7378873,0.4902488,0.9033416,1.6013781,1.6696327,92715866666.66667,2.0,51659400000.0,1.0,51659400000.0,39080933333.333336,2.0,32376200000.0,1.5,32376200000.0,0.1506007,0.1807383,8550866666.666667,10746133333.333334,10746133333.333334,53467200000.0,2.0,29899533333.333332,1.0,29899533333.333332,2.4840263,None
