Symbol,Name,Sector,Value,Close,MA,Grade
LEN.B,Lennar Corporation,Consumer Cyclical,-0.28273,90.31, ,694.9513
GHLD,Guild Holdings Company,Financial Services,-0.58729,13.93, ,623.9965
BABA,Alibaba Group Holding Limited,Consumer Cyclical,-0.31475,129.81, ,562.6599
PKX,POSCO,Basic Materials,-0.69609,63.95, ,559.8772
LBTYB,Liberty Global plc,Communication Services,-0.87516,28.19, ,530.1744
FINV,FinVolution Group,Financial Services,-0.29686,4.67, ,459.9253
GGB,Gerdau S.A.,Basic Materials,-0.27098,5.12, ,450.3831
SB,Safe Bulkers  Inc,Industrials,-0.53961,3.6, ,442.9473
WLK,Westlake Chemical Corporation,Basic Materials,-0.69514,105.04, ,418.7995
KARO,Karooooo Ltd.,Technology,-0.79283,33.2, ,414.2255
IFS,Intercorp Financial Services In,Financial Services,-0.35187,31.74, ,373.3709
WIT,Wipro Limited,Technology,-0.18026,8.63, ,345.2751
BIO.B,Bio-Rad Laboratories  Inc.,Healthcare,-0.98167,679.04, ,342.3956
BEN,Franklin Resources  Inc.,Financial Services,-0.31447,35.16, ,341.9537
PAM,Pampa Energia S.A. Pampa Energi,Utilities,0.04677,19.46, ,333.32
SEB,Seaboard Corporation,Industrials,-0.65916,4019.99, ,323.4673
TSM,Taiwan Semiconductor Manufactur,Technology,-0.08115,139.19, ,311.7578
DAC,Danaos Corporation,Industrials,-0.37478,73.04, ,280.4929
CMRE,Costamare Inc.,Industrials,-0.55078,12.65, ,245.4634
X,United States Steel Corporation,Basic Materials,-0.12467,25.42, ,226.9916
WOR,Worthington Industries  Inc.,Industrials,-0.48758,58.58, ,226.2664
OPY,Oppenheimer Holdings  Inc.,Financial Services,-0.18829,47.88, ,222.928
VIPS,Vipshop Holdings Limited,Consumer Cyclical,-0.09139,9.1, ,222.836
QRTEB,Liberty Interactive Corporation,Consumer Cyclical,-0.74797,7.93, ,215.2727
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,-0.24017,55.4, ,210.6423
GTN.A,Gray Television  Inc.,Communication Services,-0.60496,21.55, ,210.4473
CO,Global Cord Blood Corporation,Healthcare,-0.64308,4.51, ,206.6281
UMC,United Microelectronics Corpora,Technology,0.03282,11.4, ,196.0752
BAP,Credicorp Ltd.,Financial Services,-0.28841,134.12, ,196.0615
PANL,Pangaea Logistics Solutions Ltd,Industrials,-0.4865,3.95, ,194.5105
JEF,Jefferies Financial Group Inc.,Financial Services,-0.13955,38.06, ,189.9734
SID,Companhia Siderurgica Nacional ,Basic Materials,-0.27082,4.69, ,182.7846
FOX,Fox Corporation,Communication Services,-0.38997,36.84, ,175.5613
CCS,Century Communities  Inc.,Consumer Cyclical,-0.18367,70.88, ,175.1616
BIO,Bio-Rad Laboratories  Inc.,Healthcare,-0.28181,663.16, ,174.6097
ZEUS,Olympic Steel  Inc.,Basic Materials,-0.27928,25.37, ,168.4958
VIACA,ViacomCBS Inc.,Communication Services,-0.6602,40.53, ,157.7933
FOR,Forestar Group Inc,Real Estate,-0.5841,19.49, ,156.8215
ELP,Companhia Paranaense de Energia,Utilities,-0.18365,5.51, ,155.0215
ONEW,OneWater Marine Inc.,Consumer Cyclical,-0.25066,55.21, ,154.3723
QIWI,QIWI plc,Technology,-0.29951,8.01, ,154.243
TX,Ternium S.A. Ternium S.A.,Basic Materials,-0.1173,46.91, ,154.0932
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,-0.09348,36.78, ,151.1552
FOA,Finance of America Companies In,Financial Services,-0.10293,4.16, ,150.593
LYB,LyondellBasell Industries NV,Basic Materials,-0.38209,101.37, ,150.1279
QFIN,360 DigiTech  Inc.,Financial Services,0.41281,19.55, ,147.886
ASX,ASE Technology Holding Co.  Ltd,Technology,-0.08367,7.64, ,147.5004
BNTX,BioNTech SE,Healthcare,-1.35438,211.84, ,145.5708
PAGS,PagSeguro Digital Ltd.,Technology,-0.15488,23.55, ,145.0092
BZH,Beazer Homes USA  Inc.,Consumer Cyclical,-0.13523,20.97, ,142.98
DHI,D.R. Horton  Inc.,Consumer Cyclical,-0.11398,99.76, ,138.2877
PBR.A,Petroleo Brasileiro S.A.- Petro,Energy,0.04472,10.9, ,134.2124
VALE,VALE S.A.,Basic Materials,-0.16864,15.3, ,126.7212
ZIM,ZIM Integrated Shipping Service,Industrials,0.23238,63.63, ,124.6157
RILY,B. Riley Financial  Inc.,Financial Services,-0.02289,84.54, ,124.0192
EPD,Enterprise Products Partners L.,Energy,-0.26861,23.83, ,116.3044
UHS,Universal Health Services  Inc.,Healthcare,-0.21661,133.05, ,115.892
STLD,Steel Dynamics  Inc.,Basic Materials,-0.17713,62.82, ,109.9935
USM,United States Cellular Corporat,Communication Services,-0.60312,31.62, ,105.8998
BRK.A,Berkshire Hathaway Inc.,Financial Services,0.29279,480000.1, ,101.8424
SCVL,Shoe Carnival  Inc.,Consumer Cyclical,-0.4023,37.69, ,100.9118
TTEC,TTEC Holdings  Inc.,Technology,-0.57501,87.45, ,100.8827
AMKR,Amkor Technology  Inc.,Technology,-0.55123,23.71, ,100.0219
SKM,SK Telecom Co.  Ltd.,Communication Services,-0.57648,26.14, ,99.3745
DQ,DAQO New Energy Corp.,Technology,-0.39418,41.22, ,98.2899
IPGP,IPG Photonics Corporation,Technology,-0.40525,161.25, ,97.6288
SBLK,Star Bulk Carriers Corp.,Industrials,-0.13273,21.29, ,96.6358
LGIH,LGI Homes  Inc.,Consumer Cyclical,-0.26553,138.9, ,96.3753
BKE,Buckle  Inc. (The),Consumer Cyclical,-0.45786,39.72, ,92.6444
VMW,Vmware  Inc.,Technology,-0.40773,123.4, ,91.4553
THO,Thor Industries  Inc.,Consumer Cyclical,-0.24021,102.62, ,88.8647
TOL,Toll Brothers  Inc.,Consumer Cyclical,-0.05612,67.27, ,87.8935
SENEB,Seneca Foods Corp.,Consumer Defensive,-0.58551,47.11, ,85.6564
SNFCA,Security National Financial Cor,Financial Services,-0.29806,9.2, ,83.5261
CIG,Comp En De Mn Cemig,Utilities,-0.14986,2.2, ,82.0461
TRQ,Turquoise Hill Resources Ltd.,Basic Materials,-0.4452,16.74, ,79.0888
LX,LexinFintech Holdings Ltd.,Financial Services,-0.14347,3.62, ,78.7645
SOHU,Sohu.com Limited,Communication Services,-0.32909,16.97, ,73.0809
CSAN,Cosan S.A.,Energy,-0.21693,14.06, ,72.7708
VINP,Vinci Partners Investments Ltd.,Financial Services,-0.4486,12.07, ,72.4737
CRMT,America's Car-Mart  Inc.,Consumer Cyclical,-0.22089,100.84, ,72.1392
SAN,Banco Santander  S.A. Sponsored,Financial Services,0.03478,3.6, ,71.9479
BBY,Best Buy Co.  Inc.,Consumer Cyclical,-0.20536,102.5, ,71.1025
ABEV,Ambev S.A.,Consumer Defensive,-0.15189,2.72, ,70.654
ADX,Adams Diversified Equity Fund I,Financial Services,-0.21697,19.06, ,69.6799
MHO,M/I Homes  Inc.,Consumer Cyclical,-0.1275,59.38, ,69.3962
KLIC,Kulicke and Soffa Industries  I,Technology,-0.29199,57.96, ,68.8962
TME,Tencent Music Entertainment Gro,Communication Services,-0.09225,6.93, ,67.7433
LEN,Lennar Corporation,Consumer Cyclical,0.05948,108.54, ,67.69
GHC,Graham Holdings Company,Consumer Defensive,-0.29755,623.07, ,67.3445
AM,Antero Midstream Corporation,Energy,-0.283,10.21, ,66.5635
BSBR,Banco Santander Brasil SA,Financial Services,-0.03586,5.5482, ,65.7358
CANG,Cango Inc.,Communication Services,-0.18461,3.22, ,64.9566
PBR,Petroleo Brasileiro S.A.- Petro,Energy,0.54546,12.3, ,64.9203
MT,Arcelor Mittal NY Registry Shar,Basic Materials,0.63719,37.28, ,64.191
SRAD,Sportradar Group AG,Technology,-0.58141,15.5, ,61.1639
KRO,Kronos Worldwide Inc,Basic Materials,-0.73885,15.27, ,61.0127
YNDX,Yandex N.V.,Communication Services,-0.24521,54.51, ,59.9544
DLNG,Dynagas LNG Partners LP,Energy,-0.45447,3.06, ,59.1964
NISN,NiSun Intl Enterprise Developme,Financial Services,-0.67011,2.17, ,58.3776
TKC,Turkcell Iletisim Hizmetleri AS,Communication Services,-0.06758,3.66, ,57.9929
FUTU,Futu Holdings Limited,Financial Services,-0.15336,44.05, ,57.7726
GTN,Gray Television  Inc.,Communication Services,-0.11225,23.25, ,56.9094
PLPC,Preformed Line Products Company,Industrials,-0.45927,61.58, ,56.7736
CI,Cigna Corporation,Healthcare,-0.11533,233.18, ,56.1553
ULH,Universal Logistics Holdings  I,Industrials,-0.7141,18.65, ,56.0253
WGO,Winnebago Industries  Inc.,Consumer Cyclical,-0.21697,74.35, ,55.7847
FDP,Fresh Del Monte Produce  Inc.,Consumer Defensive,-0.29978,28.87, ,54.6241
LDI,loanDepot  Inc.,Financial Services,-0.17142,4.78, ,54.4422
TGS,Transportadora de Gas del Sur S,Energy,-0.30724,4.74, ,53.9965
CNXC,Concentrix Corporation,Technology,-0.21166,164.47, ,53.3741
HMLP,Hoegh LNG Partners LP,Energy,-0.39361,4.39, ,52.0724
SHG,Shinhan Financial Group Co Ltd,Financial Services,0.04302,33.32, ,51.3289
AER,AerCap Holdings N.V.,Industrials,0.08476,67.72, ,51.2336
LBTYK,Liberty Global plc,Communication Services,-0.07174,28.25, ,51.2064
ATCO,Atlas Corp.,Financial Services,-0.20409,14.29, ,50.7782
MS,Morgan Stanley,Financial Services,0.36141,102.55, ,50.5982
QRTEA,Liberty Interactive Corporation,Consumer Cyclical,-0.14675,7.92, ,49.3205
SBSW,D/B/A Sibanye-Stillwater Limite,Basic Materials,-0.48068,14.61, ,48.708
UI,Ubiquiti Inc.,Technology,-1.69048,299.37, ,48.424
AFYA,Afya Limited,Consumer Defensive,-0.2614,13.54, ,47.1201
LNC,Lincoln National Corporation,Financial Services,0.3124,72.69, ,46.73
