pb,pi,ev,pe,evr / pm,0.03888,17.52878,36.64527,69.44714,117.66874,212.90985,413.23007,1411.81758
3685.637000,0.000010,1.000000,15739449.297016,11778.568000,2912.000000,2278.000000,1951.000000,1631.000000,1302.000000,975.000000,644.000000,320.000000
3685.637000,0.000010,1.000000,15739449.297016,8.255286,2157.000000,1573.000000,1275.000000,1009.000000,763.000000,570.000000,375.000000,180.000000
3685.637000,0.000010,1.000000,15739449.297016,4.501429,1772.000000,1229.000000,966.000000,760.000000,573.000000,431.000000,285.000000,137.000000
3685.637000,0.000010,1.000000,15739449.297016,2.876602,1374.000000,891.000000,697.000000,541.000000,404.000000,309.000000,204.000000,101.000000
3685.637000,0.000010,1.000000,15739449.297016,1.797286,938.000000,566.000000,435.000000,327.000000,254.000000,199.000000,134.000000,66.000000
3685.637000,0.000010,1.000000,15739449.297016,0.922105,466.000000,252.000000,190.000000,142.000000,112.000000,81.000000,52.000000,24.000000
3685.637000,0.000010,1.000000,22.865386,11778.568000,2088.000000,1705.000000,1474.000000,1250.000000,985.000000,742.000000,482.000000,242.000000
3685.637000,0.000010,1.000000,22.865386,8.255286,1604.000000,1228.000000,1003.000000,801.000000,592.000000,456.000000,302.000000,150.000000
3685.637000,0.000010,1.000000,22.865386,4.501429,1397.000000,1030.000000,814.000000,650.000000,488.000000,377.000000,247.000000,123.000000
3685.637000,0.000010,1.000000,22.865386,2.876602,1118.000000,772.000000,602.000000,475.000000,354.000000,276.000000,178.000000,90.000000
3685.637000,0.000010,1.000000,22.865386,1.797286,789.000000,506.000000,387.000000,296.000000,229.000000,184.000000,123.000000,60.000000
3685.637000,0.000010,1.000000,22.865386,0.922105,401.000000,225.000000,171.000000,129.000000,104.000000,76.000000,51.000000,23.000000
3685.637000,0.000010,1.000000,15.485006,11778.568000,1670.000000,1384.000000,1210.000000,1039.000000,835.000000,638.000000,413.000000,211.000000
3685.637000,0.000010,1.000000,15.485006,8.255286,1255.000000,972.000000,804.000000,650.000000,484.000000,383.000000,256.000000,132.000000
3685.637000,0.000010,1.000000,15.485006,4.501429,1100.000000,822.000000,659.000000,533.000000,399.000000,315.000000,207.000000,106.000000
3685.637000,0.000010,1.000000,15.485006,2.876602,906.000000,640.000000,500.000000,398.000000,300.000000,240.000000,154.000000,80.000000
3685.637000,0.000010,1.000000,15.485006,1.797286,667.000000,438.000000,330.000000,257.000000,202.000000,164.000000,111.000000,55.000000
3685.637000,0.000010,1.000000,15.485006,0.922105,357.000000,203.000000,153.000000,116.000000,94.000000,71.000000,48.000000,22.000000
3685.637000,0.000010,1.000000,11.389946,11778.568000,1246.000000,1039.000000,913.000000,793.000000,651.000000,509.000000,332.000000,171.000000
3685.637000,0.000010,1.000000,11.389946,8.255286,910.000000,704.000000,581.000000,472.000000,356.000000,282.000000,193.000000,100.000000
3685.637000,0.000010,1.000000,11.389946,4.501429,801.000000,598.000000,479.000000,388.000000,293.000000,235.000000,160.000000,85.000000
3685.637000,0.000010,1.000000,11.389946,2.876602,679.000000,483.000000,379.000000,301.000000,227.000000,184.000000,121.000000,65.000000
3685.637000,0.000010,1.000000,11.389946,1.797286,512.000000,344.000000,262.000000,208.000000,161.000000,129.000000,93.000000,48.000000
3685.637000,0.000010,1.000000,11.389946,0.922105,298.000000,175.000000,136.000000,107.000000,85.000000,64.000000,44.000000,21.000000
3685.637000,0.000010,1.000000,7.874777,11778.568000,827.000000,671.000000,587.000000,507.000000,428.000000,336.000000,222.000000,107.000000
3685.637000,0.000010,1.000000,7.874777,8.255286,576.000000,421.000000,338.000000,265.000000,202.000000,151.000000,106.000000,47.000000
3685.637000,0.000010,1.000000,7.874777,4.501429,507.000000,354.000000,275.000000,212.000000,159.000000,120.000000,84.000000,38.000000
3685.637000,0.000010,1.000000,7.874777,2.876602,439.000000,292.000000,224.000000,167.000000,124.000000,96.000000,65.000000,31.000000
3685.637000,0.000010,1.000000,7.874777,1.797286,344.000000,218.000000,162.000000,120.000000,92.000000,67.000000,47.000000,21.000000
3685.637000,0.000010,1.000000,7.874777,0.922105,214.000000,118.000000,87.000000,66.000000,52.000000,37.000000,24.000000,10.000000
3685.637000,0.000010,1.000000,4.618511,11778.568000,409.000000,332.000000,287.000000,250.000000,210.000000,173.000000,132.000000,66.000000
3685.637000,0.000010,1.000000,4.618511,8.255286,294.000000,217.000000,172.000000,137.000000,103.000000,75.000000,48.000000,20.000000
3685.637000,0.000010,1.000000,4.618511,4.501429,253.000000,177.000000,133.000000,106.000000,79.000000,58.000000,37.000000,16.000000
3685.637000,0.000010,1.000000,4.618511,2.876602,216.000000,144.000000,106.000000,84.000000,62.000000,49.000000,31.000000,16.000000
3685.637000,0.000010,1.000000,4.618511,1.797286,167.000000,104.000000,75.000000,59.000000,45.000000,34.000000,22.000000,10.000000
3685.637000,0.000010,1.000000,4.618511,0.922105,107.000000,61.000000,40.000000,37.000000,31.000000,25.000000,17.000000,8.000000
3685.637000,0.000010,220.000000,15739449.297016,11778.568000,2502.000000,1974.000000,1696.000000,1412.000000,1116.000000,827.000000,547.000000,263.000000
3685.637000,0.000010,220.000000,15739449.297016,8.255286,1828.000000,1347.000000,1095.000000,859.000000,642.000000,470.000000,310.000000,141.000000
3685.637000,0.000010,220.000000,15739449.297016,4.501429,1459.000000,1016.000000,797.000000,619.000000,458.000000,335.000000,221.000000,99.000000
3685.637000,0.000010,220.000000,15739449.297016,2.876602,1099.000000,711.000000,555.000000,423.000000,307.000000,228.000000,150.000000,68.000000
3685.637000,0.000010,220.000000,15739449.297016,1.797286,727.000000,436.000000,337.000000,245.000000,180.000000,137.000000,92.000000,41.000000
3685.637000,0.000010,220.000000,15739449.297016,0.922105,331.000000,178.000000,136.000000,99.000000,74.000000,49.000000,30.000000,12.000000
3685.637000,0.000010,220.000000,22.865386,11778.568000,1766.000000,1447.000000,1257.000000,1060.000000,822.000000,609.000000,395.000000,192.000000
3685.637000,0.000010,220.000000,22.865386,8.255286,1342.000000,1030.000000,846.000000,670.000000,485.000000,365.000000,243.000000,115.000000
3685.637000,0.000010,220.000000,22.865386,4.501429,1143.000000,840.000000,664.000000,524.000000,383.000000,287.000000,188.000000,88.000000
3685.637000,0.000010,220.000000,22.865386,2.876602,893.000000,608.000000,473.000000,367.000000,262.000000,197.000000,126.000000,59.000000
3685.637000,0.000010,220.000000,22.865386,1.797286,616.000000,386.000000,297.000000,219.000000,158.000000,123.000000,82.000000,36.000000
3685.637000,0.000010,220.000000,22.865386,0.922105,294.000000,158.000000,122.000000,88.000000,66.000000,44.000000,29.000000,11.000000
