Symbol,Name
ABBV,AbbVie Inc. Common St
AC,Associated Capital Gr
ACBA,Ace Global Business A
ACKIT,Ackrell SPAC Partners
ADEX,Adit EdTech Acquisiti
ADM,Archer-Daniels-Midlan
ADOC,Edoc Acquisition Corp
AEG,AEGON N.V. Common Sto
AFL,AFLAC Incorporated Co
AGBA,AGBA Acquisition Limi
AIC,Arlington Asset Inves
AKIC,Sports Ventures Acqui
AKICU,Sports Ventures Acqui
ALAC,Alberton Acquisition 
AMPH,Amphastar Pharmaceuti
AMR,Alpha Metallurgical R
AMTR,ETRACS Alerian Midstr
ANAT,American National Gro
APA,APA Corporation - Com
APTX,Aptinyx Inc. - Common
ARCC,Ares Capital Corporat
ARCH,Arch Resources_ Inc. 
ARL,American Realty Inves
ARLP,Alliance Resource Par
ARTNA,Artesian Resources Co
ASRT,Assertio Holdings_ In
ASRV,AmeriServ Financial I
ATA,Americas Technology A
AVA,Avista Corporation Co
BAL,iPathA Series B Bloom
BANF,BancFirst Corporation
BAP,Credicorp Ltd. Common
BBL,BHP Group PlcSponsore
BCAC,Brookline Capital Acq
BCC,Boise Cascade_ L.L.C.
BCM,iPath Pure Beta Broad
BCSF,Bain Capital Specialt
BELFA,Bel Fuse Inc. - Class
BG,Bunge Limited Bunge L
BGR,BlackRock Energy and 
BHSE,Bull Horn Holdings Co
BKEP,Blueknight Energy Par
BKR,Baker Hughes Company 
BP,BP p.l.c. Common Stoc
BPMP,BP Midstream Partners
BPT,BP Prudhoe Bay Royalt
BREZ,Breeze Holdings Acqui
BRG,Bluerock Residential 
BTI,British American Toba
CALB,California BanCorp - 
CAPL,CrossAmerica Partners
CAS,Cascade Acquisition C
CDEV,Centennial Resource D
CERN,Cerner Corporation - 
CHK,Chesapeake Energy Cor
CHKEL,Chesapeake Energy Cor
CHKEZ,Chesapeake Energy Cor
CHPM,CHP Merger Corp. - Cl
CHT,Chunghwa Telecom Co._
CIB,BanColombia S.A. Comm
CIG,Comp En De Mn Cemig A
CLBK,Columbia Financial_ I
CLR,Continental Resources
CM,Canadian Imperial Ban
CNQ,Canadian Natural Reso
COP,ConocoPhillips Common
COW,iPathA Series B Bloom
CPG,Crescent Point Energy
CPHC,Canterbury Park Holdi
CPLG,CorePoint Lodging Inc
CPSS,Consumer Portfolio Se
CQP,Cheniere Energy Partn
CVCY,Central Valley Commun
CVE,Cenovus Energy Inc Co
CVS,CVS Health Corporatio
CVX,Chevron Corporation C
CWBC,Community West Bancsh
DDF,Delaware Investments 
DE,Deere & Company Commo
DJP,iPath Bloomberg Commo
DMLP,Dorchester Minerals_ 
DVN,Devon Energy Corporat
E,ENI S.p.A. Common Sto
ECPG,Encore Capital Group 
EDTX,EdtechX Holdings Acqu
EFSC,Enterprise Financial 
EGY,VAALCO Energy_ Inc.  
EMO,ClearBridge Energy Mi
ENB,Enbridge Inc Common S
ENLC,EnLink Midstream_ LLC
EOG,EOG Resources_ Inc. C
EPAY,Bottomline Technologi
ESGR,Enstar Group Limited 
ESSA,ESSA Bancorp_ Inc. - 
ESTE,Earthstone Energy_ In
FANG,Diamondback Energy_ I
FEI,First Trust MLP and E
FGBI,First Guaranty Bancsh
FNWB,First Northwest Banco
FRBK,Republic First Bancor
FT,Franklin Universal Tr
FUE,ELEMENTS Linked to th
GBRG,Goldenbridge Acquisit
GCBC,Greene County Bancorp
GCP,GCP Applied Technolog
GIWWU,GigInternational1_ In
GJR,Synthetic Fixed-Incom
GL,Globe Life Inc. 4.25%
GLAQ,Globis Acquisition Co
GLNG,Golar LNG Limited - C
GLP,Global Partners LP 9.
GPP,Green Plains Partners
GRCY,Greencity Acquisition
GSAQ,Global Synergy Acquis
GSBD,Goldman Sachs BDC_ In
GSP,Barclays Bank PLC iPa
GUT,Gabelli Utility Trust
HAFC,Hanmi Financial Corpo
HAL,Halliburton Company C
HCCC,Healthcare Capital Co
HES,Hess Corporation Comm
HESM,Hess Midstream LP Cla
HOPE,Hope Bancorp_ Inc. - 
HPK,HighPeak Energy_ Inc.
HSBC,HSBC Holdings_ plc. C
HYAC,Haymaker Acquisition 
IFS,Intercorp Financial S
IHC,Independence Holding 
IMO,Imperial Oil Limited 
IPAR,Inter Parfums_ Inc. -
ITCI,Intra-Cellular Therap
JJA,iPathA Series B Bloom
JJG,iPathA Series B Bloom
JJM,iPathA Series B Bloom
JJN,iPathA Series B Bloom
JJT,iPathA Series B Bloom
JJU,iPathA Series B Bloom
JNJ,Johnson & Johnson Com
KEN,Kenon Holdings Ltd. O
KOS,Kosmos Energy Ltd. Co
KWAC,Kingswood Acquisition
LCAP,Lionheart Acquisition
LLNW,Limelight Networks_ I
LMAO,LMF Acquisition Oppor
LMST,Limestone Bancorp_ In
LNG,Cheniere Energy_ Inc.
MATX,Matson_ Inc. Common S
MBAC,M3-Brigade Acquisitio
MBWM,Mercantile Bank Corpo
MDRX,Allscripts Healthcare
MEOH,Methanex Corporation 
MGY,Magnolia Oil & Gas Co
MLAC,Malacca Straits Acqui
MLPB,ETRACS Alerian MLP In
MO,Altria Group_ Inc.
MPC,Marathon Petroleum Co
MPLX,MPLX LP Common Units 
MRO,Marathon Oil Corporat
MS,Morgan Stanley Deposi
MTB,M&T Bank Corporation 
MTR,Mesa Royalty Trust Co
MUFG,Mitsubishi UFJ Financ
MUR,Murphy Oil Corporatio
MVO,MV Oil Trust Units of
MYFW,First Western Financi
NCBS,Nicolet Bankshares In
NCSM,NCS Multistage Holdin
NDP,Tortoise Energy Indep
NEN,New England Realty As
NEX,NexTier Oilfield Solu
NOV,NOV Inc. Common Stock
NRGU,MicroSectors U.S. Big
NRP,Natural Resource Part
NRT,North European Oil Ro
NTG,Tortoise Midstream En
NWFL,Norwood Financial Cor
NWG,NatWest Group plc Ame
NXGN,NextGen Healthcare_ I
OAS,Oasis Petroleum Inc. 
OBAS,Optibase Ltd. - Ordin
OCAX,OCA Acquisition Corp.
OIL,iPath Pure Beta Crude
ORCC,Owl Rock Capital Corp
OTRA,OTR Acquisition Corp.
OVV,Ovintiv Inc. (DE)
OXSQG,Oxford Square Capital
OXY,Occidental Petroleum 
PAE,PAE Incorporated - Cl
PBR,Petroleo Brasileiro S
PBT,Permian Basin Royalty
PCAR,PACCAR Inc. - Common 
PDCE,PDC Energy_ Inc. - Co
PEO,Adams Natural Resourc
PFBC,Preferred Bank - Comm
PFHD,Professional Holding 
PGR,Progressive Corporati
PKBK,Parke Bancorp_ Inc. -
PLBC,Plumas Bancorp - Comm
PNRG,PrimeEnergy Resources
PPIH,Perma-Pipe Internatio
PRT,PermRock Royalty Trus
PSXP,Phillips 66 Partners 
PTNR,Partner Communication
PTR,PetroChina Company Li
PXD,Pioneer Natural Resou
RES,RPC_ Inc. Common Stoc
RJI,AB Svensk Ekportkredi
RJN,AB Svensk Ekportkredi
RNDB,Randolph Bancorp_ Inc
ROCC,Ranger Oil Corporatio
ROCR,Roth CH Acquisition I
ROG,Rogers Corporation Co
RTLR,Rattler Midstream LP 
RTX,Raytheon Technologies
RY,Royal Bank Of Canada 
SBFG,SB Financial Group_ I
SBR,Sabine Royalty Trust 
SCLE,Broadscale Acquisitio
SELF,Global Self Storage_ 
SLB,Schlumberger N.V. Com
SMFG,Sumitomo Mitsui Finan
SNP,China Petroleum & Che
SSL,Sasol Ltd. American D
SU,Suncor Energy  Inc. C
SUN,Sunoco LP Common Unit
SYNL,Synalloy Corporation 
TACO,Del Taco Restaurants_
TCDA,Tricida_ Inc. - Commo
TGP,Teekay LNG Partners L
THCA,Tuscan Holdings Corp.
TLK,PT Telekomunikasi Ind
TRGP,Targa Resources_ Inc.
TRQ,Turquoise Hill Resour
TRV,The Travelers Compani
TS,Tenaris S.A. American
TSN,Tyson Foods_ Inc. Com
TTE,TotalEnergies SE
TVAC,Thayer Ventures Acqui
UAN,CVR Partners_ LP Comm
UCIB,ETRACS UBS Bloomberg 
UG,United-Guardian_ Inc.
UNTY,Unity Bancorp_ Inc. -
VAL,Valaris Limited Commo
VALU,Value Line_ Inc. - Co
VCRA,Vocera Communications
VENA,Venus Acquisition Cor
VET,Vermilion Energy Inc.
VG,Vonage Holdings Corp.
VHAQ,Viveon Health Acquisi
VIRT,Virtu Financial_ Inc.
VIV,Telefonica Brasil S.A
VLO,Valero Energy Corpora
VNOM,Viper Energy Partners
VOC,VOC Energy Trust Unit
VRS,Verso Corporation Com
VRTX,Vertex Pharmaceutical
VTAQ,Ventoux CCM Acquisiti
WES,Western Midstream Par
WF,Woori Financial Group
WFC,Wells Fargo & Company
WHD,Cactus_ Inc. Class A 
WLL,Whiting Petroleum Cor
WMB,Williams Companies_ I
WMPN,William Penn Bancorpo
XFLT,XAI Octagon Floating 
XOM,Exxon Mobil Corporati
ZIM,ZIM Integrated Shippi
ZION,Zions Bancorporation 
ZNTE,Zanite Acquisition Co
