Symbol,Name,Sector,Value,Close,MA,Grade
PKX,POSCO,Basic Materials,0.0/0.00033,54.58, ,18.3739
TSM,Taiwan Semiconductor Manufactur,Technology,0.00697/0.00748,116.38, ,13.9814
PAM,Pampa Energia S.A. Pampa Energi,Utilities,2e-05/0.1317,18.85, ,11.1726
SKM,SK Telecom Co.  Ltd.,Communication Services,0.00028/0.00068,25.82, ,9.7089
MT,Arcelor Mittal NY Registry Shar,Basic Materials,0.00035/0.01389,28.68, ,9.6036
ASX,ASE Technology Holding Co.  Ltd,Technology,0.00239/0.00186,6.71, ,9.0514
UMC,United Microelectronics Corpora,Technology,0.0/0.0097,9.36, ,8.5367
LEN,Lennar Corporation,Consumer Cyclical,0.01257/0.0111,91.73, ,8.5017
GGB,Gerdau S.A.,Basic Materials,7e-05/0.01001,5.14, ,8.1755
NUE,Nucor Corporation,Basic Materials,0.00442/0.04872,96.74, ,7.8166
LEN.B,Lennar Corporation,Consumer Cyclical,0.00914/0.01373,77.19, ,6.3836
HPE,Hewlett Packard Enterprise Comp,Technology,0.01187/0.0916,15.81, ,6.2765
PBR.A,Petroleo Brasileiro S.A.- Petro,Energy,0.02854/0.72743,12.53, ,6.1253
X,United States Steel Corporation,Basic Materials,0.00012/0.00542,18.59, ,5.7427
DHI,D.R. Horton  Inc.,Consumer Cyclical,0.00559/0.0096,84.02, ,5.6455
PBR,Petroleo Brasileiro S.A.- Petro,Energy,0.03486/0.7945,13.78,r+,5.3387
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,1e-05/0.01104,31.3, ,5.2255
STLD,Steel Dynamics  Inc.,Basic Materials,0.00228/0.01673,54.34, ,5.1526
VIPS,Vipshop Holdings Limited,Consumer Cyclical,0.00351/0.00054,8.12, ,5.0736
TX,Ternium S.A. Ternium S.A.,Basic Materials,0.00482/0.01516,40.95, ,5.0553
JBL,Jabil Inc.,Technology,0.00092/0.02762,58.22, ,5.0228
THO,Thor Industries  Inc.,Consumer Cyclical,0.02738/0.00273,90.86, ,5.0033
BABA,Alibaba Group Holding Limited,Consumer Cyclical,0.0126/0.00061,111.79, ,4.9364
BBY,Best Buy Co.  Inc.,Consumer Cyclical,0.01221/0.00207,96.1, ,4.534
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,0.01011/0.00241,46.96, ,4.4262
IP,International Paper Company,Consumer Cyclical,0.01078/0.00447,46.39, ,4.4017
QFIN,360 DigiTech  Inc.,Financial Services,0.00052/0.00239,18.18, ,4.1034
CDW,CDW Corporation,Technology,0.03529/0.07308,181.73, ,4.0708
SONY,Sony Group Corporation,Technology,0.00941/0.00849,102.97, ,4.0594
SID,Companhia Siderurgica Nacional ,Basic Materials,0.02806/0.00573,4.78, ,4.0462
SAN,Banco Santander  S.A. Sponsored,Financial Services,0.00552/0.0137,3.55, ,3.9243
INTC,Intel Corporation,Technology,0.75405/0.00252,48.05, ,3.8341
LYB,LyondellBasell Industries NV,Basic Materials,0.4032/0.01096,95.85, ,3.791
VZ,Verizon Communications Inc.,Communication Services,0.79282/0.0047,51.19, ,3.7192
NXPI,NXP Semiconductors N.V.,Technology,0.10433/0.00997,187.96, ,3.7177
WGO,Winnebago Industries  Inc.,Consumer Cyclical,0.06537/0.00375,62.65, ,3.6693
UBS,UBS Group AG Registered,Financial Services,0.00853/0.17434,18.42, ,3.6587
WDC,Western Digital Corporation,Technology,0.17769/0.00562,53.84, ,3.6229
LU,Lufax Holding Ltd,Financial Services,0.06519/0.00017,4.26, ,3.6056
ASAI,Sendas Distribuidora S A,Consumer Defensive,0.00458/0.00689,11.64, ,3.5555
LOGI,Logitech International S.A. - R,Technology,0.01477/0.00447,80.81, ,3.5508
LRCX,Lam Research Corporation,Technology,0.36986/0.00887,555.3, ,3.4889
TOL,Toll Brothers  Inc.,Consumer Cyclical,0.00846/0.00655,54.89, ,3.4571
LGIH,LGI Homes  Inc.,Consumer Cyclical,0.14288/0.00438,116.49, ,3.3706
UWMC,UWM Holdings Corporation,Financial Services,0.21622/0.00093,5.01, ,3.3138
MTH,Meritage Homes Corporation,Consumer Cyclical,0.01024/0.01356,98.64, ,3.285
LDOS,Leidos Holdings  Inc.,Technology,0.37557/0.00673,88.62, ,3.2729
VSH,Vishay Intertechnology  Inc.,Technology,0.03292/0.00374,19.88, ,3.2527
CI,Cigna Corporation,Healthcare,0.12178/0.01398,227.43, ,3.2437
BRK.B,Berkshire Hathaway Inc. New,Financial Services,0.32513/0.32326,307.67, ,3.2217
