"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
ABST,Absolute Software Corporation,Technology,Canada,7.71651169068126E+025, ,447038901.866667,4,6044343.5333333,-670353418.4,0.25,408112329,3,-25751768,0.25,-4099250532,0.1666667,-25751768,-4099250532,408112329,447038901.866667,4,6044343.5333333,408112329,3,-25751768,0.25,-25751768,408112329,4.98,4.98,6739.1129581,651.8904824,5978.2101486,2.8089712,854.0300212,155.837,136.0959374,5822047.5679011,7297094,13553848.9333333,7297094,-0.04732,1.7120232,36.9075,-0.1036257,0.999,0.5213591,0.7377,0.00617,-0.05,-0.137,7.49,-0.0182911,21.728046,49820600,-6438000,-0.1292237,10000000,677423616,382124000,-0.6438,-0.0505132,0.535,-0.0505132,0.1126775,-0.0505132,0.1126775,-0.0505132,0.2449487,0.4294194,6.8030098,-118349.5732451,0.8449545,33838465.9333333,1,15745871.5,0.5,20.0193359,43.0223005,43.0223005,2.4992633,1,9.5413184,0.5,9.5413184,3.0899025,USD,USD,1,1,0.063,0.061,0.06,0.057,7.49,7.22,21.2,11.8545,-36.8172424,3.7396122,-64.6698113,0.0386266,0.0396266,2.8012068,3,1.0798242,1,0.0482819,0.5,0.0428337,0.5,0.5148247,1,0.9113191,2,3.2923991,3,0.265659,0.25,1.0898242,0.0528337,0.9213191,0.275659,0.6827416,358057680.933333,2,581040414.1,1.5,581040414.1,-3948423.4,2,21621098.5333333,1,21621098.5333333,0.0000557,0.000001,16071575.8,4829292.9333333,4829292.9333333,373851374.533333,2,548608766.3,1.5,548608766.3,0.00001,None
ACGLO,Arch Capital Group Ltd. - Depos,Financial Services,Bermuda,369495933.795268, ,7496234066.66667,0,1328310933.33333,22719895333.3333,2,9323436000,0,2077128000,0,78674253000,1.5,2077128000,78674253000,9323436000,7496234066.66667,1,1328310933.33333,9323436000,1,2077128000,1,2077128000,9323436000,0.981,0.981,5.123967,5.123967,5.123967,1.5887035,5.123967,3.838,3.8407444,2380527382.23033,2377123000,1774808133.33333,2377123000,0.22264,0.1764305,0,0.2176483,1,0.2065729,0.30567,0.0000123,0,4.961,25.12,0.197492,0.7806166,402939008,2013464960,4.9969472,4500,9149530112,14822123520,447436.6577778,0.002,-0.091,0.2824858,0.2046924,0.2824858,0.2046924,0.0721214,2.9355436,-0.0170769,0.2482923,71.0463712,71.0463712,4733253066.66667,2,4773909000,1.5,1.9330321,1.9165699,1.9165699,2.4246974,1,4.9591981,2,4.9591981,2.2279257,USD,USD,1,1,0.341,0.341,0.341,0.341,25.12,25.11,26.92,26.08895,-3.7140245,0.0398248,-6.6864785,0.0110497,0.0120497,2.9566205,2,1.4480864,1,1.001757,1,0.4568608,0.5,0.2154077,1,0.1628213,1,3.4494041,2,2.1408946,1,1.4580864,0.4668608,0.1728213,2.1508946,1.8044905,79238418133.3333,2,45059217533.3333,1,45059217533.3333,22217419466.6667,2,12549555066.6667,1,12549555066.6667,0.1460977,0.2655141,4718643933.33333,8533768800,8533768800,26800340466.6667,1,31120452666.6667,1,31120452666.6667,1.827217,None
ACLS,"Axcelis Technologies, Inc.",Technology,United States,101570.2645446, ,430934866.666667,1,45781400,-242122800,0.5,1736829000,3,155150000,2,-783794666.666667,0.375,155150000,-783794666.666667,1736829000,430934866.666667,1,45781400,1736829000,3,155150000,2,155150000,1736829000,3.942,3.942,26.262222,16.144808,24.9975453,3.3999796,3.5710779,22.777,22.7770466,100202409.667647,100202000,52752400,100202000,0.13399,0.4615485,4.75,28.494371,200.8926563,9.6976365,0.89221,0.01879,3.66,2.25,57.3,0.039267,3.857805,33311800,77575000,2.3287544,1004,2282319616,1968394240,77265.936255,1.551,0.6,0.834411,0.1661016,0.834411,0.1661016,1.3718528,11.9626118,0.4915254,7.2608873,18.2217407,18.2217407,21782066.6666667,0.5,79587750,0.75,104.7797553,28.6767702,28.6767702,0.3113154,1,0.7122724,2,0.7122724,0.8449623,USD,USD,1,1,0,0,0,0,57.3,33.36,77.6,49.85665,14.9295029,71.7625899,-26.1597938,1.0822785,1.6070676,12.6867578,3,7.6880513,2,0.0291942,1,0.0072986,1,12.1143244,1,4.3320747,0.5,16.0229834,3,9.276276,2,7.6980513,0.0172986,4.3420747,9.286276,8.4921636,584964533.333333,1,1021359200,1.5,1021359200,893441066.666667,2,752676200,1.5,752676200,0.2519054,0.3061311,346865066.666667,418133866.666667,418133866.666667,138244000,1,179122000,1,179122000,2.8345438,None
ACNB,ACNB Corporation,Financial Services,United States,4.81872071886953E+017, ,315223200,4,19688000,278886000,2,94712000,1,30388000,1,940290000,1.5,30388000,940290000,94712000,315223200,4,19688000,94712000,1,30388000,1,30388000,94712000,-3.565,3.0020356,9.375,9.375,9.375,3.0020356,9.375,0,100000,0,3488000,3199333.3333333,3488000,0.32085,8.8352482,36.9075,0.8908175,2.75,3.3499719,0.21859,0.03673,0,3.488,31.86,0.109479,1.0557582,8695070,30388000,3.494854,396,284328800,284328800,76737.3737374,0.087,0.066,0.0721529,0.0991778,0.0721529,0.0991778,0.0832882,3.1359701,0.0742944,2.9757007,112.5609169,112.5609169,25516466.6666667,1,41167000,1,11.1429534,6.9067165,6.9067165,8.7009993,1,4.6329039,0.5,4.6329039,2.1534182,USD,USD,1,1,0.27,0.25,0.25,0.25,31.86,24.78,35,28.8161,10.5631921,28.5714286,-8.9714286,1.3855186,7.0741481,1.1151753,1,1.1079431,1,0,1,0,1,49.8660193,0.5,49.5615736,0.5,0.3732588,3,0.5332053,2,1.1179431,0.01,49.5715736,0.5432053,0.8305742,4295305066.66667,2,4104101200,1.5,4104101200,441610666.666667,2,266492000,1,266492000,0.1074043,0.2140297,-1609673266.66667,-1759469866.66667,-1759469866.66667,3853694400,2,3704363200,1.5,3704363200,0.00001,None
ACT,"Enact Holdings, Inc.",Financial Services,United States,38538962817.8469, ,4128365142.85714,4,470077285.714286,1270701428.57143,1,1130527000,1,484332000,1,6116618000,1,484332000,6116618000,1130527000,4128365142.85714,4,470077285.714286,1130527000,1,484332000,1,484332000,1130527000,3.401,3.401,7.1082716,6.1812863,6.9923984,3.0449848,6.9923984,0,100000,0,0,0,0,0.42841,15.2284842,36.9075,1.2750224,2.75,5.6449722,0.18123,0.81698,3.42,2.974,20.86,0.1425695,0.819348,162840000,484332000,2.9742815,525,3845215488,3442437376,922537.1428571,-0.006,-0.014,-0.1376091,0.1415023,-0.1376091,0.1415023,-0.0389023,0.2461098,0.0248756,1.8271993,-179.7426874,556.3508673,618365142.857143,1,554886000,1,6.2183574,6.9297396,6.9297396,0.691852,2,0.4309613,1,0.4309613,0.6574764,USD,USD,1,1,0,0,0,0,20.86,18.76,24,21.583118,-3.3503871,11.1940299,-13.0833333,0.8015267,0.8025267,8.9144287,2,3.3210869,1,0.9550747,12,0.1188164,1,0.0240361,0.1666667,0.0667432,1,9.1797081,6,2.023089,1,3.3310869,0.1288164,0.0767432,2.033089,2.6820879,10196425142.8571,2,5917046133.33333,1,5917046133.33333,7558609428.57143,2,4135464333.33333,1,4135464333.33333,0.1818537,0.2171167,170350142.857143,267983666.666667,267983666.666667,1318907857.14286,1,1781581800,1,1781581800,1.4259862,None
ADM,Archer-Daniels-Midland Company,Consumer Defensive,United States,1103679254.14127, ,64198266666.6667,1,1660466666.66667,38490400000,2,80137000000,1,2614000000,1,122826000000,1.5,2614000000,122826000000,80137000000,64198266666.6667,1,1660466666.66667,80137000000,1,2614000000,1,2614000000,80137000000,0.608,0.608,16.397408,15.882844,16.3330875,0.5300019,16.3330875,13.016,13.058833,3719480095.88199,3695000000,2716933333.33333,3695000000,0.03262,0.1253008,4.75,0.0202702,0.6875,0.8349235,0.81119,0.00454,4.78,4.63,74.2,0.0623989,1.9317575,559441024,2614000128,4.6725213,37575,48731385856,42472763392,69567.53501,1.338,0.345,0.1140728,0.006989,0.1140728,0.006989,1.0320182,10.4088297,0.2604972,5.3538931,15.826356,15.826356,-7524000000,0.5,3737250000,0.75,15439.7414886,13.0393701,13.0393701,1.364694,1,2.7724835,2,2.7724835,1.6660776,USD,USD,1,1,0.37,0.37,0.37,0.37,74.2,50.18,75.96,63.54335,16.770677,47.8676764,-2.317009,1.86346,41.8716923,1.7431664,1,1.7278873,1,0.932268,1,0.4802488,0.5,0.7734277,2,0.8933416,2,3.1072957,2,1.5913781,1,1.7378873,0.4902488,0.9033416,1.6013781,1.6696327,92715866666.6667,2,51659400000,1,51659400000,39080933333.3333,2,32376200000,1.5,32376200000,0.1506007,0.1807383,8550866666.66667,10746133333.3333,10746133333.3333,53467200000,2,29899533333.3333,1,29899533333.3333,2.4938817,None
ADTH,"AdTheorent Holding Company, Inc",Communication Services,United States,92.0521722, ,483248000,4,6713666.6666667,27733333.3333333,2,143829000,1,8125500,1,64261500,1.5,8125500,64261500,143829000,483248000,4,6713666.6666667,143829000,1,8125500,1,8125500,143829000,1.68,1.68,14.096774,36.416668,16.8867608,2.4906418,16.8867608,7.562,7.9932665,31394391.3647183,27813500,21162333.3333333,27813500,0.09083,33.8523416,588.2132813,0.1719593,2.75,11.3727103,0.82164,1.10935,0.12,0.31,4.29,0.0722611,2.7553594,89750304,14303000,0.1593644,272,264483088,392208832,52584.5588235,0.71,0.363,0.3353381,0.0050579,0.3353381,0.0050579,0.6163345,8.1006975,0.2735145,5.4798611,27.3986938,27.3986938,31035333.3333333,2,11019000,1,8.5219993,24.0024583,24.0024583,0.5317437,0.5,1.5110158,2,1.5110158,1.2302338,USD,USD,1,1,0,0,0,0,4.29,4.106,11.9,9.317091,-53.9555855,4.481247,-63.9495798,0.0472158,0.0482158,5.8126544,3,18.4401574,8,0.0071461,0.0833333,0.789424,1,0.2559038,12,0.0381504,2,0.4972598,0.3333333,11.4306102,8,18.4501574,0.799424,0.0481504,11.4406102,14.9453838,242953333.333333,2,177054500,1.5,177054500,118408000,2,100563214.285714,1.5,100563214.285714,0.1458926,0.1807999,15572666.6666667,18871000,18871000,125388000,2,34161333.3333333,0.6666667,34161333.3333333,2.9869974,None
AE,"Adams Resources & Energy, Inc.",Energy,United States,13655.3053505, ,1349790000,1,3079733.3333333,135990133.333333,1,4890513000,3,14909000,1,831714000,1.5,14909000,831714000,4890513000,1349790000,1,3079733.3333333,4890513000,3,14909000,1,14909000,4890513000,0.036,0.036,8.488773,10.204152,8.7031954,0.0787825,8.7031954,1.562,1.5650391,37500925.0960307,37355000,16120000,37355000,0.00914,0.0001661,0.1,0.1852133,27.4725,0.0658398,0.40035,0.45965,2.89,3.474,29.65,0.1171669,0.8103206,4355000,14909000,3.4234214,726,58804380,128428952,20535.8126722,-0.497,1.129,0.1512095,-0.1926374,0.1512095,-0.1926374,-0.3349476,4.649041,0.7985906,9.1863899,-25.9837495,3848.5592665,-10169600,0.5,70323000,1,17293.9498724,0.8362041,0.8362041,1.0230653,1,1.3041334,1,1.3041334,1.1429866,USD,USD,1,1,0.24,0.24,0.24,0.24,29.65,23.65,37.7,28.6515,3.4849833,25.3699789,-21.3527851,0.8540925,0.8550925,1.9863412,1,1.7721826,1,0.96839,1,5.4706414,2,0.0338867,0.0833333,1.6786125,8,1.6610784,1,1.5243647,1,1.7821826,5.4806414,1.6886125,1.5343647,1.6582736,302220533.333333,1,538421500,1.5,538421500,149307666.666667,1,233518600,1.5,233518600,0.1276902,0.163845,84229400,87081400,87081400,152912866.666667,1,304902900,1.5,304902900,3.4528723,None
AIZ,"Assurant, Inc.",Financial Services,United States,31428690.6273382, ,38116426666.6667,4,405760000,4631460000,1,10167800000,1,2776000000,2,22565700000,1.5,2776000000,22565700000,10167800000,38116426666.6667,4,405760000,10167800000,1,2776000000,2,2776000000,10167800000,0.84,0.84,6.672704,12.493796,7.4003405,0.8177658,7.4003405,7.509,7.6008244,1149411339.19297,1121300000,852500000,1121300000,0.13189,1.5740249,36.9075,4.269471,20.109375,1.9927953,0.96638,0.00874,12.09,22.637,148.7,0.1522327,1.5133907,56976700,519000000,9.1089867,15000,8842017792,8606330880,34600,0.1643704,0.11,0.1643704,0.1122597,0.1643704,0.1122597,0.1643704,4.3042617,0.1105649,3.5751305,45.0223495,45.0223495,1215560000,1,483700000,0.5,7.2740283,18.2799624,18.2799624,6.6602216,1,5.7150651,1,5.7150651,2.3916202,USD,USD,1,1,0.68,0.66,0.66,0.66,148.7,121.55,172.22,158.8735,-6.4035223,22.336487,-13.6569504,1.07164,1.5145847,1.1507144,1,1.1795811,1,0.1060478,0.1666667,0.5156504,1,1.6087359,6,0.4559421,1,0.6110649,1,0.5615057,1,1.1895811,0.5256504,0.4659421,0.5715057,0.8805434,86451413333.3333,2,39096580000,1,39096580000,11290186666.6667,2,5812113333.33333,1,5812113333.33333,0.1710037,0.5776232,-9036426666.66667,-12006486666.6667,-12006486666.6667,75129266666.6667,2,33283593333.3333,1,33283593333.3333,0.237941,None
ALGM,"Allegro MicroSystems, Inc.",Technology,United States,9247806.2025275, ,606625000,1,32135400,79308400,1,2163927000,3,32202000,0.5,35281125,0.375,32202000,35281125,2163927000,606625000,1,32135400,2163927000,3,32202000,0.5,32202000,2163927000,7.819,7.819,109.25311,27.427084,99.0248568,6.9247437,14.1464081,31.123,31.1159911,181285348.922019,181367000,132650666.666667,181367000,0.08929,0.1892732,4.75,0.9872984,7.3051875,0.4229538,0.46534,0.55014,0.96,0.241,25.61,0.0094104,7.6208396,189703008,64404000,0.3394991,3874,5639602688,4994880000,16624.6773361,2.463,0.417,-0.0235363,0.0987138,-0.0235363,0.0987138,1.8413659,13.8196939,0.3374284,6.0588591,53.7779351,53.7779351,105417133.333333,1,161806000,1,53.4979705,34.8541011,34.8541011,0.2913751,1,0.4963329,2,0.4963329,0.705509,USD,USD,1,1,0,0,0,0,25.61,22.05,38.281,29.5645,-13.3758393,16.1451247,-33.0999713,0.4386667,0.4396667,4.4955286,1,10.1779617,2,0.8468088,1,0.8149501,1,1.7152318,1,10.0562562,4,3.3736834,1,4.4787853,1,10.1879617,0.8249501,10.0662562,4.4887853,7.3383735,731303733.333333,1,1182081000,1.5,1182081000,569446800,1,946372700,1.5,946372700,0.1272418,0.1340268,286068133.333333,340743400,340743400,160879066.666667,1,156014000,1,156014000,4.6833478,None
