pb,pi,ev,pe,evr / pm,17.54438,36.17518,69.22314,117.67189,213.06859,414.16553,1400.13255
3.239291,0.026388,372.000000,23.041816,8.277286,308.000000,265.000000,218.000000,160.000000,130.000000,89.000000,51.000000
3.239291,0.026388,372.000000,23.041816,4.452429,252.000000,209.000000,172.000000,126.000000,101.000000,68.000000,37.000000
3.239291,0.026388,372.000000,23.041816,2.855232,194.000000,158.000000,127.000000,91.000000,72.000000,48.000000,25.000000
3.239291,0.026388,372.000000,23.041816,1.790143,130.000000,105.000000,83.000000,59.000000,48.000000,34.000000,15.000000
3.239291,0.026388,372.000000,23.041816,0.923286,50.000000,38.000000,29.000000,22.000000,16.000000,11.000000,0.000000
3.239291,0.026388,372.000000,15.821900,8.277286,254.000000,221.000000,184.000000,138.000000,114.000000,80.000000,46.000000
3.239291,0.026388,372.000000,15.821900,4.452429,208.000000,175.000000,145.000000,108.000000,88.000000,62.000000,33.000000
3.239291,0.026388,372.000000,15.821900,2.855232,161.000000,132.000000,107.000000,79.000000,63.000000,43.000000,22.000000
3.239291,0.026388,372.000000,15.821900,1.790143,110.000000,89.000000,71.000000,53.000000,43.000000,32.000000,14.000000
3.239291,0.026388,372.000000,15.821900,0.923286,45.000000,35.000000,27.000000,20.000000,14.000000,10.000000,0.000000
3.239291,0.026388,372.000000,11.586349,8.277286,185.000000,162.000000,135.000000,99.000000,84.000000,59.000000,34.000000
3.239291,0.026388,372.000000,11.586349,4.452429,157.000000,134.000000,111.000000,81.000000,68.000000,49.000000,27.000000
3.239291,0.026388,372.000000,11.586349,2.855232,123.000000,103.000000,84.000000,60.000000,50.000000,34.000000,18.000000
3.239291,0.026388,372.000000,11.586349,1.790143,89.000000,72.000000,59.000000,41.000000,35.000000,28.000000,13.000000
3.239291,0.026388,372.000000,11.586349,0.923286,39.000000,31.000000,23.000000,16.000000,13.000000,9.000000,0.000000
3.239291,0.026388,372.000000,7.989184,8.277286,101.000000,82.000000,67.000000,50.000000,41.000000,31.000000,15.000000
3.239291,0.026388,372.000000,7.989184,4.452429,86.000000,67.000000,54.000000,40.000000,33.000000,26.000000,13.000000
3.239291,0.026388,372.000000,7.989184,2.855232,75.000000,58.000000,46.000000,34.000000,28.000000,22.000000,11.000000
3.239291,0.026388,372.000000,7.989184,1.790143,61.000000,47.000000,38.000000,28.000000,23.000000,18.000000,8.000000
3.239291,0.026388,372.000000,7.989184,0.923286,29.000000,22.000000,17.000000,13.000000,11.000000,7.000000,0.000000
