Symbol,Name,Sector,Value,Close,MA,Grade
PKX,POSCO,Basic Materials,0.00033,54.58, ,9.1621
TSM,Taiwan Semiconductor Manufactur,Technology,0.00748,116.38, ,6.9938
SKM,SK Telecom Co.  Ltd.,Communication Services,0.00068,25.82, ,4.93
ASX,ASE Technology Holding Co.  Ltd,Technology,0.00186,6.71, ,4.6128
LEN,Lennar Corporation,Consumer Cyclical,0.0111,91.73, ,4.1679
MT,Arcelor Mittal NY Registry Shar,Basic Materials,0.01389,28.68, ,3.5082
UMC,United Microelectronics Corpora,Technology,0.0097,9.36, ,3.4159
GGB,Gerdau S.A.,Basic Materials,0.01001,5.14, ,3.2964
THO,Thor Industries  Inc.,Consumer Cyclical,0.00273,90.86, ,2.8906
BABA,Alibaba Group Holding Limited,Consumer Cyclical,0.00061,111.79, ,2.8341
VIPS,Vipshop Holdings Limited,Consumer Cyclical,0.00054,8.12, ,2.71
LEN.B,Lennar Corporation,Consumer Cyclical,0.01373,77.19, ,2.6386
DHI,D.R. Horton  Inc.,Consumer Cyclical,0.0096,84.02, ,2.5931
X,United States Steel Corporation,Basic Materials,0.00542,18.59, ,2.5742
BBY,Best Buy Co.  Inc.,Consumer Cyclical,0.00207,96.1, ,2.5497
VZ,Verizon Communications Inc.,Communication Services,0.0047,51.19, ,2.4577
INTC,Intel Corporation,Technology,0.00252,48.05, ,2.4535
PAM,Pampa Energia S.A. Pampa Energi,Utilities,0.1317,18.85, ,2.4249
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,0.00241,46.96, ,2.3985
IP,International Paper Company,Consumer Cyclical,0.00447,46.39, ,2.346
NUE,Nucor Corporation,Basic Materials,0.04872,96.74, ,2.293
WGO,Winnebago Industries  Inc.,Consumer Cyclical,0.00375,62.65, ,2.2374
LYB,LyondellBasell Industries NV,Basic Materials,0.01096,95.85, ,2.2227
UWMC,UWM Holdings Corporation,Financial Services,0.00093,5.01, ,2.2162
LU,Lufax Holding Ltd,Financial Services,0.00017,4.26, ,2.2123
LGIH,LGI Homes  Inc.,Consumer Cyclical,0.00438,116.49, ,2.1774
WDC,Western Digital Corporation,Technology,0.00562,53.84, ,2.1354
SID,Companhia Siderurgica Nacional ,Basic Materials,0.00573,4.78, ,2.0915
LRCX,Lam Research Corporation,Technology,0.00887,555.3, ,2.0512
QFIN,360 DigiTech  Inc.,Financial Services,0.00239,18.18, ,2.0066
LDOS,Leidos Holdings  Inc.,Technology,0.00673,88.62, ,1.9986
TXN,Texas Instruments Incorporated,Technology,0.00939,173.66, ,1.9694
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,0.01104,31.3, ,1.9206
SONY,Sony Group Corporation,Technology,0.00849,102.97, ,1.9038
LOGI,Logitech International S.A. - R,Technology,0.00447,80.81, ,1.8842
NXPI,NXP Semiconductors N.V.,Technology,0.00997,187.96, ,1.8661
VSH,Vishay Intertechnology  Inc.,Technology,0.00374,19.88, ,1.8466
TX,Ternium S.A. Ternium S.A.,Basic Materials,0.01516,40.95, ,1.7408
VIAC,ViacomCBS Inc.,Communication Services,0.00136,31.41, ,1.7351
HPE,Hewlett Packard Enterprise Comp,Technology,0.0916,15.81, ,1.7284
