Symbol,Name,Sector,Value,Close,MA,Grade
PKX,POSCO,Basic Materials,0.0,59.21, ,1.7845
PAM,Pampa Energia S.A. Pampa Energi,Utilities,2e-05,19.01, ,1.6279
UMC,United Microelectronics Corpora,Technology,0.0,9.93, ,1.239
TSM,Taiwan Semiconductor Manufactur,Technology,0.00738,124.71, ,1.1075
WIT,Wipro Limited,Technology,0.00036,7.49, ,1.0857
MT,Arcelor Mittal NY Registry Shar,Basic Materials,0.00039,33.2, ,1.0423
NUE,Nucor Corporation,Basic Materials,0.00622,121.59, ,0.8518
GGB,Gerdau S.A.,Basic Materials,8e-05,5.5, ,0.8158
SKM,SK Telecom Co.  Ltd.,Communication Services,0.00027,25.69, ,0.7315
PBR.A,Petroleo Brasileiro S.A.- Petro,Energy,0.03244,12.36, ,0.7218
LEN.B,Lennar Corporation,Consumer Cyclical,0.00876,76.74, ,0.7112
JBL,Jabil Inc.,Technology,0.00094,61.93, ,0.7014
STLD,Steel Dynamics  Inc.,Basic Materials,0.00279,61.34, ,0.6682
ASX,ASE Technology Holding Co.  Ltd,Technology,0.00276,7.56, ,0.642
TX,Ternium S.A. Ternium S.A.,Basic Materials,0.00508,44.46, ,0.6314
LEN,Lennar Corporation,Consumer Cyclical,0.01207,91.98, ,0.6201
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,1e-05,34.23, ,0.6167
X,United States Steel Corporation,Basic Materials,0.00018,24.23,r+,0.5745
HPE,Hewlett Packard Enterprise Comp,Technology,0.01312,17.35, ,0.5584
PBR,Petroleo Brasileiro S.A.- Petro,Energy,0.03921,13.59, ,0.5372
ZIM,ZIM Integrated Shipping Service,Industrials,0.00067,73.35, ,0.527
CDW,CDW Corporation,Technology,0.03311,183.37, ,0.4193
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,0.00816,43.95, ,0.388
QFIN,360 DigiTech  Inc.,Financial Services,0.00083,21.16, ,0.3772
MTH,Meritage Homes Corporation,Consumer Cyclical,0.00865,91.76, ,0.3748
DHI,D.R. Horton  Inc.,Consumer Cyclical,0.00536,85.03, ,0.3541
MATX,Matson  Inc.,Industrials,0.00534,89.44,r+,0.3278
SAN,Banco Santander  S.A. Sponsored,Financial Services,0.00649,3.98, ,0.3261
STX,Seagate Technology Holdings PLC,Technology,0.00936,110.08, ,0.3143
THO,Thor Industries  Inc.,Consumer Cyclical,0.02925,95.7, ,0.2753
IP,International Paper Company,Consumer Cyclical,0.01049,46.61, ,0.2712
UBS,UBS Group AG Registered,Financial Services,0.01077,21.18, ,0.2595
ASAI,Sendas Distribuidora S A,Consumer Defensive,0.00502,12.18, ,0.2535
MHO,M/I Homes  Inc.,Consumer Cyclical,0.00323,48.92, ,0.2431
BBY,Best Buy Co.  Inc.,Consumer Cyclical,0.01295,100.47, ,0.2303
TOL,Toll Brothers  Inc.,Consumer Cyclical,0.0078,54.81, ,0.2136
SID,Companhia Siderurgica Nacional ,Basic Materials,0.03498,5.32, ,0.2026
