Symbol,Name,Sector,Value,Close,MA,Grade
PKX,POSCO,Basic Materials,0.00389,59.21, ,1.6358
TSM,Taiwan Semiconductor Manufactur,Technology,0.01346,124.71, ,1.0168
LEN,Lennar Corporation,Consumer Cyclical,0.01046,91.98, ,0.9153
WIT,Wipro Limited,Technology,0.01064,7.49, ,0.8715
SKM,SK Telecom Co.  Ltd.,Communication Services,0.0005,25.69, ,0.8624
LEN.B,Lennar Corporation,Consumer Cyclical,0.01232,76.74, ,0.8093
UMC,United Microelectronics Corpora,Technology,0.01248,9.93, ,0.7635
PAM,Pampa Energia S.A. Pampa Energi,Utilities,0.11786,19.01, ,0.644
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,0.00151,43.95, ,0.6314
ASX,ASE Technology Holding Co.  Ltd,Technology,0.0098,7.56, ,0.607
CDW,CDW Corporation,Technology,0.03441,183.37, ,0.5517
THO,Thor Industries  Inc.,Consumer Cyclical,0.00464,95.7, ,0.5438
GGB,Gerdau S.A.,Basic Materials,0.0125,5.5, ,0.4909
PBR.A,Petroleo Brasileiro S.A.- Petro,Energy,0.45764,12.36, ,0.4682
MTH,Meritage Homes Corporation,Consumer Cyclical,0.00797,91.76, ,0.4649
WGO,Winnebago Industries  Inc.,Consumer Cyclical,0.00872,67.69,r+,0.4419
MT,Arcelor Mittal NY Registry Shar,Basic Materials,0.10313,33.2, ,0.4315
VSH,Vishay Intertechnology  Inc.,Technology,0.00279,19.71, ,0.4248
IP,International Paper Company,Consumer Cyclical,0.0045,46.61, ,0.4205
BBY,Best Buy Co.  Inc.,Consumer Cyclical,0.00453,100.47, ,0.4095
WDC,Western Digital Corporation,Technology,0.00545,54.09, ,0.4043
TX,Ternium S.A. Ternium S.A.,Basic Materials,0.03173,44.46, ,0.3777
QFIN,360 DigiTech  Inc.,Financial Services,0.00523,21.16, ,0.3753
TKC,Turkcell Iletisim Hizmetleri AS,Communication Services,0.00544,3.45, ,0.3661
SID,Companhia Siderurgica Nacional ,Basic Materials,0.00765,5.32, ,0.3652
UWMC,UWM Holdings Corporation,Financial Services,0.00121,4.45, ,0.3647
LGIH,LGI Homes  Inc.,Consumer Cyclical,0.0058,121.41, ,0.349
PBR,Petroleo Brasileiro S.A.- Petro,Energy,0.50164,13.59, ,0.3481
DHI,D.R. Horton  Inc.,Consumer Cyclical,0.00967,85.03, ,0.3445
LOGI,Logitech International S.A. - R,Technology,0.00388,80.2, ,0.3307
INTC,Intel Corporation,Technology,0.0034,48.86, ,0.3272
STLD,Steel Dynamics  Inc.,Basic Materials,0.05801,61.34, ,0.3243
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,0.01338,34.23, ,0.3161
MHO,M/I Homes  Inc.,Consumer Cyclical,0.00168,48.92, ,0.3063
