"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
ZIM,ZIM Integrated Shipping Service,Industrials,Israel,0.0003312, ,14561768266.666666,4.0,255068066.6666667,-2586588000.0,0.25,25869450000.0,3.0,6600494000.0,2.0,438876750.0,0.25,6600494000.0,438876750.0,25869450000.0,14561768266.666666,4.0,255068066.6666667,25869450000.0,3.0,6600494000.0,2.0,6600494000.0,25869450000.0,0.961,0.961,2.3615923,3.471144,2.5002863,0.9098511,2.5002863,1.859,1.8301734,4598222446.745562,4740827000.0,664199266.6666666,4740827000.0,0.38272,0.0737141,0.777,82.4733913,200.8926563,27.6442751,0.37646,0.33844,19.06,28.015,65.67,0.4266027,2.476048,118588000,3300247040,27.8295193,3794,8282993664,7845782528,869859.5255667,9.259,2.097,2.1209748,0.13732,2.1209748,0.13732,7.4744937,27.5895203,1.60708,12.9270659,0.3345091,0.3345091,613988800.0,1.0,6571050000.0,1.5,13.4904638,1.2605282,1.2605282,0.3828592,1.0,1.2085935,0.5,1.2085935,1.1003605,USD,USD,1.0,1.0,0,0,0,0,65.67,33.3,91.23,57.01555,15.1791046,97.2072072,-28.0170996,1.1175557,1.9481168,1.0086691,1.0,3.0672656,2.0,0.1281654,0.3333333,0.1919622,1.0,0.1316732,1.0,0.0320513,0.5,0.9011134,1.0,1.4104792,1.0,3.0772656,0.2019622,0.0420513,1.4204792,2.2488724,4767055466.666667,2.0,9629103500.0,1.5,9629103500.0,36457533.3333333,1.0,3458314000.0,1.5,3458314000.0,0.7854734,2.0085872,-84060533.3333333,999276666.6666666,999276666.6666666,4681048000.0,2.0,6162011200.0,1.5,6162011200.0,2.2835811,None
SDH,"Global Internet of People, Inc.",Industrials,China,0.0025898, ,76404195.7333333,0.0,9997680.6,10024221.5,0.5,22116578.0,0.0,2101195.0,0.0,109766560.0,1.0,2101195.0,109766560.0,22116578.0,76404195.7333333,4.0,9997680.6,22116578.0,1.0,2101195.0,0.25,2101195.0,22116578.0,0.062,0.062,4,4,4.0,1.8853548,4.0,0.114,0.1116654,12540947.5087719,13054588.0,12620352.0666667,13054588.0,0.38002,0.5174782,0.0,-0.0869641,1.0,0.271178,0.00218,0.53557,0,0.425,1.77,0.240113,0.6888169,24528000,8404779,0.3426606,96,1371113,41697600,87549.78125,0.3668332,-0.164,0.3668332,0.9629018,0.3668332,0.9629018,0.3668332,6.3066759,0.1177255,3.6811144,10.9041374,10.9041374,4935609.6666667,1.0,6484678.0,1.0,0.2778001,0.2114389,0.2114389,0.6669674,2.0,0.0686527,1.0,0.0686527,0.2630166,USD,USD,1.0,1.0,0,0,0,0,1.77,1.05,4.1,1.955555,-9.4886107,68.5714286,-56.8292683,0.4721311,0.4731311,10.9241189,2.0,20.1043569,1.0,0.13942,1.0,0.1238825,1.0,0.0,1.0,0.0,1.0,8.1298033,2.0,15.9878658,1.0,20.1143569,0.1338825,0.01,15.9978658,18.0561114,61631929.0666667,2.0,58594798.2,1.0,58594798.2,50027172.8,2.0,55236164.4,1.0,55236164.4,0.1358598,0.1380402,16982499.5333333,41853658.0,41853658.0,5641875.4666667,1.0,3286178.2,1.0,3286178.2,3.4895275,None
KARO,Karooooo Ltd.,Technology,Singapore,0.0026525, ,532726134.8368,4.0,18880471.2212,49982963.1868,1.0,497217835.7286,3.0,52238705.9376,2.0,212841239.1532,1.0,52238705.9376,212841239.1532,497217835.7286,532726134.8368,4.0,18880471.2212,497217835.7286,3.0,52238705.9376,2.0,52238705.9376,497217835.7286,0.167,0.167,31.576086,22.874016,30.4883273,0.3431473,4.3554753,0.396,0.3887341,1147747909.090909,1189866000.0,993371428.5714285,1189866000.0,0.15759,22.1068764,156.856875,36.5251363,200.8926563,19.5975342,0.10573,0.74994,1.27,0.92,30.01,0.0306564,0.4815742,30951100,412932000,13.3414321,2999,437829408,899129408,137689.8966322,0.673,0.222,0.1395836,0.1687645,0.1395836,0.1687645,0.5396459,7.5960596,0.2086911,4.8182723,56.4969115,56.4969115,108906270.364,2.0,58482132.7846,1.0,4.0202406,7.4865499,7.4865499,1.4522769,1.0,0.5543718,1.0,0.5543718,0.7455615,ZAR,USD,0.0632534,1.0,0,0,0,0,30.01,26.95,41.2,33.263035,-9.77973,11.3543599,-27.1601942,0.4294737,0.4304737,4.3727241,2.0,6.2402367,2.0,4.2147245,1.0,4.2147245,1.0,5.9361032,2.0,2.2139191,1.0,1.1125917,1.0,3.5856992,2.0,6.2502367,4.2247245,2.2239191,3.5956992,4.9229679,305065618.0456,2.0,184481227.2610534,1.0,184481227.2610534,52374745.9286,1.0,181051541.46674,1.5,181051541.46674,0.3831654,0.3885295,325714.2857143,464150000.0,464150000.0,76468950.9344,1.0,60390395.0909467,1.0,60390395.0909467,6.0657806,None
DQ,DAQO New Energy Corp.,Technology,China,0.002735, ,515411979.6,1.0,88049808.5333333,522760780.0,2.0,4592907000.0,3.0,1360946000.0,2.0,3489985500.0,1.5,1360946000.0,3489985500.0,4592907000.0,515411979.6,1.0,88049808.5333333,4592907000.0,3.0,1360946000.0,2.0,1360946000.0,4592907000.0,1.628,1.628,4.8737206,3.5469635,4.707876,2.103415,0.6725537,2.502,2.5018881,995958938.4492407,996048000.0,187227356.8,996048000.0,0.44447,0.8036598,4.75,41.9027472,89.285625,14.3846257,0.56689,0.04604,12.35,8.988,46.85,0.1918463,1.6296504,73513600,680473024,9.2564236,1896,2491666432,3220263168,358899.2742616,13.083,3.667,1.7804534,0.5679184,1.7804534,0.5679184,10.2573633,32.2771187,2.8922296,17.2565564,0.4589753,0.4589753,182359492.9333333,1.0,791653000.0,1.0,13.6634863,3.1474225,3.1474225,1.4970937,2.0,0.8205501,2.0,0.8205501,0.9068422,USD,USD,1.0,1.0,0,0,0,0,46.85,32.2,90.48,51.32515,-8.7192147,45.4968944,-48.2206012,0.5027454,0.5037454,4.9858176,2.0,8.5332273,2.0,0.4652525,1.0,0.1028934,0.5,0.0683106,0.1666667,0.0437766,0.5,1.2581302,2.0,4.6657599,2.0,8.5432273,0.1128934,0.0537766,4.6757599,6.6094936,2290294319.3333335,2.0,3490359100.0,1.5,3490359100.0,1312740658.8,2.0,2277448500.0,1.5,2277448500.0,0.4899158,0.6975749,-131194072.2,575043333.3333334,575043333.3333334,471497598.2666667,1.0,545961733.3333334,1.0,545961733.3333334,2.719205,None
HIVE,Hive Blockchain Technologies Lt,Financial Services,Canada,0.0388743, ,48479536.3333333,0.0,2121300.2666667,-563840791.7333333,0.25,574387302.0,0.0,151667046.0,0.0,-781245682.6666666,0.375,151667046.0,-781245682.6666666,574387302.0,48479536.3333333,1.0,2121300.2666667,574387302.0,3.0,151667046.0,1.0,151667046.0,574387302.0,3.245,3.245,5.444444,5.444444,5.444444,2.9508884,5.444444,3.118,3.1074002,200605684.4198204,201969619.0,39617893.4,201969619.0,0.79215,0.242142,0.0,3.5288848,4.0,1.5220589,0.10195,0.10379,0,0.27,1.6,0.16875,2.1181557,384343008,151667040,0.3946138,19,621235776,564984256,7982475.7894737,2.733,3.974,23.8478886,0.9142305,23.8478886,0.9142305,8.0117222,28.5549857,3.2090576,18.1638428,0.6795598,0.6795598,10542516.8666667,1.0,85113115.5,1.5,58.9267045,7.298943,7.298943,0.3151797,1.0,0.1774944,1.0,0.1774944,0.4223009,USD,USD,1.0,1.0,0,0,0,0,1.6,1.44,5.6,2.67375,-40.1589528,11.1111111,-71.4285714,0.0769231,0.0779231,4.8217788,1.0,29.0177114,4.0,6311.8806903,12.0,786.751317,1.0,7.1451903,0.0833333,35.4516861,4.0,7.1716762,1.0,63.1320029,4.0,29.0277114,786.761317,35.4616861,63.1420029,46.0848571,117330236.3333333,1.0,584482444.2,1.5,584482444.2,90342241.2666667,1.0,504788521.9,1.5,504788521.9,0.3594895,0.4004566,58904039.8666667,194894500.6,194894500.6,26987995.0666667,1.0,53129281.5333333,1.0,53129281.5333333,2.6504095,None
FLGT,"Fulgent Genetics, Inc.",Healthcare,United States,0.1701109, ,2590380533.3333335,4.0,327314866.6666667,94573733.3333333,0.25,992584000.0,1.0,507364000.0,1.0,2988772500.0,1.5,507364000.0,2988772500.0,992584000.0,2590380533.3333335,4.0,327314866.6666667,992584000.0,1.0,507364000.0,1.0,507364000.0,992584000.0,1.292,1.292,2.854744,8.676236,3.5824305,1.6349585,3.5824305,1.851,1.8512106,692688613.9924365,692531000.0,447689800.0,692531000.0,0.51115,5.9049762,12.3834375,1.2952325,2.75,2.5714529,0.37902,0.32727,6.27,19.056,58.73,0.3244679,1.5651524,29831500,507364000,17.0076597,645,1282458368,1622833664,786610.8527132,-0.373,-0.147,2.873151,4.2667802,2.873151,4.2667802,0.4385378,6.8722183,0.9564451,10.0298009,8.1690355,8.1690355,325432466.6666667,1.0,538577000.0,1.0,3.9407819,2.3811978,2.3811978,0.2530821,2.0,0.256872,2.0,0.256872,0.5078254,USD,USD,1.0,1.0,0,0,0,0,58.73,49.5,112,78.83785,-25.5053252,18.6464646,-47.5625,0.29536,0.29636,21.5079621,2.0,18.9402862,2.0,0.9572796,1.0,0.1388517,0.5,1.9414999,0.5,3.811176,1.0,6.4630981,1.0,5.0732138,1.0,18.9502862,0.1488517,3.821176,5.0832138,12.01675,1768402666.6666667,2.0,1814722500.0,1.5,1814722500.0,1568566133.3333333,2.0,1604413600.0,1.5,1604413600.0,0.3795821,0.4162302,382048066.6666667,487256400.0,487256400.0,96115066.6666667,1.0,133290466.6666667,1.0,133290466.6666667,3.4263147,None
BNTX,BioNTech SE,Healthcare,Germany,0.254557, ,323631952.16,1.0,-54503611.74,-1591061391.6,0.25,43565615970.6,3.0,15782203114.4,2.0,4158930558.7874994,0.375,15782203114.4,4158930558.7874994,43565615970.6,323631952.16,1.0,-54503611.74,43565615970.6,3.0,15782203114.4,2.0,15782203114.4,43565615970.6,2.877,2.877,4.8137465,3.8275776,4.6904754,2.6703973,4.6904754,3.853,3.852629,10297069022.060732,10299052000.0,-200102733.3333333,10299052000.0,0.54339,-3.207342,0.1,50.4982206,89.285625,15.9457562,0.177,0.66882,39.67,31.543,149.23,0.2113717,4.259306,242516992,7493197824,30.8976198,2800,39666966528,36823777280,2676142.08,0.4742984,89.182,0.4742984,2.0772055,0.4742984,2.0772055,0.4742984,7.1369325,67.4058014,82.3510362,9.8892921,9.8892921,-150559039.1466666,0.5,704768219.1999999,0.5,379.5577336,56.283705,56.283705,0.3077072,2.0,0.3257486,0.5,0.3257486,0.5717439,EUR,USD,1.0531,1.0,0,0,0,0,149.23,121.32,464,245.53925,-39.2235661,23.0052753,-67.8383621,0.1628925,0.1638925,4.5801657,2.0,5.0726114,2.0,0.124404,1.0,0.0142603,0.25,0.826478,1.0,0.131247,0.25,6.2053246,2.0,2.7286201,1.0,5.0826114,0.0242603,0.141247,2.7386201,3.9106158,3288512982.9733334,2.0,16974289146.2,1.5,16974289146.2,1885996228.3466666,2.0,10323986446.259998,1.5,10323986446.259998,1.0297711,1.6286927,723457666.6666666,6387058800.0,6387058800.0,701062921.9533333,1.0,6650302699.94,1.5,6650302699.94,2.9470805,None
OCG,Oriental Culture Holding LTD,Consumer Cyclical,Hong Kong,0.3211745, ,58289587.4285714,0.0,4141758.5714286,23168178.8571429,2.0,39431578.0,0.0,11755174.0,0.0,75200774.0,1.0,11755174.0,75200774.0,39431578.0,58289587.4285714,4.0,4141758.5714286,39431578.0,1.0,11755174.0,1.0,11755174.0,39431578.0,1.518,1.518,5.8540373,5.8540373,5.8540373,1.9546903,5.8540373,5.326,7.379536,6344116.953436,1451938.0,3991865.2857143,1451938.0,0.29811,0.2415333,0.0,0.3520533,1.0,0.2982322,0.20079,0.29105,0,0.644,4.03,0.1598015,1.7682927,20444700,11755173,0.5749741,47,59844512,77076520,250110.0638298,26.018,8.911,0.3046393,0.7019615,0.3046393,0.7019615,19.5896598,44.5102077,6.8587404,26.4391969,0.298833,0.298833,7865284.4285714,1.0,7908034.0,1.0,7.6086901,7.5675588,7.5675588,0.5265946,2.0,0.1713955,1.0,0.1713955,0.4149994,USD,USD,1.0,1.0,0,0,0,0,4.03,3.39,6.24,4.367875,-7.7354549,18.879056,-35.4166667,0.4491228,0.4501228,12.1345297,2.0,6.9507231,1.0,0.0156408,1.0,0.0116387,1.0,0.0,1.0,0.0,1.0,10.7707536,2.0,6.5118758,1.0,6.9607231,0.0216387,0.01,6.5218758,6.7412995,56674121.7142857,2.0,48597409.0,1.0,48597409.0,46606772.2857143,2.0,41577691.6,1.0,41577691.6,0.3418889,0.3827279,21248295.7142857,38518271.6,38518271.6,5033674.7142857,1.0,7019717.4,1.0,7019717.4,3.3087313,None
BHAT,Blue Hat Interactive Entertainm,Communication Services,China,0.9547601, ,103485951.4666667,0.0,8233849.4,54872669.2,2.0,43927448.0,0.0,6907528.0,0.0,137614496.0,1.0,6907528.0,137614496.0,43927448.0,103485951.4666667,4.0,8233849.4,43927448.0,1.0,6907528.0,1.0,6907528.0,43927448.0,0.297,0.297,1.7950311,1.7950311,1.7950311,0.2933353,1.7950311,1.284,1.926,6088467.2897196,0,9851686.4666667,0,0.16644,0.302559,0.0,0.1207297,1.0,0.1975762,0.08294,0.38316,0,0.161,0.2862,0.5625437,0.2082132,53417200,8759483,0.1639824,110,15635184,15437571,79631.6636364,0.215,2.356,0.0696126,0.2784696,0.0696126,0.2784696,0.1786531,4.4767381,1.8366174,13.8021858,10.0475762,10.0475762,3056180.0,0.5,764045.0,1.0,5.1159238,20.4636952,20.4636952,0.6110807,2.0,0.7370797,2.0,0.7370797,0.8595335,USD,USD,1.0,1.0,0,0,0,0,0.2862,0.262,1.04,0.50791,-43.6514343,9.2366412,-72.4807692,0.0622108,0.0632108,8.745473,2.0,4.0946542,1.0,3.2371081,1.0,0.3625959,1.0,0.0,1.0,0.0,1.0,3.0964269,1.0,2.4135596,1.0,4.1046542,0.3725959,0.01,2.4235596,3.2641069,126036034.8,2.0,106746380.5333333,1.0,106746380.5333333,97070721.7333333,2.0,107851991.2,1.5,107851991.2,0.1647097,0.1640464,29498357.4666667,36363831.6666667,36363831.6666667,14423241.0666667,1.0,26449613.6,1.0,26449613.6,1.7786395,None
DDI,"DoubleDown Interactive Co., Ltd",Communication Services,South Korea,0.9722557, ,1320392000.0,4.0,47857000.0,103667333.3333333,2.0,367939000.0,1.0,76144000.0,1.0,595135500.0,1.5,76144000.0,595135500.0,367939000.0,1320392000.0,4.0,47857000.0,367939000.0,1.0,76144000.0,1.0,76144000.0,367939000.0,1.565,1.565,6.4726634,6.5928144,6.4876823,1.4828082,6.4876823,4.768,4.7680947,120766798.6577181,120762000.0,114144666.6666667,120762000.0,0.20695,86.0355813,588.2132813,0.6346077,2.75,28.9600463,0.1481,0.03369,1.67,1.701,10.97,0.1550593,0.6441987,49553400,76144000,1.536605,281,575838976,545582976,270975.088968,1.752,-0.056,0.476201,0.3096817,0.476201,0.3096817,1.4330502,12.2210076,0.0354204,2.1320312,4.5271841,4.5271841,184241333.3333333,2.0,113653000.0,1.0,3.1254603,5.0666412,5.0666412,0.9659148,2.0,0.1380793,1.0,0.1380793,0.3725903,USD,USD,1.0,1.0,0,0,0,0,10.97,10.52,18.5,14.609204,-24.910351,4.2775665,-40.7027027,0.112782,0.113782,16.9116201,3.0,33.1663429,4.0,0.0,1.0,0.0,1.0,0.1954711,12.0,0.0337846,0.5,33.4469751,12.0,34.7346878,4.0,33.1763429,0.01,0.0437846,34.7446878,33.9605153,404844000.0,0.5,1349803100.0,1.5,1349803100.0,1186460000.0,2.0,1186943300.0,1.5,1186943300.0,0.1564112,0.1641513,48362000.0,172971333.3333333,172971333.3333333,108229000.0,0.5,108573200.0,1.0,108573200.0,2.0865989,None
