Symbol,Name,Sector,Value,Close,MA,Grade
BWMX,Betterware de Mexico  S.A.P.I. ,Consumer Cyclical,0.02404/-0.67534,6.86, ,491.3587
LEN.B,Lennar Corporation,Consumer Cyclical,20.52545/-0.62372,72.07, ,293.9061
ZIM,ZIM Integrated Shipping Service,Industrials,0.0/-0.47838,19.2, ,287.8805
LBTYB,Liberty Global plc,Communication Services,3151.8747/-0.85178,19.0, ,232.3786
MHK,Mohawk Industries  Inc.,Consumer Cyclical,19064.64326/-0.24558,98.09, ,203.7935
GTN.A,Gray Television  Inc.,Communication Services,503.24208/-0.69649,11.32, ,153.4246
IMO,Imperial Oil Limited,Energy,189.64045/-0.73005,53.39, ,133.4015
AMZN,Amazon.com  Inc.,Consumer Cyclical,18195.60532/-0.1733,94.13, ,131.7146
JXN,Jackson Financial Inc.,Financial Services,1355.98422/-0.4907,35.27, ,115.9352
PHI,PLDT Inc. Sponsored,Communication Services,1808.12805/-0.16648,28.9, ,100.2265
THO,Thor Industries  Inc.,Consumer Cyclical,5.29228/-0.19491,84.0, ,97.5197
STLA,Stellantis N.V.,Consumer Cyclical,0.50423/-0.34923,15.17, ,92.824
IFS,Intercorp Financial Services In,Financial Services,23717368401015.15/-0.55983,23.61, ,88.502
CCS,Century Communities  Inc.,Consumer Cyclical,721454.93564/-0.25171,51.16, ,87.0635
GTN,Gray Television  Inc.,Communication Services,2394.00159/-0.24677,11.52, ,75.8501
TOL,Toll Brothers  Inc.,Consumer Cyclical,151589.54856/-0.21189,45.94, ,73.097
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,19637.14838/-0.26259,31.8, ,70.5106
CMRE,Costamare Inc.,Industrials,2.51992/-0.65451,9.48, ,69.6365
UHAL,Amerco,Industrials,772352.53686/-0.49258,63.67, ,68.6592
ET,Energy Transfer LP,Energy,40520.37217/-0.12801,12.18, ,68.1657
FOR,Forestar Group Inc,Real Estate,740.39764/-0.62095,15.05, ,67.0636
FOX,Fox Corporation,Communication Services,274868.21358/-0.42848,30.15, ,63.1404
DAC,Danaos Corporation,Industrials,1.25168/-0.5263,53.71, ,59.5684
KBH,KB Home,Consumer Cyclical,27503873.85133/-0.22618,30.89, ,59.2071
GOOGL,Alphabet Inc.,Communication Services,131.93698/-0.20139,99.48, ,59.0662
WFG,West Fraser Timber Co. Ltd,Basic Materials,8.34584/-0.40435,74.97, ,58.2376
ONEW,OneWater Marine Inc.,Consumer Cyclical,1.24155/-0.42301,30.9, ,57.6962
WBA,Walgreens Boots Alliance  Inc.,Healthcare,620473.06147/-0.24362,40.59, ,55.0791
LNC,Lincoln National Corporation,Financial Services,245124227.91686/-0.10605,37.74, ,53.3513
GHLD,Guild Holdings Company,Financial Services,0.41376/-0.54669,10.8, ,48.1402
DHI,D.R. Horton  Inc.,Consumer Cyclical,124788.21891/-0.25072,84.72,r+,46.2977
JEF,Jefferies Financial Group Inc.,Financial Services,276332253214347.84/-0.18137,36.09, ,44.3122
RILY,B. Riley Financial  Inc.,Financial Services,231514765754182.3/-0.45294,43.0, ,40.3586
EBS,Emergent Biosolutions  Inc.,Healthcare,16.97333/-0.18834,11.79, ,40.2587
LBTYK,Liberty Global plc,Communication Services,87948.60648/-0.14539,20.18, ,39.7708
GOGL,Golden Ocean Group Limited,Industrials,44.39192/-0.4326,8.36, ,37.0203
LBTYA,Liberty Global plc,Communication Services,218680.95448/-0.12027,19.46, ,36.6352
BIO,Bio-Rad Laboratories  Inc.,Healthcare,461743187674709.5/-0.21858,419.06, ,32.5637
LGIH,LGI Homes  Inc.,Consumer Cyclical,13466323141.06203/-0.17256,98.21, ,32.0484
LYB,LyondellBasell Industries NV,Basic Materials,2603.10642/-0.33529,83.47, ,31.0924
NMM,Navios Maritime Partners LP,Industrials,869.41469/-0.32653,25.82, ,30.9615
DCP,DCP Midstream   LP,Energy,2415896.46445/-0.23192,39.27, ,30.4541
SSNC,SS&C Technologies Holdings  Inc,Technology,9622.83898/-0.17686,50.7, ,30.3266
ACT,Enact Holdings  Inc.,Financial Services,68443853.41623/-0.6985,24.75, ,29.928
CNXC,Concentrix Corporation,Technology,15013.5894/-0.25964,121.27, ,29.2185
UFPI,UFP Industries  Inc.,Basic Materials,1964.27483/-0.20407,79.01, ,29.2014
USM,United States Cellular Corporat,Communication Services,3183.94206/-0.60902,20.24, ,26.6894
FINV,FinVolution Group,Financial Services,48369014270.5395/0.50566,4.79,r+,26.0133
AMKR,Amkor Technology  Inc.,Technology,275692.86196/-0.26376,27.735,r+,21.7234
AM,Antero Midstream Corporation,Energy,20387.36134/0.02957,11.37, ,21.2535
FNF,FNF Group of Fidelity National ,Financial Services,61780805.0828/-0.0553,37.46, ,20.4484
MS,Morgan Stanley,Financial Services,212039639467668.72/-0.14356,89.81, ,19.151
CG,The Carlyle Group Inc.,Financial Services,740683.70723/-0.34909,31.56, ,19.04
AFL,AFLAC Incorporated,Financial Services,3328285180.31616/0.32059,72.34,r+,18.846
FAF,First American Corporation (New,Financial Services,1364250165.9359/-0.07717,52.15, ,17.9199
UHS,Universal Health Services  Inc.,Healthcare,394825412.42459/-0.10049,127.95, ,17.3221
BEN,Franklin Resources  Inc.,Financial Services,137637900.08764/-0.39738,27.25, ,17.2678
RCII,Rent-A-Center Inc.,Industrials,777412.07171/-0.17418,23.18, ,15.4214
GRMN,Garmin Ltd.,Technology,108917.73317/-0.27077,93.9, ,15.1519
GPI,Group 1 Automotive  Inc.,Consumer Cyclical,42868.0624/-0.12719,188.93, ,14.6536
DISH,DISH Network Corporation,Communication Services,2962847105.16346/-0.13146,14.47, ,14.6387
EQX,Equinox Gold Corp.,Basic Materials,48.9147/-0.29731,3.63, ,13.4462
BSBR,Banco Santander Brasil SA,Financial Services,8.337268815592836e+19/-0.09382,5.35, ,13.0736
WGO,Winnebago Industries  Inc.,Consumer Cyclical,465.70152/-0.20911,57.8, ,12.7525
LX,LexinFintech Holdings Ltd.,Financial Services,371987546.57751/-0.1025,1.84, ,12.437
SEM,Select Medical Holdings Corpora,Healthcare,8960160544.04743/-0.17774,24.3, ,12.3109
EPD,Enterprise Products Partners L.,Energy,10776889.33162/-0.35244,24.47, ,11.619
SNDR,Schneider National  Inc.,Industrials,9351.55555/-0.42675,25.16, ,11.3624
NEXA,Nexa Resources S.A.,Basic Materials,1117523.3354/-0.56018,5.53, ,11.1988
PFSI,PennyMac Financial Services  In,Financial Services,209784537524.55362/-0.32964,57.09, ,10.8674
DFH,Dream Finders Homes  Inc.,Consumer Cyclical,1560207.06125/-0.4306,9.4, ,10.3943
WLKP,Westlake Chemical Partners LP,Basic Materials,3715894.55895/-0.4493,22.3, ,10.1115
AGR,Avangrid  Inc.,Utilities,6502687.0438/-0.71121,42.95, ,9.9932
QFIN,360 DigiTech  Inc.,Financial Services,189448.29542/-0.1411,16.99, ,9.8681
CIXX,CI Financial Corp.,Financial Services,2271612.26227/-0.15614,10.67, ,9.7514
NOMD,Nomad Foods Limited,Consumer Defensive,8086462.31018/-0.19291,16.94, ,9.7388
QDEL,QuidelOrtho Corporation,Healthcare,493.97213/-0.28537,93.6, ,8.3655
GM,General Motors Company,Consumer Cyclical,904136.44723/-0.13618,38.79, ,7.7401
ASGN,ASGN Incorporated,Technology,109757150.8771/-0.1448,87.93, ,7.429
IPGP,IPG Photonics Corporation,Technology,632459.13365/-0.45012,90.09, ,7.3137
HTH,Hilltop Holdings Inc.,Financial Services,6.734039820458792e+19/-0.19735,28.39, ,7.1767
GSL,Global Ship Lease Inc New,Industrials,973.71507/-0.19609,16.46, ,7.0206
ECPG,Encore Capital Group Inc,Financial Services,40693367.30409/-0.08963,50.49, ,6.8431
MERC,Mercer International Inc.,Basic Materials,8731.41302/-0.41801,13.71, ,6.3673
GRBK,Green Brick Partners  Inc.,Consumer Cyclical,497.09206/-0.2253,23.84, ,6.2351
RES,RPC  Inc.,Energy,24.07534/-0.80353,8.63, ,6.0437
AMCX,AMC Networks Inc.,Communication Services,430887.97521/-0.19394,19.23, ,6.0251
GGAL,Grupo Financiero Galicia S.A.,Financial Services,401952.13682/-0.10615,7.64, ,5.7908
HUN,Huntsman Corporation,Basic Materials,8149.56585/-0.19398,28.22, ,5.6167
BOKF,BOK Financial Corporation,Financial Services,7.942503238068812e+19/-0.35122,105.27, ,5.4217
ESNT,Essent Group Ltd.,Financial Services,10523.98892/-0.15785,38.07, ,5.4138
AFG,American Financial Group  Inc.,Financial Services,163729099298.45074/-0.16946,141.74, ,5.2648
CRMT,America's Car-Mart  Inc.,Consumer Cyclical,223201298736.71967/-0.19148,74.59, ,5.1943
SPLP,Steel Partners Holdings LP LTD ,Industrials,22209184861.22717/-0.29134,42.9, ,4.9609
GLW,Corning Incorporated,Technology,454200121.35274/-0.17701,33.5, ,4.8814
FRG,Franchise Group  Inc.,Consumer Cyclical,7717.28031/-0.24275,26.29, ,4.8295
KRO,Kronos Worldwide Inc,Basic Materials,785.17811/-0.74598,9.42, ,4.4697
GHC,Graham Holdings Company,Consumer Defensive,13364211.2033/-0.19563,619.17, ,4.462
RLX,RLX Technology Inc.,Consumer Defensive,3146246.9114/-0.48598,2.57, ,4.372
STLD,Steel Dynamics  Inc.,Basic Materials,14562.67227/0.20676,108.27, ,4.1182
AMRK,A-Mark Precious Metals  Inc.,Financial Services,96036135.41294/-0.31198,35.5, ,3.6292
KOF,Coca Cola Femsa S.A.B. de C.V.,Consumer Defensive,205853.38485/0.0472,67.47,r+,3.5197
MET,MetLife  Inc.,Financial Services,943300494505639.6/0.15267,75.4, ,3.5197
RJF,Raymond James Financial  Inc.,Financial Services,21119294497809.984/0.01489,116.17, ,3.2512
MRTN,Marten Transport  Ltd.,Industrials,23584.27723/-0.36178,20.56, ,3.2207
WMK,Weis Markets  Inc.,Consumer Defensive,4948034.04497/-0.36854,85.44, ,3.0466
COWN,Cowen Inc.,Financial Services,2603367614415.93/0.44685,38.6, ,2.9045
HTLD,Heartland Express  Inc.,Industrials,61451.6616/-0.4538,16.34,r+,2.7369
AN,AutoNation  Inc.,Consumer Cyclical,168405.62953/-0.24897,121.05, ,2.6848
KNX,Knight-Swift Transportation Hol,Industrials,12435390.64983/-0.14882,55.54,r+,2.6361
RM,Regional Management Corp.,Financial Services,47148.94747/-0.15146,29.86, ,2.6217
NXST,Nexstar Media Group  Inc.,Communication Services,7959296.99633/-0.12667,181.38, ,2.62
