Symbol,Name,Sector,Value,Close,MA,Grade
CRBG,Corebridge Financial Inc.,Financial Services,-0.76586,16.71, ,274.7419
AMKR,Amkor Technology  Inc.,Technology,-0.50841,26.4, ,103.3573
USM,United States Cellular Corporat,Communication Services,-0.70203,16.52, ,96.9662
AFYA,Afya Limited,Consumer Defensive,-0.4458,13.3, ,90.8127
IFS,Intercorp Financial Services In,Financial Services,-0.637,23.5, ,90.6944
DAC,Danaos Corporation,Industrials,-0.50553,66.0,r+,88.1698
PARAA,Paramount Global,Communication Services,-0.74688,19.06, ,75.2287
JEF,Jefferies Financial Group Inc.,Financial Services,-0.19654,33.23, ,68.7548
CMRE,Costamare Inc.,Industrials,-0.62745,9.42, ,68.7337
BAP,Credicorp Ltd.,Financial Services,-0.12857,148.4, ,63.5234
BWMX,Betterware de Mexico  S.A.P.I. ,Consumer Cyclical,-0.04493,12.75,r+,62.9886
JKS,JinkoSolar Holding Company Limi,Technology,-0.49771,46.43, ,62.8686
ICL,ICL Group Ltd.,Basic Materials,-0.5467,5.87, ,55.0619
CSIQ,Canadian Solar Inc.,Technology,-0.29296,39.55, ,53.5695
LBRT,Liberty Energy Inc.,Energy,-0.22861,14.08, ,48.9075
CNXC,Concentrix Corporation,Technology,-0.22201,83.66, ,47.9014
STLA,Stellantis N.V.,Consumer Cyclical,-0.13909,17.16, ,47.8743
CRK,Comstock Resources  Inc.,Energy,-0.70967,10.68, ,47.3613
WBA,Walgreens Boots Alliance  Inc.,Healthcare,-0.23455,32.02, ,42.0406
DQ,DAQO New Energy Corp.,Technology,-0.18998,42.59, ,37.6864
PPC,Pilgrim's Pride Corporation,Consumer Defensive,-0.88314,22.08, ,36.5469
LX,LexinFintech Holdings Ltd.,Financial Services,-0.1884,2.53, ,33.7072
SNX,TD SYNNEX Corporation,Technology,-0.19554,96.36, ,32.2064
FINV,FinVolution Group,Financial Services,-0.28863,4.59, ,28.8853
TNP,Tsakos Energy Navigation Ltd,Energy,-0.38408,18.48, ,27.5703
BIO.B,Bio-Rad Laboratories  Inc.,Healthcare,-0.98962,464.1, ,27.5612
CALM,Cal-Maine Foods  Inc.,Consumer Defensive,-0.46282,49.67, ,26.4705
GRNT,Granite Ridge Resources  Inc.,Energy,-0.90433,6.37, ,23.3703
GTN,Gray Television  Inc.,Communication Services,-0.08366,7.5, ,23.169
ONEW,OneWater Marine Inc.,Consumer Cyclical,-0.28225,34.81, ,22.8426
NMM,Navios Maritime Partners LP,Industrials,-0.31413,21.09, ,22.5728
HZO,MarineMax  Inc.  (FL),Consumer Cyclical,-0.0491,32.68, ,21.6248
FDP,Fresh Del Monte Produce  Inc.,Consumer Defensive,-0.25287,27.16, ,21.0735
AR,Antero Resources Corporation,Energy,-0.16328,21.76, ,20.4269
ACT,Enact Holdings  Inc.,Financial Services,-0.75611,25.45, ,20.3974
ULH,Universal Logistics Holdings  I,Industrials,-0.73555,29.85, ,20.3335
WLK,Westlake Corporation,Basic Materials,-0.54855,115.68, ,19.0268
BEN,Franklin Resources  Inc.,Financial Services,-0.40173,27.3, ,18.8046
STNG,Scorpio Tankers Inc.,Energy,-0.18759,45.49, ,18.6311
FOX,Fox Corporation,Communication Services,-0.36935,31.55, ,18.6031
RRC,Range Resources Corporation,Energy,-0.21899,27.73, ,16.6742
GHLD,Guild Holdings Company,Financial Services,-0.67249,10.63, ,16.6173
NM,Navios Maritime Holdings Inc.,Industrials,-0.21495,1.68, ,16.5983
DB,Deutsche Bank AG,Financial Services,-0.036,10.61, ,16.4714
TITN,Titan Machinery Inc.,Industrials,-0.16486,28.49, ,15.8429
DHT,DHT Holdings  Inc.,Energy,-0.22221,8.86, ,15.1191
TTEC,TTEC Holdings  Inc.,Technology,-0.68635,34.85, ,15.1024
FOR,Forestar Group Inc,Real Estate,0.04037,21.07,r+,14.742
SNDR,Schneider National  Inc.,Industrials,-0.60511,27.36, ,14.2938
ACMR,ACM Research  Inc.,Technology,-0.25031,11.42, ,12.9615
QDEL,QuidelOrtho Corporation,Healthcare,-0.15692,86.355, ,12.9063
CCS,Century Communities  Inc.,Consumer Cyclical,0.5144,70.13,r+,11.9297
SB,Safe Bulkers  Inc,Industrials,-0.34239,3.38, ,11.2624
TDS,Telephone and Data Systems  Inc,Communication Services,-0.08253,7.64, ,11.1992
SLND,Southland Holdings  Inc.,Industrials,-0.86275,8.84, ,11.1218
MGIC,Magic Software Enterprises Ltd.,Technology,-0.53238,13.93, ,10.9951
FRO,Frontline Plc,Energy,-0.41662,15.37, ,10.8928
COLM,Columbia Sportswear Company,Consumer Cyclical,-0.52175,77.36, ,10.8274
HP,Helmerich & Payne  Inc.,Energy,-0.1873,35.25, ,10.6397
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,0.3899,44.94,r+,10.5376
SLGN,Silgan Holdings Inc.,Consumer Cyclical,-0.2759,47.44, ,10.3671
MOMO,Hello Group Inc.,Communication Services,0.10387,9.99,r+,10.0005
BOKF,BOK Financial Corporation,Financial Services,-0.57372,89.68, ,9.8579
FLWS,1-800-FLOWERS.COM  Inc.,Consumer Cyclical,-0.40356,8.03, ,9.6097
PTSI,P.A.M. Transportation Services ,Industrials,-0.73042,27.29, ,9.5199
RJF,Raymond James Financial  Inc.,Financial Services,-0.14313,100.17, ,8.7687
SATS,EchoStar Corporation,Technology,-0.09061,17.48, ,8.323
DHI,D.R. Horton  Inc.,Consumer Cyclical,0.55809,115.41,r+,8.2876
SCVL,Shoe Carnival  Inc.,Consumer Cyclical,-0.43478,22.3, ,7.5064
PARA,Paramount Global,Communication Services,-0.06657,16.53, ,7.4786
MS,Morgan Stanley,Financial Services,-0.14267,89.05, ,7.2009
NOMD,Nomad Foods Limited,Consumer Defensive,-0.04364,18.04, ,7.1689
ASGN,ASGN Incorporated,Technology,-0.13002,73.03, ,6.8714
MUR,Murphy Oil Corporation,Energy,-0.20213,38.56, ,6.7923
BZH,Beazer Homes USA  Inc.,Consumer Cyclical,0.66274,22.64,r+,6.6669
HTLF,Heartland Financial USA  Inc.,Financial Services,-0.06745,31.0, ,6.6403
CODI,D/B/A Compass Diversified Holdi,Industrials,-0.17712,21.59,r+,6.621
HPK,HighPeak Energy  Inc.,Energy,-0.95638,15.47, ,6.3175
AX,Axos Financial  Inc.,Financial Services,-0.10166,41.19, ,6.1481
IART,Integra LifeSciences Holdings C,Healthcare,-0.1605,41.27, ,5.9152
WRB,W.R. Berkley Corporation,Financial Services,-0.21103,58.4, ,5.7894
LYB,LyondellBasell Industries NV,Basic Materials,-0.16019,91.77, ,5.3214
MET,MetLife  Inc.,Financial Services,-0.10718,55.16, ,5.3003
LOB,Live Oak Bancshares  Inc.,Financial Services,-0.18154,25.63, ,5.1322
KBH,KB Home,Consumer Cyclical,0.59638,50.38,r+,5.0857
THO,Thor Industries  Inc.,Consumer Cyclical,0.13007,97.1, ,5.0533
MEI,Methode Electronics  Inc.,Technology,-0.12007,38.2, ,4.9898
NBR,Nabors Industries Ltd.,Energy,-0.08338,104.9, ,4.8469
HIBB,Hibbett  Inc.,Consumer Cyclical,-0.15127,38.67, ,4.7983
DCOM,Dime Community Bancshares  Inc.,Financial Services,-0.06291,18.55, ,4.7221
AMK,AssetMark Financial Holdings  I,Financial Services,-0.61689,28.57, ,4.5495
ARLP,Alliance Resource Partners  L.P,Energy,-0.4068,17.83, ,4.5399
GOGL,Golden Ocean Group Limited,Industrials,-0.35007,7.89, ,4.4383
RES,RPC  Inc.,Energy,-0.82124,7.81, ,4.3566
VTLE,Vital Energy  Inc.,Energy,-0.11253,42.52, ,4.1942
CHS,Chico's FAS  Inc.,Consumer Cyclical,-0.10035,5.27, ,4.1918
CHK,Chesapeake Energy Corporation,Energy,-0.14244,81.53, ,4.1148
CENT,Central Garden & Pet Company,Consumer Defensive,-0.14992,38.78, ,3.9299
UFPI,UFP Industries  Inc.,Basic Materials,0.02322,89.44, ,3.8721
NMRK,Newmark Group  Inc.,Real Estate,-0.12198,6.44, ,3.8067
AMR,Alpha Metallurgical Resources  ,Basic Materials,-0.17477,158.95, ,3.7938
ESTE,Earthstone Energy  Inc.,Energy,-0.17876,13.47, ,3.7212
GPI,Group 1 Automotive  Inc.,Consumer Cyclical,0.70513,243.66,r+,3.599
NXST,Nexstar Media Group  Inc.,Communication Services,-0.06342,166.9, ,3.4881
EURN,Euronav NV,Energy,-0.7269,16.44, ,3.4795
ARCH,Arch Resources  Inc.,Basic Materials,-0.20266,113.5, ,3.4268
FFWM,First Foundation Inc.,Financial Services,-0.05788,5.12, ,3.4109
LAZY,Lazydays Holdings  Inc.,Consumer Cyclical,-0.14482,11.17, ,3.3319
AGCO,AGCO Corporation,Industrials,-0.08348,131.92, ,3.3093
AOSL,Alpha and Omega Semiconductor L,Technology,-0.32962,29.13, ,3.2639
LU,Lufax Holding Ltd,Financial Services,-0.08089,1.68, ,3.0911
INSW,International Seaways  Inc.,Energy,-0.32889,37.96, ,3.0227
RM,Regional Management Corp.,Financial Services,-0.05964,30.42, ,2.9178
CFB,CrossFirst Bankshares  Inc.,Financial Services,-0.12527,11.35, ,2.888
GSL,Global Ship Lease Inc New,Industrials,0.01134,19.2, ,2.8385
AMRK,A-Mark Precious Metals  Inc.,Financial Services,-0.20267,36.1, ,2.8227
IBTX,Independent Bank Group  Inc,Financial Services,-0.07709,39.39, ,2.819
WIRE,Encore Wire Corporation,Industrials,-0.0064,177.87, ,2.791
RBCAA,Republic Bancorp  Inc.,Financial Services,-0.37753,45.9, ,2.7502
STEL,Stellar Bancorp  Inc.,Financial Services,-0.18695,25.15, ,2.6756
XP,XP Inc.,Financial Services,0.03159,21.86, ,2.6714
TMHC,Taylor Morrison Home Corporatio,Consumer Cyclical,0.69421,47.35, ,2.6241
SSNC,SS&C Technologies Holdings  Inc,Technology,0.02703,60.2, ,2.55
ACGL,Arch Capital Group Ltd.,Financial Services,0.08701,70.15, ,2.4729
ASIX,AdvanSix Inc.,Basic Materials,-0.05581,35.62, ,2.4255
BSBR,Banco Santander Brasil SA,Financial Services,0.77723,6.4,r+,2.4115
TNK,Teekay Tankers Ltd.,Energy,-0.11317,38.34, ,2.3992
