Symbol,Name,Sector,Value,Close,Grade
LEN.B,Lennar Corporation,Consumer Cyclical,17577.15554,88.15,360.271
LEN,Lennar Corporation,Consumer Cyclical,47739.60692,107.4,265.3219
DHI,D.R. Horton  Inc.,Consumer Cyclical,9680.63877,97.38,261.1296
UWMC,UWM Holdings Corporation,Financial Services,59.74559,7.45,247.4503
EBAY,eBay Inc.,Consumer Cyclical,23746.84186,68.89,231.5431
ESGR,Enstar Group Limited,Financial Services,0.82649,258.99,152.8928
LAKE,Lakeland Industries  Inc.,Consumer Cyclical,0.61794,24.29,130.2865
VEDL,Vedanta Limited,Basic Materials,202150.90527,17.45,123.6599
HAPP,Happiness Biotech Group Limited,Healthcare,0.0127,1.12,112.6652
BABA,Alibaba Group Holding Limited,Consumer Cyclical,400.96733,191.66,109.5191
BBY,Best Buy Co.  Inc.,Consumer Cyclical,16658.75396,118.13,105.3059
ZIM,ZIM Integrated Shipping Service,Industrials,8502551778.67461,42.78,101.3601
JEF,Jefferies Financial Group Inc.,Financial Services,1431077.77298,35.42,96.4027
SID,Companhia Siderurgica Nacional ,Basic Materials,125800.53366,8.27,95.3833
FRO,Frontline Ltd.,Energy,119.06382,7.49,93.2437
NUE,Nucor Corporation,Basic Materials,1233100.44509,125.24,92.5413
COF,Capital One Financial Corporati,Financial Services,9083564505180412.0,176.93,91.8155
MS,Morgan Stanley,Financial Services,2.5935791016592778e+17,104.67,84.5526
MHO,M/I Homes  Inc.,Consumer Cyclical,529.63752,64.93,80.1853
PHI,PLDT Inc. Sponsored,Communication Services,19046910.01972,24.46,79.3063
CCS,Century Communities  Inc.,Consumer Cyclical,387.70349,71.73,78.5963
RILY,B. Riley Financial  Inc.,Financial Services,3318097990953.687,66.59,77.9664
APT,Alpha Pro Tech  Ltd.,Industrials,0.05274,9.25,77.9513
JD,JD.com  Inc.,Consumer Cyclical,223.29769,70.53,73.9638
FLGT,Fulgent Genetics  Inc.,Healthcare,149161.69553,99.1,73.1143
YY,JOYY Inc.,Communication Services,0.00018,46.35,72.4954
DAC,Danaos Corporation,Industrials,534.90711,72.03,68.7895
ORAN,Orange,Communication Services,1720822191.528,11.3,66.0729
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,8530246.73367,52.0,65.6111
CI,Cigna Corporation,Healthcare,36201.26887,209.68,63.0454
MTH,Meritage Homes Corporation,Consumer Cyclical,3110.22426,112.98,54.8013
PGR,Progressive Corporation (The),Financial Services,1133802002106.5437,96.94,52.3185
BIO,Bio-Rad Laboratories  Inc.,Healthcare,825647.94845,766.55,52.2431
PKX,POSCO,Basic Materials,994.36873,72.59,51.4959
PCAR,PACCAR Inc.,Industrials,1613090.09993,82.02,49.2696
UHS,Universal Health Services  Inc.,Healthcare,239094.36747,148.65,48.9452
HIMX,Himax Technologies  Inc.,Technology,126.15423,14.26,47.2619
NVR,NVR  Inc.,Consumer Cyclical,4932211.61498,5265.02,46.8627
GGB,Gerdau S.A.,Basic Materials,828985.79386,6.0,45.6774
SBSW,D/B/A Sibanye-Stillwater Limite,Basic Materials,2.68488,16.6,45.5387
FOX,Fox Corporation,Communication Services,6243.3493,34.15,44.6453
TROX,Tronox Holdings plc,Basic Materials,110.54743,18.7,44.4932
LYB,LyondellBasell Industries NV,Basic Materials,792178.81629,105.0,44.1038
BRK.B,Berkshire Hathaway Inc. New,Financial Services,4062598968.59645,290.24,43.4616
DFS,Discover Financial Services,Financial Services,369644474005524.5,134.26,43.3479
CNC,Centene Corporation,Healthcare,11814.74207,63.11,42.7345
AFL,AFLAC Incorporated,Financial Services,95310406.31382,57.36,41.6743
PBFX,PBF Logistics LP,Energy,6745.93963,12.65,41.0155
LPX,Louisiana-Pacific Corporation,Industrials,5029.73272,60.43,40.4275
LMT,Lockheed Martin Corporation,Industrials,30319416.08549,359.75,40.0167
STLD,Steel Dynamics  Inc.,Basic Materials,15012763.03554,72.94,39.7386
QDEL,Quidel Corporation,Healthcare,3.14762,124.73,39.5736
DISH,DISH Network Corporation,Communication Services,2407699.84111,43.11,38.6401
ENVA,Enova International  Inc.,Financial Services,6001321.65761,32.64,37.7775
TX,Ternium S.A. Ternium S.A.,Basic Materials,4677722.21117,55.82,37.4165
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,340060.26676,163.5,35.7047
HTH,Hilltop Holdings Inc.,Financial Services,12359020632.13019,33.27,35.4293
FKWL,Franklin Wireless Corp.,Technology,0.0414,8.35,34.9739
VIACA,ViacomCBS Inc.,Communication Services,402186828885.9427,44.66,32.6075
GS,Goldman Sachs Group  Inc. (The),Financial Services,206909567882.29727,415.0,31.8891
TROW,T. Rowe Price Group  Inc.,Financial Services,8699464.73396,215.59,29.9491
TSM,Taiwan Semiconductor Manufactur,Technology,400.71723,115.7,29.1695
ONEW,OneWater Marine Inc.,Consumer Cyclical,0.01686,45.51,29.0065
INTC,Intel Corporation,Technology,164050888.49159,53.54,28.8281
PHM,PulteGroup  Inc.,Consumer Cyclical,8013.99536,54.46,28.4805
ZUMZ,Zumiez Inc.,Consumer Cyclical,34859.52077,43.36,28.4747
CPB,Campbell Soup Company,Consumer Defensive,38906.34004,42.59,28.1352
COOP,Mr. Cooper Group Inc.,Financial Services,113815842.16179,38.6,27.2024
VALE,VALE S.A.,Basic Materials,37942.3456,20.88,26.8594
ORCL,Oracle Corporation,Technology,2459673649.49512,89.81,26.7847
RS,Reliance Steel & Aluminum Co.,Basic Materials,1910741.92593,158.13,26.3039
BIDU,Baidu  Inc.,Communication Services,1980499615.94234,159.63,25.8065
FHN,First Horizon Corporation,Financial Services,2132630538486480.5,16.38,24.9365
SEB,Seaboard Corporation,Industrials,896.90948,4150.53,24.3945
TSN,Tyson Foods  Inc.,Consumer Defensive,16087634.84714,80.04,23.8749
MT,Arcelor Mittal NY Registry Shar,Basic Materials,21591738.42905,36.22,22.698
UNH,UnitedHealth Group Incorporated,Healthcare,192671518.84383,405.96,22.2849
BTG,B2Gold Corp,Basic Materials,161.84422,3.84,22.1569
FOXA,Fox Corporation,Communication Services,262812.82261,37.03,22.0891
TPC,Tutor Perini Corporation,Industrials,18014.51881,14.64,21.8524
REGN,Regeneron Pharmaceuticals  Inc.,Healthcare,28925486.94118,608.0,21.8315
CDK,CDK Global  Inc.,Technology,451.42787,46.46,21.4032
HMLP,Hoegh LNG Partners LP,Energy,467.58092,4.9,21.3407
SKM,SK Telecom Co.  Ltd.,Communication Services,56117.33306,29.53,21.1466
NUS,Nu Skin Enterprises  Inc.,Consumer Defensive,33808.01509,53.02,20.1256
CE,Celanese Corporation Celanese C,Basic Materials,87414248.37038,162.82,19.5087
CHKP,Check Point Software Technologi,Technology,1109836.93164,122.46,19.433
OMF,OneMain Holdings  Inc.,Financial Services,2676464128.80581,57.99,19.2074
CE,Celanese Corporation Celanese C,Basic Materials,107882919.44778,162.82,18.8566
LOGI,Logitech International S.A. - R,Technology,111461.89181,108.79,18.7379
MX,Magnachip Semiconductor Corpora,Technology,880423.59278,19.12,18.4304
ELP,Companhia Paranaense de Energia,Utilities,591079552.3345,5.99,17.7672
WMT,Walmart Inc.,Consumer Defensive,471841756.34873,149.06,17.6846
FDX,FedEx Corporation,Industrials,249995.24926,276.1,17.3706
BAC,Bank of America Corporation,Financial Services,5.302451903904062e+22,42.15,17.0109
ACGL,Arch Capital Group Ltd.,Financial Services,750503.08321,41.66,16.965
FF,FutureFuel Corp.,Basic Materials,42096.06238,8.45,16.7173
ZION,Zions Bancorporation N.A.,Financial Services,5.547799273992884e+20,55.94,16.6758
BLDR,Builders FirstSource  Inc.,Industrials,6902843.8936,51.9,16.6047
GD,General Dynamics Corporation,Industrials,7102859729.76561,199.17,16.5083
GTN,Gray Television  Inc.,Communication Services,3627682.12511,22.18,16.4705
SONY,Sony Group Corporation,Technology,36608410.89681,100.2,16.4163
C,Citigroup  Inc.,Financial Services,169623032505252.1,74.13,16.3531
RIO,Rio Tinto Plc,Basic Materials,10455737026.37807,79.16,16.3174
CACC,Credit Acceptance Corporation,Financial Services,26625301777.68254,557.68,16.1816
BOKF,BOK Financial Corporation,Financial Services,2.2615253508086166e+17,88.68,15.9261
TOL,Toll Brothers  Inc.,Consumer Cyclical,335071.71463,60.77,15.6434
ZM,Zoom Video Communications  Inc.,Technology,149902295.99291,362.86,15.3937
SNX,Synnex Corporation,Technology,66353.0166,126.47,15.0264
SLM,SLM Corporation,Financial Services,954769734809703.6,18.81,14.8298
LDOS,Leidos Holdings  Inc.,Technology,4693535.404,95.89,14.6918
VZ,Verizon Communications Inc.,Communication Services,4566148347.85787,55.64,14.6601
SRE,DBA Sempra,Utilities,920427791.60638,132.42,14.6544
CEPU,Central Puerto S.A.,Utilities,49543.43821,2.7,14.4945
HOLX,Hologic  Inc.,Healthcare,7051611.83025,76.81,14.3399
GHC,Graham Holdings Company,Consumer Defensive,1364585.20824,620.57,14.002
MBT,Mobile TeleSystems PJSC,Communication Services,2096079265.34128,8.62,13.8462
ASX,ASE Technology Holding Co.  Ltd,Technology,1019077.84075,9.11,13.8264
ATH,Athene Holding Ltd.,Financial Services,407878363.73796,65.06,13.7758
DGX,Quest Diagnostics Incorporated,Healthcare,194677802832.19955,148.07,13.6387
JPM,JP Morgan Chase & Co.,Financial Services,3.462092331861882e+20,161.79,12.656
ALL,Allstate Corporation (The),Financial Services,3170230671.88814,135.25,12.2275
PB,Prosperity Bancshares  Inc.,Financial Services,1.2754063189908672e+16,70.85,12.092
SYF,Synchrony Financial,Financial Services,88431578171357.2,51.62,11.7959
IRCP,IRSA Propiedades Comerciales S.,Real Estate,2227114582.72133,2.37,11.6794
NVO,Novo Nordisk A/S,Healthcare,55102352905.27705,101.77,11.4337
VMW,Vmware  Inc.,Technology,40673545.5491,156.61,11.3898
ALGN,Align Technology  Inc.,Healthcare,959359713454.5247,704.27,11.1241
CB,Chubb Limited,Financial Services,561278382.90735,181.68,10.9062
TRV,The Travelers Companies  Inc.,Financial Services,283286155.78602,156.49,10.555
KNOP,KNOT Offshore Partners LP,Industrials,16964294.79682,18.58,10.5391
CDW,CDW Corporation,Technology,3158125653.18486,197.91,10.394
AVGO,Broadcom Inc.,Technology,3312758047.2858,484.26,10.3602
WTFC,Wintrust Financial Corporation,Financial Services,5417717683017388.0,75.23,10.3597
MFC,Manulife Financial Corporation,Financial Services,427657868.51295,20.45,10.3475
ALLY,Ally Financial Inc.,Financial Services,1.7386848006873293e+19,54.29,10.2347
GRVY,GRAVITY Co.  Ltd.,Communication Services,0.02475,98.69,10.0672
ABEV,Ambev S.A.,Consumer Defensive,29295590059.96288,3.12,10.0101
SNDR,Schneider National  Inc.,Industrials,27377.92158,22.17,9.9581
WY,Weyerhaeuser Company,Real Estate,942109.58103,35.02,9.9215
THO,Thor Industries  Inc.,Consumer Cyclical,28831.87509,121.58,9.8787
WAL,Western Alliance Bancorporation,Financial Services,1.208957877553923e+21,101.11,9.8624
DD,DuPont de Nemours  Inc.,Basic Materials,14259735753.80117,78.0,9.7935
SCI,Service Corporation Internation,Consumer Cyclical,17416321005.7806,65.13,9.3953
GFI,Gold Fields Limited,Basic Materials,5131607.52997,8.62,8.999
FCNCA,First Citizens BancShares  Inc.,Financial Services,1.1415037949817222e+24,876.47,8.939
TDS,Telephone and Data Systems  Inc,Communication Services,71409.92801,20.44,8.9172
RF,Regions Financial Corporation,Financial Services,2.6191845053297543e+23,20.79,8.8115
ARW,Arrow Electronics  Inc.,Technology,4267378.36229,117.78,8.6682
MKSI,MKS Instruments  Inc.,Technology,831284.24949,146.86,8.5638
TSCO,Tractor Supply Company,Consumer Cyclical,218138596.8663,193.53,8.5419
VICI,VICI Properties Inc.,Real Estate,9005267.77294,30.22,8.4965
LEJU,Leju Holdings Limited,Real Estate,66220.02617,1.62,8.4446
COO,The Cooper Companies  Inc.,Healthcare,4217681936.97812,440.12,8.1759
PNFP,Pinnacle Financial Partners  In,Financial Services,1.4381028360468066e+17,96.5,8.1573
TKC,Turkcell Iletisim Hizmetleri AS,Communication Services,141959709532.07816,4.61,8.1159
BTI,British American Tobacco  Indus,Consumer Defensive,905015942723.469,37.2,8.0461
RE,Everest Re Group  Ltd.,Financial Services,1005364606.24052,271.42,7.8029
SUPN,Supernus Pharmaceuticals  Inc.,Healthcare,43373856.19238,24.89,7.7063
INVA,Innoviva  Inc.,Healthcare,2754034569.11156,15.83,7.6813
ADM,Archer-Daniels-Midland Company,Consumer Defensive,2080454536410.1094,61.82,7.5727
KNX,Knight-Swift Transportation Hol,Industrials,1121805.35069,49.79,7.3836
CIG,Comp En De Mn Cemig,Utilities,2358574.64278,2.11,7.115
TM,Toyota Motor Corporation,Consumer Cyclical,164068567.83455,180.94,7.0933
NOC,Northrop Grumman Corporation,Industrials,340820220.78785,363.86,7.0374
LH,Laboratory Corporation of Ameri,Healthcare,1621039413680.688,300.52,6.9909
ETR,Entergy Corporation,Utilities,58651045590.67614,108.69,6.931
NTES,NetEase  Inc.,Communication Services,2484418411425.0723,92.0,6.7842
WPM,Wheaton Precious Metals Corp,Basic Materials,6972995.70836,42.97,6.6636
BLK,BlackRock  Inc.,Financial Services,275671611867.42035,918.54,6.6326
SWK,Stanley Black & Decker  Inc.,Industrials,64054911.4783,200.79,6.4706
HUN,Huntsman Corporation,Basic Materials,62769433.31375,25.96,6.3601
FB,Facebook  Inc.,Communication Services,79186866.6637,362.65,6.2868
FDUS,Fidus Investment Corporation,Financial Services,557588674866.3295,17.81,6.1188
BMA,Banco Macro S.A.,Financial Services,4216744983633.5273,14.86,6.0695
AKAM,Akamai Technologies  Inc.,Technology,119442035.10927,117.28,6.0261
FTV,Fortive Corporation,Technology,917405607.39305,75.61,6.0178
AGO,Assured Guaranty Ltd.,Financial Services,267527964094735.06,50.15,5.8584
ACN,Accenture plc,Technology,32010032634.27245,321.76,5.8349
GRMN,Garmin Ltd.,Technology,64718949.07764,165.95,5.7472
ZTO,ZTO Express (Cayman) Inc.,Industrials,29889.59343,27.37,5.5996
ANTM,Anthem  Inc.,Healthcare,39617937.84545,367.63,5.563
LRCX,Lam Research Corporation,Technology,77739655.7498,583.51,5.4686
TTEC,TTEC Holdings  Inc.,Technology,3718023.17313,105.55,5.2367
BIIB,Biogen Inc.,Healthcare,258496386255024.84,340.68,5.1015
HD,Home Depot  Inc. (The),Consumer Cyclical,15741600038.05971,334.02,4.4766
QRVO,Qorvo  Inc.,Technology,42835212.78116,188.13,4.3838
PEG,Public Service Enterprise Group,Utilities,418080765325.04816,63.85,4.363
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,661196.81601,194.81,4.35
EXR,Extra Space Storage Inc,Real Estate,427992038421.0179,174.66,4.3107
TRP,TC Energy Corporation,Energy,54061921896.38057,48.12,4.2532
CPRX,Catalyst Pharmaceuticals  Inc.,Healthcare,118002.79038,5.97,4.2312
ICE,Intercontinental Exchange Inc.,Financial Services,8974391114496.57,118.04,4.231
WFC,Wells Fargo & Company,Financial Services,1.6033308810629608e+24,51.15,4.1118
TGT,Target Corporation,Consumer Defensive,294100779.08652,261.88,3.9406
STZ,Constellation Brands  Inc.,Consumer Defensive,258606393.92284,211.94,3.9136
TMO,Thermo Fisher Scientific Inc,Healthcare,2593417625.7475,542.01,3.911
BPOP,Popular  Inc.,Financial Services,1.8519996828665437e+17,77.41,3.8658
OPRA,Opera Limited,Technology,2537729.52187,9.5,3.8471
GLPI,Gaming and Leisure Properties  ,Real Estate,134429837218.07591,48.32,3.8158
AMG,Affiliated Managers Group  Inc.,Financial Services,35852682.84417,170.48,3.6907
CDNS,Cadence Design Systems  Inc.,Technology,88162262036.69821,152.26,3.6716
TXN,Texas Instruments Incorporated,Technology,14386380454.67036,187.87,3.5746
RKT,Rocket Companies  Inc.,Financial Services,473483139.79933,17.47,3.5597
SCHW,Charles Schwab Corporation (The,Financial Services,4.743193468471405e+18,75.42,3.3406
KLAC,KLA Corporation,Technology,348765292.815,327.46,3.3346
HMY,Harmony Gold Mining Company Lim,Basic Materials,11.70185,3.49,3.2078
CMCSA,Comcast Corporation,Communication Services,5678266670.99387,59.03,3.1766
AL,Air Lease Corporation,Industrials,9869637505780.543,43.51,3.1546
NBIX,Neurocrine Biosciences  Inc.,Healthcare,253326.28363,86.68,3.0663
MSFT,Microsoft Corporation,Technology,112456063470.7481,289.81,3.0245
DG,Dollar General Corporation,Consumer Defensive,6892132580.73057,236.28,2.917
MARA,Marathon Digital Holdings  Inc.,Financial Services,1802770026.3262,33.84,2.6977
MU,Micron Technology  Inc.,Technology,4288556.80089,70.25,2.6551
MMM,3M Company,Industrials,44335500687.41405,201.43,2.6414
ARE,Alexandria Real Estate Equities,Real Estate,25133714922675.766,204.6,2.6411
OLP,One Liberty Properties  Inc.,Real Estate,3326797744.28922,30.31,2.6391
JAZZ,Jazz Pharmaceuticals plc,Healthcare,12446836.25544,145.65,2.5602
TRQ,Turquoise Hill Resources Ltd.,Basic Materials,9417502622627860.0,15.56,2.3357
GIS,General Mills  Inc.,Consumer Defensive,4623166710.33388,58.95,2.0667
LITE,Lumentum Holdings Inc.,Technology,466556.896,79.11,2.0598
PNC,PNC Financial Services Group  I,Financial Services,9.896986322166503e+25,193.4,2.0299
BWXT,BWX Technologies  Inc.,Industrials,254105324.44291,55.66,2.0108
VIV,Telefonica Brasil S.A.,Communication Services,7105408021009.781,7.93,1.9736
OZK,Bank OZK,Financial Services,2.7407101259350415e+18,43.54,1.9228
KGC,Kinross Gold Corporation,Basic Materials,500856031966603.06,5.93,1.8791
ATVI,Activision Blizzard  Inc,Communication Services,50930429.49707,85.17,1.8618
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,6991329.77052,41.45,1.8274
USB,U.S. Bancorp,Financial Services,8.086500763174091e+20,58.85,1.8181
AMGN,Amgen Inc.,Healthcare,14517982127.74879,228.15,1.796
PG,Procter & Gamble Company (The),Consumer Defensive,32013324678.22756,142.95,1.6924
NEM,Newmont Corporation,Basic Materials,7137547.10366,58.35,1.665
RNR,RenaissanceRe Holdings Ltd.,Financial Services,5098001519.16451,159.87,1.6481
MCO,Moody's Corporation,Financial Services,87257616514.78813,378.93,1.6475
KIM,Kimco Realty Corporation,Real Estate,2474896842203.545,21.97,1.6371
WPC,W. P. Carey Inc. REIT,Real Estate,171859490527542.88,78.19,1.6328
MRCY,Mercury Systems Inc,Industrials,66642527.5964,53.4,1.5702
AMCR,Amcor plc,Consumer Cyclical,688716411.55735,12.05,1.5523
PBCT,People's,Financial Services,3.625277737075453e+16,16.61,1.4539
TLK,PT Telekomunikasi Indonesia  Tb,Communication Services,1.9557024504237353e+20,23.17,1.4491
GIB,CGI Inc.,Technology,2874183783.21536,89.48,1.4022
FRC,FIRST REPUBLIC BANK,Financial Services,5.974806312977631e+24,200.16,1.3545
LOPE,Grand Canyon Education  Inc.,Consumer Defensive,336158.08336,87.65,1.336
STT,State Street Corporation,Financial Services,8.339389633961332e+24,91.46,1.2222
FCPT,Four Corners Property Trust  In,Real Estate,209840846927.4612,27.35,1.1748
TRNO,Terreno Realty Corporation,Real Estate,175921989267.4037,67.25,1.1409
AMAT,Applied Materials  Inc.,Technology,547563372.19726,129.22,1.1381
AZPN,Aspen Technology  Inc.,Technology,97548754.89887,125.87,1.1278
AAPL,Apple Inc.,Technology,248596747116.8446,148.89,1.039
BMRN,BioMarin Pharmaceutical Inc.,Healthcare,1911951635039.3015,75.39,1.0039
SMFG,Sumitomo Mitsui Financial Group,Financial Services,9.374580608771075e+17,7.09,0.9349
QCOM,QUALCOMM Incorporated,Technology,1506633052.87634,147.15,0.934
