Symbol,Name,Sector,Value,Close,Grade
LEN.B,Lennar Corporation,Consumer Cyclical,17577.15554/-0.30569,88.15,696.9399
DHI,D.R. Horton  Inc.,Consumer Cyclical,9680.63877/-0.41667,97.38,514.4045
EBAY,eBay Inc.,Consumer Cyclical,23746.84186/-0.87137,68.89,494.2292
LEN,Lennar Corporation,Consumer Cyclical,47739.60692/0.12819,107.4,480.6878
UWMC,UWM Holdings Corporation,Financial Services,59.74559/-0.09424,7.45,430.2376
ESGR,Enstar Group Limited,Financial Services,0.82649/-0.05759,258.99,256.1159
LAKE,Lakeland Industries  Inc.,Consumer Cyclical,0.61794/-0.78063,24.29,249.3804
HAPP,Happiness Biotech Group Limited,Healthcare,0.0127/-0.95135,1.12,220.6118
BABA,Alibaba Group Holding Limited,Consumer Cyclical,400.96733/-0.5018,191.66,217.6654
BBY,Best Buy Co.  Inc.,Consumer Cyclical,16658.75396/-0.41781,118.13,214.8328
SID,Companhia Siderurgica Nacional ,Basic Materials,125800.53366/-0.86874,8.27,205.9911
VEDL,Vedanta Limited,Basic Materials,202150.90527/0.50698,17.45,204.7169
FRO,Frontline Ltd.,Energy,119.06382/-0.9447,7.49,187.8787
RILY,B. Riley Financial  Inc.,Financial Services,3318097990953.687/0.28189,66.59,185.5004
JEF,Jefferies Financial Group Inc.,Financial Services,1431077.77298/0.34941,35.42,174.181
ZIM,ZIM Integrated Shipping Service,Industrials,8502551778.67461/0.92952,42.78,173.4221
FLGT,Fulgent Genetics  Inc.,Healthcare,149161.69553/-1.56903,99.1,173.3016
MS,Morgan Stanley,Financial Services,2.5935791016592778e+17/1.65011,104.67,171.8037
PHI,PLDT Inc. Sponsored,Communication Services,19046910.01972/-0.37246,24.46,170.4509
NUE,Nucor Corporation,Basic Materials,1233100.44509/0.22425,125.24,165.5602
MHO,M/I Homes  Inc.,Consumer Cyclical,529.63752/-0.38681,64.93,158.794
APT,Alpha Pro Tech  Ltd.,Industrials,0.05274/-1.22821,9.25,157.5891
CCS,Century Communities  Inc.,Consumer Cyclical,387.70349/-0.41446,71.73,155.2474
COF,Capital One Financial Corporati,Financial Services,9083564505180412.0/1.72419,176.93,152.2321
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,8530246.73367/-0.3263,52.0,151.6485
DAC,Danaos Corporation,Industrials,534.90711/-1.48065,72.03,146.9043
JD,JD.com  Inc.,Consumer Cyclical,223.29769/-0.51146,70.53,145.8242
ORAN,Orange,Communication Services,1720822191.528/-0.20742,11.3,141.0088
PGR,Progressive Corporation (The),Financial Services,1133802002106.5437/-0.29858,96.94,140.415
YY,JOYY Inc.,Communication Services,0.00018/-0.8972,46.35,139.9027
CI,Cigna Corporation,Healthcare,36201.26887/-0.338,209.68,125.6722
BIO,Bio-Rad Laboratories  Inc.,Healthcare,825647.94845/-0.63487,766.55,112.9161
PKX,POSCO,Basic Materials,994.36873/-0.96885,72.59,105.0669
PCAR,PACCAR Inc.,Industrials,1613090.09993/-0.21786,82.02,103.4324
UHS,Universal Health Services  Inc.,Healthcare,239094.36747/-0.26523,148.65,101.7371
MTH,Meritage Homes Corporation,Consumer Cyclical,3110.22426/-0.20213,112.98,100.9622
GGB,Gerdau S.A.,Basic Materials,828985.79386/-0.37432,6.0,96.7203
HIMX,Himax Technologies  Inc.,Technology,126.15423/-0.92011,14.26,94.7848
LYB,LyondellBasell Industries NV,Basic Materials,792178.81629/-0.31471,105.0,92.8368
VIACA,ViacomCBS Inc.,Communication Services,402186828885.9427/-0.21835,44.66,91.2151
NVR,NVR  Inc.,Consumer Cyclical,4932211.61498/0.22167,5265.02,91.0433
FOX,Fox Corporation,Communication Services,6243.3493/-0.76072,34.15,90.2167
PBFX,PBF Logistics LP,Energy,6745.93963/-1.09381,12.65,89.4881
LMT,Lockheed Martin Corporation,Industrials,30319416.08549/-0.41297,359.75,88.4587
TROX,Tronox Holdings plc,Basic Materials,110.54743/-0.73978,18.7,86.4977
CNC,Centene Corporation,Healthcare,11814.74207/-0.38395,63.11,83.6736
LPX,Louisiana-Pacific Corporation,Industrials,5029.73272/-0.84285,60.43,82.9956
BRK.B,Berkshire Hathaway Inc. New,Financial Services,4062598968.59645/0.33362,290.24,82.9089
QDEL,Quidel Corporation,Healthcare,3.14762/-1.26558,124.73,81.573
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,340060.26676/-0.45107,163.5,78.893
SBSW,D/B/A Sibanye-Stillwater Limite,Basic Materials,2.68488/-0.16196,16.6,78.363
DISH,DISH Network Corporation,Communication Services,2407699.84111/-0.1607,43.11,77.945
CE,Celanese Corporation Celanese C,Basic Materials,87414248.37038/107882919.44778/-0.09533/-0.08707,162.82,75.9438
