"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
GRVY,"GRAVITY Co., Ltd.",Communication Services,South Korea,0.0024676,306521374.0709333,41801878.8129067,91979985.3659733,345222449.0584,53322706.0352,408732135.812,53322706.0352,408732135.812,345222449.0584,306521374.0709333,41801878.8129067,345222449.0584,53322706.0352,53322706.0352,345222449.0584,-0.432,1.6529739,10.179745,10.179745,10.179745,0.0014057,10.179745,-1.938,10.701702,-147224899.8968008,0,69248287866.66667,0,0.15446,4.9895654,34.8046875,0.3769318,2.5,2.9909408,0.09078,1.23e-05,0,8.067,84.2,0.0958076,0.0032256,6948900,62703087616,9023.4551679,279,570643712,570643712,224742249.5197133,48.72,0.2915506,0.5981389,0.2915506,0.5981389,0.2915506,36.6895347,60.8218868,0.2915506,5.6495427,0.2774564,0.2774564,43224203.5406933,10806050.8851733,13.2019486,52.8077943,52.8077943,0.681515,0.5153473,0.5153473,0.718877,KRW,USD,0.0008504,1.0,0,0,0,0,84.2,80.1,239.9,121.77072,-30.8536568,5.1186017,-64.9020425,0.0513141,0.0523141,2.7359873,2.9503038,0.1627407,0.1125896,4.8992233,2.6094564,2.6753387,2.8994518,2.9603038,0.1225896,2.6194564,2.9094518,2.9348778,186345939.93952,212974002.7451733,212974002.7451733,117601331.1586133,140345197.0666667,140345197.0666667,0.3503719,0.4799397,125909840800.0,150378130666.66666,150378130666.66666,68596717.98464,72233929.3550933,72233929.3550933,29.2244877,None
APT,"Alpha Pro Tech, Ltd.",Industrials,Canada,0.0079757,76368866.6666667,15904733.3333333,46024733.3333333,102700000.0,27087000.0,193217000.0,27087000.0,193217000.0,102700000.0,76368866.6666667,15904733.3333333,102700000.0,27087000.0,27087000.0,102700000.0,0.982,0.982,4.0463915,6.7672415,4.3864978,1.0319118,4.3864978,3.123,3.1228983,32309895.6131924,32312000.0,19060533.3333333,32312000.0,0.26374,1.2096207,5.625,0.6511783,2.5,0.9249399,0.43864,0.09768,1.16,1.94,7.92,0.2449495,1.7553667,13500300,27086000,2.0063258,115,100897232,105977352,235530.4347826,21.143,0.6948521,4.5923708,0.6948521,4.5923708,0.6948521,17.0053427,41.4875347,0.6948521,8.5857791,0.2579482,0.2579482,11106933.3333333,18274000.0,9.0841665,5.5213545,5.5213545,0.13157,0.1870281,0.1870281,0.4334674,USD,USD,1.0,1.0,0,0,0,0,7.92,6.97,20.54,10.15942,-22.0427938,13.6298422,-61.4410906,0.1400147,0.1410147,9.2949497,6.773578,0.0316297,0.1265186,0.0,0.0,10.5378422,7.6063194,6.783578,0.1365186,0.01,7.6163194,7.1999487,53694266.6666667,65567266.6666667,65567266.6666667,47251933.3333333,55535333.3333333,55535333.3333333,0.5131177,0.5877435,37594200.0,45333733.3333333,45333733.3333333,6442333.3333333,10031933.3333333,10031933.3333333,3.8060701,None
FKWL,Franklin Wireless Corp.,Technology,United States,0.0226173,57010078.2666667,2399299.6,15832492.5333333,210539968.0,21443018.0,110525091.0,21443018.0,110525091.0,210539968.0,57010078.2666667,2399299.6,210539968.0,21443018.0,21443018.0,210539968.0,0.22,0.22,4.077004,14.584907,5.3904919,0.4255392,5.3904919,1.625,1.6164271,28793781.3461538,29097591.0,3671533.5333333,29097591.0,0.10185,0.04602,1.0,0.2409411,2.5,0.1833549,0.25572,0.21645,0.53,1.896,8.02,0.236409,2.004668,11590300,21443018,1.8500831,71,46296204,89593016,302014.3380282,2.985,0.6113045,0.6113421,0.6113045,0.6113421,0.6113045,2.3915855,15.7147519,0.6113045,8.0685962,2.2539407,2.2539407,11773717.8,40586575.0,3.9321653,1.1406778,1.1406778,1.3820888,1.1647621,1.1647621,1.0802414,USD,USD,1.0,1.0,0,0,0,0,8.02,7.725,28.14,13.41058,-40.1964717,3.8187702,-71.4996446,0.0289003,0.0299003,2.3195111,2.0620358,0.2354204,0.0250702,0.0,0.0,2.0378287,2.0055739,2.0720358,0.0350702,0.01,2.0155739,2.0438049,46033264.0666667,86293769.2666667,86293769.2666667,18153766.6666667,40492230.9333333,40492230.9333333,0.3484886,0.6295588,15685978.8,38809737.2666667,38809737.2666667,27142467.2666667,44546473.4666667,44546473.4666667,2.6609143,None
LAKE,"Lakeland Industries, Inc.",Consumer Cyclical,United States,0.4234019,133149666.6666667,19822000.0,35550733.3333333,147510000.0,31113000.0,190387000.0,31113000.0,190387000.0,147510000.0,133149666.6666667,19822000.0,147510000.0,31113000.0,31113000.0,147510000.0,0.82,0.82,6.0010495,11.492463,6.6874762,1.2454376,6.6874762,3.097,3.0931666,39135117.8559897,39232000.0,27662666.6666667,39232000.0,0.21092,6.0114571,34.8046875,0.4424422,2.5,3.6016618,0.70113,0.03026,1.99,3.811,23.22,0.1641258,1.4422653,8032990,31113000,3.8731531,2000,120901416,183714496,15556.5,-0.462,0.3012205,6.2303795,0.3012205,6.2303795,0.3012205,1.2110949,11.2549756,0.3012205,5.7383563,0.68,0.68,22927066.6666667,38731000.0,5.273305,3.1215671,3.1215671,0.1466175,0.1445198,0.1445198,0.3811576,USD,USD,1.0,1.0,0,0,0,0,23.22,17.88,47.95,27.312681,-14.9845451,29.8657718,-51.5745568,0.3551713,0.3561713,7.8726266,7.96264,2.2666232,1.7072113,0.0,0.0,7.39237,7.6240065,7.97264,1.7172113,0.01,7.6340065,7.8033233,120066466.6666667,140414533.3333333,140414533.3333333,104856533.3333333,122754066.6666667,122754066.6666667,0.3215796,0.353458,88638466.6666667,107886733.3333333,107886733.3333333,15209933.3333333,17660466.6666667,17660466.6666667,3.3214595,None
JD,"JD.com, Inc.",Consumer Cyclical,China,1.8478208,98213694538.81787,4508247544.609034,2084661812.542833,123703683090.793,8005212993.1085,6002283074.2095,8005212993.1085,6002283074.2095,123703683090.793,98213694538.81787,4508247544.609034,123703683090.793,8005212993.1085,8005212993.1085,123703683090.793,0.061,0.061,12.239717,25.698345,13.9220455,0.1207734,13.9220455,2.998,2.9951421,16309446035.69046,16340541000.0,12475360000.0,16340541000.0,0.06471,0.1205889,2.25,0.1241288,2.5,0.124629,0.42067,0.07018,2.42,5.081,65.53,0.077537,0.5099046,1558989952,51949686784,33.3226566,310000,48802496512,96953581568,167579.6347871,2.372,0.277654,1.8972295,0.277654,1.8972295,0.277654,2.2533074,15.2610205,0.277654,5.5192886,2.16,2.16,5219717830.0838995,5636508280.91,9.3496427,8.6582853,8.6582853,1.5528451,1.0917662,1.0917662,1.0458762,CNY,USD,0.1540955,1.0,0,0,0,0,65.53,61.65,108.29,79.50406,-17.5765363,6.2935929,-39.4865639,0.1663808,0.1673808,1.861604,2.1030593,0.2703681,0.5141661,3.3694617,3.9921318,1.1650639,1.347972,2.1130593,0.5241661,4.0021318,1.357972,1.7355156,51566331643.89893,62770520495.25183,62770520495.25183,20539420014.1,27706506627.3164,27706506627.3164,0.2275314,0.388929,29823498333.333332,57957144533.333336,57957144533.333336,27101155738.5985,29881040613.205166,29881040613.205166,2.4529168,None
QDEL,Quidel Corporation,Healthcare,United States,2.8256683,1117014466.6666667,460945400.0,547307333.3333334,1862353000.0,948134000.0,2785440000.0,948134000.0,2785440000.0,1862353000.0,1117014466.6666667,460945400.0,1862353000.0,948134000.0,948134000.0,1862353000.0,2.273,2.273,6.146029,9.948651,6.6213568,2.6112487,6.6213568,3.293,3.2936041,1284835444.2757363,1284364000.0,660508066.6666666,1284364000.0,0.5091,0.8981108,2.25,1.2384561,2.5,1.0470209,0.86737,0.11936,11.49,18.599,118.05,0.1575519,3.6273918,42542800,948134016,22.2865918,1370,4232515584,4863067136,692068.6248175,3.426,1.3364244,5.9161949,1.3364244,5.9161949,1.3364244,4.0485487,20.3710058,1.3364244,11.8103825,2.65,2.65,391762866.6666667,1154040000.0,10.8037692,3.667564,3.667564,0.7098814,0.4274757,0.4274757,0.6548163,USD,USD,1.0,1.0,0,0,0,0,118.05,103.31,288.7,137.55696,-14.1810055,14.2677379,-59.1098026,0.1590161,0.1600161,2.9156685,3.3634146,0.2002082,0.0200125,0.4073371,0.516872,2.6123727,3.2364357,3.3734146,0.0300125,0.526872,3.2464357,3.3099251,1410718200.0,1849017000.0,1849017000.0,931945066.6666666,1303915133.3333333,1303915133.3333333,0.6127773,0.8271439,473271800.0,757869266.6666666,757869266.6666666,478773133.3333333,545101866.6666666,545101866.6666666,3.3546994,None
BABA,Alibaba Group Holding Limited,Consumer Cyclical,China,7.5379062,90208635733.66667,20979804407.033333,70373925260.16667,110531007099.5,23203392199.0,320413546869.0,23203392199.0,320413546869.0,110531007099.5,90208635733.66667,20979804407.033333,110531007099.5,23203392199.0,23203392199.0,110531007099.5,0.581,0.581,19.031532,13.480269,18.3376241,0.6071358,18.3376241,3.243,3.2431064,128502436057.97101,128494000000.0,124391866666.66667,128494000000.0,0.20993,3.5150485,15.46875,0.126102,1.0,2.0965937,0.35699,0.10184,11.91,8.436,172.35,0.0489469,0.4645396,2712499968,150307995648,55.4130866,251462,416760758272,435491864576,597736.4200078,0.2574979,0.4057023,0.2574979,0.4057023,0.2574979,0.4057023,0.2574979,5.324425,0.4057023,6.6194765,1.32,1.32,30865030732.033333,35717179563.0,13.5026841,11.6683558,11.6683558,0.653922,0.6183489,0.6183489,0.7873516,CNY,USD,0.1540955,1.0,0,0,0,0,172.35,159.51,319.32,224.35262,-23.1789671,8.0496521,-46.0259301,0.1606908,0.1616908,2.7878032,2.8606408,0.929097,1.4102718,0.9574566,1.3133663,1.7192748,1.7515128,2.8706408,1.4202718,1.3233663,1.7615128,2.3160768,220058236112.0,249626871675.56668,249626871675.56668,121958369823.33333,141475212099.43332,141475212099.43332,0.1929523,0.2640103,217231533333.33334,256632333333.33334,256632333333.33334,78953151130.53334,87699478161.1,87699478161.1,2.855112,None
ZUMZ,Zumiez Inc.,Consumer Cyclical,United States,11517.5677994,996424466.6666666,66303466.6666667,335446200.0,1131949000.0,123713000.0,1431768000.0,123713000.0,1431768000.0,1131949000.0,996424466.6666666,66303466.6666667,1131949000.0,123713000.0,123713000.0,1131949000.0,1.032,1.032,8.472824,9.832134,8.6427377,0.9338062,8.6427377,6.225,6.2429517,186651534.6987952,185575000.0,114001200.0,185575000.0,0.10929,1.1233977,15.46875,0.2648692,2.5,0.7432313,0.81807,0.14829,4.17,4.839,40.42,0.119718,1.8168122,25781000,123713000,4.7986114,2300,1168607232,1057020992,53788.2608696,0.3149428,7.24e-05,0.3149428,7.24e-05,0.3149428,7.24e-05,0.3149428,5.8619767,7.24e-05,0.3350736,0.61,0.61,115194133.3333333,182879000.0,10.1446766,6.390057,6.390057,0.7580706,0.8079116,0.8079116,0.899839,USD,USD,1.0,1.0,0,0,0,0,40.42,22.48,52,44.975433,-10.128714,79.8042705,-22.2692308,1.2154472,3.2241593,2.5029684,2.2494435,0.0,0.0,3.5648102,4.4337277,2.8055598,2.7580105,2.2594435,0.01,4.4437277,2.7680105,2.513727,880788933.3333334,1001406133.3333334,1001406133.3333334,496129266.6666667,555535333.3333334,555535333.3333334,0.2235393,0.3226915,291877466.6666667,345682666.6666667,345682666.6666667,384659666.6666667,445870800.0,445870800.0,2.3629971,None
CNC,Centene Corporation,Healthcare,United States,14238.6094142,85054800000.0,1491733333.3333333,5623066666.666667,108147000000.0,2461000000.0,27323000000.0,2461000000.0,27323000000.0,108147000000.0,85054800000.0,1491733333.3333333,108147000000.0,2461000000.0,2461000000.0,108147000000.0,0.456,0.456,15.263913,11.192644,14.7550044,0.3443701,14.7550044,8.12,8.1200746,6072111574.384237,6072000000.0,4194933333.3333335,6072000000.0,0.02276,0.2713068,15.46875,0.0189531,1.0,0.1742429,0.93881,0.01179,5.71,4.187,63.82,0.0656064,1.4136878,582734976,2460999936,4.223189,71300,49306451968,37242593280,34516.1281346,14.196,0.3743796,0.3567361,0.3743796,0.3567361,0.3743796,10.736184,33.0161167,0.3743796,6.3686565,1.21,1.21,3594200000.0,5786000000.0,13.7183384,8.521682,8.521682,1.8746725,1.663149,1.663149,1.2906313,USD,USD,1.0,1.0,0,0,0,0,63.82,53.6,75.59,66.66471,-4.2671902,19.0671642,-15.5708427,0.9295134,0.9305134,1.5479663,1.6055801,2.5634799,2.9080826,0.6961938,0.4294043,1.1928877,1.122509,1.6155801,2.9180826,0.4394043,1.132509,1.3740446,53159000000.0,69482066666.66667,69482066666.66667,19004800000.0,26022266666.666668,26022266666.666668,0.1354192,0.1945729,2896866666.6666665,2692266666.6666665,2692266666.6666665,33999933333.333332,43275466666.666664,43275466666.666664,1.4791254,None
CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,United States,34784.9172634,90853851.4666667,42729729.5333333,-92805857.1333333,126901567.0,74620998.0,-203004379.0,74620998.0,-203004379.0,126901567.0,90853851.4666667,42729729.5333333,126901567.0,74620998.0,74620998.0,126901567.0,3.411,3.411,7.755682,12.697675,8.3734311,4.4306693,8.3734311,9.382,9.3820023,46137674.4331699,46137652.0,24699837.0,46137652.0,0.58802,-2.699294,0.0,0.9850632,2.5,0.3552855,0.66008,0.07032,0.43,0.704,5.67,0.1241623,2.9803493,102978000,74621000,0.7246305,74,432863872,562259904,1008391.8918919,0.246,58.2686982,0.9930023,58.2686982,0.9930023,58.2686982,0.4327506,6.8283781,58.2686982,76.5839363,19.3493236,19.3493236,28845809.4666667,44045676.0,15.0061267,9.8276133,9.8276133,0.1758881,0.1103411,0.1103411,0.3331764,USD,USD,1.0,1.0,0,0,0,0,0.6340058,2.88,6.24,4.9856834,13.7256329,96.875,-9.1346154,1.6607143,20.9782632,7.8397986,10.124641,0.8028053,0.242725,0.0570934,0.0142734,7.0693065,10.2687376,10.134641,0.252725,0.0242734,10.2787376,10.2066893,146308245.4666667,201431444.8666667,201431444.8666667,125988824.4,181465276.6666667,181465276.6666667,0.4704536,0.5112136,107548941.2666667,151188908.6666667,151188908.6666667,20319421.0666667,19966168.2,19966168.2,4.2156843,None
