Symbol,Name,Sector,Country,sss_value,sss_value_normalized,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roa_normalized,calculated_roe,calculated_roe_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
CDK,"CDK Global, Inc.",Technology,United States,72.4553712,-1.966546391933813,1911113333.3333333,214213333.3333333,931273333.3333334,1702700000.0,1030500000.0,5211100000.0,1030500000.0,5211100000.0,1702700000.0,1911113333.3333333,214213333.3333333,1702700000.0,1030500000.0,1030500000.0,1702700000.0,3.645,3.645,0.02115361178334523,4.8064594000000005,13.448504000000002,5.886715000000001,2.5267372000000003,0.010314076496771222,5.886715000000001,0.03802838277845027,11.977,12.2627677,0.000122627677,566744722.8855307,539700000.0,649940000.0,539700000.0,0.52822,0.5842896,5.625,13.5914717,12.03125,8.0189551,0.22687509653350338,0.9098200000000001,0.0044,0.004315968101072125,3.01,8.422,41.63,0.20230599999999999,10.946458,0.010946458,121774000,248000000,2.0365595,9000,7111816192,4929411584,27555.5555556,13.946,0.0376342,0.23329090000000002,0.0376342,0.23329090000000002,0.0376342,10.5178227,32.6811929,0.15059234130155524,0.0376342,2.1899537000000002,0.028595470614377394,1.81,1.81,1.0859999999999783e-06,420113333.3333333,338300000.0,16.9283277,21.0222175,21.0222175,2.102221749970895e-11,-8.3126391,0.0928471,0.0928471,0.3057083,1.939829354360404e-05,USD,USD,1.0,1.0,0.15,0.15,0.15,0.15,41.63,40.13,55.51,51.523262,-19.2015443,3.7378519999999997,-25.004503699999997,0.1950585,0.1960585,0.0035173627312140546,0.8434370000000001,1.0219527,0.7263864000000001,1.1182527,1.480186,1.685699,1.4941037,1.402299,1.0319527,1.1282527,1.695699,1.412299,1.2221258,0.006832196345169992,2915246666.6666665,3133433333.333333,3133433333.333333,-566040000.0,12740000.0,12740000.0,0.42887250000000005,0.5603834580502763,80.9869702,1.0,281466666.6666667,381253333.3333333,381253333.3333333,3465580000.0,3105760000.0,3105760000.0,2.1370251000000002,0.07305486476920514,None
GRVY,"GRAVITY Co., Ltd.",Communication Services,South Korea,0.0024676,-1.8414024141461205,306521374.0709333,41801878.812906705,91979985.3659733,345222449.0584,53322706.0352,408732135.812,53322706.0352,408732135.812,345222449.0584,306521374.0709333,41801878.812906705,345222449.0584,53322706.0352,53322706.0352,345222449.0584,-0.43200000000000005,1.6529738999999999,0.009592967947490294,10.179745,10.179745,10.179745,0.0014057,5.738031375606178e-06,10.179745,0.06576150526176572,-1.9380000000000002,10.701702000000001,0.00010701702000000001,-147224899.89680082,0.0,69248287866.66667,0.0,0.15446,4.9895654,34.8046875,0.3769318,2.5,2.9909407999999997,0.08462074849701974,0.09078,1.23e-05,1.2065092646178896e-05,0.0,8.067,84.2,0.0958076,0.0032256,3.2256e-06,6948900,62703087616,9023.4551679,279,570643712,570643712,224742249.51971334,48.72,0.2915506,0.5981389,0.2915506,0.5981389,0.2915506,36.6895347,60.8218868,0.2802624238232797,0.2915506,5.6495427000000005,0.07376929122406575,0.27745640000000005,0.27745640000000005,1.664738399999967e-07,43224203.5406933,10806050.8851733,13.2019486,52.8077943,52.8077943,5.280779429926888e-11,0.681515,0.5153473,0.5153473,0.718877,4.561533680225706e-05,KRW,USD,0.0008504,1.0,0.0,0.0,0.0,0.0,84.2,80.1,239.9,121.77072,-30.853656800000003,5.1186017,-64.90204250000001,0.051314099999999994,0.052314099999999995,0.0009385344968823344,2.7359873,2.9503037999999995,0.16274070000000002,0.1125896,4.8992233,2.6094564,2.6753387,2.8994517999999996,2.9603037999999997,0.12258959999999999,2.6194564,2.9094518,2.9348777999999998,0.01640719914323104,186345939.93952,212974002.7451733,212974002.7451733,117601331.15861331,140345197.0666667,140345197.0666667,0.3503719,0.4578111604862648,0.47993969999999997,0.0059261347697632475,125909840800.0,150378130666.66666,150378130666.66666,68596717.98464,72233929.3550933,72233929.3550933,29.224487699999997,0.9990481613308139,None
CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,United States,34784.9172634,-1.4612561469604275,90853851.4666667,42729729.533333294,-92805857.1333333,126901567.0,74620998.0,-203004379.0,74620998.0,-203004379.0,126901567.0,90853851.4666667,42729729.533333294,126901567.0,74620998.0,74620998.0,126901567.0,3.411,3.411,0.019795602137994674,7.755682000000001,12.697675,8.3734311,4.4306693,0.018085878536199092,8.3734311,0.05409265490851516,9.382,9.3820023,9.3820023e-05,46137674.433169894,46137652.0,24699837.0,46137652.0,0.58802,-2.699294,0.0,0.9850631999999999,2.5,0.3552855,0.010051862256898534,0.66008,0.07032000000000001,0.06897701746986179,0.43,0.7040000000000001,5.67,0.1241623,2.9803493,0.0029803493,102978000,74621000,0.7246305000000001,74,432863872,562259904,1008391.8918919001,0.24600000000000002,58.26869820000001,0.9930023000000001,58.26869820000001,0.9930023000000001,58.26869820000001,0.43275059999999993,6.8283781,0.031464623966381146,58.26869820000001,76.5839363,1.0,19.3493236,19.3493236,1.1609594159999769e-05,28845809.4666667,44045676.0,15.0061267,9.8276133,9.8276133,9.827613299863937e-12,0.17588810000000002,0.11034110000000001,0.11034110000000001,0.33317640000000004,2.114124349584633e-05,USD,USD,1.0,1.0,0.0,0.0,0.0,0.0,0.6340058000000001,2.88,6.24,4.9856834,13.725632899999999,96.875,-9.134615400000001,1.6607143,20.978263199999997,0.376357878619286,7.839798599999999,10.124641,0.8028053,0.242725,0.057093399999999996,0.0142734,7.069306500000001,10.2687376,10.134641,0.252725,0.0242734,10.2787376,10.2066893,0.05705967857952567,146308245.4666667,201431444.8666667,201431444.8666667,125988824.4,181465276.6666667,181465276.6666667,0.4704536,0.614715131467281,0.5112135999999999,0.006312294418936047,107548941.2666667,151188908.6666667,151188908.6666667,20319421.0666667,19966168.2,19966168.2,4.2156843,0.1441144731740218,None
FLGT,"Fulgent Genetics, Inc.",Healthcare,United States,103040.9341399,-1.4252088628921586,237682666.6666667,113274133.3333333,51308800.0,773388000.0,416957000.0,424315000.0,416957000.0,424315000.0,773388000.0,237682666.6666667,113274133.3333333,773388000.0,416957000.0,416957000.0,773388000.0,2.492,2.492,0.014462222376981158,5.534551,25.011429,7.969160799999999,3.2831066,0.013401557003812849,7.969160799999999,0.051481054769157486,3.373,3.3729152,3.3729152e-05,571304287.1331159,571333000.0,159078133.3333333,571333000.0,0.53913,0.8242298000000001,2.25,8.9735269,17.1875,5.4502425,0.1542001766936571,0.35812,0.34218000000000004,0.33564499200565,3.5,15.817,87.37,0.18103470000000002,3.1658892999999995,0.0031658892999999995,29005200,416956992,14.3752497,700,1926912512,2539115264,595652.8457143,4.104618,7.006464299999999,4.104618,7.006464299999999,4.104618,7.006464299999999,4.104618,20.5098569,0.0945077916764433,7.006464299999999,26.7197267,0.3488946636972484,-0.14,714285.7142856999,0.42857142857141134,76471533.3333333,372441000.0,25.1977753,5.173739,5.173739,5.1737389999283705e-12,0.15290810000000002,0.242648,0.242648,0.49359309999999995,3.132026132394018e-05,USD,USD,1.0,1.0,0.0,0.0,0.0,0.0,87.37,26.03,189.89,93.93079,-6.984706500000001,235.65117169999996,-53.98915160000001,0.7486879,0.7496879,0.013449680985533037,10.688552699999999,5.3898535,1.702102,0.5077635,9.121692199999998,7.935718700000001,7.4594709,3.7354277000000002,5.399853500000001,0.5177635,7.9457187000000005,3.7454277,4.5726406,0.02556298082823873,408246933.3333333,759003000.0,759003000.0,336179066.6666667,610068600.0,610068600.0,0.6493483,0.8484667257356632,0.7834591999999999,0.00967389196145036,225664600.0,372354400.0,372354400.0,72067866.6666667,148934400.0,148934400.0,3.8863044999999996,0.13285452271920126,None
BIDU,"Baidu, Inc.",Communication Services,China,11946712.64977,-1.3203731091251845,16238655701.233334,2685894838.033333,20013553710.8,17360861316.5,7409528022.0,40015827631.0,7409528022.0,40015827631.0,17360861316.5,16238655701.233334,2685894838.033333,17360861316.5,7409528022.0,7409528022.0,17360861316.5,-0.064,2.7488607000000003,0.015952903180876443,6.394580400000001,12.0359335,7.0997495,0.4235871,0.0017290716867767175,7.0997495,0.045864627660267374,-0.19899999999999998,6.4407058,6.4407058e-05,-104082505547.7387,31647000000.0,31074733333.333324,31647000000.0,0.42678999999999995,0.44150390000000006,2.5,1.5141393,2.5,1.0623364,0.03005599486410074,0.65235,0.00256,0.002511108713351055,11.41,21.476,142.96,0.1502238,0.2010821,0.0002010821,347503008,47995998208,138.11678490000003,41000,47722590208,47722590208,1170634.1026341002,624.683,0.0362074,5.4792046999999995,0.0362074,5.4792046999999995,0.0362074,469.88205120000003,217.0176293,1.0,0.0362074,2.1528248,0.028110657456503704,1.07,1.07,6.419999999999871e-07,4234482701.8,3165121570.0,11.269993,15.0776484,15.0776484,1.507764839979125e-11,0.7905221,0.6839559000000001,0.6839559000000001,0.8280163,5.254061877380793e-05,CNY,USD,0.1540955,1.0,0.0,0.0,0.0,0.0,142.96,116.41,354.82,215.14782999999997,-33.5526647,22.807319,-59.7091483,0.2227256,0.2237256,0.004013720840761829,2.3489617999999997,2.5457127,0.21329570000000003,0.9558393000000001,1.9564696,2.8489407000000004,2.6858576000000003,2.7855553,2.5557127,0.9658393,2.8589407000000002,2.7955553,2.675634,0.014957917454825493,48424901250.26667,54442638716.26667,54442638716.26667,26269214628.8,31706556530.56666,31706556530.56666,0.23609789999999997,0.3084957828734841,0.3336907,0.004120301070356624,107865200000.0,118158533333.33333,118158533333.33333,20606759747.6,21369553018.666668,21369553018.666668,1e-05,3.4185309648073457e-07,None
SCCO,Southern Copper Corporation,Basic Materials,United States,16976.1253297,-1.301005164271972,7591300000.0,1488060000.0,6574240000.0,8797700000.0,2119400000.0,27081700000.0,2119400000.0,27081700000.0,8797700000.0,7591300000.0,1488060000.0,8797700000.0,2119400000.0,2119400000.0,8797700000.0,6.206,6.206,0.03601627290190412,22.207224,17.85044,21.662626,5.348779,0.021833578802862234,21.662626,0.13994131421589273,11.495,11.5064981,0.000115064981,4740483555.284906,4731000000.0,3724120000.0,4731000000.0,0.2409,1.1136916000000001,5.625,8.096196899999999,30.078125,4.9890101,0.14115082749922409,0.08282,0.89025,0.8732478640862408,3.41,2.741,62.52,0.043842,6.2533383,0.0062533383,773073024,2119399936,2.7415262,13777,54600871936,47056953344,153836.0990056,2.556,0.0719461,0.1816665,0.0719461,0.1816665,0.0719461,1.9624166,14.2586282,0.06570262630732737,0.0719461,2.9322771,0.038288409314891796,1.97,1.97,1.1819999999999764e-06,2424213333.333333,3091000000.0,22.52313,17.664468399999997,17.664468399999997,1.7664468399755434e-11,1.3268931000000002,1.3018159,1.3018159,1.1419715,7.24622078479054e-05,USD,USD,1.0,1.0,0.9,0.7,0.6,0.5,62.52,43.26,83.29,69.54978,-10.1075517,44.5214979,-24.936967199999998,0.9622783000000001,0.9632783000000001,0.017281572552106807,1.7614028000000002,1.7738672999999998,0.1257778,0.127552,2.2178832,1.9726568,3.1397772999999995,3.6672648999999997,1.7838672999999998,0.137552,1.9826568,3.6772649,2.7305661,0.015265010957681345,16237126666.666666,16922013333.333334,16922013333.333334,6952140000.0,7330660000.0,7330660000.0,0.2252451,0.29431504245872675,0.3891145,0.004804655601253743,2947013333.333333,3488860000.0,3488860000.0,9236073333.333334,9539453333.333334,9539453333.333334,2.6252655,0.08974551402590437,None
QDEL,Quidel Corporation,Healthcare,United States,2.8256683,-1.265667328918949,1117014466.6666667,460945400.0,547307333.3333334,1862353000.0,948134000.0,2785440000.0,948134000.0,2785440000.0,1862353000.0,1117014466.6666667,460945400.0,1862353000.0,948134000.0,948134000.0,1862353000.0,2.273,2.273,0.013191264631973586,6.146029,9.948651,6.6213568,2.6112487,0.01065905027396375,6.6213568,0.04277419424978015,3.293,3.2936040999999996,3.2936040999999997e-05,1284835444.2757366,1284364000.0,660508066.6666666,1284364000.0,0.5091,0.8981108,2.25,1.2384561,2.5,1.0470209000000001,0.029622683354355684,0.8673700000000001,0.11936,0.11708044375999292,11.49,18.599,118.05,0.1575519,3.6273918,0.0036273918,42542800,948134016,22.2865918,1370,4232515584,4863067136,692068.6248175,3.426,1.3364243999999998,5.9161949,1.3364243999999998,5.9161949,1.3364243999999998,4.0485487000000004,20.371005800000002,0.09386797683537317,1.3364243999999998,11.8103825,0.15421487939370906,2.65,2.65,1.589999999999968e-06,391762866.6666667,1154040000.0,10.8037692,3.667564,3.667564,3.667563999949223e-12,0.7098814,0.42747570000000007,0.42747570000000007,0.6548163,4.155045448401855e-05,USD,USD,1.0,1.0,0.0,0.0,0.0,0.0,118.05,103.31,288.7,137.55696,-14.1810055,14.267737900000002,-59.10980260000001,0.1590161,0.1600161,0.002870748610920829,2.9156685,3.3634146,0.2002082,0.0200125,0.40733709999999995,0.516872,2.6123727000000003,3.2364357000000004,3.3734146000000003,0.0300125,0.526872,3.2464357,3.3099251000000005,0.018503871018029753,1410718200.0,1849017000.0,1849017000.0,931945066.6666666,1303915133.3333333,1303915133.3333333,0.6127773,0.800681466843203,0.8271439,0.010213296014869316,473271800.0,757869266.6666666,757869266.6666666,478773133.3333333,545101866.6666666,545101866.6666666,3.3546994,0.11468143776520623,None
APT,"Alpha Pro Tech, Ltd.",Industrials,Canada,0.0079757,-1.2307531869202646,76368866.6666667,15904733.3333333,46024733.33333329,102700000.0,27087000.0,193217000.0,27087000.0,193217000.0,102700000.0,76368866.6666667,15904733.3333333,102700000.0,27087000.0,27087000.0,102700000.0,0.982,0.982,0.005698997742454052,4.0463915,6.767241499999999,4.3864978,1.0319118,0.004212237522414632,4.3864978,0.028336927708446896,3.123,3.1228982999999997,3.1228982999999995e-05,32309895.6131924,32312000.0,19060533.333333302,32312000.0,0.26374000000000003,1.2096207,5.625,0.6511783,2.5,0.9249398999999999,0.02616872478811971,0.43864,0.09767999999999999,0.09581449184380117,1.16,1.94,7.92,0.2449495,1.7553667000000002,0.0017553667000000002,13500300,27086000,2.0063258000000004,115,100897232,105977352,235530.43478260003,21.143,0.6948521,4.5923708,0.6948521,4.5923708,0.6948521,17.0053427,41.4875347,0.19117126490515945,0.6948521,8.5857791,0.11210939937021754,0.2579482,0.2579482,1.547689199999969e-07,11106933.3333333,18274000.0,9.084166499999998,5.5213545,5.5213545,5.5213544999235576e-12,0.13157,0.1870281,0.1870281,0.4334674,2.7505068939190824e-05,USD,USD,1.0,1.0,0.0,0.0,0.0,0.0,7.92,6.97,20.54,10.159419999999999,-22.0427938,13.629842199999999,-61.441090599999995,0.14001470000000002,0.14101470000000002,0.002529856396602701,9.294949699999998,6.773578,0.031629700000000004,0.1265186,0.0,0.0,10.537842199999998,7.6063194,6.783577999999999,0.13651860000000002,0.01,7.6163194,7.199948700000001,0.04025073621189525,53694266.66666671,65567266.6666667,65567266.6666667,47251933.33333329,55535333.3333333,55535333.3333333,0.5131177,0.6704618997786155,0.5877435000000001,0.00725726000798089,37594200.0,45333733.33333329,45333733.33333329,6442333.3333333,10031933.3333333,10031933.3333333,3.8060701,0.13011168491077388,None
PBFX,PBF Logistics LP,Energy,United States,1536.2021204000002,-1.1180775042470192,337823733.3333333,123464466.6666667,2736000.0,354731000.0,149830000.0,684000.0,149830000.0,684000.0,354731000.0,337823733.3333333,123464466.6666667,354731000.0,149830000.0,149830000.0,354731000.0,4.488,4.488,0.026045928582620965,4.686192,5.3846154,4.7734949,1.9690828000000002,0.008037745527186788,4.7734949,0.030836942377570543,6.585,6.5849647,6.584964699999999e-05,241791406.0744115,241794000.0,217391866.6666667,241794000.0,0.42238000000000003,2.1510027999999997,5.625,1.0343833,2.5,1.5950226,0.04512694008576249,0.22034,0.7153299,0.7016684159416167,2.08,2.39,11.63,0.20550300000000002,3.7445671999999997,0.0037445671999999995,62365600,149830000,2.4024462000000004,91,1592179328,698494720,1646483.5164835,0.069,0.10522970000000001,0.2968893,0.10522970000000001,0.2968893,0.10522970000000001,0.1259723,3.7992578999999997,0.01750667866133583,0.10522970000000001,3.4939120999999997,0.045621996841653585,0.68,0.68,4.0799999999999185e-07,166241866.6666667,222817000.0,9.577487099999999,7.145681599999999,7.145681599999999,7.145681599901068e-12,-0.4034298,4.4720602,4.4720602,2.1157246,0.0001342503518819222,USD,USD,1.0,1.0,0.3,0.3,0.3,0.3,11.63,6.92,16.7,13.987535999999999,-16.8545482,68.0635838,-30.3592814,0.9631902,0.9641902,0.017297932378763613,1.2016818999999999,1.2277453,0.0,0.0,0.0947118,0.1519522,2.0672797999999997,2.5373229999999998,1.2377453,0.01,0.16195220000000002,2.547323,1.8925342,0.010580060779626137,934756333.3333334,935398733.3333334,935398733.3333334,120090733.3333333,173018266.6666667,173018266.6666667,0.2601777,0.3399594966652499,0.9659779000000001,0.011927571776231233,46867800.0,62655400.0,62655400.0,780609133.3333334,762380466.6666666,762380466.6666666,0.9316858,0.031849967567713036,None
DAC,Danaos Corporation,Industrials,Greece,871.0510234999999,-1.0985118268083487,456728200.0,118096333.3333333,270940466.6666667,517126000.0,755582000.0,2379526000.0,755582000.0,2379526000.0,517126000.0,456728200.0,118096333.3333333,517126000.0,755582000.0,755582000.0,517126000.0,5.039,5.039,0.029243635055219923,2.1398835,3.8122763999999996,2.3489326,2.968785,0.01211850428784875,2.3489326,0.01517418594811884,7.681,7.6811218,7.6811218e-05,339271761.2941023,339261000.0,300921933.3333333,339261000.0,1.46112,0.3045151,1.0,61.029984,30.078125,35.3452416,1.0,0.23114,0.44503000000000004,0.43653074636821093,19.55,34.829,76.76,0.4537389,0.8961271999999999,0.0008961271999999999,20598900,755582016,36.6806973,4,2606029056,1535235968,188895504.0,8.685,0.0133934,0.23993029999999999,0.0133934,0.23993029999999999,0.0133934,6.5737326000000005,25.8892913,0.11929579815016438,0.0133934,1.4072989,0.018375901892627056,1.75,1.75,1.049999999999979e-06,234359266.6666667,341554000.0,11.1198038,7.629918099999999,7.629918099999999,7.629918099894365e-12,2.0894589,1.1647101,1.1647101,1.0802173000000002,6.854368126831818e-05,USD,USD,1.0,1.0,0.5,0.5,6.51,6.51,13.818532999999999,4.51,79.49,57.858059999999995,32.6695019,1601.9955654,-8.7897849,1.9271806,51.23119260000001,0.9191067335866046,1.5208313999999998,1.9269043000000001,1.6963789,1.2681108,0.268377,0.9215548000000001,0.5663736,1.2032853000000001,1.9369043000000001,1.2781108,0.9315548,1.2132853000000001,1.5750948,0.008805441253147802,2719546400.0,3116271266.6666665,3116271266.6666665,916119133.3333334,1480492933.3333333,1480492933.3333333,0.34246350000000003,0.44747770114894475,0.6103584,0.007536501223501752,-237360933.3333333,45644866.66666671,45644866.66666671,1803427266.6666667,1635778333.3333333,1635778333.3333333,1.087465,0.037175327756442195,None
