"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
AAPL,Apple Inc.,Technology,United States,126493930738.17563,266482666666.66666,56515000000.0,36163333333.333336,347155000000.0,86802000000.0,53761000000.0,86802000000.0,53761000000.0,347155000000.0,266482666666.66666,56515000000.0,347155000000.0,86802000000.0,86802000000.0,347155000000.0,7.171,7.171,34.864014,28.992523,34.1300776,7.456074,34.1300776,22.441,22.4410475,110935469577.11331,110935000000.0,77317533333.33333,110935000000.0,0.25004,0.5261853,2.5,1.1384204,4.375,0.8465846,0.59054,0.00069,5.35,4.449,156.69,0.0283936,37.411964,16687599616,86801997824,5.2015868,147000,2489513410560,2588413526016,590489.7811156,0.932,0.364,0.0348006,0.0483259,0.0348006,0.0483259,0.7077002,8.6624916,0.2850815,5.5893021,1.4,1.4,76136600000.0,104414000000.0,32.6979851,23.8427166,23.8427166,3.2831228,4.0796775,4.0796775,2.0208212,USD,USD,1.0,1.0,0.22,0.205,0.205,0.205,156.69,103.1,157.26,134.13283,16.8170388,51.9786615,-0.3624571,1.9789513,60.0634926,1.3243572,1.2454597,0.2670767,0.2571134,0.6556137,1.0968419,1.3740836,1.1167823,1.2554597,0.2671134,1.1068419,1.1267823,1.191121,336795800000.0,334623200000.0,334623200000.0,82200333333.33333,65915933333.333336,65915933333.333336,0.3594022,1.4168592,39574866666.666664,13012733333.333334,13012733333.333334,254595466666.66666,268707266666.66666,268707266666.66666,2.8605545,None
ABBV,AbbVie Inc.,Healthcare,United States,615629579495.4658,39547866666.666664,5675933333.333333,2633533333.3333335,53729000000.0,6663000000.0,7422000000.0,6663000000.0,7422000000.0,53729000000.0,39547866666.666664,5675933333.333333,53729000000.0,6663000000.0,6663000000.0,53729000000.0,4.956,4.956,29.762676,7.9111114,27.0312304,3.6298087,27.0312304,9.623,9.6917648,27278863224.77398,26889000000.0,18624400000.0,26889000000.0,0.12401,0.7361105,5.625,0.2859122,2.5,0.5300395,0.68681,0.00123,13.95,3.708,109.03,0.034009,15.515254,1767180032,6597000192,3.7330663,48000,266256154624,195025993728,137437.504,-0.1163302,0.339,-0.1163302,0.242818,-0.1163302,0.242818,-0.1163302,0.238367,0.3149545,5.8620807,1.9,1.9,15387600000.0,20451000000.0,17.3032932,13.0192242,13.0192242,2.2211763,10.3928359,10.3928359,3.2247922,USD,USD,1.0,1.0,1.3,1.3,1.3,1.18,0.216174,79.11,121.53,112.81449,-3.3546134,37.8207559,-10.2855262,1.4106554,7.8799874,1.0169753,1.0966821,0.0081574,0.1597628,0.1100633,0.1448061,1.5131948,0.8810482,1.1066821,0.1697628,0.1548061,0.8910482,0.9988652,116698000000.0,149102066666.66666,149102066666.66666,4008333333.3333335,13120933333.333334,13120933333.333334,0.1446875,0.6078145,6921733333.333333,-3543733333.3333335,-3543733333.3333335,112678466666.66667,135957600000.0,135957600000.0,0.9329727,None
ABEV,Ambev S.A.,Consumer Defensive,Brazil,3616691.3926245,10519376809.874907,2139569899.1459596,4218415220.80742,11960789824.3223,2474518531.9533997,20186259950.4398,2474518531.9533997,20186259950.4398,11960789824.3223,10519376809.874907,2139569899.1459596,11960789824.3223,2474518531.9533997,2474518531.9533997,11960789824.3223,0.663,0.663,18.536585,20.266666,18.7528451,0.766471,18.7528451,2.074,2.0535522,20369373742.52652,20771022000.0,19708771133.333332,20771022000.0,0.20689,1.1334653,5.625,0.520364,2.5,0.8359256,0.09822,1.23e-05,0.15,0.164,3.15,0.0520635,0.5831575,15736899584,12913021952,0.8205569,50000,41413062656,47840174080,258260.43904,1.405,0.32,0.0723383,0.0870802,0.0723383,0.0870802,1.0718346,10.6029443,0.26177,5.3663468,3.04,3.04,3563513809.6129065,3861066532.4557,11.6214121,10.7258091,10.7258091,0.6791346,0.6269605,0.6269605,0.7928084,BRL,USD,0.1916297,1.0,0.015,0.082,0.117,0.083,3.15,2.13,3.95,3.137174,0.4088393,47.8873239,-20.2531646,1.1208791,1.9831368,2.5091028,2.6295553,0.2236547,0.2848447,0.9953143,1.1043431,1.048946,1.1563804,2.6395553,0.2948447,1.1143431,1.1663804,1.9029679,21549720864.597378,24830553105.95441,24830553105.95441,12700474934.611626,15094681778.677858,15094681778.677858,0.1996562,0.2639331,1441900066.6666667,4904520933.333333,4904520933.333333,8591394997.287706,9444882445.446606,9444882445.446606,2.7573697,None
ACGL,Arch Capital Group Ltd.,Financial Services,Bermuda,74853.3364038,7496234066.666667,1328310933.3333333,11359947666.666666,9535402000.0,2076225000.0,50436037000.0,2076225000.0,50436037000.0,9535402000.0,7496234066.666667,1328310933.3333333,9535402000.0,2076225000.0,2076225000.0,9535402000.0,1.702,1.702,8.040636,9.869136,8.2691985,1.659166,8.2691985,6.057,6.060361,2677398309.641737,2674427000.0,1774808133.3333333,2674427000.0,0.21762,0.4410761,2.5,0.5854797,2.5,0.5016701,1.00343,0.02852,4.05,4.971,39,0.1274615,1.243003,396039008,2033350016,5.1342165,4500,16234998784,15829680128,451855.5591111,1.261,0.12,0.2824858,0.2046924,0.2824858,0.2046924,1.0163714,10.3315249,0.1411731,4.0073009,0.21,0.21,2366626533.3333335,3177497000.0,6.859975,5.1093671,5.1093671,2.4246974,2.4613966,2.4613966,1.5698839,USD,USD,1.0,1.0,0,0,0,0,0.2516047,27.41,42.54,39.12877,-0.3290929,42.283838,-8.3215797,1.5320555,12.9314439,1.4783103,1.4708799,1.001757,0.87303,0.2154077,0.1900385,1.7247021,2.0867728,1.4808799,0.88303,0.2000385,2.0967728,1.7888264,39619209066.666664,45196852333.333336,45196852333.333336,11108709733.333334,12482548866.666666,12482548866.666666,0.1459374,0.2663302,4718643933.333333,7831200000.0,7831200000.0,26800340466.666668,30725753000.0,30725753000.0,1.2428936,None
ACN,Accenture plc,Technology,Ireland,27948538655.622055,43042551533.333336,4769608200.0,10911806466.666666,47949376000.0,5778490000.0,54692321000.0,5778490000.0,54692321000.0,47949376000.0,43042551533.333336,4769608200.0,47949376000.0,5778490000.0,5778490000.0,47949376000.0,4.326,4.326,40.27456,36.28145,39.7754213,4.511495,39.7754213,25.825,25.8251228,8031296361.587608,8031220000.0,6947699066.666667,8031220000.0,0.12051,3.9454543,34.8046875,0.7438669,6.25,2.4942944,0.7269,0.00127,9.38,8.45,341.49,0.0247445,11.815846,635646976,5778489856,9.0907219,506000,207410200576,216323391488,11419.9404269,0.262,0.207,0.1154106,0.0492112,0.1154106,0.0492112,0.2253527,4.9971324,0.1675528,4.3433214,3.28,3.28,7283696600.0,9694850000.0,28.4759528,21.3938535,21.3938535,1.1643834,1.14545,1.14545,1.071257,USD,USD,1.0,1.0,0.88,0.88,0.88,0.88,341.49,210.42,344.43,293.40695,16.3878361,62.2897063,-0.8535842,1.9561227,56.0243114,1.8950011,1.8983218,0.3311787,0.3506124,1.5214198,1.5160997,1.3805871,1.4127347,1.9083218,0.3606124,1.5260997,1.4227347,1.6655283,32491754666.666668,40703726066.666664,40703726066.666664,14887953533.333334,18719227066.666668,18719227066.666668,0.2419646,0.4086928,4492851600.0,5886917066.666667,5886917066.666667,17127519733.333334,21445524400.0,21445524400.0,3.1521569,None
ACTG,Acacia Research Corporation,Industrials,United States,1e+50,40776933.3333333,43414266.6666667,-369159200.0,31770000.0,-39883000.0,-1669284000.0,-39883000.0,-1669284000.0,31770000.0,40776933.3333333,43414266.6666667,31770000.0,-39883000.0,-39883000.0,31770000.0,0.827,0.827,1272.5193457,17.666666,1115.6627607,9.865207,1115.6627607,-1.642,15184.7080019,-15993941.5347138,-15992000.0,-9330466.6666667,-15992000.0,-1.25537,2.5479984,1.0,-9.791448,0.0,-0.2914564,0.68139,0.03801,0.36,-0.742,6.73,-0.1102526,2.697201,49279500,-34150000,-0.6929859,20,26265240,313417632,-1707500.0,1.8961896,0.521,1.8961896,0.8249557,1.8961896,0.8249557,1.8961896,14.0202202,0.5969889,7.9765058,-0.13,769230.7692308,-7431466.6666667,-23529000.0,2829.3922563,11162.9223511,11162.9223511,0.4035595,2.1624932,2.1624932,1.4715418,USD,USD,1.0,1.0,0.125,0.125,0.125,0.125,6.73,3.06,9.09,6.062174,11.016279,119.9346405,-25.9625963,1.2172471,3.2529133,7.3608008,1.9622859,0.0,0.0,2.6761589,0.3801871,7.7396411,3.3934536,1.9722859,0.01,0.3901871,3.4034536,2.6878697,383564666.6666667,524061333.3333333,524061333.3333333,241165533.3333333,174622333.3333333,174622333.3333333,2.39e-05,1e-06,252002400.0,319077466.6666667,319077466.6666667,108653266.6666667,294510733.3333333,294510733.3333333,1e-05,effective_profit_margin          <= 0   |
ADM,Archer-Daniels-Midland Company,Consumer Defensive,United States,1674241.8730029,64198266666.666664,1660466666.6666667,19245200000.0,74923000000.0,2313000000.0,80114000000.0,2313000000.0,80114000000.0,74923000000.0,64198266666.666664,1660466666.6666667,74923000000.0,2313000000.0,2313000000.0,74923000000.0,0.579,0.579,14.595318,13.100656,14.4084853,0.4469822,14.4084853,11.95,11.931072,3644454833.8075314,3656000000.0,2716933333.3333335,3656000000.0,0.03087,0.0659478,2.5,0.5564481,17.1875,0.3512226,0.81193,0.00498,4.57,4.102,59.35,0.0691154,1.5507147,559366016,2312999936,4.1350384,37575,43413270528,33489242112,61556.8845243,0.518,0.408,0.1140728,0.006989,0.1140728,0.006989,0.4170182,6.7076946,0.3077472,5.7974972,1.32,1.32,-3762000000.0,1057000000.0,866.5553077,41.0721575,41.0721575,1.364694,1.3993863,1.3993863,1.1839566,USD,USD,1.0,1.0,0.37,0.37,0.37,0.36,0.2896566,44.58,69.3,60.947247,-2.6207041,33.1314491,-14.3578644,1.1949838,2.9118711,1.7431664,1.7191363,0.932268,0.96459,0.3867139,0.4072422,1.5536478,1.6100072,1.7291363,0.97459,0.4172422,1.6200072,1.6745717,46357933333.333336,50520600000.0,50520600000.0,19540466666.666668,21022800000.0,21022800000.0,0.1457833,0.2100234,8550866666.666667,10654600000.0,10654600000.0,26733600000.0,29401800000.0,29401800000.0,2.2085376,None
AEF,27762,Financial Services,United Kingdom,30970890762041.96,16654691.4666667,37559035.4,3599976.6,16909090.0,52086110.0,-123361884.0,52086110.0,-123361884.0,16909090.0,16654691.4666667,37559035.4,16909090.0,52086110.0,52086110.0,16909090.0,29.167,29.167,8.68421,8.68421,8.68421,26.742926,8.68421,0,100000,0.0,0,0,0,3.0803602,2.9530328,1.0,7.1958271,1.0,5.4238659,0.63619,1.23e-05,0,1.026,8.83,0.1161948,0.9470663,50751800,52086112,1.0262909,10000000,493190336,452198528,5.2086112,4.244,0.412,-0.0494216,1.0060938,-0.0494216,1.0060938,3.1706446,18.0563039,0.5605235,7.7368114,2.7389415,2.7389415,52086110.0,52086110.0,9.4687497,9.4687497,9.4687497,0.1042806,0.1075162,0.1075162,0.3288967,USD,USD,1.0,1.0,0.16,0.063,0.134,0.0437,8.83,6.27,9.22,8.767391,0.7141121,40.8293461,-4.2299349,1.7355932,27.3330232,11.6733981,10.3160937,0.0,0.0,0.0,0.0,0.1394153,0.097173,10.3260937,0.01,0.01,0.107173,5.2166333,483936933.6,502866846.4,502866846.4,436710935.0666667,454236845.4,454236845.4,0.2035783,0.2146673,-43110729.9333333,-43242112.6,-43242112.6,47225998.5333333,48630001.0,48630001.0,2.2729377,None
AFL,AFLAC Incorporated,Financial Services,United States,6745286.0127791,22105800000.0,4125600000.0,35633800000.0,22854000000.0,5506000000.0,149925000000.0,5506000000.0,149925000000.0,22854000000.0,22105800000.0,4125600000.0,22854000000.0,5506000000.0,5506000000.0,22854000000.0,1.774,1.774,7.090348,10.733463,7.5457374,1.6407293,7.5457374,7.605,8.2673918,4541045736.226167,3750000000.0,4480733333.333333,3750000000.0,0.24088,0.4978388,2.5,0.5704075,2.5,0.5125983,0.61488,0.09015,5.14,7.781,55.25,0.1408326,1.1698225,679667008,5504999936,8.0995544,12003,40550555648,37497229312,458635.3358327,1.284,0.137,0.2402498,0.0037105,0.2402498,0.0037105,1.0230624,10.3646549,0.1036776,3.4699011,1.64,1.64,5842666666.666667,5910000000.0,6.9404192,6.8613461,6.8613461,4.2001783,3.9560192,3.9560192,1.9899744,USD,USD,1.0,1.0,0.33,0.33,0.33,0.28,55.25,33.37,57.64,53.86884,2.5639312,65.5678753,-4.1464261,1.803049,34.3593724,1.2397643,1.2529371,0.2406595,0.2746648,0.1002597,0.1154573,0.6040061,0.6393179,1.2629371,0.2846648,0.1254573,0.6493179,0.9561275,156652600000.0,160306466666.66666,160306466666.66666,30388666666.666668,32362533333.333332,32362533333.333332,0.1343467,0.270135,-6011533333.333333,-5435733333.333333,-5435733333.333333,126263933333.33333,127943933333.33333,127943933333.33333,0.4201339,None
AGO,Assured Guaranty Ltd.,Financial Services,Bermuda,4.7842144309727123e+17,1051333333.3333334,418400000.0,6197600000.0,1026000000.0,428000000.0,24450000000.0,428000000.0,24450000000.0,1026000000.0,1051333333.3333334,418400000.0,1026000000.0,428000000.0,428000000.0,1026000000.0,3.766,3.766,9.132535,13.902941,9.7288358,3.509821,9.7288358,14,10015,219601508.8402681,353000000.0,0,353000000.0,0.42209,0.9338127,2.5,0.6390612,2.5,0.7864948,0.97649,0.05491,3.4,5.176,48.17,0.1074528,0.5577384,75290000,427000000,5.6714039,412,3818406400,3558958336,1036407.7669903,-0.4339018,-0.0366009,-0.1630179,-0.0317788,-0.1630179,-0.0317788,-0.3661808,0.2336982,-0.0353954,0.2432055,4.78,4.78,-500200000.0,-1155000000.0,1309.9705678,33059.795671,33059.795671,1.2184063,1.3864671,1.3864671,1.1784834,USD,USD,1.0,1.0,0.22,0.22,0.22,0.2,5.8189441,18.45,52.28,46.601593,3.3655652,161.0840108,-4.4529457,1.7570204,29.4212295,1.8296148,1.7324537,0.0266022,0.0217886,0.6666934,0.7908207,0.8127281,0.8365156,1.7424537,0.0317886,0.8008207,0.8465156,1.2944846,14774333333.333334,15576666666.666666,15576666666.666666,6643266666.666667,6503600000.0,6503600000.0,0.127477,0.1658097,-751466666.6666666,-704866666.6666666,-704866666.6666666,8094533333.333333,9009533333.333334,9009533333.333334,1.2230483,None
