"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
AGO,Assured Guaranty Ltd.,Financial Services,Bermuda,267527964094735.06,1051333333.3333334,418400000.0,6197600000.0,845000000.0,343000000.0,24397000000.0,343000000.0,24397000000.0,845000000.0,1051333333.3333334,418400000.0,845000000.0,343000000.0,343000000.0,845000000.0,4.828,4.828,11.614403,14.705882,12.0008379,4.319887,12.0008379,15.814,16.2677315,244001676.4891868,230000000.0,0,230000000.0,0.40592,0.9338127,2.5,1.0447108,2.5,0.9317698,0.9834101,0.05671,3.4,4.305,50.15,0.0858425,0.5694891,73006096,342000000,4.6845403,412,4080065024,3650304768,830097.0873786,-0.464,-0.0317788,-0.1630179,-0.0317788,-0.1630179,-0.0317788,-0.3887545,0.2111246,-0.0317788,0.2468221,5.49,5.49,-500200000.0,-1357000000.0,1225.9608537,30066.8019455,30066.8019455,1.2184063,1.5241386,1.5241386,1.2355601,USD,USD,1.0,1.0,0.22,0.22,0.2,0.2,1.1132712,18.45,52.28,45.214027,10.9169064,171.8157182,-4.0742158,1.8740763,43.3235026,1.8296148,1.6690663,0.0266022,0.0214763,0.6666934,0.8161009,0.8127281,0.8736663,1.6790663,0.0314763,0.8261009,0.8836663,1.2813663,14774333333.333334,16482866666.666666,16482866666.666666,6643266666.666667,6505266666.666667,6505266666.666667,0.1208095,0.1527265,-751466666.6666666,-555933333.3333334,-555933333.3333334,8094533333.333333,9910666666.666666,9910666666.666666,1.1764178,None
AL,Air Lease Corporation,Industrials,United States,9869637505780.543,1937794133.3333333,550427866.6666666,2942310800.0,1978879000.0,463205000.0,12894835000.0,463205000.0,12894835000.0,1978879000.0,1937794133.3333333,550427866.6666666,1978879000.0,463205000.0,463205000.0,1978879000.0,9.963,9.963,11.096938,7.9379563,10.7020653,2.50869,10.7020653,0,100000,0.0,0,1728374285.7142856,0,0.23407,0.6696071,2.5,0.5160553,2.5,0.5735156,0.95312,0.06155,5.48,3.92,43.51,0.0900942,0.7722762,114124000,447830016,3.9240652,120,19716292608,4964393984,3731916.8,-0.387,0.0723288,-0.0726426,0.0723288,-0.0726426,0.0723288,-0.3084107,0.2191589,0.0723288,2.9394023,1,1,1190619400.0,1090453000.0,16.5596937,18.0808275,18.0808275,3.0089772,2.984968,2.984968,1.728706,USD,USD,1.0,1.0,0.16,0.16,0.16,0.15,43.51,26.65,52.96,45.3518,-4.0611398,63.2645403,-17.8436556,1.281642,4.4320057,1.3332299,1.3353925,0.0,0.0,10.7419255,11.0316915,2.6060896,3.5012085,1.3453925,0.01,11.0416915,3.5112085,2.4283005,22742386666.666668,24838599866.666668,24838599866.666668,5654196400.0,6235865533.333333,6235865533.333333,0.1186486,0.1742808,713054933.3333334,1016698866.6666666,1016698866.6666666,17088110266.666666,18602632733.333332,18602632733.333332,0.2539276,None
ALL,Allstate Corporation (The),Financial Services,United States,3170230671.888136,43737666666.666664,4791333333.333333,49710666666.666664,47166000000.0,3646000000.0,203590000000.0,3646000000.0,203590000000.0,47166000000.0,43737666666.666664,4791333333.333333,47166000000.0,3646000000.0,3646000000.0,47166000000.0,0.896,0.896,11.882808,10.247344,11.678375,0.8533588,11.678375,3.799,3.8307337,10992646708.081074,10809000000.0,7673600000.0,10809000000.0,0.07696,0.6624543,5.625,0.0496995,2.5,0.4176338,0.78039,0.0045,13.18,11.366,135.25,0.084037,1.6438055,299339008,7045000192,23.5351892,41860,42458738688,40428724224,168299.0967989,0.385334,0.0378384,0.385334,0.0378384,0.385334,0.0378384,0.385334,6.4575278,0.0378384,2.1952092,-793,126.1034048,5273866666.666667,5852000000.0,8.0507797,7.2554236,7.2554236,3.7766947,3.887771,3.887771,1.9727431,USD,USD,1.0,1.0,0.81,0.81,0.54,0.54,135.25,86.51,140,123.59209,9.4325697,56.3403075,-3.3928571,1.8223967,36.631739,1.2900427,1.2799918,0.6295803,0.7668321,0.3234738,0.6153043,0.5077673,0.6322574,1.2899918,0.7768321,0.6253043,0.6422574,0.9661246,121641066666.66667,127280133333.33333,127280133333.33333,25369666666.666668,25718800000.0,25718800000.0,0.1286455,0.241764,-21872666666.666668,-22157800000.0,-22157800000.0,94247533333.33333,99499066666.66667,99499066666.66667,1.4649123,None
AMCR,Amcor plc,Consumer Cyclical,Switzerland,688716411.5573547,11020800000.0,555520000.0,310300000.0,12549700000.0,863100000.0,1175500000.0,863100000.0,1175500000.0,12549700000.0,11020800000.0,555520000.0,12549700000.0,863100000.0,863100000.0,12549700000.0,1.941,1.941,38.81789,17.867647,36.1991096,1.4927087,36.1991096,12.381,12.4738482,1938778773.4431791,1909700000.0,1596420000.0,1909700000.0,0.06878,0.2765678,5.625,0.9089251,12.03125,0.6182309,0.39689,0.00217,0.68,0.313,12.05,0.0259751,3.647553,1541789952,861500032,0.5587661,47000,24364044288,18732746752,18329.7879149,0.475,0.1894986,0.1725603,0.1894986,0.1725603,0.1894986,0.3993901,6.5697315,0.1894986,4.6031442,1.77,1.77,1121980000.0,1530900000.0,21.7152216,15.9148503,15.9148503,4.3652876,2.5276504,2.5276504,1.5908586,USD,USD,1.0,1.0,0.118,0.1175,0.118,0.115,12.05,10.26,12.76,11.672518,3.233938,17.4463938,-5.5642633,1.432,8.6229945,1.3625028,1.4005602,0.1148871,0.0176936,0.2632997,0.2673892,1.0643467,1.2805659,1.4105602,0.0276936,0.2773892,1.2905659,1.350563,15159673333.333334,16598673333.333334,16598673333.333334,4099766666.6666665,4689593333.333333,4689593333.333333,0.1519981,0.2840458,236300000.0,1031540000.0,1031540000.0,10995933333.333334,11851533333.333334,11851533333.333334,1.1318048,None
AMGN,Amgen Inc.,Healthcare,United States,14517982127.748793,24478866666.666668,7216466666.666667,-19840666666.666668,25164000000.0,7085000000.0,-83066000000.0,7085000000.0,-83066000000.0,25164000000.0,24478866666.666668,7216466666.666667,25164000000.0,7085000000.0,7085000000.0,25164000000.0,6.329,6.329,19.02427,12.8816595,18.2564437,5.2441406,18.2564437,12.756,12.7976332,12404975106.930073,12324000000.0,12424933333.333334,12324000000.0,0.28155,0.7399119,2.5,0.687514,2.5,0.6694608,0.78046,0.00193,17.83,12.073,228.15,0.0529169,14.155931,574553984,7085000192,12.3313046,24300,159270780928,131963551744,291563.7939095,-0.098,0.0514183,0.4021701,0.0514183,0.4021701,0.0514183,0.0270425,1.8944613,0.0514183,2.517561,2.44,2.44,10289666666.666666,10467000000.0,15.4787114,15.216469,15.216469,5.133725,5.5504736,5.5504736,2.3569443,USD,USD,1.0,1.0,1.76,1.76,1.6,1.6,228.15,210.28,276.69,242.0136,-5.7284384,8.4981929,-17.5430988,0.538172,0.539172,1.2069508,1.180725,0.1804233,0.0534483,0.2935616,0.301554,2.0883782,1.8151791,1.190725,0.0634483,0.311554,1.8251791,1.5079521,63679866666.666664,63092600000.0,63092600000.0,10947000000.0,9659000000.0,9659000000.0,0.2122953,0.8335128,12470933333.333334,9546133333.333334,9546133333.333334,52732866666.666664,53433600000.0,53433600000.0,0.2169599,None
APT,"Alpha Pro Tech, Ltd.",Industrials,Canada,0.0527438,76368866.6666667,15904733.3333333,46024733.3333333,102700000.0,27087000.0,193217000.0,27087000.0,193217000.0,102700000.0,76368866.6666667,15904733.3333333,102700000.0,27087000.0,27087000.0,102700000.0,0.982,0.982,4.474227,7.482759,4.8502935,1.1410186,4.8502935,3.123,3.1228983,32309895.6131924,32312000.0,19060533.3333333,32312000.0,0.26374,1.2096207,5.625,0.6511783,2.5,0.9249399,0.43864,0.09768,1.16,1.94,9.25,0.2097297,1.940966,13500300,27086000,2.0063258,115,100897232,117182608,235530.4347826,21.143,0.6948521,4.5923708,0.6948521,4.5923708,0.6948521,17.0053427,41.4875347,0.6948521,8.5857791,0.54,0.54,11106933.3333333,18274000.0,9.0841665,5.5213545,5.5213545,0.13157,0.1870281,0.1870281,0.4334674,USD,USD,1.0,1.0,0,0,0,0,9.25,6.97,20.54,10.279784,-10.0175646,32.7116212,-54.9659202,0.3360354,0.3370354,9.2949497,6.773578,0.0316297,0.1265186,0.0,0.0,10.5378422,7.6063194,6.783578,0.1365186,0.01,7.6163194,7.1999487,53694266.6666667,65567266.6666667,65567266.6666667,47251933.3333333,55535333.3333333,55535333.3333333,0.5131177,0.5877435,37594200.0,45333733.3333333,45333733.3333333,6442333.3333333,10031933.3333333,10031933.3333333,3.893115,None
ATH,Athene Holding Ltd.,Financial Services,Bermuda,407878363.7379645,13680400000.0,1632000000.0,7144466666.666667,20704000000.0,3202000000.0,30167000000.0,3202000000.0,30167000000.0,20704000000.0,13680400000.0,1632000000.0,20704000000.0,3202000000.0,3202000000.0,20704000000.0,0.244,0.244,3.7494273,7.357304,4.2004119,0.6064206,4.2004119,0,100000,0.0,0,0,0,0.15466,0.2825505,2.5,0.369086,2.5,0.3237293,0.85826,0.04735,8.9,17.464,65.06,0.2684291,0.7259585,191743008,3216000000,16.7724499,1350,5043586560,12555332608,2382222.2222222,0.1055284,0.3266947,0.1055284,0.3266947,0.1055284,0.3266947,0.1055284,3.4985129,0.3266947,5.9657214,0.55,0.55,3518266666.6666665,5009000000.0,1.433543,1.0069049,1.0069049,10.4136741,10.6030744,10.6030744,3.2572362,USD,USD,1.0,1.0,0,0,0,0,65.06,30.05,70.37,57.21777,13.7059344,116.5058236,-7.5458292,1.7366071,27.4289699,1.1033605,1.1009485,3.4805176,4.1134905,0.1965776,0.1867533,3.8680631,4.578943,1.1109485,4.1234905,0.1967533,4.588943,2.8499458,170722600000.0,201457400000.0,201457400000.0,15236533333.333334,17303533333.333332,17303533333.333332,0.1158942,0.2850489,47454800000.0,62663600000.0,62663600000.0,154495133333.33334,182982666666.66666,182982666666.66666,0.1817108,None
AZPN,"Aspen Technology, Inc.",Technology,United States,97548754.8988671,579068200.0,241644666.6666667,1248819733.3333333,719282000.0,325949000.0,6252252000.0,325949000.0,6252252000.0,719282000.0,579068200.0,241644666.6666667,719282000.0,325949000.0,325949000.0,719282000.0,12.407,12.407,27.23044,25.819105,27.0540231,12.111687,27.0540231,23.209,22.9843056,388865514.6494894,396395000.0,267499866.6666667,396395000.0,0.44703,2.2591521,5.625,1.0567592,2.5,1.6667367,1.00456,0.00624,4.92,4.665,125.87,0.037062,11.788233,68014896,318888000,4.6885024,1710,8850427904,8639932416,186484.2105263,0.494,0.0559095,-0.0083678,0.0559095,-0.0083678,0.0559095,0.3684081,6.3196628,0.0559095,2.6145196,2,2,233038266.6666667,272619000.0,37.9784317,32.4644574,32.4644574,1.2501846,1.0284342,1.0284342,1.0151175,USD,USD,1.0,1.0,0,0,0,0,125.87,108.15,162.56,144.56871,-12.9341335,16.3846509,-22.570128,0.6513509,0.6523509,1.6092959,2.0178371,0.0618249,0.1250744,1.6566623,2.1247388,2.0793997,4.7797519,2.0278371,0.1350744,2.1347388,4.7897519,3.4087945,1012808533.3333334,1324540533.3333333,1324540533.3333333,382248933.3333333,664137933.3333334,664137933.3333334,0.3460846,0.5907851,249674466.6666667,510110533.3333333,510110533.3333333,630559600.0,660402600.0,660402600.0,4.0536602,None
BDN,Brandywine Realty Trust,Real Estate,United States,169301510500.81186,532971800.0,198032866.6666667,0,464416000.0,300263000.0,0,300263000.0,0,464416000.0,532971800.0,198032866.6666667,464416000.0,300263000.0,300263000.0,464416000.0,9.125,9.125,7.894737,98.57143,19.2293236,5.078249,19.2293236,20.844,20.8440008,203301014.6804836,203301000.0,242670933.3333333,203301000.0,0.64654,1.1787034,2.5,0.1889228,1.0,0.8952595,1.0792,0.01576,0.14,1.748,13.68,0.1277778,1.3551999,170900000,299836992,1.7544587,341,4237606656,2358419968,879287.3665689,4.3275902,-0.0296087,4.3275902,-0.0296087,4.3275902,-0.0296087,4.3275902,21.0528608,-0.0296087,0.2470391,31,31,225376466.6666667,204612000.0,18.8023476,20.7104503,20.7104503,1.2486522,1.2086205,1.2086205,1.1003728,USD,USD,1.0,1.0,0.19,0.19,0.19,0.19,0.2365591,8.55,15.17,13.370215,2.3169784,60.0,-9.8220171,1.5498489,13.8591383,1.8117295,1.8326784,0.2287824,0.2011889,5.0177807,5.2558533,1.641068,1.5254463,1.8426784,0.2111889,5.2658533,1.5354463,1.6890623,3976941600.0,3897825866.6666665,3897825866.6666665,1766099066.6666667,1760238000.0,1760238000.0,0.1770335,0.2705809,96907533.3333333,78481333.3333333,78481333.3333333,2199671466.6666665,2126991333.3333333,2126991333.3333333,0.2451781,None
BIIB,Biogen Inc.,Healthcare,United States,258496386255024.84,13616540000.0,4463953333.333333,15063760000.0,12604300000.0,3011700000.0,56237500000.0,3011700000.0,56237500000.0,12604300000.0,13616540000.0,4463953333.333333,12604300000.0,3011700000.0,3011700000.0,12604300000.0,4.54,4.54,17.741434,16.48603,17.5845085,4.088085,17.5845085,13.805,13.7934575,4152056862.5860195,4159000000.0,6167486666.666667,4159000000.0,0.23894,0.7976782,2.5,0.4257346,2.5,0.6215888,0.86845,0.0065,20.76,19.291,340.68,0.056625,4.825112,150555008,3011699968,20.003984,9100,57223294976,51527450624,330956.0404396,-0.707,-0.0037249,0.0172288,-0.0037249,0.0172288,-0.0037249,-0.5259428,0.1974057,-0.0037249,0.2496275,-1.72,58139.5348837,5271946666.666667,3531500000.0,10.8543008,16.2036797,16.2036797,1.155913,1.2655416,1.2655416,1.1259629,USD,USD,1.0,1.0,0,0,0,0,340.68,223.25,468.55,300.7167,13.2893517,52.600224,-27.2905773,0.9574399,0.9584399,1.8827791,1.7895185,0.5072691,0.5406533,0.6351474,0.5571256,1.9060966,2.0619618,1.7995185,0.5506533,0.5671256,2.0719618,1.9357401,25341253333.333332,24312880000.0,24312880000.0,11844480000.0,10738966666.666666,10738966666.666666,0.2238726,0.380446,3495180000.0,3608940000.0,3608940000.0,13507486666.666666,13591000000.0,13591000000.0,2.6025345,None
