pi,ev,pe,evr / pm,0.12417,64.26959,100.69842,164.4135,308.25761
0.000010,3.000000,44147.188307,172.311000,306.000000,203.000000,153.000000,102.000000,50.000000
0.000010,3.000000,44147.188307,3.949400,187.000000,107.000000,77.000000,53.000000,20.000000
0.000010,3.000000,44147.188307,2.099000,124.000000,62.000000,41.000000,31.000000,8.000000
0.000010,3.000000,44147.188307,1.089635,61.000000,30.000000,19.000000,11.000000,0.000000
0.000010,3.000000,15.352543,172.311000,155.000000,100.000000,77.000000,50.000000,24.000000
0.000010,3.000000,15.352543,3.949400,124.000000,71.000000,52.000000,35.000000,13.000000
0.000010,3.000000,15.352543,2.099000,87.000000,41.000000,28.000000,21.000000,0.000000
0.000010,3.000000,15.352543,1.089635,48.000000,23.000000,16.000000,9.000000,0.000000
0.000010,3.000000,9.824231,172.311000,77.000000,50.000000,44.000000,28.000000,9.000000
0.000010,3.000000,9.824231,3.949400,65.000000,39.000000,33.000000,22.000000,0.000000
0.000010,3.000000,9.824231,2.099000,47.000000,25.000000,20.000000,15.000000,0.000000
0.000010,3.000000,9.824231,1.089635,30.000000,18.000000,14.000000,9.000000,0.000000
0.000010,43795.000000,44147.188307,172.311000,102.000000,64.000000,45.000000,31.000000,15.000000
0.000010,43795.000000,44147.188307,3.949400,54.000000,27.000000,17.000000,13.000000,0.000000
0.000010,43795.000000,44147.188307,2.099000,34.000000,15.000000,10.000000,8.000000,0.000000
0.000010,43795.000000,44147.188307,1.089635,16.000000,0.000000,0.000000,0.000000,0.000000
0.000010,43795.000000,15.352543,172.311000,38.000000,21.000000,14.000000,10.000000,0.000000
0.000010,43795.000000,15.352543,3.949400,31.000000,15.000000,10.000000,8.000000,0.000000
0.000010,43795.000000,15.352543,2.099000,19.000000,7.000000,0.000000,0.000000,0.000000
0.000010,43795.000000,15.352543,1.089635,9.000000,0.000000,0.000000,0.000000,0.000000
0.000010,43795.000000,9.824231,172.311000,12.000000,0.000000,0.000000,0.000000,0.000000
0.000010,43795.000000,9.824231,3.949400,10.000000,0.000000,0.000000,0.000000,0.000000
0.000010,43795.000000,9.824231,2.099000,8.000000,0.000000,0.000000,0.000000,0.000000
0.000010,43795.000000,9.824231,1.089635,0.000000,0.000000,0.000000,0.000000,0.000000
0.039500,3.000000,44147.188307,172.311000,92.000000,58.000000,45.000000,33.000000,16.000000
0.039500,3.000000,44147.188307,3.949400,63.000000,31.000000,24.000000,20.000000,0.000000
0.039500,3.000000,44147.188307,2.099000,48.000000,21.000000,14.000000,14.000000,0.000000
0.039500,3.000000,44147.188307,1.089635,21.000000,9.000000,0.000000,0.000000,0.000000
0.039500,3.000000,15.352543,172.311000,58.000000,33.000000,26.000000,19.000000,9.000000
0.039500,3.000000,15.352543,3.949400,47.000000,23.000000,17.000000,15.000000,0.000000
0.039500,3.000000,15.352543,2.099000,35.000000,15.000000,9.000000,9.000000,0.000000
0.039500,3.000000,15.352543,1.089635,16.000000,7.000000,0.000000,0.000000,0.000000
0.039500,3.000000,9.824231,172.311000,31.000000,17.000000,14.000000,10.000000,0.000000
0.039500,3.000000,9.824231,3.949400,28.000000,14.000000,11.000000,10.000000,0.000000
0.039500,3.000000,9.824231,2.099000,20.000000,9.000000,0.000000,0.000000,0.000000
0.039500,3.000000,9.824231,1.089635,12.000000,0.000000,0.000000,0.000000,0.000000
0.039500,43795.000000,44147.188307,172.311000,22.000000,14.000000,12.000000,9.000000,0.000000
0.039500,43795.000000,44147.188307,3.949400,11.000000,0.000000,0.000000,0.000000,0.000000
0.039500,43795.000000,44147.188307,2.099000,9.000000,0.000000,0.000000,0.000000,0.000000
0.039500,43795.000000,44147.188307,1.089635,0.000000,0.000000,0.000000,0.000000,0.000000
0.039500,43795.000000,15.352543,172.311000,7.000000,0.000000,0.000000,0.000000,0.000000
0.039500,43795.000000,15.352543,3.949400,0.000000,0.000000,0.000000,0.000000,0.000000
0.039500,43795.000000,15.352543,2.099000,0.000000,0.000000,0.000000,0.000000,0.000000
0.039500,43795.000000,15.352543,1.089635,0.000000,0.000000,0.000000,0.000000,0.000000
0.039500,43795.000000,9.824231,172.311000,0.000000,0.000000,0.000000,0.000000,0.000000
0.039500,43795.000000,9.824231,3.949400,0.000000,0.000000,0.000000,0.000000,0.000000
0.039500,43795.000000,9.824231,2.099000,0.000000,0.000000,0.000000,0.000000,0.000000
0.039500,43795.000000,9.824231,1.089635,0.000000,0.000000,0.000000,0.000000,0.000000
