"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,quarterized_revenue,quarterized_earnings,effective_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,skip_reason
ACC,American Campus Communities Inc,Real Estate,United States,1.98667E+12,886327133.3,81701866.67,225633666.7,11453200,46577533.33,555980400,886327133.3,81701866.67,225633666.7,11453200,46577533.33,555980400,12.228,12.228,1209.2307,117.9,936.39803,7.61418,936.39803,26.835,0.00886,0.23033,2.5,0.04656,1,0.15618,1.00016,0.4,0.039,46.26,0.00084,2.11822,137866000,5352000,0.03882,2988,10441745408,6501760512,1791.16466,-0.807,-0.75,-0.05261,-0.05261,-0.05261,-0.05261,-0.6184,0.4316,-0.6184,0.4316,10.36,10.36,357491400,72028733.33,29.20838,144.96639,87.08739,1.26737,1.4067,1.33703,1.1563,USD,1,0.47,0.47,0.47,0.47,46.26,31.07,47.54,43.09609,7.34152,48.8896,-2.69247,1.84457,39.3881,1.83757,1.72633,0,0,0.94214,1.20735,1.27934,1.19925,1.79195,0.01,1.08475,1.2493,1.52062,None
ACI,"Albertsons Companies, Inc.",Consumer Defensive,United States,83236664.7,65889146667,598380000,16138720000,33093333.33,315736666.7,41013933333,65889146667,598380000,16138720000,33093333.33,315736666.7,41013933333,0.329,0.329,28.35402,0,28.35402,0.12846,28.35402,5.934,0.0122,0.30761,34.80469,0.00139,1,0.18946,0.73627,0,0,18.98,0,1000,466513984,764200000,1.63811,300000,22951628800,8952403968,2547.33333,0.3952,-0.75,0.3952,0.3952,0.3952,0.3952,0.3952,3.02599,0.3952,3.02599,-0.79,7.9,2882013333,780166666.7,7.96375,29.41888,18.69131,14.91276,17.4321,16.17243,4.0215,USD,1,0.1,0.1,0,0,2.08907,12.91,20.89,17.46072,8.70111,47.01782,-9.14313,1.5213,12.39638,1.10748,1.12555,0.2465,0.30231,0.21595,0.23885,1.04757,1.06704,1.12652,0.2844,0.2374,1.06731,1.09691,None
ADM,Archer-Daniels-Midland Company,Consumer Defensive,United States,1.90834E+14,64198266667,1660466667,17972600000,611933333.3,1136200000,41085433333,64198266667,1660466667,17972600000,611933333.3,1136200000,41085433333,0.702,0.702,18.07389,15.1549,17.34414,0.5444,17.34414,14.402,0.03032,0.06468,2.5,0.08386,2.5,0.08073,0.81444,4.39,3.681,66.6,0.05527,1.78446,558702016,2070000000,3.70502,37575,47943507968,37170446336,55089.82036,0.762,-0.75,0.04168,0.04168,0.04168,0.04168,0.58192,3.95959,0.58192,3.95959,1.78,1.78,-3762000000,-202466666.7,2118929.605,13294711556,6648415243,1.36469,1.43764,1.40117,1.18371,USD,1,0.37,0.37,0.36,0.36,66.6,37.54,68.68,55.8021,19.35035,77.41076,-3.02854,1.86641,42.27095,1.74317,1.70064,0.93227,0.96337,0.38671,0.38964,1.55365,1.5767,1.7319,0.95782,0.39818,1.57517,1.65354,None
ADS,Alliance Data Systems Corporati,Financial Services,United States,1095315.586,5020286667,369100000,1079940000,176173333.3,272636666.7,3050113333,5020286667,369100000,1079940000,176173333.3,272636666.7,3050113333,4.724,4.724,12.48324,8.84868,11.5746,1.42477,23.14921,18.847,0.11123,0.17689,2.5,0.40778,2.5,0.30945,0.93266,13.68,9.697,121.87,0.07957,3.40996,49722700,551200000,11.08548,8000,19955326976,6018932736,68900,8.54,-0.75,-0.21822,-0.21822,-0.21822,-0.21822,6.35044,32.80222,6.35044,32.80222,0.41,0.41,1869420000,470080000,10.67461,42.45092,26.56276,14.19123,12.79763,13.49443,3.67348,USD,1,0.21,0.21,0.21,0.21,13.41298,38.88,127.99,92.16355,32.23232,213.45165,-4.78162,1.86264,41.76148,1.07098,1.08026,0.9553,1.16044,2.06855,1.31709,1.99563,1.83214,1.08562,1.06787,1.70282,1.92388,1.50475,None
AEE,Ameren Corporation,Utilities,United States,27454223.4,5655400000,828866666.7,1363400000,201333333.3,515100000,3509400000,5655400000,828866666.7,1363400000,201333333.3,515100000,3509400000,6.029,6.029,24.05714,20.8933,23.26618,3.88186,23.26618,13.489,0.15722,2.27302,15.46875,0.35601,2.5,1.43305,0.76977,4.03,3.5,83.67,0.04183,2.38622,255410000,871000000,3.4102,9183,33398321152,21505521664,94849.17783,0.223,-0.75,0.0479,0.0479,0.0479,0.0479,0.17922,1.94612,0.17922,1.94612,2.91,2.91,1930266667,454800000,17.30244,73.43518,45.36881,2.56793,2.5813,2.57461,1.60456,USD,1,0.55,0.515,0.495,0.495,83.67,67.14,86.9,78.47413,6.62112,24.6202,-3.71692,1.67308,21.93287,1.39603,1.39378,0.35816,0.33731,0.27695,0.28663,0.66936,0.75506,1.40491,0.35774,0.29179,0.72221,1.06356,None
AEP,American Electric Power Company,Utilities,United States,15394182.29,15293993333,2069693333,4021200000,557333333.3,1313513333,9657596667,15293993333,2069693333,4021200000,557333333.3,1313513333,9657596667,5.194,5.194,18.81838,17.26908,18.43105,2.7814,18.43105,13.926,0.14755,0.3392,2.5,0.3457,2.5,0.32553,0.74601,4.98,4.57,85.55,0.05342,2.04718,499750016,2279899904,4.56208,16787,80262938624,42978500608,135813.4213,0.161,-0.75,0.0389,0.0389,0.0389,0.0389,0.13048,1.70238,0.13048,1.70238,3.03,3.03,4164026667,412513333.3,19.27532,194.57053,106.92292,2.83342,2.92055,2.87699,1.69617,USD,1,0.74,0.74,0.74,0.7,85.55,74.8,94.21,83.5029,2.45153,14.37166,-9.19223,1.10768,1.84705,1.35765,1.34658,0.14308,0.11668,0.49011,0.57908,0.43708,0.4312,1.36212,0.13988,0.54459,0.44414,0.90313,None
AFL,AFLAC Incorporated,Financial Services,United States,533756.8213,22105800000,4125600000,5822733333,1324600000,2725100000,13964266667,22105800000,4125600000,5822733333,1324600000,2725100000,13964266667,1.794,1.794,7.28441,11.07031,8.23089,1.68564,16.46177,7.691,0.24088,0.46655,2.5,0.57041,2.5,0.50366,0.62552,5.12,7.781,56.82,0.13694,1.20184,679667008,5504999936,8.09955,12003,41005932544,38523527168,458635.3358,1.284,-0.75,0.08987,0.08987,0.08987,0.08987,0.98547,5.97734,0.98547,5.97734,1.64,1.64,5842666667,1436200000,7.01836,28.55169,17.78502,4.20018,3.95602,4.0781,2.01943,USD,1,0.33,0.33,0.28,0.28,6.16442,33.37,57.35,48.71667,16.63359,70.2727,-2.76024,1.9558,55.96828,1.23976,1.25294,0.24066,0.27466,0.10026,0.11546,0.60401,0.63932,1.25635,0.26766,0.11786,0.63166,0.94401,None
AGNC,AGNC Investment Corp.,Real Estate,United States,3.06419E+11,278000000,110200000,896400000,862800000,486500000,587200000,278000000,110200000,896400000,862800000,486500000,587200000,14.31,14.31,3.35809,7.66116,4.43385,2.88773,4.43385,99.12736,0.92878,2.00341,2.5,2.40498,2.5,2.08936,0.54471,2.42,5.521,18.51,0.29827,0.98549,524900000,3030000128,5.77253,50,48225460224,9731646464,60600002.56,-0.47784,-0.75,-0.47784,-0.47784,-0.47784,-0.47784,-0.47784,0.57216,-0.47784,0.57216,-130.6,1306,1478800000,455857142.9,32.61121,105.79073,69.20097,8.52821,7.57177,8.04999,2.83725,USD,1,0.12,0.12,0.12,0.12,18.51,12.43,18.67,16.40688,12.8185,48.91392,-0.85699,1.94872,54.76384,1.13515,1.15279,0.07715,0.09345,0,0,0.19024,0.22647,1.15397,0.0953,0.01,0.21836,0.68616,None
AGR,"Avangrid, Inc.",Utilities,United States,4339305.819,6321400000,591400000,1782400000,239866666.7,415633333.3,4051900000,6321400000,591400000,1782400000,239866666.7,415633333.3,4051900000,4.031,4.031,24.16514,21.59016,23.52139,2.50946,23.52139,13.84,0.10389,0.23361,2.5,0.80772,6.25,0.55314,0.14917,2.44,2.18,52.53,0.0415,1.07056,309491008,675000000,2.181,7000,26188949504,16303986688,96428.57143,0.392,-0.75,0.00925,0.00925,0.00925,0.00925,0.29631,2.53156,0.29631,2.53156,2.62,2.62,1465400000,253857142.9,17.87154,103.16412,60.51783,1.32365,1.37492,1.34929,1.16159,USD,1,0.44,0.44,0.44,0.44,52.53,40.65,56.2,48.22543,8.92593,29.22509,-6.53025,1.52797,12.72613,1.78671,1.7601,0.57,0.4706,0.34166,0.35072,0.94234,0.91022,1.78341,0.5303,0.35619,0.93628,1.35984,None
AIRC,Apartment Income REIT Corp.,Real Estate,United States,2.09422E+11,768716866.7,180769600,183782000,10355533.33,95562566.67,476249433.3,768716866.7,180769600,183782000,10355533.33,95562566.67,476249433.3,15.458,15.458,76.43429,0,76.43429,10.28876,76.43429,28.385,-0.03879,0.21348,1,0.05636,1,0.14255,1.04651,0,0,45.96,0,1000,156811008,-34975000,-0.22304,900,10974161920,7304257024,-38861.11111,11.394,-0.75,-0.56859,-0.56859,-0.56859,-0.56859,8.40335,43.06676,8.40335,43.06676,1,1,328111333.3,89993000,33.44646,121.94462,77.69554,3.27337,3.48499,3.37918,1.83825,USD,1,0.43,0.43,0,0,45.96,35.99,47.48,42.07982,9.22099,27.70214,-3.20135,1.73542,27.31686,1.34324,1.31359,2.56154,1.54963,5187.61538,5187.61538,0.86335,0.62821,1.33842,2.06559,5187.62538,0.75578,1.0471,None
AIZ,"Assurant, Inc.",Financial Services,United States,3743437.041,9529106667,405760000,2529946667,100246666.7,253003333.3,6029526667,9529106667,405760000,2529946667,100246666.7,253003333.3,6029526667,0.882,0.882,23.04447,13.55341,20.67171,0.96667,41.34341,9.585,0.04379,0.24294,5.625,0.03948,1,0.16697,0.93866,11.89,6.993,160.64,0.04353,1.5704,60519000,423100000,6.99119,13600,8901200896,9752636416,31110.29412,0.091,-0.75,0.05058,0.05058,0.05058,0.05058,0.0809,1.45448,0.0809,1.45448,0.86,0.86,1215560000,444593333.3,7.32272,20.02099,13.67186,6.66022,6.48854,6.57438,2.56406,USD,1,0.66,0.66,0.66,0.63,160.64,96.72,163.24,140.0479,14.70361,66.08768,-1.59275,1.92183,50.38336,1.15071,1.15446,0.63629,0.57894,0.26812,0.27502,0.61106,0.58967,1.16259,0.61761,0.28157,0.61037,0.88648,None
