"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,quarterized_revenue,quarterized_earnings,effective_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,skip_reason
QDEL,Quidel Corporation,Healthcare,United States,0.66027,1117014466.66667,460945400.0,492892400.0,255825333.33333,358385366.66667,804953433.33333,1117014466.66667,460945400.0,492892400.0,255825333.33333,358385366.66667,804953433.33333,2.026,2.026,4.78703,9.86445,6.05639,2.37778,6.05639,2.935,0.5091,0.70516,2.25,1.23846,2.5,0.99189,0.86958,10.55,21.74,107.84,0.20159,2.97199,42550800,948134016,22.2824,1370,3772541440,4428261888,692068.62482,3.426,0.3402,0.61748,0.3402,0.61748,0.3402,2.72387,14.66934,0.3402,2.75101,1.02,1.02,391762866.66667,442672466.66667,9.62966,8.5222,9.07593,0.70988,0.42748,0.56868,0.75411,USD,1.0,0,0,0,0,-0.31013,103.34,306.72,165.04875,-34.66173,4.35456,-64.8409,0.04425,0.04525,2.91567,3.36341,0.20021,0.02001,0.40734,0.51687,2.61237,3.23644,3.14954,0.12011,0.4721,2.9344,3.04197,None
BIDU,"Baidu, Inc.",Communication Services,China,48.5651,16176955438.0,2675689534.0,4386517548.0,2628654070.0,2652171802.0,10281736493.0,16176955438.0,2675689534.0,4386517548.0,2628654070.0,2652171802.0,10281736493.0,-0.036,6.31804,2.97091,16.56567,6.3696,0.57659,6.3696,24.4933,0.42679,0.41626,2.5,1.51414,2.5,1.05663,0.65118,11.65,64.96,189.97,0.34195,0.35376,269560000,47995998208,178.05312,41000,64960434176,64960434176,1170634.10263,624.683,0.01675,0.25842,0.01675,0.25842,0.01675,468.57685,2343.93427,0.01675,1.13373,56.65,56.65,4218393396.0,673673518.0,15.39933,96.42717,55.91325,0.79052,0.68396,0.73724,0.85863,CNY,0.15351,0,0,0,0,0.62326,111,354.82,220.39227,-13.80369,71.14414,-46.46018,0.64777,0.64877,2.34896,2.54571,0.2133,0.95584,1.95647,2.84894,2.68586,2.78556,2.45734,0.59457,2.41271,2.74571,2.60152,None
LITE,Lumentum Holdings Inc.,Technology,United States,195.27581,1545800000.0,88806666.66667,436273333.33333,151093333.33333,119950000.0,991036666.66667,1545800000.0,88806666.66667,436273333.33333,151093333.33333,119950000.0,991036666.66667,3.11,3.11,17.25779,14.50266,16.56901,3.61837,5.523,10.358,0.21596,0.12722,2.25,1.69386,4.8125,1.0578,0.97583,5.65,4.748,80.69,0.05884,2.86885,75900000,371200000,4.89065,5473,5344947200,6219246080,67823.8626,4.196,0.06785,0.42857,0.06785,0.42857,0.06785,3.25414,17.32071,0.06785,1.38923,1.04,1.04,406320000.0,259766666.66667,13.15453,20.57595,16.86524,0.82621,0.77818,0.80219,0.89565,USD,1.0,0,0,0,0,0.0325,65.67,112.08,89.46735,-9.81068,22.87194,-28.00678,0.64727,0.64827,2.25964,2.29149,1.50741,0.37685,2.05067,1.185,6.11126,4.43403,2.28556,0.95213,1.62784,5.28265,3.78411,None
ATH,Athene Holding Ltd.,Financial Services,Bermuda,554.22125,13680400000.0,1632000000.0,5375733333.33333,762066666.66667,1197033333.33333,9528066666.66667,13680400000.0,1632000000.0,5375733333.33333,762066666.66667,1197033333.33333,9528066666.66667,0.234,0.234,3.59883,7.0302,4.45667,0.58206,8.91335,4.04361,0.15466,0.30687,2.5,0.36909,2.5,0.33068,0.85896,8.94,17.464,62.85,0.27787,0.6968,191743008,3216000000,16.77245,1350,4840338944,12051047424,2382222.22222,1.27999,-0.66774,-0.01605,-0.00718,-0.01605,-0.00718,0.95599,1.03395,0.96485,1.41311,0.55,0.55,3518266666.66667,1706733333.33333,1.37577,2.83603,2.1059,10.41367,10.60307,10.50837,3.24166,USD,1.0,0,0,0,0,56.71473,29,63.64,49.65625,26.57017,116.72414,-1.24136,1.95439,55.72688,1.10336,1.10095,3.48052,4.11349,0.19658,0.18675,3.86806,4.57894,1.11215,3.807,0.20167,4.2335,2.67283,None
JD,"JD.com, Inc.",Consumer Cyclical,China,1562.31743,97840522589.26399,4491118044.154,31440945540.172,1615000655.282,3053059349.718,64640734064.71799,97840522589.26399,4491118044.154,31440945540.172,1615000655.282,3053059349.718,64640734064.71799,0.067,0.067,14.69225,29.46484,18.3854,0.1479,18.3854,3.305,0.06471,0.09048,2.25,0.12413,2.5,0.11603,0.4215,2.56,5.134,75.52,0.06798,0.61846,1558989952,51949686784,33.32266,310000,53814632448,118726819840,167579.63479,2.372,-0.66282,0.50465,0.12184,0.50465,0.12184,1.90516,10.57581,3.96918,20.8959,73.1,73.1,5199885032.958,1324001091.1256,10.3492,67.00201,37.22263,1.55285,1.09177,1.32231,1.14992,CNY,0.15351,0,0,0,0,6.90726,56.6,108.29,84.93507,-11.08502,33.42756,-30.26134,0.73206,0.73306,1.8616,2.10306,0.27037,0.51417,3.36946,3.99213,1.16506,1.34797,1.99233,0.40227,3.6908,1.26652,1.62942,None
BRK.B,Berkshire Hathaway Inc. New,Financial Services,United States,1627.65951,247924600000.0,47921200000.0,63813600000.0,21573133333.33333,34747166666.66666,155869100000.0,247924600000.0,47921200000.0,63813600000.0,21573133333.33333,34747166666.66666,155869100000.0,-0.073,4.28879,0.00442,24.31588,6.08229,2.68638,12.16457,19.23869,0.41784,0.48063,2.5,2.12321,6.25,1.42028,0.67763,12.03,66140.91,291.97,226.53324,0.001,1326569984,103978000384,78.38109,360000,668490072064,668490072064,288827.77884,-0.03991,-0.67545,-0.03991,-0.03636,-0.03991,-0.03636,-0.03991,1.01009,-0.03636,1.04555,1.02,1.02,39564000000.0,10054800000.0,16.89642,66.48467,41.69055,0.95551,0.9621,0.95881,0.97919,USD,1.0,0,0,0,0,26.55971,174.63,295.08,251.0342,16.30686,67.19349,-1.05395,1.94836,54.70357,2.06284,2.05694,0.30102,0.09651,0.2397,0.33536,3.73034,2.13713,2.06989,0.20877,0.29753,2.94373,2.50681,None
CNC,Centene Corporation,Healthcare,United States,2755.75153,85054800000.0,1491733333.33333,27524666666.66667,525733333.33333,1008733333.33333,56289733333.33334,85054800000.0,1491733333.33333,27524666666.66667,525733333.33333,1008733333.33333,56289733333.33334,0.458,0.458,17.06234,12.31724,15.87606,0.38494,15.87606,8.16,0.02276,0.27152,15.46875,0.01895,1.0,0.17437,0.94185,5.8,4.187,72.41,0.05782,1.58025,582734976,2460999936,4.22319,71300,49545371648,41630588928,34516.12813,14.196,0.15577,0.14905,0.15577,0.14905,0.15577,10.68426,54.47131,0.15577,1.82886,1.22,1.22,3594200000.0,938533333.33333,13.78481,52.79021,33.28751,1.87467,1.66315,1.76891,1.33,USD,1.0,0,0,0,0,0.07785,53.6,74.52,63.54228,13.95562,35.09328,-2.83145,1.79828,33.81759,1.54797,1.60558,2.56348,2.90808,0.69619,0.4294,1.19289,1.12251,1.58677,2.74578,0.5728,1.1677,1.37724,None
LOPE,"Grand Canyon Education, Inc.",Consumer Defensive,United States,3578.03798,835498400.0,250373933.33333,228744266.66667,74867866.66667,162620900.0,532121333.33333,835498400.0,250373933.33333,228744266.66667,74867866.66667,162620900.0,532121333.33333,4.695,4.695,15.85755,13.16176,15.1836,4.77914,15.1836,12.976,0.30711,0.75324,2.5,0.81191,2.5,0.73304,1.04494,6.8,5.644,88.62,0.06369,2.58715,46344800,263923008,5.69477,3650,4035118336,4107074560,72307.67342,0.094,0.00119,0.02395,0.00119,0.02395,0.00119,0.07649,1.43244,0.00119,1.05594,0.2,0.2,293268533.33333,85798066.66667,13.75912,47.03041,30.39477,0.17077,0.18324,0.177,0.42072,USD,1.0,0,0,0,0,-0.12075,75.64,115.96,98.04919,-9.6168,17.16023,-23.5771,0.64385,0.64485,7.33856,6.46792,1.72753,0.61324,58.12673,46.41297,2.70013,2.47178,6.91324,1.18039,52.27985,2.59596,4.7546,None
CRUS,"Cirrus Logic, Inc.",Technology,United States,5759.97038,1332104666.66667,181248066.66667,348579933.33333,53126733.33333,117187400.0,840342300.0,1332104666.66667,181248066.66667,348579933.33333,53126733.33333,117187400.0,840342300.0,3,3,21.44751,15.1345,19.86926,3.26189,6.62309,14.431,0.15873,0.33757,2.5,0.34138,2.5,0.3242,0.88879,5.13,3.62,76.68,0.04721,3.22251,57525400,217344000,3.77823,1481,4107414784,4466272256,146754.89534,1.489,0.01185,0.12649,0.01185,0.12649,0.01185,1.14837,6.79187,0.01185,1.10924,1.87,1.87,313794600.0,133400933.33333,13.0895,30.79,21.93975,0.28849,0.30881,0.29865,0.54649,USD,1.0,0,0,0,0,0.11925,55.3,103.25,82.99478,-7.60865,38.66184,-25.73366,0.89176,0.89276,4.58553,4.24215,0.92333,0.83286,0.61296,0.77863,4.20956,4.07599,4.42384,0.88809,0.70579,4.15278,4.28831,None
HOLX,"Hologic, Inc.",Healthcare,United States,6365.31864,3545000000.0,576006666.66667,1483780000.0,580300000.0,578153333.33333,2514390000.0,3545000000.0,576006666.66667,1483780000.0,580300000.0,578153333.33333,2514390000.0,3.324,3.324,8.33837,14.4228,9.85948,2.92606,9.85948,6.109,0.35865,0.34476,2.25,0.95896,2.5,0.7097,0.97636,4.21,7.282,60.98,0.11942,4.09993,256232992,1907000064,7.44245,5814,17671847936,15558467584,328001.387,5.437,0.04283,0.34483,0.04283,0.34483,0.04283,4.16396,21.86978,0.04283,1.26414,4.14,4.14,749660000.0,541640000.0,23.57315,32.62656,28.09985,1.81821,1.3022,1.5602,1.24908,USD,1.0,0,0,0,0,0.14818,49.19,85,72.6097,-16.01673,23.96829,-28.25882,0.65848,0.65948,1.55527,1.7935,0.15503,0.29599,0.61131,1.07274,1.61985,2.36303,1.68438,0.23551,0.85203,2.00144,1.84291,None
