"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,quarterized_revenue,quarterized_earnings,effective_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,skip_reason
A,"Agilent Technologies, Inc.",Healthcare,United States,1235871932.88784,5177600000.0,756800000.0,1507933333.33333,234866666.66667,495833333.33333,3342766666.66667,5177600000.0,756800000.0,1507933333.33333,234866666.66667,495833333.33333,3342766666.66667,7.79,7.79,48.49833,31.45553,46.36798,7.56443,46.36798,29.273,0.15902,0.82075,5.625,0.38908,2.5,0.61288,0.89521,4.61,2.99,146.92,0.02035,9.14659,303443008,925000000,3.04835,16500,45314412544,44002267136,56060.60606,1.139,0.02336,-0.00942,0.02336,-0.00942,0.02336,0.8519,5.30948,0.02336,1.16682,2.74,2.74,967666666.66667,384800000.0,46.82854,117.76095,82.29474,0.94996,1.0811,1.01553,1.00774,USD,USD,1.0,1.0,0.194,0.194,0.18,0.18,0.63798,84.8,147.68,127.00746,15.67824,73.25472,-0.51463,1.97583,59.49678,2.05912,1.93154,0.24776,0.51529,0.65655,0.66215,2.30858,2.09164,2.00533,0.39153,0.66935,2.21011,2.10772,9355466666.66667,10045333333.33333,9700400000.0,None
AA,Alcoa Corporation,Basic Materials,United States,3725189.99047,10298533333.33333,-338733333.33333,2627066666.66667,72600000.0,-133066666.66667,6462800000.0,10298533333.33333,-338733333.33333,2627066666.66667,72600000.0,-133066666.66667,6462800000.0,0.903,0.903,22214.2912,7.84352,19438.48524,0.6128,19438.48524,7.004,-0.00767,-0.03444,0.0,0.2791,12.03125,0.16237,0.82101,4.09,-0.403,33.58,-0.012,1.84421,186724992,-75000000,-0.40166,12900,8831587328,5990137856,-5813.95349,1.188,-0.05886,0.12786,-0.05886,0.12786,-0.05886,0.92296,5.66482,-0.05886,0.99114,0.04,0.04,534400000.0,53600000.0,16.52617,164.76842,90.6473,2.51252,2.95044,2.73148,1.65272,USD,USD,1.0,1.0,0.09,0.07209,0.07209,0.07209,1.71175,10.431,44.42,29.29927,14.61035,221.92503,-24.40342,1.36215,6.38768,1.61222,1.51127,0.48068,0.22776,0.40494,0.43591,1.52496,1.57563,1.57174,0.36422,0.43042,1.5603,1.56602,15141000000.0,14712533333.33333,14926766666.66667,None
AAL,"American Airlines Group, Inc.",Industrials,United States,1e+50,30231466666.66667,-4015333333.33333,3742933333.33333,-1705133333.33333,-2860233333.33333,16987200000.0,30231466666.66667,-4015333333.33333,3742933333.33333,-1705133333.33333,-2860233333.33333,16987200000.0,3.79,3.79,194808.39154,5832.21136,171186.36902,1.14437,171186.36902,-17.00133,-0.61528,-0.25727,0.0,-0.49629,0.0,-0.36671,0.52213,-0.13,-14.725,22.23,-0.66239,1000.0,641382976,-7894000128,-12.30778,113200,48627777536,14682290176,-69734.98346,-0.53927,-0.25042,-0.53927,-0.25042,-0.53927,-0.25042,-0.53927,0.51073,-0.25042,0.79958,0.06,0.06,-1684933333.33333,-1078400000.0,24289117.39717,92299592.31365,58294354.85541,-193.70425,-10.88813,1023.96189,31.9994,USD,USD,1.0,1.0,0.1,0.1,0.1,0.1,0.49397,10.63,26.09,20.19051,10.10124,109.12512,-14.79494,1.50065,11.42013,0.94496,0.90418,0.05876,0.09274,0.33771,0.4077,0.57998,0.88544,0.93457,0.08575,0.3827,0.74271,0.83864,60665933333.33334,65820933333.33334,63243433333.33334,None
AAP,Advance Auto Parts Inc Advance ,Consumer Cyclical,United States,398855.51552,9881431466.66667,480996733.33333,2912581333.33333,161356000.0,321176366.66667,6397006400.0,9881431466.66667,480996733.33333,2912581333.33333,161356000.0,321176366.66667,6397006400.0,1.412,1.412,20.76807,15.89885,20.15942,1.17809,20.15942,12.228,0.05917,0.27378,5.625,0.138,2.5,0.21433,1.01382,12.16,9.309,194.39,0.04789,3.58324,65438900,635363008,9.70926,40000,15160985600,12651302912,15884.0752,3.266,0.01492,0.01515,0.01492,0.01515,0.01492,2.45329,13.31643,0.01492,1.12459,1.46,1.46,896533400.0,296043600.0,16.91068,51.212,34.06134,2.12421,2.33241,2.22831,1.49275,USD,USD,1.0,1.0,1.0,0.25,0.25,0.25,0.27526,131.9,210.18,176.97913,9.83781,47.3768,-7.51261,1.59658,16.56297,1.48337,1.42922,0.84431,4.04891,0.10776,0.09872,1.35676,1.33546,1.4663,2.45661,0.11324,1.35611,1.4112,11084985666.66667,11878842600.0,11481914133.33333,None
AAPL,Apple Inc.,Technology,United States,98706267.36765,266482666666.66666,56515000000.0,90100600000.0,22710600000.0,39612800000.0,178291633333.3333,266482666666.66666,56515000000.0,90100600000.0,22710600000.0,39612800000.0,178291633333.3333,6.874,6.874,29.32345,24.38505,28.70615,6.6903,9.56872,22.408,0.23451,0.5303,2.5,1.08577,4.375,0.81546,0.58688,5.35,4.449,131.79,0.03376,31.46648,16687599616,76311003136,4.57292,100000,2236806070272,2177064370176,763110.03136,1.101,0.02288,0.01509,0.02288,0.01509,0.02288,0.82952,5.19762,0.02288,1.16439,1.45,1.45,76136600000.0,26954866666.66667,29.37885,82.98338,56.18112,3.28312,3.97866,3.63089,1.90549,USD,USD,1.0,1.0,0.22,0.205,0.205,0.205,0.45412,87.7875,145.09,128.39493,2.64424,50.12388,-9.16672,1.5358,13.12208,1.32436,1.25239,0.26708,0.24896,0.65561,0.99223,1.37408,1.19884,1.29837,0.26802,0.83392,1.29646,1.29742,336795800000.0,338573333333.3333,337684566666.6666,None
ABBV,AbbVie Inc.,Healthcare,United States,551300066.87354,39547866666.66666,5675933333.33333,13049400000.0,2163066666.66667,3919500000.0,26298633333.33333,39547866666.66666,5675933333.33333,13049400000.0,2163066666.66667,3919500000.0,26298633333.33333,5.575,5.575,38.83282,8.12644,34.99452,3.98037,34.99452,11.41,0.10278,0.85852,5.625,0.16548,1.0,0.56255,0.68872,13.92,2.913,114.9,0.02535,14.56793,1766220032,5088999936,2.88129,48000,279844651008,199794819072,106020.832,0.18,0.10346,-0.0982,0.10346,-0.0982,0.10346,0.11045,1.60225,0.10346,1.56731,1.97,1.97,15387600000.0,4878733333.33333,18.18637,57.3601,37.77324,2.22118,9.90783,6.0645,2.46262,USD,USD,1.0,1.0,1.3,1.3,1.18,1.18,0.16295,79.11,118.28,108.85963,5.54877,45.2408,-2.85763,1.82742,37.24163,1.01698,1.10142,0.00816,0.11246,0.11006,0.14299,1.51319,0.85277,1.0692,0.07031,0.13653,1.19298,1.13109,116698000000.0,150336000000.0,133517000000.0,None
ABC,AmerisourceBergen Corporation,Healthcare,United States,111368374204792.72,181768732533.33334,-1344464933.33333,49810393666.66666,-294745933.33333,-819605433.33333,115789563100.0,181768732533.33334,-1344464933.33333,49810393666.66666,-294745933.33333,-819605433.33333,115789563100.0,0.127,0.127,34535.92358,10.83523,30220.28754,0.12091,30220.28754,9.051,-0.01909,-0.00683,0.0,-0.00607,0.0,0.00185,0.67337,10.56,-18.344,118.11,-0.15531,1000.0,207411008,-3746521088,-18.06327,22000,24928131072,23731968000,-170296.41309,-0.547,0.0321,-0.57132,0.0321,-0.57132,0.0321,-0.55308,0.49692,0.0321,1.21049,1.08,1.08,2090621733.33333,166103533.33333,11.92379,150.07586,80.99983,-17.61533,-112.16439,649.89859,25.49311,USD,USD,1.0,1.0,0.44,0.44,0.44,0.42,0.12474,92,125.86,110.83732,6.56158,28.38043,-6.15764,1.54223,13.45549,1.02802,1.0006,7.93169,2.99624,0.1079,0.17397,0.95867,1.03266,1.02431,5.47396,0.15093,1.00566,1.01499,41436180400.0,45916829000.0,43676504700.0,None
ABMD,"ABIOMED, Inc.",Healthcare,United States,36050082.11315,818421400.0,216429200.0,229399333.33333,58088933.33333,137259066.66667,523910366.66667,818421400.0,216429200.0,229399333.33333,58088933.33333,137259066.66667,523910366.66667,15.528,15.528,64.48785,61.02874,64.05546,17.02604,64.05546,51.367,0.2661,1.48375,5.625,1.59055,6.25,1.38083,0.93709,5.22,4.94,312.61,0.0158,10.84641,45296000,225524992,4.97892,1725,13160691712,14429946880,130739.1258,0.788,0.03334,0.05191,0.03334,0.05191,0.03334,0.60398,4.06988,0.03334,1.21668,4.43,4.43,276882933.33333,79634466.66667,47.53161,165.26376,106.39769,0.12993,0.12671,0.12832,0.35821,USD,USD,1.0,1.0,0,0,0,0,0.25096,234.39,387.4,308.7247,1.2585,33.37173,-19.30563,1.02242,1.14227,8.72602,8.90106,0.0,0.0,3.22654,0.92756,5.78517,6.07737,8.82354,0.01,2.08705,5.94127,7.3824,1314385800.0,1438271200.0,1376328500.0,None
ABT,Abbott Laboratories,Healthcare,United States,837560.95496,32868400000.0,3728066666.66667,10099066666.66667,1732866666.66667,2730466666.66667,21483733333.33333,32868400000.0,3728066666.66667,10099066666.66667,1732866666.66667,2730466666.66667,21483733333.33333,5.513,5.513,34.57537,23.62527,33.20661,5.25032,33.20661,19.876,0.1533,3.88333,34.80469,0.42193,2.5,2.3715,0.76004,4.67,3.191,111.63,0.02859,5.84097,1776819968,5693000192,3.20404,109000,205854818304,196036542464,52229.35956,2.179,0.03715,0.21362,0.03715,0.21362,0.03715,1.68766,9.48828,0.03715,1.23576,2.18,2.18,7061466666.66667,2782800000.0,29.15185,73.97399,51.56292,1.2138,1.18325,1.19852,1.09477,USD,USD,1.0,1.0,0.45,0.45,0.36,0.36,0.22128,86.16,128.54,116.20695,-3.93862,29.56128,-13.15544,1.20198,3.0157,1.83154,1.8512,0.11793,0.1213,0.3138,0.40939,1.66737,1.72231,1.85137,0.12962,0.37159,1.70484,1.77811,70835200000.0,71955600000.0,71395400000.0,None
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,United States,1e+50,364190600.0,-264899666.66667,112514466.66667,-67339000.0,-166119333.33333,238352533.33333,364190600.0,-264899666.66667,112514466.66667,-67339000.0,-166119333.33333,238352533.33333,7.938,7.938,39841.93272,29965.4235,38607.36907,9.09884,38607.36907,-21.8971,-0.56741,-0.82552,0.0,-0.59884,0.0,-0.60326,0.93139,-0.78,-1.641,25.85,-0.06348,7.16882,160179008,-260008992,-1.62324,640,3637532160,4169459712,-406264.05,-0.0335,0.17417,-0.0335,0.17417,-0.0335,0.17417,-0.0335,1.0165,0.17417,1.92086,-0.69,6.9,-149769666.66667,-44907533.33333,14504485.88583,533421379.92024,273962932.90304,0.19122,0.26372,0.22747,0.47694,USD,USD,1.0,1.0,0,0,0,0,-0.50248,19.2,58.72,36.92217,-29.98787,34.63542,-55.97752,0.33654,0.33754,6.86642,4.93921,0.0,0.0,2.5828,1.76231,8.00665,6.71991,5.91282,0.01,2.18256,7.37328,6.64305,723904666.66667,768188333.33333,746046500.0,None
