Symbol,Name,Sector,sss_value,close,appearance_counter
PGR,Progressive Corporation (The),Financial Services,19124.25112,91.84,86.9782
LEN.B,Lennar Corporation,Consumer Cyclical,229.27711,76.24,79.2607
LEN,Lennar Corporation,Consumer Cyclical,298.26191,94.65,75.9691
BRK.B,Berkshire Hathaway Inc. New,Financial Services,269.50121,278.69,64.6429
DHI,D.R. Horton  Inc.,Consumer Cyclical,1889.00792,88.87,60.9592
LMT,Lockheed Martin Corporation,Industrials,5634758.38793,382.9,55.8824
COF,Capital One Financial Corporati,Financial Services,1414177.79809,153.55,52.9658
UNH,UnitedHealth Group Incorporated,Healthcare,1344975.05915,395.9,52.8461
NUE,Nucor Corporation,Basic Materials,247.47342,95.25,52.4021
CI,Cigna Corporation,Healthcare,11611.06606,236.69,52.1575
DD,DuPont de Nemours  Inc.,Basic Materials,176427.8219,77.78,48.581
INTC,Intel Corporation,Technology,28008.51133,57.18,46.2545
BBY,Best Buy Co.  Inc.,Consumer Cyclical,2934.6998,109.5,46.0671
FOXA,Fox Corporation,Communication Services,1757.18036,37.15,36.2854
ACN,Accenture plc,Technology,31857677.27767,284.77,36.0498
LYB,LyondellBasell Industries NV,Basic Materials,6031.60611,102.42,35.8011
FOX,Fox Corporation,Communication Services,2245.25122,35.44,35.1055
DGX,Quest Diagnostics Incorporated,Healthcare,29122.56882,128.09,32.6943
KLAC,KLA Corporation,Technology,855082.95669,318.42,30.7206
GIS,General Mills  Inc.,Consumer Defensive,1635060.57453,61.1,30.6798
CE,Celanese Corporation Celanese C,Basic Materials,346540.39744,147.84,29.8876
FHN,First Horizon Corporation,Financial Services,12.97652,17.07,29.406
TGT,Target Corporation,Consumer Defensive,448987.07744,231.22,28.9549
LDOS,Leidos Holdings  Inc.,Technology,212157.03233,105.9,28.6699
CDW,CDW Corporation,Technology,6099908.21405,169.24,28.3442
SRE,Sempra Energy,Utilities,3384016.89463,140.58,27.6032
ZION,Zions Bancorporation N.A.,Financial Services,434.01062,51.62,27.4364
ALLY,Ally Financial Inc.,Financial Services,2855774.18023,50.29,27.0713
PCAR,PACCAR Inc.,Industrials,54784.24447,89.58,26.7976
RS,Reliance Steel & Aluminum Co.,Basic Materials,1039.85393,154.74,26.5175
NOC,Northrop Grumman Corporation,Industrials,4343342.55306,368.7,25.8049
MU,Micron Technology  Inc.,Technology,14251.05574,80.64,25.3305
