Symbol,Name,Sector,sss_value,close,appearance_counter
LEN.B,Lennar Corporation,Consumer Cyclical,152291.48437,83.36,87.0581
LMT,Lockheed Martin Corporation,Industrials,30297568.63754,380.22,83.6613
LEN,Lennar Corporation,Consumer Cyclical,9691.93232,101.78,83.0996
DHI,D.R. Horton  Inc.,Consumer Cyclical,38333.41536,92.81,80.7874
CI,Cigna Corporation,Healthcare,70576.56854,238.3,75.4514
INTC,Intel Corporation,Technology,1064194.95023,56.01,62.0174
DD,DuPont de Nemours  Inc.,Basic Materials,18298413.57495,78.6,59.3438
ACN,Accenture plc,Technology,187048673.9853,300.0,55.2205
BBY,Best Buy Co.  Inc.,Consumer Cyclical,223419.50787,116.37,45.6134
PGR,Progressive Corporation (The),Financial Services,6097069913.55266,98.84,43.9545
LDOS,Leidos Holdings  Inc.,Technology,1715506.30299,103.03,43.1166
UNH,UnitedHealth Group Incorporated,Healthcare,31467306.95424,404.89,43.1109
TGT,Target Corporation,Consumer Defensive,16003950.87928,243.47,42.3872
DG,Dollar General Corporation,Consumer Defensive,95650660.75051,217.39,39.5327
NUE,Nucor Corporation,Basic Materials,218338.08242,96.65,38.8264
ETR,Entergy Corporation,Utilities,174904640.44364,101.56,38.6033
FOXA,Fox Corporation,Communication Services,54101.25101,37.55,36.4632
GIS,General Mills  Inc.,Consumer Defensive,9908543.11579,60.22,36.1338
FOX,Fox Corporation,Communication Services,60553.88007,35.56,36.0015
LYB,LyondellBasell Industries NV,Basic Materials,2043436.25161,103.45,35.0127
SRE,Sempra Energy,Utilities,6914764.28359,134.09,33.265
KLAC,KLA Corporation,Technology,7987475.96298,311.74,32.5408
CDW,CDW Corporation,Technology,174027837.1112,175.8,32.2665
QRVO,Qorvo  Inc.,Technology,1537114.34589,193.18,30.6384
LPX,Louisiana-Pacific Corporation,Industrials,3200.93992,60.5,29.9994
CNC,Centene Corporation,Healthcare,208960.13873,73.66,29.3063
NOC,Northrop Grumman Corporation,Industrials,49655713.18836,367.62,28.7904
LRCX,Lam Research Corporation,Technology,52257190.5646,633.07,28.6315
CE,Celanese Corporation Celanese C,Basic Materials,41572965.82112,153.14,28.3323
PCAR,PACCAR Inc.,Industrials,2093583.28024,88.79,26.8555
NUS,Nu Skin Enterprises  Inc.,Consumer Defensive,90862.63712,56.66,26.4479
MU,Micron Technology  Inc.,Technology,1281263.01646,80.11,25.2414
TRV,The Travelers Companies  Inc.,Financial Services,15647039.78757,151.83,24.5958
RS,Reliance Steel & Aluminum Co.,Basic Materials,228831.7665,152.92,24.2859
VMW,Vmware  Inc.,Technology,35021109.1784,156.13,23.876
TSCO,Tractor Supply Company,Consumer Cyclical,41509207.50184,187.85,23.4028
CB,Chubb Limited,Financial Services,5100842.28038,161.82,22.6644
TMO,Thermo Fisher Scientific Inc,Healthcare,63955977.1443,509.53,22.5824
AZO,AutoZone  Inc.,Consumer Cyclical,42323337224.99871,1525.73,22.5159
AFL,AFLAC Incorporated,Financial Services,25260156.06026,54.0,22.2813
DISH,DISH Network Corporation,Communication Services,2300292.41915,42.44,22.0239
ANTM,Anthem  Inc.,Healthcare,2742703.88921,383.82,21.1321
WY,Weyerhaeuser Company,Real Estate,923242.68343,34.33,20.8111
UWMC,UWM Holdings Corporation,Financial Services,529849.68531,8.22,20.6886
PHM,PulteGroup  Inc.,Consumer Cyclical,33550.88176,55.82,20.5731
QCOM,QUALCOMM Incorporated,Technology,93202485.68106,140.8,20.4316
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,214742.10381,160.26,20.3063
DTE,DTE Energy Company,Utilities,420153268.35699,111.88,20.0199
AMAT,Applied Materials  Inc.,Technology,8672572.26875,137.95,19.6045
SWK,Stanley Black & Decker  Inc.,Industrials,10514303.91108,206.44,19.553
HD,Home Depot  Inc. (The),Consumer Cyclical,1517462382.09014,321.54,19.5482
MKSI,MKS Instruments  Inc.,Technology,312555.5041,170.77,19.5243
CPB,Campbell Soup Company,Consumer Defensive,2412309.02475,45.72,19.0102
JEF,Jefferies Financial Group Inc.,Financial Services,17083501556.30292,33.84,18.6895
EBAY,eBay Inc.,Consumer Cyclical,7755108758.96224,69.8,18.588
MMM,3M Company,Industrials,1958560161.58824,199.09,18.4955
VZ,Verizon Communications Inc.,Communication Services,23973049.48899,56.29,17.9299
DGX,Quest Diagnostics Incorporated,Healthcare,10484172863.23929,132.95,17.5502
PEG,Public Service Enterprise Group,Utilities,1105870856.71904,60.24,17.5129
STLD,Steel Dynamics  Inc.,Basic Materials,4285603.87957,60.91,17.478
HPQ,HP Inc.,Technology,2643209867.50761,30.35,17.3388
CSCO,Cisco Systems  Inc.,Technology,441107617.69567,53.07,17.1815
AKAM,Akamai Technologies  Inc.,Technology,13815939.59474,117.08,17.1614
GRMN,Garmin Ltd.,Technology,5815266.27445,146.09,16.8801
FCX,Freeport-McMoRan  Inc.,Basic Materials,104642184.9128,37.09,16.8276
ORCL,Oracle Corporation,Technology,1304646360.26739,79.54,16.8081
NTAP,NetApp  Inc.,Technology,305779073.37668,81.96,16.6334
CCK,Crown Holdings  Inc.,Consumer Cyclical,47618736.12936,103.49,16.5929
REGN,Regeneron Pharmaceuticals  Inc.,Healthcare,282399.04028,574.62,16.552
SCCO,Southern Copper Corporation,Basic Materials,618693.18018,63.18,16.4304
HCA,HCA Healthcare  Inc.,Healthcare,16071293088.50187,211.83,16.2885
QDEL,Quidel Corporation,Healthcare,4.54244,128.6,16.2247
LITE,Lumentum Holdings Inc.,Technology,13024.90568,83.98,15.6663
NVR,NVR  Inc.,Consumer Cyclical,603890.07591,5111.89,15.6314
TEL,TE Connectivity Ltd. New Switze,Technology,81352671277.6818,136.73,15.3465
XEL,Xcel Energy Inc.,Utilities,307414271.04863,67.03,15.2056
NEM,Newmont Corporation,Basic Materials,572857.87803,62.86,15.1383
TSN,Tyson Foods  Inc.,Consumer Defensive,1210122.20274,73.84,15.0196
CDK,CDK Global  Inc.,Technology,70442706.26578,50.09,14.8606
JD,JD.com  Inc.,Consumer Cyclical,14571.2739,77.44,14.7571
CAG,ConAgra Brands  Inc.,Consumer Defensive,754849.79309,36.0,14.1198
TER,Teradyne  Inc.,Technology,2729088.74602,129.38,14.09
SSNC,SS&C Technologies Holdings  Inc,Technology,148684679.31075,73.25,14.0544
KMI,Kinder Morgan  Inc.,Energy,1009678777.55323,18.43,14.0266
UHS,Universal Health Services  Inc.,Healthcare,1477474.89726,149.51,13.8996
HPE,Hewlett Packard Enterprise Comp,Technology,279659146.50932,14.7,13.7553
BAH,Booz Allen Hamilton Holding Cor,Industrials,5197602.07348,86.19,13.6002
LH,Laboratory Corporation of Ameri,Healthcare,326081291358.37274,277.99,13.3721
ES,Eversource Energy (D/B/A),Utilities,33665284.40265,79.86,13.3523
GD,General Dynamics Corporation,Industrials,3518460647.42417,188.05,13.0796
SAIC,SCIENCE APPLICATIONS INTERNATIO,Technology,264851.93208,88.26,12.8179
CVS,CVS Health Corporation,Healthcare,6425911.75543,82.22,12.7201
COST,Costco Wholesale Corporation,Consumer Defensive,376589578.68113,394.53,12.6113
