"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
QDEL,Quidel Corporation,Healthcare,United States,4.54244,1117014466.66667,460945400.0,547307333.33333,492892400.0,255825333.33333,930438600.0,358385366.66667,738872966.66667,804953433.33333,1117014466.66667,460945400.0,492892400.0,255825333.33333,358385366.66667,804953433.33333,2.273,2.273,6.73638,10.90426,7.25737,2.86207,7.25737,3.293,4.01439,893732910.9424,343809800.0,660508066.66667,502158933.33333,0.5091,0.70516,2.25,1.23846,2.5,0.99189,0.86737,11.49,18.599,128.6,0.14463,3.97582,42542800,948134016,22.28659,1370,4232515584,5330187264,692068.62482,3.426,1.33642,5.91619,1.33642,5.91619,1.33642,4.04855,20.37101,1.33642,11.81038,1.7,1.7,391762866.66667,442672466.66667,10.80377,9.56128,10.18252,0.70988,0.42748,0.56868,0.75411,USD,USD,1.0,1.0,0,0,0,0,128.6,103.31,306.72,154.56166,-16.79696,24.47972,-58.07251,0.24866,0.24966,2.91567,3.36341,0.20021,0.02001,0.40734,0.51687,2.61237,3.23644,3.14954,0.12011,0.4721,2.9344,3.04197,1410718200.0,1849017000.0,1629867600.0,0.23989,473271800.0,757869266.66667,615570533.33333,478773133.33333,545101866.66667,511937500.0,3.10457,None
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,United States,4565.75676,4992039600.0,2057179466.66667,-776082600.0,1660449800.0,654266800.0,1041675666.66667,1355723133.33333,132796533.33333,3326244700.0,4992039600.0,2057179466.66667,1660449800.0,654266800.0,1355723133.33333,3326244700.0,6.682,6.682,19.11543,16.13355,18.74269,8.09259,18.74269,13.639,16.149,2297379445.33324,837330933.33333,2066273466.66667,1451802200.0,0.43057,2.29067,5.625,2.47163,6.25,2.13835,0.93704,12.43,10.491,202.21,0.05188,5.77992,258866000,2762032128,10.66974,3400,42866786304,51912986624,812362.39059,0.084,0.41706,1.61396,0.41706,1.61396,0.41706,0.46649,7.08001,0.41706,6.70803,1.66,1.66,2379391600.0,812572733.33333,18.01586,52.7544,35.38513,0.38989,0.35611,0.373,0.61074,USD,USD,1.0,1.0,0,0,0,0,202.21,185.33,306.08,216.05667,-6.40881,9.10808,-33.93557,0.27959,0.28059,3.65535,3.81178,0.06862,0.03771,4.75456,2.91996,3.95002,4.24223,3.74356,0.06317,3.84726,4.10612,3.92484,9555075600.0,11783155800.0,10669115700.0,0.14707,4752407533.33333,6239332000.0,5495869766.66667,2571861733.33333,3091457133.33333,2831659433.33333,3.55777,None
LOPE,"Grand Canyon Education, Inc.",Consumer Defensive,United States,10632.15361,835498400.0,250373933.33333,1409436933.33333,219535933.33333,71175266.66667,1540679133.33333,160774600.0,1475058033.33333,527517166.66667,835498400.0,250373933.33333,219535933.33333,71175266.66667,160774600.0,527517166.66667,5.783,5.783,16.65872,13.27339,16.23555,4.98717,16.23555,15.897,17.65518,251458104.49141,84826266.66667,306846933.33333,195836600.0,0.3047,0.75324,2.5,0.79836,2.5,0.72495,1.02672,6.84,5.45,90.88,0.05997,2.66606,46366900,257196000,5.54697,3650,4881644544,4209650944,70464.65753,0.132,0.00658,0.05132,0.00658,0.05132,0.00658,0.11183,3.5941,0.00658,1.06102,0.2,0.2,293268533.33333,81495266.66667,16.64565,59.90096,38.2733,0.17077,0.18056,0.17566,0.41912,USD,USD,1.0,1.0,0,0,0,0,90.88,75.64,115.96,98.46058,-7.6991,20.14807,-21.62815,0.75595,0.75695,7.33856,6.55802,1.72753,0.7063,58.12673,49.6456,2.70013,2.4551,6.95829,1.22692,53.89616,2.58761,4.77295,1697959666.66667,1818070000.0,1758014833.33333,0.11145,184484733.33333,177058266.66667,180771500.0,245859066.66667,277713600.0,261786333.33333,3.42322,None
LITE,Lumentum Holdings Inc.,Technology,United States,13024.90568,1545800000.0,88806666.66667,85520000.0,436273333.33333,151093333.33333,314053333.33333,119950000.0,199786666.66667,991036666.66667,1545800000.0,88806666.66667,436273333.33333,151093333.33333,119950000.0,991036666.66667,3.168,3.168,17.58003,14.77345,17.22921,3.68593,5.74307,10.551,12.42909,380534513.03194,127380000.0,362746666.66667,245063333.33333,0.21596,0.12722,2.25,1.69386,4.8125,1.0578,0.95641,5.65,4.748,83.98,0.05654,2.92241,75900000,371200000,4.89065,5473,5444376064,6335373312,67823.8626,4.196,0.14919,0.42857,0.14919,0.42857,0.14919,3.25414,18.28924,0.14919,4.11252,1.93,1.93,406320000.0,259766666.66667,13.39923,20.95872,17.17897,0.82621,0.77818,0.80219,0.89565,USD,USD,1.0,1.0,0,0,0,0,83.98,65.67,112.08,88.79935,-5.42724,27.88183,-25.07138,0.78905,0.79005,2.25964,2.29149,1.50741,0.37685,2.05067,1.185,6.11126,4.43403,2.28556,0.95213,1.62784,5.28265,3.78411,2773540000.0,3593826666.66667,3183683333.33333,0.05768,1390913333.33333,1810266666.66667,1600590000.0,1259086666.66667,1567893333.33333,1413490000.0,0.25268,None
JD,"JD.com, Inc.",Consumer Cyclical,China,14571.2739,98522493530.37866,4522422169.66533,2091216310.55333,31660096160.50933,1626257581.22267,6021155177.22,3074339875.444,4056185743.88667,65091294845.444,98522493530.37866,4522422169.66533,31660096160.50933,1626257581.22267,3074339875.444,65091294845.444,0.061,0.061,15.00295,31.5,17.06508,0.14804,17.06508,2.998,3.52234,12059897202.35713,3207526666.66667,12475360000.0,7841443333.33333,0.06471,0.09048,2.25,0.12413,2.5,0.11603,0.42067,2.42,5.081,77.44,0.06561,0.62502,1558989952,51949686784,33.32266,310000,48802496512,118841810944,167579.63479,2.372,0.27765,1.89723,0.27765,1.89723,0.27765,2.25331,15.26102,0.27765,5.51929,82.32,82.32,5236129427.364,122767271.11467,9.32034,397.52041,203.42038,1.55285,1.09177,1.32231,1.14992,CNY,USD,0.15458,1.0,0,0,0,0,77.44,58.76,108.29,83.29855,-7.0332,31.79033,-28.48832,0.75429,0.75529,1.8616,2.10306,0.27037,0.51417,3.36946,3.99213,1.16506,1.34797,1.99233,0.40227,3.6908,1.26652,1.62942,51728464137.58933,62967880685.39333,57348172411.49133,0.07361,29823498333.33333,57957144533.33334,43890321433.33334,27186365948.86,29974991209.92666,28580678579.39333,0.28889,None
NBIX,"Neurocrine Biosciences, Inc.",Healthcare,United States,114381.31215,838908400.0,220403866.66667,-925891733.33333,246920000.0,107520000.0,-774020000.0,163961933.33333,-849955866.66667,542914200.0,838908400.0,220403866.66667,246920000.0,107520000.0,163961933.33333,542914200.0,8.836,8.836,24.09824,24.6525,24.16752,8.91829,24.16752,29.884,35.11704,228926886.51452,56366666.66667,241135933.33333,148751300.0,0.38454,2.33405,13.92188,0.43443,1.0,1.5228,1.02734,4,4.092,97.46,0.04199,7.72927,94546000,402000000,4.2519,865,9237218304,9323181056,464739.88439,-0.142,0.65621,6.07708,0.65621,6.07708,0.65621,1.41277,12.136,0.65621,8.35066,1.46,1.46,168297933.33333,75860000.0,54.88611,121.76665,88.32638,0.79022,0.59821,0.69422,0.8332,USD,USD,1.0,1.0,0,0,0,0,97.46,86.02,136.26,99.97833,-2.51888,13.29923,-28.47497,0.45541,0.45641,2.42172,2.73149,1.14175,4.29836,17.9978,17.446,5.09264,4.88557,2.5866,2.73005,17.7319,4.9991,3.79285,1460366200.0,1748720000.0,1604543100.0,0.12219,633332066.66667,809800000.0,721566033.33333,600975000.0,642760000.0,621867500.0,3.0988,None
OLLI,Ollie's Bargain Outlet Holdings,Consumer Defensive,United States,176668.13018,1577543333.33333,193580533.33333,576154733.33333,469404333.33333,59345133.33333,739772533.33333,126462833.33333,657963633.33333,1023473833.33333,1577543333.33333,193580533.33333,469404333.33333,59345133.33333,126462833.33333,1023473833.33333,2.834,2.834,21.68539,26.47866,22.28455,2.96555,22.28455,16.022,18.7642,251932526.02047,82747733.33333,248642066.66667,165694900.0,0.13832,1.86683,15.46875,0.31394,2.5,1.18622,1.05842,3.28,4.005,85.41,0.04689,4.10483,65284700,264460000,4.05087,4400,5418162176,5669976064,60104.54545,0.651,0.22276,0.43249,0.22276,0.43249,0.22276,0.59637,7.97251,0.22276,4.96976,3.75,3.75,243966800.0,69507200.0,22.2086,77.95109,50.07985,0.45424,0.49074,0.47249,0.68738,USD,USD,1.0,1.0,0,0,0,0,85.41,75.75,123.52,88.30913,-3.28293,12.75248,-30.8533,0.40444,0.40544,3.38711,3.04084,0.0,0.0,0.0422,0.03676,2.63518,3.03759,3.22397,0.01,0.04948,2.84639,3.03518,1719202200.0,2005167333.33333,1862184766.66667,0.08791,387008800.0,536938133.33333,461973466.66667,546111933.33333,659456466.66667,602784200.0,0.34078,None
CNC,Centene Corporation,Healthcare,United States,208960.13873,85054800000.0,1491733333.33333,5623066666.66667,27524666666.66667,525733333.33333,7129333333.33333,1008733333.33333,6376200000.0,56289733333.33334,85054800000.0,1491733333.33333,27524666666.66667,525733333.33333,1008733333.33333,56289733333.33334,0.456,0.456,17.64509,12.9387,17.05679,0.39809,17.05679,8.12,9.62781,4427811574.38424,1371866666.66667,4194933333.33333,2783400000.0,0.02276,0.27152,15.46875,0.01895,1.0,0.17437,0.93881,5.71,4.187,73.66,0.05684,1.63422,582734976,2460999936,4.22319,71300,49306451968,43052457984,34516.12813,14.196,0.37438,0.35674,0.37438,0.35674,0.37438,10.73618,33.01612,0.37438,6.36866,1.12,1.12,3594200000.0,938533333.33333,13.71834,52.53564,33.12699,1.87467,1.66315,1.76891,1.33,USD,USD,1.0,1.0,0,0,0,0,73.66,53.6,75.25,64.79377,13.68377,37.42537,-2.11296,1.85312,40.49656,1.54797,1.60558,2.56348,2.90808,0.69619,0.4294,1.19289,1.12251,1.58677,2.74578,0.5728,1.1677,1.37724,53159000000.0,69482066666.66667,61320533333.33334,0.03645,2896866666.66667,2692266666.66667,2794566666.66667,33999933333.33333,43275466666.66666,38637700000.0,0.25313,None
ACGL,Arch Capital Group Ltd.,Financial Services,Bermuda,264858.84548,7496234066.66667,1328310933.33333,11359947666.66667,2306019666.66667,454421533.33333,12456727333.33333,891366233.33333,11908337500.0,4901126866.66667,7496234066.66667,1328310933.33333,2306019666.66667,454421533.33333,891366233.33333,4901126866.66667,1.88,1.88,9.74112,10.2093,9.79965,1.72107,19.59929,7.11,8.35814,1813657859.21238,578979466.66667,1774808133.33333,1176893800.0,0.18342,0.44197,2.5,0.4918,2.5,0.44351,0.9944,3.87,4.056,39.95,0.10153,1.28852,403619008,1657948032,4.10771,4500,17422499840,15946986496,368432.896,2.04,0.20469,0.28249,0.20469,0.28249,0.20469,1.60062,12.90157,0.20469,4.77429,0.24,0.24,2366626533.33333,736923066.66667,7.36174,23.64222,15.50198,2.4247,2.44606,2.43538,1.56057,USD,USD,1.0,1.0,0,0,0,0,0.40175,26.22,41.28,37.41847,6.76546,52.36461,-3.2219,1.82337,36.74966,1.47831,1.4652,1.00176,0.92101,0.21541,0.19114,1.7247,1.96515,1.48176,0.97138,0.21327,1.85493,1.66834,39619209066.66666,43559669466.66666,41589439266.66666,0.04143,4718643933.33333,6672088600.0,5695366266.66667,26800340466.66667,29728988400.0,28264664433.33334,0.29137,None
HOLX,"Hologic, Inc.",Healthcare,United States,271314.70075,3545000000.0,576006666.66667,-2047406666.66667,1483780000.0,580300000.0,-752060000.0,578153333.33333,-1399733333.33333,2514390000.0,3545000000.0,576006666.66667,1483780000.0,580300000.0,578153333.33333,2514390000.0,3.548,3.548,9.29827,16.35507,10.18037,3.26291,10.18037,6.522,8.01807,1982932305.73444,851013333.33333,1295406666.66667,1073210000.0,0.35865,0.34476,2.25,0.95896,2.5,0.7097,0.9743,4.14,7.282,67.99,0.1071,4.57191,256232992,1907000064,7.44245,5814,18865893376,17349535744,328001.387,5.437,0.09012,0.29905,0.09012,0.29905,0.09012,4.15251,20.62771,0.09012,3.25199,4.14,4.14,749660000.0,541640000.0,25.16593,34.83106,29.99849,1.81821,1.3022,1.5602,1.24908,USD,USD,1.0,1.0,0,0,0,0,67.99,56.3,85,71.5392,-4.9612,20.76377,-20.01176,0.81463,0.81563,1.55527,1.7935,0.15503,0.29599,0.61131,1.07274,1.61985,2.36303,1.68438,0.23551,0.85203,2.00144,1.84291,7051746666.66667,7716633333.33333,7384190000.0,0.0983,734020000.0,1451486666.66667,1092753333.33333,4534180000.0,4309353333.33333,4421766666.66667,0.23362,None
