"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
UWMC,UWM Holdings Corporation,Financial Services,United States,119.4911748,3111372066.6666665,1934502733.3333333,1475877133.3333333,5739566000.0,3410145000.0,5903353000.0,3410145000.0,5903353000.0,5739566000.0,3111372066.6666665,1934502733.3333333,5739566000.0,3410145000.0,3410145000.0,5739566000.0,1.403,1.403,3.6997361,3.6997361,3.6997361,2.1981862,7.3994721,1.671,1.6720156,4812505143.177738,4806655500.0,2462218466.6666665,4806655500.0,0.59415,3.2672835,5.625,0.9252732,2.5,2.2262615,0.21606,0.12875,0,0,7.45,0.0,1000.0,103104000,3410146048,33.0748181,8600,8051470848,12616636416,396528.6102326,1.358,2.0942848,5.0693443,2.0942848,5.0693443,2.0942848,2.2858361,15.3689817,2.0942848,14.721644,0.15,0.15,-1075982533.3333333,2788067000.0,1336.3800896,2.8878326,2.8878326,6.1733083,37.467914,37.467914,6.122104,USD,USD,1.0,1.0,0.1,0.1,0,0,7.45,6.25,14.38,8.393741,-11.2433896,19.2,-48.1919332,0.295203,0.296203,1.1917086,1.3258563,1.2340706,0.9947433,0.0,0.0,5.1139871,1.2907468,1.3358563,1.0047433,0.01,1.3007468,1.3183016,8459764933.333333,10169626066.666666,10169626066.666666,1500716133.3333333,1061059800.0,1061059800.0,0.4353265,3.3139046,2866341600.0,1800716533.3333333,1800716533.3333333,6959048800.0,7687340666.666667,7687340666.666667,2.0336961,None
CDK,"CDK Global, Inc.",Technology,United States,150.4759562,1911113333.3333333,214213333.3333333,931273333.3333334,1702700000.0,1030500000.0,5211100000.0,1030500000.0,5211100000.0,1702700000.0,1911113333.3333333,214213333.3333333,1702700000.0,1030500000.0,1030500000.0,1702700000.0,3.645,3.645,5.4785085,15.328903,6.7098078,2.8800309,2.2366026,11.977,12.2627677,566744722.8855306,539700000.0,649940000.0,539700000.0,0.52822,0.5842896,5.625,13.5914717,12.03125,8.0189551,0.90982,0.0044,3.01,8.422,46.46,0.1812742,12.477015,121774000,248000000,2.0365595,9000,7111816192,5618652160,27555.5555556,13.946,0.0376342,0.2332909,0.0376342,0.2332909,0.0376342,10.5178227,32.6811929,0.0376342,2.1899537,2.06,2.06,420113333.3333333,338300000.0,16.9283277,21.0222175,21.0222175,-8.3126391,0.0928471,0.0928471,0.3057083,USD,USD,1.0,1.0,0.15,0.15,0.15,0.15,46.46,41.21,55.51,51.61259,-9.9832037,12.7396263,-16.3033688,0.7342657,0.7352657,0.843437,1.0219527,0.7263864,1.1182527,1.480186,1.685699,1.4941037,1.402299,1.0319527,1.1282527,1.695699,1.412299,1.2221258,2915246666.6666665,3133433333.3333335,3133433333.3333335,-566040000.0,12740000.0,12740000.0,0.4288725,80.9869702,281466666.6666667,381253333.3333333,381253333.3333333,3465580000.0,3105760000.0,3105760000.0,2.1679553,None
SEB,Seaboard Corporation,Industrials,United States,896.9094817,6889533333.333333,244333333.3333333,4108000000.0,7502000000.0,565000000.0,16561000000.0,565000000.0,16561000000.0,7502000000.0,6889533333.333333,244333333.3333333,7502000000.0,565000000.0,565000000.0,7502000000.0,0.589,0.589,8.725128,8.725128,8.725128,0.6571357,8.725128,10.035,10.0349819,439998415.1469855,440000000.0,354266666.6666667,440000000.0,0.07531,0.215561,5.625,0.0928326,1.0,0.1704599,0.17725,0.78732,0,486.755,4150.53,0.1172754,1.2296903,1160780,565000000,486.7416737,13100,4415368192,4929832448,43129.7709924,26.8985329,0.0540818,26.8985329,0.0540818,26.8985329,0.0540818,26.8985329,52.1137955,0.0540818,2.5755503,0.3243719,0.3243719,248866666.6666667,247000000.0,17.7419027,17.8759846,17.8759846,0.6771893,0.6758844,0.6758844,0.8231219,USD,USD,1.0,1.0,2.25,2.25,2.25,2.25,4150.53,2624.5,4390.5,3682.3965,12.7127402,58.1455515,-5.4656645,1.7282333,26.6449069,2.4975381,2.4845909,0.3062134,0.2947981,0.3105786,0.3093006,3.1978656,3.0472829,2.4945909,0.3047981,0.3193006,3.0572829,2.7759369,6157533333.333333,6464333333.333333,6464333333.333333,3662200000.0,3852666666.6666665,3852666666.6666665,0.1874027,0.2466517,2261333333.3333335,2295866666.6666665,2295866666.6666665,2484600000.0,2600866666.6666665,2600866666.6666665,2.5564172,None
USM,United States Cellular Corporat,Communication Services,United States,2026.3173566,4013866666.6666665,176800000.0,2610466666.6666665,4096000000.0,218000000.0,10928000000.0,218000000.0,10928000000.0,4096000000.0,4013866666.6666665,176800000.0,4096000000.0,218000000.0,218000000.0,4096000000.0,1.654,1.654,12.705082,16.450777,13.1732939,0.6669096,13.1732939,7.506,7.5060164,903003953.1041833,903000000.0,839400000.0,903000000.0,0.05321,0.2838952,5.625,0.1205442,2.5,0.2142685,0.29176,0.72862,1.93,2.499,31.87,0.0784123,0.6105769,53051700,218000000,4.1091991,5200,6777977344,2732328704,41923.0769231,-0.155,0.0089202,2.0579903,0.0089202,2.0579903,0.0089202,0.3982476,6.5606859,0.0089202,1.1944655,0.47,0.47,978600000.0,1019000000.0,6.926198,6.651597,6.651597,1.046903,1.1977229,1.1977229,1.0954053,USD,USD,1.0,1.0,5.75,0,0,0,31.87,28.19,39.96,35.47266,-10.1561597,13.0542746,-20.2452452,0.6253186,0.6263186,1.9846468,1.8448566,0.115573,0.1393728,0.6282298,0.5637171,2.6488059,2.7174086,1.8548566,0.1493728,0.5737171,2.7274086,2.2911326,8766200000.0,9784533333.333334,9784533333.333334,4257800000.0,4439133333.333333,4439133333.333333,0.1222801,0.1491087,1353733333.3333333,1333800000.0,1333800000.0,4485133333.333333,5320466666.666667,5320466666.666667,1.3792474,None
MCY,Mercury General Corporation,Financial Services,United States,4898.2776563,3755922000.0,294041666.6666667,1798326133.3333333,4069296000.0,620806000.0,7459042000.0,620806000.0,7459042000.0,4069296000.0,3755922000.0,294041666.6666667,4069296000.0,620806000.0,620806000.0,4069296000.0,0.721,0.721,5.2551293,17.225145,6.7513813,0.8015868,13.5027625,3.418,3.41794,858748872.7325921,858779000.0,434410133.3333333,858779000.0,0.15256,0.0901161,1.0,0.3248699,2.5,0.2521022,0.41877,0.52009,3.42,11.21,59.79,0.1874895,1.5500184,55370800,620806016,11.2117942,4300,2935100672,3261893888,144373.492093,0.2401878,0.0216746,0.2401878,0.0216746,0.2401878,0.0216746,0.2401878,5.1508961,0.0216746,1.72223,0.41,0.41,535460866.6666667,682989000.0,5.4814476,4.2974348,4.2974348,2.1741188,2.1394769,2.1394769,1.4636951,USD,USD,1.0,1.0,0.633,0.6325,0.6325,0.63,59.79,39.48,67.88,61.438347,0.0131081,51.443769,-11.9180907,1.4302817,8.5610981,1.4613775,1.4676605,0.0923615,0.0650848,0.0289916,0.02039,0.7436189,0.8069401,1.4776605,0.0750848,0.03039,0.8169401,1.1473003,6010091800.0,6396968600.0,6396968600.0,1897035933.3333333,2038957533.3333333,2038957533.3333333,0.1970469,0.4044723,-757804000.0,-482850933.3333333,-482850933.3333333,4113055866.6666665,4358011066.666667,4358011066.666667,1.7521648,None
LPX,Louisiana-Pacific Corporation,Industrials,United States,5029.7327224,2662266666.6666665,343466666.6666667,1201206666.6666667,3220000000.0,786000000.0,4727000000.0,786000000.0,4727000000.0,3220000000.0,2662266666.6666665,343466666.6666667,3220000000.0,786000000.0,786000000.0,3220000000.0,1.983,1.983,13.215246,12.675268,13.1477487,1.950255,13.1477487,5.51,5.5220177,1154034054.446461,1149000000.0,601600000.0,1149000000.0,0.2441,0.1426061,1.0,8.4487591,30.078125,4.9279775,0.99108,0.00884,4.65,4.46,60.43,0.0738044,5.0744724,106546000,786000000,7.3770953,4500,6386465280,6279821312,174666.6666667,8.697,0.0708216,0.2875458,0.0708216,0.2875458,0.0708216,6.5946364,25.9300242,0.0708216,2.9112319,1.11,1.11,493600000.0,982000000.0,12.9385439,6.5035288,6.5035288,0.6872424,0.6840372,0.6840372,0.8280654,USD,USD,1.0,1.0,0.18,0.16,0.16,0.145,60.43,27.01,76.35,56.805756,6.3800647,123.7319511,-20.8513425,1.3546818,6.1805024,2.5132271,2.4764582,0.0,0.0,0.2612526,0.1799718,3.5187922,3.4459007,2.4864582,0.01,0.1899718,3.4559007,2.9711795,2100300000.0,2189400000.0,2189400000.0,1256033333.3333333,1296800000.0,1296800000.0,0.4590025,0.7061073,686366666.6666666,769733333.3333334,769733333.3333334,836266666.6666666,882933333.3333334,882933333.3333334,3.3048703,None
FOX,Fox Corporation,Communication Services,United States,6243.3493035,11613800000.0,1341200000.0,568333333.3333334,12437000000.0,2019000000.0,5768000000.0,2019000000.0,5768000000.0,12437000000.0,11613800000.0,1341200000.0,12437000000.0,2019000000.0,2019000000.0,12437000000.0,1.9,1.9,10.151967,14.497872,10.6952051,1.6370914,10.6952051,7.593,7.5929997,3111999759.7787437,3112000000.0,2706333333.3333335,3112000000.0,0.16234,0.5583606,5.625,0.4157844,2.5,0.4710502,0.57074,0.40935,2.35,3.356,34.15,0.0982723,1.7922146,253268992,2019000064,7.9717618,9000,23629412352,20360505344,224333.3404444,6.269,0.0839816,-0.2060041,0.0839816,-0.2060041,0.0839816,4.650249,21.814436,0.0839816,3.1479576,2.72,2.72,2220333333.3333335,2886000000.0,10.6422815,8.1875996,8.1875996,0.9399004,1.0578038,1.0578038,1.0294959,USD,USD,1.0,1.0,0.23,0.23,0.23,0.23,34.15,24.81,42.14,35.222805,-3.0457682,37.6461104,-18.9606075,1.0778996,1.568447,2.2853479,1.966559,1.505412,1.1722137,4.0441799,4.3310931,3.6183625,3.3930623,1.976559,1.1822137,4.3410931,3.4030623,2.6898107,19241733333.333332,22734400000.0,22734400000.0,9721400000.0,10932800000.0,10932800000.0,0.1888081,0.2846736,4807400000.0,5937466666.666667,5937466666.666667,9248333333.333334,11560266666.666666,11560266666.666666,1.3620619,None
PHM,"PulteGroup, Inc.",Consumer Cyclical,United States,8013.9953641,10539655466.666666,1187518600.0,2635911400.0,11470893000.0,1507236000.0,12291839000.0,1507236000.0,12291839000.0,11470893000.0,10539655466.666666,1187518600.0,11470893000.0,1507236000.0,1507236000.0,11470893000.0,1.295,1.295,9.750584,6.1961226,9.3062763,1.2457246,9.3062763,7.399,7.3989893,2008445166.441411,2008451000.0,1634062400.0,2008451000.0,0.1314,0.6753093,5.625,0.3094015,2.5,0.5030629,0.9007,0.03616,8.77,5.573,54.46,0.102332,2.1429136,262966000,1494139008,5.6818715,5249,14860442624,14289572864,284652.1257382,0.493,0.07357,0.4013973,0.07357,0.4013973,0.07357,0.4700993,7.106379,0.07357,2.9623797,0.39,0.39,1475892266.6666667,1756475000.0,10.0687855,8.4603781,8.4603781,0.9513307,0.776204,0.776204,0.8820244,USD,USD,1.0,1.0,0.14,0.14,0.14,0.12,54.46,39.92,63.91,52.631294,3.4745602,36.4228457,-14.7864184,1.2121717,3.172378,2.0686282,2.2985941,3.4522516,726.4793282,0.3259066,0.7420894,5.7367033,5.6075602,2.3085941,726.4893282,0.7520894,5.6175602,3.9630771,11369264866.666666,11605096600.0,11605096600.0,5878814800.0,6539589733.333333,6539589733.333333,0.2298771,0.3304787,8905926733.333334,8919640466.666666,8919640466.666666,5490450066.666667,5065506866.666667,5065506866.666667,2.3785056,None
DHI,"D.R. Horton, Inc.",Consumer Cyclical,United States,9680.6387723,18605826666.666668,1961506666.6666667,8400306666.666667,24170600000.0,3181000000.0,40560500000.0,3181000000.0,40560500000.0,24170600000.0,18605826666.666668,1961506666.6666667,24170600000.0,3181000000.0,3181000000.0,24170600000.0,1.63,1.63,11.335497,8.371575,10.9650068,1.4582996,10.9650068,9.503,9.50466,4145248175.5235186,4143800000.0,2585733333.3333335,4143800000.0,0.13161,3.8443523,34.8046875,0.6017893,4.375,2.397514,0.83819,0.09998,11.68,8.626,97.38,0.0885808,2.7190568,360484000,3180999936,8.8242472,9716,39406055424,35248123904,327398.0996295,0.926,0.1354472,0.3556265,0.1354472,0.3556265,0.1354472,0.7834066,9.1010261,0.1354472,3.9303148,0.53,0.53,1098120000.0,1661800000.0,35.8850175,23.7128748,23.7128748,0.5589638,0.5875395,0.5875395,0.7675112,USD,USD,1.0,1.0,0.2,0.2,0.2,0.2,97.38,64.32,106.89,89.18777,9.1853737,51.3992537,-8.8969969,1.5532065,14.0402606,2.8316944,2.7442486,1.8241394,1.3905593,0.4420184,0.2661551,5.1159935,5.5532117,2.7542486,1.4005593,0.2761551,5.5632117,4.1587301,16942573333.333334,20239366666.666668,20239366666.666668,10701300000.0,12558240000.0,12558240000.0,0.2571689,0.3532998,12790533333.333334,15515013333.333334,15515013333.333334,5994720000.0,7382080000.0,7382080000.0,2.9087033,None
BBY,"Best Buy Co., Inc.",Consumer Cyclical,United States,16658.7539572,45370466666.666664,1631733333.3333333,3715733333.3333335,50337000000.0,2234000000.0,15067000000.0,2234000000.0,15067000000.0,50337000000.0,45370466666.666664,1631733333.3333333,50337000000.0,2234000000.0,2234000000.0,50337000000.0,0.545,0.545,13.338804,13.417454,13.3486353,0.5661604,13.3486353,6.971,6.9356025,3978594858.126524,4019000000.0,3124133333.3333335,4019000000.0,0.04438,1.293946,34.8046875,0.1185536,2.5,0.7896102,0.81791,0.10174,8.48,8.53,118.13,0.0722086,6.8521533,250472992,2233999872,8.9191248,61200,27453120512,28498817024,36503.2658824,2.742,0.0549801,0.1766129,0.0549801,0.1766129,0.0549801,2.1006532,14.7436304,0.0549801,2.5947837,1.43,1.43,3775533333.3333335,4205000000.0,7.2713225,6.528685,6.528685,3.1731398,3.3785405,3.3785405,1.8390806,USD,USD,1.0,1.0,0.7,0.7,0.55,0.55,118.13,95.93,128.57,114.44647,0.2287436,23.1418743,-8.1200902,1.3602941,6.3357338,1.3170037,1.2984752,0.2684367,0.2585532,0.378724,0.4150351,1.1699585,1.1617082,1.3084752,0.2685532,0.4250351,1.1717082,1.2400917,16916733333.333334,18514933333.333332,18514933333.333332,4055733333.3333335,4237466666.6666665,4237466666.6666665,0.2206594,0.6272018,1604400000.0,1660466666.6666667,1660466666.6666667,12861000000.0,14277466666.666666,14277466666.666666,2.4233023,None
