"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
AAP,Advance Auto Parts Inc Advance ,Consumer Cyclical,United States,519717735.1878757,9881431466.666666,480996733.3333333,3882458000.0,10738809000.0,635363000.0,16570735000.0,635363000.0,16570735000.0,10738809000.0,9881431466.666666,480996733.3333333,10738809000.0,635363000.0,635363000.0,10738809000.0,1.491,1.491,22.175314,16.892797,21.5149994,1.257919,21.5149994,12.914,12.9138768,1239853343.4257395,1239877000.0,997860933.3333334,1239877000.0,0.05917,0.2747786,5.625,0.1380033,2.5,0.2148987,1.05073,0.00421,12.22,9.309,209.3,0.0444768,3.826037,65438900,635363008,9.7092556,40000,16011160576,13508551680,15884.0752,3.266,0.0303662,0.0341698,0.0303662,0.0341698,0.0303662,2.4580425,15.9281455,0.0303662,1.99259,1.55,1.55,896533400.0,1288712000.0,17.8589672,12.4241573,12.4241573,2.1242065,2.3324105,2.3324105,1.5282231,USD,USD,1.0,1.0,1.0,0.25,0.25,0.25,0.2821739,142.46,217.69,190.06378,10.1209289,46.9184332,-2.1631678,1.7769507,31.4812705,1.4833661,1.4292249,0.8443127,4.0489056,0.1077623,0.0987232,1.3567571,1.3354605,1.4392249,4.0589056,0.1087232,1.3454605,1.3923427,11084985666.666666,11878842600.0,11878842600.0,3545949466.6666665,3566828733.3333335,3566828733.3333335,0.1534869,0.2781311,1561323666.6666667,1585706266.6666667,1585706266.6666667,7539036200.0,8312013866.666667,8312013866.666667,2.0824827,None
ABMD,"ABIOMED, Inc.",Healthcare,United States,3384272356.3228903,818421400.0,216429200.0,664892466.6666666,935257000.0,154412000.0,3109923000.0,154412000.0,3109923000.0,935257000.0,818421400.0,216429200.0,935257000.0,154412000.0,154412000.0,935257000.0,15.054,15.054,95.106445,61.500954,90.9057586,15.606984,90.9057586,48.575,48.6379307,289095066.4127637,288346000.0,251432733.3333333,288346000.0,0.1651,1.4842443,5.625,1.4470456,2.5,0.9275325,0.96205,0.02041,5.23,3.382,322.17,0.0104976,11.162976,45380200,154412000,3.4026293,1725,14079178752,14596541440,89514.2028986,0.1886176,0.0733133,0.1886176,0.0733133,0.1886176,0.0733133,0.1886176,4.5930133,0.0733133,2.957642,7.16,7.16,276882933.3333333,298178000.0,50.84885,47.2173626,47.2173626,0.1299262,0.1204258,0.1204258,0.3480242,USD,USD,1.0,1.0,0,0,0,0,0.039089,242.73,387.4,314.08627,2.5737292,32.7277222,-16.8378936,1.0982235,1.7544641,8.7260185,9.3238975,0.0,0.0,3.4910642,0.8400935,5.7851668,6.2926259,9.3338975,0.01,0.8500935,6.3026259,7.8182617,1314385800.0,1455295333.3333333,1455295333.3333333,1164171200.0,1298944466.6666667,1298944466.6666667,0.2061035,0.218875,589324466.6666666,621864933.3333334,621864933.3333334,150214600.0,156350866.6666667,156350866.6666667,7.7985445,None
ACM,AECOM,Industrials,United States,1.280334658277634e+20,13763310800.0,-128188933.3333333,443340800.0,13556035000.0,-83141800.0,21053500.0,-83141800.0,21053500.0,13556035000.0,13763310800.0,-128188933.3333333,13556035000.0,-83141800.0,-83141800.0,13556035000.0,0.835,0.835,166.8836698,19.483181,148.4586087,0.6770557,148.4586087,14.201,14.2187754,795236794.5215125,793246000.0,728063333.3333334,793246000.0,-0.006215,-0.0135185,0.0,0.0017701,1.0,0.0058517,0.90678,0.01252,3.27,-0.5398,64.82,-0.0084672,3.40841,144062000,199616000,1.3856256,54000,11321428992,9178189824,3696.5925926,-0.2150374,-0.0556565,-0.1421527,-0.0556565,-0.1421527,-0.0556565,-0.1968162,0.1811212,-0.0556565,0.2444344,1.05,1.05,532880000.0,1035940000.0,21.2457382,10.9286532,10.9286532,2.8310652,3.285759,3.285759,1.8136663,USD,USD,1.0,1.0,0,0,0,0,0.644978,37.15,70.04,62.281143,4.0764457,74.4818304,-7.4528841,1.6825783,22.6908982,1.3699834,1.3166348,0.3990479,0.1269105,1.3366223,1.1662262,1.2052606,1.1203696,1.3266348,0.1369105,1.1762262,1.1303696,1.2285022,13730297200.0,12109874733.333334,12109874733.333334,3552296933.3333335,2804342533.3333335,2804342533.3333335,8.74e-05,4.54e-05,1260666200.0,694154400.0,694154400.0,10018484800.0,9196773266.666666,9196773266.666666,0.9497909,None
ADNT,Adient plc,Consumer Cyclical,Ireland,4403078904.119395,14570333333.333334,-588866666.6666666,-1618000000.0,14506000000.0,112000000.0,-5919000000.0,112000000.0,-5919000000.0,14506000000.0,14570333333.333334,-588866666.6666666,14506000000.0,112000000.0,112000000.0,14506000000.0,0.509,0.509,35.215553,7.616088,31.7656199,0.2705852,31.7656199,9.373,9.3848999,784993249.1198123,783000000.0,478400000.0,783000000.0,0.00772,-0.0420098,0.0,-0.0023317,0.0,0.0077438,0.89598,0.01072,5.47,1.183,41.26,0.0286718,2.6756585,94217696,112000000,1.1887363,77000,7376424448,3925109248,1454.5454545,0.4934339,-0.1374867,0.4934339,-0.1374867,0.4934339,-0.1374867,0.4934339,7.2744851,-0.1374867,0.2362513,0.33,0.33,353600000.0,880000000.0,20.8609289,8.3823005,8.3823005,5.5759334,5.6151329,5.6151329,2.3706272,USD,USD,1.0,1.0,0.275,0.275,0.275,0.275,1.2702997,15.9,53.165,42.693142,-3.3568436,159.4968553,-22.3925515,1.3610627,6.3572416,1.2517391,1.2269184,0.3138471,0.768625,1.2780198,1.3010743,1.1184844,1.1476952,1.2369184,0.778625,1.3110743,1.1576952,1.1973068,10567333333.333334,9978733333.333334,9978733333.333334,1743933333.3333333,1453933333.3333333,1453933333.3333333,0.1112239,0.1770324,455533333.3333333,537800000.0,537800000.0,8451866666.666667,8136066666.666667,8136066666.666667,0.3092497,None
AES,The AES Corporation,Utilities,United States,1.039014110268619e+22,10002533333.333334,188333333.3333333,-832933333.3333334,10440000000.0,-135000000.0,-3306000000.0,-135000000.0,-3306000000.0,10440000000.0,10002533333.333334,188333333.3333333,10440000000.0,-135000000.0,-135000000.0,10440000000.0,3.949,3.949,81.7237558,14.844313,73.3638255,1.582286,73.3638255,10.965,10.9649773,3759984433.378933,3760000000.0,3339133333.3333335,3760000000.0,-0.023532,0.0131591,1.0,-0.0152561,0.0,0.0152131,0.9968499,0.00318,1.67,-0.214,25.11,-0.0085225,7.4332833,666360000,-139000000,-0.208596,8162,41228058624,16519064576,-17030.1396716,-0.5555712,-0.0414303,-0.5555712,-0.0414303,-0.5555712,-0.0414303,-0.5555712,0.1944429,-0.0414303,0.245857,2.06,2.06,2606266666.6666665,2539000000.0,15.8188182,16.237912,16.237912,10.4418559,12.9052167,12.9052167,3.5933831,USD,USD,1.0,1.0,0.151,0.151,0.151,0.143,0.4029429,17.13,29.07,26.129429,-7.9236695,46.5849387,-13.622291,1.3366834,5.7038929,1.1749281,1.1817694,1.9601804,2.4871672,0.6238741,0.8654507,1.0349995,1.2138281,1.1917694,2.4971672,0.8754507,1.2238281,1.2077988,33971333333.333332,34806733333.333336,34806733333.333336,2795800000.0,2292266666.6666665,2292266666.6666665,9.61e-05,4.11e-05,170533333.3333333,974666666.6666666,974666666.6666666,28929400000.0,29456000000.0,29456000000.0,0.2233836,None
AFG,"American Financial Group, Inc.",Financial Services,United States,255978754.1619443,7647333333.333333,731933333.3333334,3976800000.0,8003000000.0,1452000000.0,15925000000.0,1452000000.0,15925000000.0,8003000000.0,7647333333.333333,731933333.3333334,8003000000.0,1452000000.0,1452000000.0,8003000000.0,1.438,1.438,8.170598,16.653036,9.2309028,1.394636,18.4618055,5.477,5.4599688,2174476582.0704765,2188000000.0,1486800000.0,2188000000.0,0.17647,0.241291,2.5,0.6004611,2.5,0.4472709,0.66105,0.21449,8.07,16.448,135.4,0.1214771,1.7112987,84749400,1140000000,13.4514227,7300,11835540480,11475064832,156164.3835616,0.1092727,0.0315187,0.1092727,0.0315187,0.1092727,0.0315187,0.1092727,3.5556428,0.0315187,2.0253506,6.29,6.29,2217200000.0,2278000000.0,5.3380572,5.1955841,5.1955841,10.2233454,10.117852,10.117852,3.1818571,USD,USD,1.0,1.0,2.0,0.5,14.0,0.5,1.0508165,62.3,141.25,119.94428,12.8857499,117.3354735,-9.5320354,1.8518049,40.3247264,1.0981628,1.0988901,1.2013444,1.1450649,0.1613811,0.2764797,1.43702,1.298679,1.1088901,1.1550649,0.2864797,1.308679,1.2087846,70441200000.0,73661800000.0,73661800000.0,6310533333.333333,6629466666.666667,6629466666.666667,0.1197117,0.3190221,4276666666.6666665,6094533333.333333,6094533333.333333,64130133333.333336,67032333333.333336,67032333333.333336,0.1776809,None
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,United States,155094.4151349,155266733.3333333,-351438266.6666667,-1587969800.0,78751000.0,1591472000.0,-3613810000.0,1591472000.0,-3613810000.0,78751000.0,155266733.3333333,-351438266.6666667,78751000.0,1591472000.0,1591472000.0,78751000.0,5.019,5.019,1.8570945,1463.0261115,184.5032216,12.7508335,184.5032216,-3.203,0.6408143,-336846949.5785202,-355293000.0,-343152000.0,-355293000.0,7.8321996,-2.1285341,0.0,-2.4287823,0.0,3.5304211,1.18452,0.01224,-6.43,23.666,44.05,0.5372531,1.5292276,58951500,-335448000,-5.6902369,562,1019838080,2590918400,-596882.5622776,0.0884126,0.6551579,0.0884126,0.6551579,0.0884126,0.6551579,0.0884126,3.2234256,0.6551579,8.3441826,0.05,0.05,-313508933.3333333,-355647000.0,3074.1049926,28675.5710016,28675.5710016,0.7850883,0.2803246,0.2803246,0.5304569,USD,USD,1.0,1.0,0,0,0,0,0.0547156,32.47,62.16,53.172928,-17.1570917,35.6636896,-29.1344916,0.7800606,0.7810606,2.7936567,10.3956703,0.0,0.0,0.0041127,0.0010282,6.541312,23.01839,10.4056703,0.01,0.0110282,23.02839,16.7170301,847859400.0,1837660866.6666667,1837660866.6666667,500579266.6666667,1616033333.3333333,1616033333.3333333,0.9660314,1.0848015,520294000.0,1590241666.6666667,1590241666.6666667,347280133.3333333,221627533.3333333,221627533.3333333,2.1765808,None
AGO,Assured Guaranty Ltd.,Financial Services,Bermuda,535055928189470.1,1051333333.3333334,418400000.0,6197600000.0,845000000.0,343000000.0,24397000000.0,343000000.0,24397000000.0,845000000.0,1051333333.3333334,418400000.0,845000000.0,343000000.0,343000000.0,845000000.0,4.828,4.828,11.614403,14.705882,12.0008379,4.319887,24.0016758,15.814,16.2677315,244001676.4891868,230000000.0,0,230000000.0,0.40592,0.9338127,2.5,1.0447108,2.5,0.9317698,0.9834101,0.05671,3.4,4.305,50.15,0.0858425,0.5694891,73006096,342000000,4.6845403,412,4080065024,3650304768,830097.0873786,-0.1931161,-0.0317788,-0.1630179,-0.0317788,-0.1630179,-0.0317788,-0.1855916,0.2111246,-0.0317788,0.2468221,5.49,5.49,-500200000.0,-1357000000.0,1225.9608537,30066.8019455,30066.8019455,1.2184063,1.5241386,1.5241386,1.2355601,USD,USD,1.0,1.0,0.22,0.22,0.2,0.2,1.1132712,18.45,52.28,45.156357,11.0585604,171.8157182,-7.63772,1.8740763,43.3235026,1.8296148,1.6690663,0.0266022,0.0214763,0.6666934,0.8161009,0.8127281,0.8736663,1.6790663,0.0314763,0.8261009,0.8836663,1.2813663,14774333333.333334,16482866666.666666,16482866666.666666,6643266666.666667,6505266666.666667,6505266666.666667,0.1208095,0.1527265,-751466666.6666666,-555933333.3333334,-555933333.3333334,8094533333.333333,9910666666.666666,9910666666.666666,1.1764178,None
AIG,"American International Group, I",Financial Services,United States,96565273452.69308,45959466666.666664,-2683733333.3333335,18639533333.333332,44342000000.0,4210000000.0,69398000000.0,4210000000.0,69398000000.0,44342000000.0,45959466666.666664,-2683733333.3333335,44342000000.0,4210000000.0,4210000000.0,44342000000.0,1.486,1.486,11.393699,10.686889,11.3053477,1.053307,22.6106955,6.767,6.7664692,9735472581.05512,9737000000.0,8256133333.333333,9737000000.0,-0.07011,-0.0919979,0.0,0.077446,1.0,0.073242,0.93391,0.00091,5.11,-3.5167,53.88,-0.0745804,0.7117257,855201984,-3047399885,-3.5494922,45000,65869606912,46702579712,-67719.99744,15.5372571,-0.0651163,144.4285714,-0.0651163,144.4285714,-0.0651163,144.4285714,120.4284388,-0.0651163,0.2434884,0.32,0.32,-502000000.0,2523000000.0,76.2111729,26.1076524,26.1076524,7.5468986,8.1412865,8.1412865,2.854294,USD,USD,1.0,1.0,0.32,0.32,0.32,0.32,0.8227637,25.57,54.93,47.457428,13.5333335,110.7156824,-10.5258418,1.9284741,51.4378589,1.1360126,1.1253582,1.3224086,1.1041596,0.5293636,0.5354355,0.6758431,0.7365787,1.1353582,1.1141596,0.5454355,0.7465787,0.9409684,551624866666.6666,591583466666.6666,591583466666.6666,64377933333.333336,64595800000.0,64595800000.0,0.1071165,0.1651745,-41106200000.0,-39761666666.666664,-39761666666.666664,485783133333.3333,525682866666.6667,525682866666.6667,0.0665361,None
AIZ,"Assurant, Inc.",Financial Services,United States,2976565262.952016,9529106666.666666,405760000.0,4631460000.0,10032500000.0,475400000.0,16950500000.0,475400000.0,16950500000.0,10032500000.0,9529106666.666666,405760000.0,10032500000.0,475400000.0,475400000.0,10032500000.0,0.912,0.912,21.594032,13.535686,20.5867387,0.945547,41.1734775,8.721,8.7792548,1059251226.006192,1045100000.0,852500000.0,1045100000.0,0.04632,0.2398941,5.625,0.3224269,4.8125,0.2694022,1.00292,0.01029,12.19,7.641,165.94,0.0460468,1.6604441,58813600,449000000,7.6342887,13600,9361142784,9704244224,33014.7058824,0.142,0.1122597,0.1643704,0.1122597,0.1643704,0.1122597,0.1475926,4.0917782,0.1122597,3.6005182,0.82,0.82,1215560000.0,1578800000.0,7.7010948,5.9292772,5.9292772,6.6602216,6.6760107,6.6760107,2.5847977,USD,USD,1.0,1.0,0.66,0.66,0.66,0.63,0.3245565,116.11,166.63,149.03964,11.3395067,42.9162002,-3.2768827,1.9726841,58.9311947,1.1507144,1.1499092,0.6362868,0.6539335,0.2681226,0.4077962,0.6110649,0.670658,1.1599092,0.6639335,0.4177962,0.680658,0.9202836,43225706666.666664,45232213333.333336,45232213333.333336,5645093333.333333,5892433333.333333,5892433333.333333,0.1105102,0.1806797,-9036426666.666666,-4567292000.0,-4567292000.0,37564633333.333336,39337600000.0,39337600000.0,0.1716019,None
