Symbol,Name,Sector,Value,Close,Grade
LYB,LyondellBasell Industries NV,Basic Materials,-0.78776,100.06,317.8322
LEN.B,Lennar Corporation,Consumer Cyclical,-0.94749,86.71,286.5515
BBY,Best Buy Co.  Inc.,None,-0.5919,118.09,182.6479
FOX,Fox Corporation,Communication Services,-0.99136,34.0,133.6928
VMW,Vmware  Inc.,Technology,-0.74464,158.8,120.239
VIACA,ViacomCBS Inc.,Communication Services,-0.29161,44.54,118.196
SCCO,Southern Copper Corporation,Basic Materials,-1.72548,61.2,107.7764
UWMC,UWM Holdings Corporation,Financial Services,-0.63872,7.37,100.134
NEU,NewMarket Corp,Basic Materials,-0.83263,338.85,96.9555
CI,Cigna Corporation,Healthcare,-0.69771,207.79,96.9291
PCAR,PACCAR Inc.,Industrials,-0.50223,81.47,86.6036
LMT,Lockheed Martin Corporation,Industrials,-0.7771,361.62,83.4246
QDEL,Quidel Corporation,Healthcare,-1.85213,124.73,79.3875
NUS,Nu Skin Enterprises  Inc.,Consumer Defensive,-0.77324,50.82,78.822
KMI,Kinder Morgan  Inc.,Energy,-0.29184,16.14,78.7988
FOXA,Fox Corporation,Communication Services,-0.5882,36.68,78.7063
FDX,FedEx Corporation,Industrials,-0.70747,267.46,73.3453
AKAM,Akamai Technologies  Inc.,Technology,-0.61806,113.315,72.4789
WLK,Westlake Chemical Corporation,Basic Materials,-1.17411,86.17,64.8873
GRMN,Garmin Ltd.,Technology,-0.43845,172.92,63.1413
AFL,AFLAC Incorporated,Financial Services,0.27028,56.4,62.6354
KKR,KKR & Co. Inc.,Financial Services,1.01078,64.52,62.2141
DISH,DISH Network Corporation,Communication Services,-0.3981,42.85,62.0826
EBAY,eBay Inc.,Consumer Cyclical,-0.07758,75.64,60.4616
PHM,PulteGroup  Inc.,Consumer Cyclical,-0.73632,53.82,59.6914
NVR,NVR  Inc.,Consumer Cyclical,-0.70952,5103.03,58.3956
JEF,Jefferies Financial Group Inc.,Financial Services,0.01588,36.75,58.1267
GHC,Graham Holdings Company,Consumer Defensive,-0.66271,606.35,57.9222
CPB,Campbell Soup Company,Consumer Defensive,-0.95681,40.43,57.731
UHS,Universal Health Services  Inc.,Healthcare,-0.41795,154.54,56.1341
LPX,Louisiana-Pacific Corporation,Industrials,-1.23925,62.81,54.1733
CHKP,Check Point Software Technologi,Technology,-1.09472,126.2,52.8741
BG,Bunge Limited Bunge Limited,Consumer Defensive,-0.38351,75.3,52.4797
CCK,Crown Holdings  Inc.,Consumer Cyclical,-0.12705,109.5,51.6505
ORCL,Oracle Corporation,Technology,-0.2179,88.72,51.6098
INTC,Intel Corporation,Technology,-0.66042,53.13,51.221
BAH,Booz Allen Hamilton Holding Cor,Industrials,-0.73787,81.11,48.9913
JD,JD.com  Inc.,Consumer Cyclical,-0.92677,77.04,48.7182
CDW,CDW Corporation,Technology,0.18743,198.07,48.2327
REGN,Regeneron Pharmaceuticals  Inc.,Healthcare,-0.30316,665.77,47.2169
MS,Morgan Stanley,Financial Services,1.09745,103.84,46.8427
OLLI,Ollie's Bargain Outlet Holdings,Consumer Defensive,-0.98435,77.74,46.0417
RS,Reliance Steel & Aluminum Co.,Basic Materials,-0.61111,149.63,44.8125
BIO,Bio-Rad Laboratories  Inc.,Healthcare,-1.2994,797.74,44.7048
FSLR,First Solar  Inc.,Technology,-0.54608,93.68,44.538
VIAC,ViacomCBS Inc.,Communication Services,0.66352,39.96,43.4803
DD,DuPont de Nemours  Inc.,Basic Materials,-0.33612,74.3,42.1426
VZ,Verizon Communications Inc.,Communication Services,-0.36437,54.6,41.3284
SMG,Scotts Miracle-Gro Company (The,Basic Materials,-1.02147,157.49,40.275
STX,Seagate Technology Holdings PLC,Technology,-0.41475,84.74,39.9309
GM,General Motors Company,Consumer Cyclical,-0.35016,48.62,39.5218
SCI,Service Corporation Internation,Consumer Cyclical,-0.11417,62.16,39.29
DG,Dollar General Corporation,Consumer Defensive,-0.45444,225.9,39.2406
MCY,Mercury General Corporation,None,-0.77531,58.49,39.2274
MNST,Monster Beverage Corporation,Consumer Defensive,-1.23721,96.84,37.6427
SC,Santander Consumer USA Holdings,Financial Services,0.322,41.57,37.5842
TSN,Tyson Foods  Inc.,Consumer Defensive,-0.29072,78.1,37.032
BRK.B,Berkshire Hathaway Inc. New,Financial Services,0.05879,285.27,36.7464
LRCX,Lam Research Corporation,Technology,-0.76922,585.35,36.424
K,Kellogg Company,Consumer Defensive,-0.51483,63.22,35.7412
BEN,Franklin Resources  Inc.,Financial Services,-0.79596,32.14,34.0083
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,-0.56613,34.97,34.0059
STLD,Steel Dynamics  Inc.,Basic Materials,-0.24661,69.13,33.8062
ANET,Arista Networks  Inc.,Technology,-0.50652,369.23,32.4848
Y,Alleghany Corporation,Financial Services,-0.38783,669.75,31.405
NUE,Nucor Corporation,None,-0.31892,118.06,31.3586
FLT,FleetCor Technologies  Inc.,Technology,-0.4146,263.61,30.9851
LAD,Lithia Motors  Inc.,Consumer Cyclical,-0.63628,333.51,30.9546
ACN,Accenture plc,Technology,-0.02719,333.23,30.9465
WMT,Walmart Inc.,Consumer Defensive,-0.86735,147.35,30.928
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,-0.3913,186.68,30.4073
STZ,Constellation Brands  Inc.,Consumer Defensive,-0.50497,214.35,29.5672
GIS,General Mills  Inc.,Consumer Defensive,-0.53971,57.3,29.4478
NVDA,NVIDIA Corporation,None,-0.42188,220.68,29.3069
GWW,W.W. Grainger  Inc.,Industrials,-0.85819,428.81,29.1806
CNC,Centene Corporation,Healthcare,-0.71627,63.58,28.8996
UNH,UnitedHealth Group Incorporated,Healthcare,-0.20433,416.85,28.7122
FCN,FTI Consulting  Inc.,Industrials,-0.33426,140.78,28.5554
ACI,Albertsons Companies  Inc.,Consumer Defensive,-0.02974,28.03,28.1813
AVGO,Broadcom Inc.,Technology,0.04764,485.74,27.353
INTU,Intuit Inc.,Technology,-0.32026,552.64,27.103
BLDR,Builders FirstSource  Inc.,Industrials,-0.1991,51.75,26.9761
ANAT,American National Group  Inc.,Financial Services,0.25841,191.59,26.9283
TGT,Target Corporation,Consumer Defensive,-0.4459,248.96,26.6737
WTM,White Mountains Insurance Group,Financial Services,-0.70071,1123.19,26.5051
NXST,Nexstar Media Group  Inc.,Communication Services,-0.34359,146.0,25.9738
ROST,Ross Stores  Inc.,None,-0.29977,119.25,25.715
THO,Thor Industries  Inc.,Consumer Cyclical,-0.69896,115.16,25.1523
HD,Home Depot  Inc. (The),Consumer Cyclical,-0.69705,321.48,25.0821
BOKF,BOK Financial Corporation,Financial Services,0.36697,86.93,24.9591
USM,United States Cellular Corporat,Communication Services,-1.0972,31.25,24.6523
UHAL,Amerco,Industrials,-0.39162,660.15,24.48
HUN,Huntsman Corporation,Basic Materials,-0.45462,25.58,24.4434
CINF,Cincinnati Financial Corporatio,Financial Services,-0.0282,122.58,24.4144
OMF,OneMain Holdings  Inc.,Financial Services,-0.38904,57.13,24.3334
