"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
AXP,American Express Company,Financial Services,United States,1e-07,34575466666.666664,4580400000.0,13299000000.0,38136000000.0,7026000000.0,58309000000.0,7026000000.0,58309000000.0,38136000000.0,34575466666.666664,4580400000.0,38136000000.0,7026000000.0,7026000000.0,38136000000.0,3.87,3.87,21.0081496,18.018162,20.6344012,3.8704442,41.2688024,0,100000,0.0,1666000000.0,1400200000.0,1666000000.0,0.18424,0.2921456,2.5,3.478602,17.1875,2.1075627,0.8718801,0.00117,9.1,6.101,0,0.0,5.539133,803302976,6920000000,8.6144334,63700,147603259392,147603259392,108634.2229199,7.872,-0.0869959,-0.0961359,-0.0869959,-0.0961359,-0.0869959,5.879966,24.4986413,-0.0869959,0.2413004,0.48,0.48,8710400000.0,11145000000.0,16.945635,13.2438995,13.2438995,7.522558,6.6913646,6.6913646,2.5877672,USD,USD,1.0,1.0,0.43,0.43,0.43,0.43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1332465,1.1500544,0.525725,0.6426299,0.5096868,0.5877954,1.5962345,1.5346435,1.1600544,0.6526299,0.5977954,1.5446435,1.3523489,192174666666.66666,189203000000.0,189203000000.0,22599800000.0,24663000000.0,24663000000.0,0.1371347,0.3848802,58246466666.666664,52350066666.666664,52350066666.666664,169574866666.66666,164540000000.0,164540000000.0,0.3758202,None
BAC,Bank of America Corporation,Financial Services,United States,1e-07,79679866666.66667,21826533333.333332,154961600000.0,86761000000.0,27625000000.0,672116000000.0,27625000000.0,672116000000.0,86761000000.0,79679866666.66667,21826533333.333332,86761000000.0,27625000000.0,27625000000.0,86761000000.0,2.173,2.173,6.8243402,14.11628,7.7358327,2.1728933,15.4716653,0,100000,0.0,1893000000.0,1859266666.6666667,1893000000.0,0.3184,0.6488727,2.5,4.254461,12.03125,2.6719985,0.7404799,0.00117,3.11,2.33,0,0.0,1.4617952,8569319936,26172000256,3.0541514,212000,188522397696,188522397696,123452.8313962,1.611,-0.0761265,-0.1282453,-0.0761265,-0.1282453,-0.0761265,1.1761887,11.0952233,-0.0761265,0.2423874,0.49,0.49,42663733333.333336,-39683000000.0,4.4187975,47507.0931371,47507.0931371,9.5586639,10.7045963,10.7045963,3.2727879,USD,USD,1.0,1.0,0.18,0.18,0.18,0.18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1154848,1.1023387,1.6143096,1.239429,120.2151477,125.0796144,0.4266714,0.4011767,1.1123387,1.249429,125.0896144,0.4111767,0.7617577,2618905333333.3335,2966455066666.6665,2966455066666.6665,245584600000.0,251359933333.33334,251359933333.33334,0.1093125,0.2099022,-1196842666666.6667,-1450061733333.3333,-1450061733333.3333,2349543466666.6665,2691278400000.0,2691278400000.0,1e-05,None
BLD,TopBuild Corp.,Industrials,United States,1e-07,2594370133.3333335,211186733.3333333,715705133.3333334,2718037000.0,247020000.0,3098872000.0,247020000.0,3098872000.0,2718037000.0,2594370133.3333335,211186733.3333333,2718037000.0,247020000.0,247020000.0,2718037000.0,2.957,2.957,32.5416584,17.433754,30.6531703,2.9574433,30.6531703,19.214,19.214123,418358358.2283752,418353000.0,359746733.3333333,418353000.0,0.09088,0.4824315,5.625,0.6580062,6.875,0.536824,1.00317,0.01216,11.55,7.42,0,0.0,5.358381,33068100,247023008,7.4701301,10540,8038440448,8038440448,23436.7180266,0.539,0.0850166,0.2657569,0.0850166,0.2657569,0.0850166,0.4706892,7.1106795,0.0850166,3.1657614,0.88,0.88,293181066.6666667,357884000.0,27.4180067,22.4610221,22.4610221,1.1378155,1.1260955,1.1260955,1.0621765,USD,USD,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8940237,1.8895314,0.0450834,0.0112709,0.0630326,0.0627653,1.7506611,1.8626057,1.8995314,0.0212709,0.0727653,1.8726057,1.8860685,2639781800.0,2765764400.0,2765764400.0,1236174866.6666667,1302123266.6666667,1302123266.6666667,0.1893135,0.2897055,360852066.6666667,421817066.6666667,421817066.6666667,1403606933.3333333,1463641133.3333333,1463641133.3333333,2.5551506,None
CGNX,Cognex Corporation,Technology,United States,1e-07,784627933.3333334,189346266.6666667,591825533.3333334,882812000.0,225557000.0,2511716000.0,225557000.0,2511716000.0,882812000.0,784627933.3333334,189346266.6666667,882812000.0,225557000.0,225557000.0,882812000.0,16.404,16.404,64.2054587,46.202072,61.9550354,16.4043881,20.6516785,50.25,50.2501229,288197409.5124378,288196000.0,219430533.3333333,288196000.0,0.2555,0.5799107,2.5,0.2845655,1.0,0.459182,0.90592,0.03934,1.82,1.27,0,0.0,11.604632,176608000,225556992,1.2771618,2055,14481990656,14481990656,109760.0934307,2.411,0.0461556,-0.0632508,0.0461556,-0.0632508,0.0461556,1.7924373,13.6381937,0.0461556,2.3983851,3.78,3.78,241578333.3333333,275897000.0,59.9473904,52.4905695,52.4905695,0.361655,0.4068595,0.4068595,0.6388554,USD,USD,1.0,1.0,0.06,0.06,2.0,0.06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.292544,3.4625704,0.1599372,0.2011792,1.0076339,1.1521278,5.2814242,4.2011236,3.4725704,0.2111792,1.1621278,4.2111236,3.841847,1721096200.0,1902023333.3333333,1902023333.3333333,1259110333.3333333,1352863466.6666667,1352863466.6666667,0.2185879,0.2667256,506497466.6666667,472271600.0,472271600.0,461985866.6666667,549159866.6666666,549159866.6666666,4.3512755,None
COF,Capital One Financial Corporati,Financial Services,United States,1e-07,19975066666.666668,3860533333.3333335,38967600000.0,30593000000.0,11833000000.0,167369000000.0,11833000000.0,167369000000.0,30593000000.0,19975066666.666668,3860533333.3333335,30593000000.0,11833000000.0,11833000000.0,30593000000.0,2.642,2.642,6.8305232,10,7.2267078,2.6419632,14.4534157,0,100000,0.0,3411000000.0,3239733333.3333335,3411000000.0,0.38679,0.4313363,2.5,6.9408866,17.1875,4.1547156,0.93449,0.00912,16.26,15.298,0,0.0,1.4253515,451488992,11491000320,25.4513411,52000,80825581568,80825581568,220980.7753846,-0.0233833,-0.0845916,-0.0233833,-0.0845916,-0.0233833,-0.0845916,-0.0233833,0.2476617,-0.0845916,0.2415408,0.14,0.14,16019066666.666666,13178000000.0,5.0455862,6.1333724,6.1333724,6.5297014,6.3411743,6.3411743,2.5191688,USD,USD,1.0,1.0,0.6,0.4,0.4,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167111,1.1738163,0.0,0.0,37.4580897,20.2237592,0.1089384,0.1603109,1.1838163,0.01,20.2337592,0.1703109,0.6770636,403003000000.0,423543133333.3333,423543133333.3333,52964933333.333336,56950666666.666664,56950666666.666664,0.1279381,0.3077763,-262441533333.33334,-261300733333.33334,-261300733333.33334,345286866666.6667,360838066666.6667,360838066666.6667,0.0048823,None
FNB,F.N.B. Corporation,Financial Services,United States,1e-07,1130375200.0,318733333.3333333,777600000.0,1189510000.0,350000000.0,3609000000.0,350000000.0,3609000000.0,1189510000.0,1130375200.0,318733333.3333333,1189510000.0,350000000.0,350000000.0,1189510000.0,2.851,2.851,9.7243436,11.009259,9.884958,2.8612792,19.769916,0,100000,0.0,-14000000.0,30866666.6666667,-14000000.0,0.29323,0.6807445,2.5,0.7778443,2.5,0.6908709,0.77065,0.00801,1.02,0.99,0,0.0,0.7661576,319384992,341959008,1.0706796,4077,3403520256,3403520256,83875.1552612,0.214,-0.0024078,-0.0134984,-0.0024078,-0.0134984,-0.0024078,0.1571254,4.2139047,-0.0024078,0.2497592,0.99,0.99,229400000.0,571000000.0,14.8366184,5.9606309,5.9606309,6.4835751,6.7828123,6.7828123,2.6053833,USD,USD,1.0,1.0,0.12,0.12,0.12,0.12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1578831,1.1506683,0.0,0.0,105.6386569,141.5521614,0.0468776,0.09689,1.1606683,0.01,141.5621614,0.10689,0.6337792,35660933333.333336,38219800000.0,38219800000.0,4748266666.666667,4897066666.666667,4897066666.666667,0.1091576,0.1714714,-28014213333.333332,-28809233333.333332,-28809233333.333332,30805666666.666668,33215733333.333332,33215733333.333332,1e-05,None
HWM,Howmet Aerospace Inc.,Industrials,United States,1e-07,6465333333.333333,345200000.0,93333333.3333333,3625000000.0,46000000.0,845000000.0,46000000.0,845000000.0,3625000000.0,6465333333.333333,345200000.0,3625000000.0,46000000.0,46000000.0,3625000000.0,3.929,3.929,412.8841906,22.006712,364.0245058,5.239358,364.0245058,18.955,19.5908117,938993742.2316012,876000000.0,1396600000.0,876000000.0,0.02607,0.0542222,1.0,0.2264376,4.8125,0.1586093,0.91044,0.00525,0,0,0,0.0,1000.0,434076000,136000000,0.3133092,19700,18992672768,18992672768,6903.5532995,-0.628,-0.2027045,-0.1877927,-0.2027045,-0.1877927,-0.2027045,-0.5179482,0.1982052,-0.2027045,0.2297296,0.93,0.93,154066666.6666667,333000000.0,123.2756779,57.0350534,57.0350534,2.4590159,2.259195,2.259195,1.5040619,USD,USD,1.0,1.0,0.02,0.02,0.02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4179119,1.4497311,0.2504089,0.006142,0.4969374,0.2657421,1.9573352,2.2352335,1.4597311,0.016142,0.2757421,2.2452335,1.8524823,14526400000.0,11401857142.857143,11401857142.857143,4147400000.0,3482000000.0,3482000000.0,0.1040344,0.1132108,2176266666.6666665,2019714285.7142856,2019714285.7142856,10317733333.333334,7864857142.857142,7864857142.857142,1.1774746,None
KR,Kroger Company (The),Consumer Defensive,United States,1e-07,127740800000.0,2362866666.6666665,21628333333.333332,132247000000.0,1513000000.0,92017000000.0,1513000000.0,92017000000.0,132247000000.0,127740800000.0,2362866666.6666665,132247000000.0,1513000000.0,1513000000.0,132247000000.0,0.359,0.359,31.3619891,14.817591,29.2939394,0.3588035,29.2939394,8.621,8.3897947,5816040919.614894,6128000000.0,6168333333.333333,6128000000.0,0.01144,0.0465661,2.5,0.0057614,1.0,0.0407008,0.86944,0.00688,3.04,1.929,0,0.0,3.6869833,748000000,1498000000,2.0026738,500000,47450689536,47450689536,2996.0,-0.884,0.0470824,0.2757693,0.0470824,0.2757693,0.0470824,-0.5940577,0.1905942,0.0470824,2.4198473,1.36,1.36,5661133333.333333,4826000000.0,8.3818357,9.832302,9.832302,4.1189078,4.1366182,4.1366182,2.0348678,USD,USD,1.0,1.0,0.21,0.18,0.18,0.18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.242239,1.2416154,0.2990836,0.2165718,0.1300825,0.3413525,0.7909663,0.8242938,1.2516154,0.2265718,0.3513525,0.8342938,1.0429546,45583533333.333336,48640600000.0,48640600000.0,8914600000.0,9483733333.333334,9483733333.333334,0.1311057,0.2595363,-3089200000.0,-2680400000.0,-2680400000.0,36699066666.666664,39179733333.333336,39179733333.333336,2.5342581,None
MAN,ManpowerGroup,Industrials,United States,1e-07,19498580000.0,247466666.6666667,3341013333.3333335,18306300000.0,84100000.0,13586300000.0,84100000.0,13586300000.0,18306300000.0,19498580000.0,247466666.6666667,18306300000.0,84100000.0,84100000.0,18306300000.0,0.364,0.364,79.1667672,14.395017,71.0702984,0.3636958,71.0702984,14.556,14.5560059,457400368.233031,457400000.0,633426666.6666666,457400000.0,0.00459,0.0167337,2.5,0.009887,1.0,0.0230427,0.98188,0.0075,8.06,1.461,0,0.0,2.8020227,54525700,84100000,1.5423919,25000,6657925120,6657925120,3364.0,35.471,-0.0865532,-0.5859692,-0.0865532,-0.5859692,-0.0865532,26.4567577,51.6861329,-0.0865532,0.2413447,0.38,0.38,807726666.6666666,896300000.0,8.2427947,7.4282329,7.4282329,2.570746,2.7816755,2.7816755,1.6688356,USD,USD,1.0,1.0,1.26,1.17,1.09,1.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3977258,1.363226,0.1696732,0.1543414,0.7734584,0.8118753,1.4252707,1.4209174,1.373226,0.1643414,0.8218753,1.4309174,1.4020717,9162933333.333334,9175133333.333334,9175133333.333334,2568313333.3333335,2426520000.0,2426520000.0,0.1091661,0.1346587,1935226666.6666667,1934526666.6666667,1934526666.6666667,6567640000.0,6735986666.666667,6735986666.666667,2.2536336,None
TXN,Texas Instruments Incorporated,Technology,United States,1e-07,14649933333.333334,5311333333.333333,40431600000.0,16762000000.0,6725000000.0,170062000000.0,6725000000.0,170062000000.0,16762000000.0,14649933333.333334,5311333333.333333,16762000000.0,6725000000.0,6725000000.0,16762000000.0,10.129,10.129,25.2453321,23.405405,25.0153412,10.1285562,8.3384471,20.455,20.4549505,8299959868.98069,8300000000.0,6803333333.333333,8300000000.0,0.4012,0.9412648,2.5,7.093322,17.1875,4.3895739,0.8587101,0.00243,7.84,6.603,0,0.0,17.302698,923523968,6696000000,7.2504886,30000,169774858240,169774858240,223200.0,0.399,-0.0144028,0.110646,-0.0144028,0.110646,-0.0144028,0.3269115,5.9676174,-0.0144028,0.2485597,2.44,2.44,6363266666.666667,7539000000.0,26.6804563,22.5195461,22.5195461,1.0306552,0.9270327,0.9270327,0.9638254,USD,USD,1.0,1.0,1.02,1.02,1.02,1.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9843681,2.0923005,2.046875,0.5117188,0.5628878,0.7879037,4.0795555,5.1942169,2.1023005,0.5217188,0.7979037,5.2042169,3.6532587,18586400000.0,20019266666.666668,20019266666.666668,9163266666.666666,10439133333.333334,10439133333.333334,0.4359264,0.7442106,7137733333.333333,8626666666.666666,8626666666.666666,9423133333.333334,9580133333.333334,9580133333.333334,5.0247773,None
