"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
BLD,TopBuild Corp.,Industrials,United States,1e-07,2594370133.3333335,211186733.3333333,715705133.3333334,2718037000.0,247020000.0,3098872000.0,247020000.0,3098872000.0,2718037000.0,2594370133.3333335,211186733.3333333,2718037000.0,247020000.0,247020000.0,2718037000.0,2.957,2.957,32.5416584,17.433754,30.6531703,2.9574433,30.6531703,19.214,19.214123,418358358.2283752,418353000.0,359746733.3333333,418353000.0,0.09088,0.4824315,5.625,0.6580062,6.875,0.536824,1.00317,0.01216,11.55,7.42,0,0.0,5.358381,33068100,247023008,7.4701301,10540,8038440448,8038440448,23436.7180266,0.539,0.0850166,0.2657569,0.0850166,0.2657569,0.0850166,0.4706892,7.1106795,0.0850166,3.1657614,0.88,0.88,293181066.6666667,357884000.0,27.4180067,22.4610221,22.4610221,1.1378155,1.1260955,1.1260955,1.0621765,USD,USD,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8940237,1.8895314,0.0450834,0.0112709,0.0630326,0.0627653,1.7506611,1.8626057,1.8995314,0.0212709,0.0727653,1.8726057,1.8860685,2639781800.0,2765764400.0,2765764400.0,1236174866.6666667,1302123266.6666667,1302123266.6666667,0.1893135,0.2897055,360852066.6666667,421817066.6666667,421817066.6666667,1403606933.3333333,1463641133.3333333,1463641133.3333333,2.5551506,None
QDEL,Quidel Corporation,Healthcare,United States,5.5536904,1117014466.6666667,460945400.0,547307333.3333334,1862353000.0,948134000.0,2785440000.0,948134000.0,2785440000.0,1862353000.0,1117014466.6666667,460945400.0,1862353000.0,948134000.0,948134000.0,1862353000.0,2.273,2.273,6.8627343,11.10879,7.3934913,2.9157538,7.3934913,3.293,3.2936041,1284835444.2757363,1284364000.0,660508066.6666666,1284364000.0,0.5091,0.8981108,2.25,1.2384561,2.5,1.0470209,0.86737,0.11936,11.49,18.599,124.73,0.1491141,4.0503917,42542800,948134016,22.2865918,1370,4232515584,5430162944,692068.6248175,3.426,1.3364244,5.9161949,1.3364244,5.9161949,1.3364244,4.0485487,20.3710058,1.3364244,11.8103825,2.65,2.65,391762866.6666667,1154040000.0,10.8037692,3.667564,3.667564,0.7098814,0.4274757,0.4274757,0.6548163,USD,USD,1.0,1.0,0,0,0,0,124.73,103.31,288.7,133.31343,-6.4385336,20.7337141,-56.795982,0.2310804,0.2320804,2.9156685,3.3634146,0.2002082,0.0200125,0.4073371,0.516872,2.6123727,3.2364357,3.3734146,0.0300125,0.526872,3.2464357,3.3099251,1410718200.0,1849017000.0,1849017000.0,931945066.6666666,1303915133.3333333,1303915133.3333333,0.6127773,0.8271439,473271800.0,757869266.6666666,757869266.6666666,478773133.3333333,545101866.6666666,545101866.6666666,3.4464789,None
JD,"JD.com, Inc.",Consumer Cyclical,China,13.068689,98213694538.81787,4508247544.609034,2084661812.542833,123703683090.793,8005212993.1085,6002283074.2095,8005212993.1085,6002283074.2095,123703683090.793,98213694538.81787,4508247544.609034,123703683090.793,8005212993.1085,8005212993.1085,123703683090.793,0.061,0.061,15.042315,31.582644,17.1098561,0.1484275,17.1098561,2.998,2.9951421,16309446035.69046,16340541000.0,12475360000.0,16340541000.0,0.06471,0.1205889,2.25,0.1241288,2.5,0.124629,0.42067,0.07018,2.42,5.081,77.04,0.0659528,0.6266603,1558989952,51949686784,33.3226566,310000,48802496512,119153598464,167579.6347871,2.372,0.277654,1.8972295,0.277654,1.8972295,0.277654,2.2533074,15.2610205,0.277654,5.5192886,2.16,2.16,5219717830.0838995,5636508280.91,9.3496427,8.6582853,8.6582853,1.5528451,1.0917662,1.0917662,1.0458762,CNY,USD,0.1540955,1.0,0,0,0,0,77.04,61.65,108.29,78.50489,-1.8659857,24.9635036,-28.8576969,0.6599485,0.6609485,1.861604,2.1030593,0.2703681,0.5141661,3.3694617,3.9921318,1.1650639,1.347972,2.1130593,0.5241661,4.0021318,1.357972,1.7355156,51566331643.89893,62770520495.25183,62770520495.25183,20539420014.1,27706506627.3164,27706506627.3164,0.2275314,0.388929,29823498333.333332,57957144533.333336,57957144533.333336,27101155738.5985,29881040613.205166,29881040613.205166,2.5421583,None
LYB,LyondellBasell Industries NV,Basic Materials,United States,6522.0762517,31561600000.0,2611666666.6666665,5502133333.333333,35356000000.0,4091000000.0,20375000000.0,4091000000.0,20375000000.0,35356000000.0,31561600000.0,2611666666.6666665,35356000000.0,4091000000.0,4091000000.0,35356000000.0,1.37,1.37,14.686652,7.5982275,13.8005989,0.9729136,13.8005989,7.549,7.5455744,6422171517.287058,6428000000.0,4625266666.666667,6428000000.0,0.11571,0.1605516,2.5,4.2629743,30.078125,2.5083872,0.70651,0.21289,13.54,7.005,100.06,0.070008,3.908369,334353984,4083000064,12.2116088,19200,48436973568,34398334976,212656.2533333,5.575,-0.1273614,-0.4167693,-0.1273614,-0.4167693,-0.1273614,4.0770577,20.4417252,-0.1273614,0.2372639,0.09,0.09,4214933333.3333335,3871000000.0,11.4917532,12.5127806,12.5127806,2.9253666,2.8411798,2.8411798,1.68658,USD,USD,1.0,1.0,0,0,0,0,100.06,64.21,118.02,104.772484,-4.497826,55.8324249,-15.2177597,1.3324661,5.5967638,1.3684177,1.3621919,0.9155975,0.4276065,0.0928928,0.1084761,2.0349695,1.938957,1.3721919,0.4376065,0.1184761,1.948957,1.6605745,32515066666.666668,36254066666.666664,36254066666.666664,8360466666.666667,9509333333.333334,9509333333.333334,0.2128425,0.5302089,5558066666.666667,5934200000.0,5934200000.0,24029066666.666668,26614133333.333332,26614133333.333332,1.8216808,None
CNC,Centene Corporation,Healthcare,United States,13947.6708545,85054800000.0,1491733333.3333333,5623066666.666667,108147000000.0,2461000000.0,27323000000.0,2461000000.0,27323000000.0,108147000000.0,85054800000.0,1491733333.3333333,108147000000.0,2461000000.0,2461000000.0,108147000000.0,0.456,0.456,15.280631,11.204904,14.7711651,0.3447473,14.7711651,8.12,8.1200746,6072111574.384237,6072000000.0,4194933333.3333335,6072000000.0,0.02276,0.2713068,15.46875,0.0189531,1.0,0.1742429,0.93881,0.01179,5.71,4.187,63.58,0.065854,1.4152362,582734976,2460999936,4.223189,71300,49306451968,37283385344,34516.1281346,14.196,0.3743796,0.3567361,0.3743796,0.3567361,0.3743796,10.736184,33.0161167,0.3743796,6.3686565,1.21,1.21,3594200000.0,5786000000.0,13.7183384,8.521682,8.521682,1.8746725,1.663149,1.663149,1.2906313,USD,USD,1.0,1.0,0,0,0,0,63.58,53.6,75.59,66.841606,-4.8796045,18.619403,-15.888345,0.9076853,0.9086853,1.5479663,1.6055801,2.5634799,2.9080826,0.6961938,0.4294043,1.1928877,1.122509,1.6155801,2.9180826,0.4394043,1.132509,1.3740446,53159000000.0,69482066666.66667,69482066666.66667,19004800000.0,26022266666.666668,26022266666.666668,0.1354192,0.1945729,2896866666.6666665,2692266666.6666665,2692266666.6666665,33999933333.333332,43275466666.666664,43275466666.666664,1.4794082,None
SAM,"Boston Beer Company, Inc. (The)",Consumer Defensive,United States,25799.7987955,1449669466.6666667,150681266.6666667,245597400.0,1950947000.0,239291000.0,1348549000.0,239291000.0,1348549000.0,1950947000.0,1449669466.6666667,150681266.6666667,1950947000.0,239291000.0,239291000.0,1950947000.0,6.228,6.228,30.329151,17.481625,28.7232103,3.6849434,28.7232103,31.894,32.0505037,377255381.2942873,373553000.0,261746666.6666667,373553000.0,0.12265,0.5936608,5.625,0.2846464,2.5,0.4480837,0.8837,0.08869,33.47,19.292,586.19,0.0329108,6.8945975,10108800,237959008,23.5397879,2423,12150266880,7189129216,98208.4226166,2.596,0.3173791,0.469767,0.3173791,0.469767,0.3173791,2.0644418,14.6181654,0.3173791,5.8836412,0.98,0.98,213540000.0,254290000.0,56.8992548,47.7811431,47.7811431,0.4255361,0.4311491,0.4311491,0.6576194,USD,USD,1.0,1.0,0,0,0,0,586.19,580.03,1349.98,1023.9465,-42.7518918,1.062014,-56.5778752,0.016001,0.017001,3.3610304,3.3207726,0.2019014,0.2251998,0.4816665,0.7982471,1.5386754,1.6365645,3.3307726,0.2351998,0.8082471,1.6465645,2.4886686,1139743600.0,1404105600.0,1404105600.0,796162466.6666666,981480200.0,981480200.0,0.2704224,0.3438062,111380000.0,165559666.6666667,165559666.6666667,343581133.3333333,422625400.0,422625400.0,3.7374574,None
LITE,Lumentum Holdings Inc.,Technology,United States,259563.3122573,1545800000.0,88806666.6666667,85520000.0,1718800000.0,371200000.0,851600000.0,371200000.0,851600000.0,1718800000.0,1545800000.0,88806666.6666667,1718800000.0,371200000.0,371200000.0,1718800000.0,3.168,3.168,18.315079,15.39115,17.9495879,3.8400416,5.983196,10.551,10.5995228,511302846.3652734,506600000.0,362746666.6666667,506600000.0,0.21596,0.1452491,2.25,1.6938627,4.8125,1.0603743,0.95641,0.00258,5.65,4.748,85.52,0.0555192,3.0446045,75900000,371200000,4.8906456,5473,5444376064,6600263680,67823.8625982,4.196,0.1491904,0.4285714,0.1491904,0.4285714,0.1491904,3.2541429,18.2892429,0.1491904,4.1125173,1.66,1.66,406320000.0,737200000.0,13.3992323,7.385209,7.385209,0.8262103,0.7781796,0.7781796,0.8831449,USD,USD,1.0,1.0,0,0,0,0,85.52,65.67,112.08,84.72219,-3.437249,30.226892,-23.697359,0.8554191,0.8564191,2.2596394,2.2914884,1.5074145,0.3768536,2.0506692,1.1850032,6.1112621,4.4340306,2.3014884,0.3868536,1.1950032,4.4440306,3.3727595,2773540000.0,3593826666.6666665,3593826666.6666665,1496866666.6666667,2025933333.3333333,2025933333.3333333,0.2032882,0.2832242,1390913333.3333333,1810266666.6666667,1810266666.6666667,1259086666.6666667,1567893333.3333333,1567893333.3333333,2.099941,None
LOPE,"Grand Canyon Education, Inc.",Consumer Defensive,United States,287665.6391164,835498400.0,250373933.3333333,1409436933.3333333,844096000.0,257196000.0,5967465000.0,257196000.0,5967465000.0,844096000.0,835498400.0,250373933.3333333,844096000.0,257196000.0,257196000.0,844096000.0,5.783,5.783,16.28624,12.976608,15.872536,4.8756614,15.872536,15.897,15.8968785,307084304.4914135,307089000.0,306846933.3333333,307089000.0,0.3047,0.7681948,2.5,0.7983611,2.5,0.7292191,1.0267199,0.01403,6.84,5.45,87.49,0.0622928,2.6064487,46366900,257196000,5.5469742,3650,4881644544,4115526144,70464.6575342,0.132,0.0065775,0.0513212,0.0065775,0.0513212,0.0065775,0.1118303,3.5941037,0.0065775,1.0610205,0.17,0.17,293268533.3333333,308823000.0,16.6456472,15.8072571,15.8072571,0.1707655,0.1805632,0.1805632,0.4259273,USD,USD,1.0,1.0,0,0,0,0,87.49,75.64,115.96,98.38036,-11.0696485,15.6663141,-24.5515695,0.5877976,0.5887976,7.3385559,6.5580165,1.7275305,0.7062999,58.1267272,49.645599,2.7001306,2.4550969,6.5680165,0.7162999,49.655599,2.4650969,4.5165567,1697959666.6666667,1818070000.0,1818070000.0,1452100600.0,1540356400.0,1540356400.0,0.2414665,0.2669717,184484733.3333333,177058266.6666667,177058266.6666667,245859066.6666667,277713600.0,277713600.0,3.8243118,None
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,United States,465923.7179021,2423375133.3333335,2555887533.3333335,7020119800.0,2700778000.0,4097769000.0,35065456000.0,4097769000.0,35065456000.0,2700778000.0,2423375133.3333335,2555887533.3333335,2700778000.0,4097769000.0,4097769000.0,2700778000.0,6.426,6.426,5.832033,63.039776,12.9830009,8.785971,12.9830009,26.791,26.4062864,666990294.0166473,686146000.0,489793333.3333333,686146000.0,1.51726,44.4525147,34.8046875,3.4784822,2.5,26.6220404,0.81258,0.14342,12.57,135.872,797.74,0.1703212,2.2230668,24692600,4097768960,165.9512955,7800,17356136448,23728955392,525354.9948718,0.425,0.0691597,2.0383212,0.0691597,2.0383212,0.0691597,0.8283303,9.3512653,0.0691597,2.8798241,2.96,2.96,473955800.0,626130000.0,36.6197364,27.7197011,27.7197011,0.3546853,0.3237407,0.3237407,0.5699822,USD,USD,1.0,1.0,0,0,0,0,797.74,472.84,806.53,632.74884,26.0753003,68.7124609,-5.5348975,1.9473164,54.5279399,3.8671913,4.1009229,0.0896251,0.0973206,0.067651,0.0382497,3.3097779,3.2732245,4.1109229,0.1073206,0.0482497,3.2832245,3.6970737,10087435200.0,13166328066.666666,13166328066.666666,7535377333.333333,9959728266.666666,9959728266.666666,0.411231,0.5114338,1452290066.6666667,1495779533.3333333,1495779533.3333333,2552057866.6666665,3206599800.0,3206599800.0,2.9457132,None
ACGL,Arch Capital Group Ltd.,Financial Services,Bermuda,531579.2219478,7496234066.666667,1328310933.3333333,11359947666.666666,9535402000.0,2076225000.0,50436037000.0,2076225000.0,50436037000.0,9535402000.0,7496234066.666667,1328310933.3333333,9535402000.0,2076225000.0,2076225000.0,9535402000.0,1.815,1.815,8.398712,10.207824,8.624851,1.7330542,17.249702,6.462,6.465498,2677325564.376354,2674427000.0,1774808133.3333333,2674427000.0,0.21762,0.4410761,2.5,0.5854797,2.5,0.5016701,1.00386,0.02852,4.09,4.971,41.39,0.1201015,1.2983581,396039008,2033350016,5.1342165,4500,17319608320,16534628352,451855.5591111,1.261,0.2046924,0.2824858,0.2046924,0.2824858,0.2046924,1.0163714,10.3315249,0.2046924,4.7742944,0.21,0.21,2366626533.3333335,3177497000.0,7.3182685,5.450708,5.450708,2.4246974,2.4613966,2.4613966,1.5698839,USD,USD,1.0,1.0,0,0,0,0,0.3237159,27.41,42.54,38.856285,6.520734,51.0032835,-2.703338,1.8479841,39.8280858,1.4783103,1.4708799,1.001757,0.87303,0.2154077,0.1900385,1.7247021,2.0867728,1.4808799,0.88303,0.2000385,2.0967728,1.7888264,39619209066.666664,45196852333.333336,45196852333.333336,11108709733.333334,12482548866.666666,12482548866.666666,0.1459374,0.2663302,4718643933.333333,7831200000.0,7831200000.0,26800340466.666668,30725753000.0,30725753000.0,1.2497739,None
