"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
A,"Agilent Technologies, Inc.",Healthcare,United States,16048756514.78414,5177600000.0,756800000.0,-14800000.0,6142000000.0,990000000.0,163000000.0,990000000.0,163000000.0,6142000000.0,5177600000.0,756800000.0,6142000000.0,990000000.0,990000000.0,6142000000.0,7.778,7.778,47.528057,36.216152,46.1140689,7.514845,46.1140689,28.935,29.0232297,1641007641.8178678,1631000000.0,1291133333.3333333,1631000000.0,0.16119,3.1040741,21.3675,0.4436665,2.75,1.9335456,0.90254,0.00266,4.21,3.208,155.32,0.0206541,9.337375,302723008,990000000,3.2703163,16700,47772127232,46156177408,59281.4371257,0.327,0.258,0.4179729,0.0480764,0.4179729,0.0480764,0.3497432,6.1639092,0.2055191,4.7834216,4.03,4.03,967666666.6666666,1421000000.0,49.3683712,33.618668,33.618668,0.9499635,1.1079271,1.1079271,1.0535811,USD,USD,1.0,1.0,0.194,0.194,0.194,0.194,0.473205,100.65,179.57,148.08215,4.8877262,54.3169399,-13.5044829,1.3854536,7.0721581,2.059124,1.9051211,0.2477583,0.5017959,0.6565457,0.6347357,2.3085843,2.0870921,1.9151211,0.5117959,0.6447357,2.0970921,2.0061066,9355466666.666666,10299666666.666666,10299666666.666666,4796066666.666667,4885933333.333333,4885933333.333333,0.1961196,0.3026225,1885333333.3333333,1855200000.0,1855200000.0,4558600000.0,5413733333.333333,5413733333.333333,2.5447719,None
AA,Alcoa Corporation,Basic Materials,United States,8397830.1804519,10298533333.333334,-338733333.3333333,-451133333.3333333,10460000000.0,431000000.0,-2237000000.0,431000000.0,-2237000000.0,10460000000.0,10298533333.333334,-338733333.3333333,10460000000.0,431000000.0,431000000.0,10460000000.0,1.046,1.046,19.986973,7.646179,18.4443737,0.8223175,18.4443737,6.324,6.3249038,1729494368.1214423,1729000000.0,1466666666.6666667,1729000000.0,0.0412,-0.0329223,1.0,0.532551,7.3125,0.3213831,0.79022,0.00961,6.02,2.303,47.05,0.0489479,2.282102,186866000,431000000,2.3064656,12900,10940448768,8601441280,33410.8527132,2.9095208,0.319,2.9095208,-0.1046669,2.9095208,-0.1046669,2.9095208,17.3073175,0.2130833,4.8660944,0.04,0.04,534400000.0,116000000.0,20.4723966,94.3142135,94.3142135,2.5125221,2.67984,2.67984,1.6380217,USD,USD,1.0,1.0,0.09,0.07209,0.07209,0.07209,2.737093,11.41,52.45,39.229855,19.9341675,312.3575811,-10.2955195,1.7368421,27.4512442,1.6122173,1.5537394,0.4806807,0.1280533,0.4049398,0.4847674,1.5249647,1.5793665,1.5637394,0.1380533,0.4947674,1.5893665,1.576553,15141000000.0,14613200000.0,14613200000.0,3913000000.0,3544066666.6666665,3544066666.6666665,0.1294939,0.2216117,1449600000.0,1612533333.3333333,1612533333.3333333,9431266666.666666,9420733333.333334,9420733333.333334,0.3930688,None
AAL,"American Airlines Group, Inc.",Industrials,United States,1e+50,30231466666.666668,-4015333333.3333335,-2939000000.0,18687000000.0,-5808000000.0,-26922000000.0,-5808000000.0,-26922000000.0,18687000000.0,30231466666.666668,-4015333333.3333335,18687000000.0,-5808000000.0,-5808000000.0,18687000000.0,2.319,2.319,4469.5897682,45.613636,3916.5927517,0.6954127,3916.5927517,-5.658,1757.5943776,-7575606038.8829975,-7491000000.0,-1745866666.6666667,-7491000000.0,-0.31082,-0.3770932,1.0,-0.2043117,0.0,-0.2494257,0.54554,0.00998,0.44,-9.845,20.17,-0.4881011,1000.0,647457984,-5808000000,-8.9704663,117400,43341479936,12994481152,-49471.890971,-0.5014991,3.61,-0.5014991,-0.3406677,-0.5014991,-0.3406677,-0.5014991,0.1998501,2.6223331,16.4436193,0.02,0.02,-1684933333.3333333,-1823000000.0,388.7576834,237748.107164,237748.107164,-193.7042527,-10.305907,-10.305907,1031.5906981,USD,USD,1.0,1.0,0.1,0.1,0.1,0.1,0.5611455,10.63,26.09,21.499496,-6.1838473,89.7460019,-22.6906861,1.2341527,3.5335666,0.9449602,0.9026199,0.0587603,0.0987389,0.3377058,0.4143136,0.5799781,0.9784248,0.9126199,0.1087389,0.4243136,0.9884248,0.9505223,60665933333.333336,69406466666.66667,69406466666.66667,-3768400000.0,-7491866666.666667,-7491866666.666667,1.63e-05,1e-06,-7289466666.666667,-210666666.6666667,-210666666.6666667,64434333333.333336,76898333333.33333,76898333333.33333,1e-05,effective_profit_margin          <= 0   |
AAP,Advance Auto Parts Inc Advance ,Consumer Cyclical,United States,20937482911.91546,9881431466.666666,480996733.3333333,3882458000.0,5979785000.0,364626000.0,4300818000.0,364626000.0,4300818000.0,5979785000.0,9881431466.666666,480996733.3333333,8969677500.0,546939000.0,546939000.0,8969677500.0,1.486,1.486,23.06905,16.796078,22.2849285,1.2392571,22.2849285,13.205,13.7818683,1126563718.9132905,1028134500.0,997860933.3333334,1028134500.0,0.05732,1.0437925,21.3675,0.3933668,6.1875,0.7270319,1.03219,0.00438,12.75,9.283,214.5,0.0432774,4.0837145,63000700,624099008,9.9062234,40000,16176031744,13491599360,15602.4752,-0.059,0.059,0.0341698,0.0303662,0.0341698,0.0303662,-0.0357075,0.2464292,0.0518415,2.526874,1.24,1.24,896533400.0,1106091000.0,18.0428657,14.6245035,14.6245035,2.1242065,2.3894791,2.3894791,1.546794,USD,USD,1.0,1.0,1.0,1.0,0.25,0.25,0.3728,142.59,220.12,201.67273,6.3604385,50.4313065,-2.5531528,1.8550239,40.7471279,1.4833661,1.4185013,0.8443127,5.7139625,0.1077623,0.0946504,1.3567571,1.2855634,1.4285013,5.7239625,0.1046504,1.2955634,1.3620323,11084985666.666666,11848646000.0,11848646000.0,3545949466.6666665,3368232333.3333335,3368232333.3333335,0.1461605,0.2623816,1561323666.6666667,1387782333.3333333,1387782333.3333333,7539036200.0,8366921000.0,8366921000.0,1.2173308,None
AAPL,Apple Inc.,Technology,United States,3074743858.7849755,266482666666.66666,56515000000.0,36163333333.333336,347155000000.0,86802000000.0,53761000000.0,86802000000.0,53761000000.0,347155000000.0,266482666666.66666,56515000000.0,347155000000.0,86802000000.0,86802000000.0,347155000000.0,7.017,7.017,27.975725,25.158451,27.6235657,6.8043537,9.2078552,21.958,21.9581016,110936026698.60645,110935000000.0,77317533333.33333,110935000000.0,0.25004,0.5788038,2.75,1.6100517,6.1875,1.1311221,0.58693,0.00073,5.68,5.108,143.29,0.035648,36.81092,16530199552,86801997824,5.2511161,147000,2435955818496,2362165428224,590489.7811156,0.932,0.364,0.0348006,0.0483259,0.0348006,0.0483259,0.7077002,8.6624916,0.2850815,5.5893021,1.38,1.38,76136600000.0,104414000000.0,31.9945443,23.3297816,23.3297816,3.2831228,4.0796775,4.0796775,2.0208212,USD,USD,1.0,1.0,0.22,0.22,0.205,0.205,0.1518489,107.32,157.26,137.70625,4.0548269,33.5165859,-8.8833778,1.4405286,8.9357575,1.3243572,1.2454597,0.2670767,0.2571134,0.6556137,1.0968419,1.3740836,1.1167823,1.2554597,0.2671134,1.1068419,1.1267823,1.191121,336795800000.0,334623200000.0,334623200000.0,82200333333.33333,65915933333.333336,65915933333.333336,0.3594022,1.4168592,39574866666.666664,13012733333.333334,13012733333.333334,254595466666.66666,268707266666.66666,268707266666.66666,2.7708456,None
ABBV,AbbVie Inc.,Healthcare,United States,289261774604.38,39547866666.666664,5675933333.333333,2633533333.3333335,53729000000.0,6663000000.0,7422000000.0,6663000000.0,7422000000.0,53729000000.0,39547866666.666664,5675933333.333333,53729000000.0,6663000000.0,6663000000.0,53729000000.0,5.026,5.026,29.98382,7.9584823,27.2306528,3.6567788,27.2306528,9.76,9.8298233,27279314111.47541,26889000000.0,18624400000.0,26889000000.0,0.12401,2.7962385,21.3675,0.3145034,2.75,1.7154244,0.68693,0.00123,13.97,3.708,110.87,0.0334446,15.630536,1767180032,6597000192,3.7330663,48000,270055571456,196475076608,137437.504,-0.1163302,0.339,-0.1163302,0.242818,-0.1163302,0.242818,-0.1163302,0.238367,0.3149545,5.8620807,1.9,1.9,15387600000.0,20451000000.0,17.5502074,13.2050057,13.2050057,2.2211763,10.3928359,10.3928359,3.2247922,USD,USD,1.0,1.0,1.3,1.3,1.3,1.18,0.2553215,79.11,121.53,112.915825,-1.8118142,40.1466313,-8.7714967,1.4974069,11.2729856,1.0169753,1.0966821,0.0081574,0.1597628,0.1100633,0.1448061,1.5131948,0.8810482,1.1066821,0.1697628,0.1548061,0.8910482,0.9988652,116698000000.0,149102066666.66666,149102066666.66666,4008333333.3333335,13120933333.333334,13120933333.333334,0.1446875,0.6078145,6921733333.333333,-3543733333.3333335,-3543733333.3333335,112678466666.66667,135957600000.0,135957600000.0,0.9361752,None
ABC,AmerisourceBergen Corporation,Healthcare,United States,3.706159059731263e+21,181768732533.33334,-1344464933.3333333,2061668400.0,204321190000.0,-3743838000.0,3749704000.0,-3743838000.0,3749704000.0,204321190000.0,181768732533.33334,-1344464933.3333333,204321190000.0,-3743838000.0,-3743838000.0,204321190000.0,0.151,0.151,1509.3969561,11.293283,1322.133997,0.1213948,1322.133997,9.761,9.7451006,3170523252.3307037,3180852000.0,2395577133.3333335,3180852000.0,-0.01832,-0.0015607,7.77,-0.0003302,0.0,0.0067483,0.66003,0.28538,10.57,-18.266,118.57,-0.1540525,652.2951,207787008,-3743837952,-18.017671,41000,30846658560,24803534848,-91313.1207805,0.009,0.177,-0.2026344,0.0664097,-0.2026344,0.0664097,-0.0439086,0.2456091,0.1493524,4.114614,1.1,1.1,2090621733.3333333,2956001000.0,14.7547775,10.4352666,10.4352666,-17.6153317,723.6427342,723.6427342,26.9016084,USD,USD,1.0,1.0,0.44,0.44,0.44,0.44,0.2241379,92.24,128.87,119.02842,-0.3851349,28.5450997,-7.9925506,1.4376194,8.8280263,1.0280218,1.0006295,7.9316866,2.9013773,0.1078984,0.2089066,0.9586715,0.9857141,1.0106295,2.9113773,0.2189066,0.9957141,1.0031718,41436180400.0,51428590266.666664,51428590266.666664,752959000.0,-215779733.3333333,-215779733.3333333,2.72e-05,1e-06,-1242763733.3333333,-682373266.6666666,-682373266.6666666,40541505800.0,51362345733.333336,51362345733.333336,2.133601,None
ABMD,"ABIOMED, Inc.",Healthcare,United States,2130390565.0782912,818421400.0,216429200.0,664892466.6666666,935257000.0,154412000.0,3109923000.0,154412000.0,3109923000.0,935257000.0,818421400.0,216429200.0,935257000.0,154412000.0,154412000.0,935257000.0,15.805,15.805,99.683624,63.132957,95.1147906,16.358099,95.1147906,50.998,51.0642373,289096970.3517785,288346000.0,251432733.3333333,288346000.0,0.1651,5.6381495,21.3675,0.6215797,9.99,3.4329796,0.94232,0.02029,5.34,3.382,340.3,0.0099383,11.700215,45380200,154412000,3.4026293,1725,14781665280,15299026944,89514.2028986,0.1886176,0.532,0.1886176,0.0733133,0.1886176,0.0733133,0.1886176,4.5930133,0.4173283,6.7100953,8.42,8.42,276882933.3333333,298178000.0,53.3859747,49.5732927,49.5732927,0.1299262,0.1204258,0.1204258,0.3480242,USD,USD,1.0,1.0,0,0,0,0,0.2247616,242.73,387.4,322.14194,5.6366644,40.1969266,-12.1579763,1.3488629,6.0229175,8.7260185,9.3238975,0.0,0.0,3.4910642,0.8400935,5.7851668,6.2926259,9.3338975,0.01,0.8500935,6.3026259,7.8182617,1314385800.0,1455295333.3333333,1455295333.3333333,1164171200.0,1298944466.6666667,1298944466.6666667,0.2061035,0.218875,589324466.6666666,621864933.3333334,621864933.3333334,150214600.0,156350866.6666667,156350866.6666667,7.9695109,None
ABT,Abbott Laboratories,Healthcare,United States,6563864.6472339,32868400000.0,3728066666.6666665,26500133333.333332,40233000000.0,6376000000.0,111615000000.0,6376000000.0,111615000000.0,40233000000.0,32868400000.0,3728066666.6666665,40233000000.0,6376000000.0,6376000000.0,40233000000.0,5.46,5.46,33.349297,25.40558,32.3563324,5.2167163,32.3563324,18.851,18.8696218,11629977106.572596,11607000000.0,8171800000.0,11607000000.0,0.15848,23.5654012,190.9720312,0.3959283,2.75,13.6117059,0.75296,0.00728,4.66,3.55,117.91,0.0301077,6.2094827,1772819968,6343000064,3.5779155,109000,219669839872,209884151808,58192.6611376,1.214,0.395,0.8507106,0.0774484,0.8507106,0.0774484,1.1231777,10.8480076,0.3156121,5.8679365,2.31,2.31,7061466666.666667,10629000000.0,31.1082457,20.6670279,20.6670279,1.2137975,1.1693954,1.1693954,1.0823859,USD,USD,1.0,1.0,0.45,0.45,0.45,0.36,0.061774,103.13,129.7,119.64453,-1.4497361,14.3314264,-9.0902082,1.1125329,1.8961699,1.831542,1.8610771,0.1179287,0.1141345,0.3138016,0.4317481,1.6673731,1.7654668,1.8710771,0.1241345,0.4417481,1.7754668,1.823272,70835200000.0,72762066666.66667,72762066666.66667,31904600000.0,33440133333.333332,33440133333.333332,0.1876281,0.2906691,7330866666.666667,9448333333.333334,9448333333.333334,38717200000.0,39096400000.0,39096400000.0,2.5699818,None
ACC,American Campus Communities Inc,Real Estate,United States,2.0065400084384292e+16,886327133.3333334,81701866.6666667,0,876876000.0,11508000.0,0,11508000.0,0,876876000.0,886327133.3333334,81701866.6666667,876876000.0,11508000.0,11508000.0,876876000.0,12.866,12.866,747.91046,87.912285,665.4106881,7.9494157,665.4106881,28.455,28.4544418,396482444.807591,396498000.0,427605400.0,396498000.0,0.01312,0.2398029,2.75,0.0016277,1.0,0.1510113,0.94756,0.00809,0.57,0.067,50.48,0.0013273,2.2871878,139107008,9242000,0.0664381,2988,11281465344,6970652160,3093.038822,-0.0607641,0.124,-0.0607641,-0.0085867,-0.0607641,-0.0085867,-0.0607641,0.2439236,0.0908533,3.2641886,13.4,13.4,357491400.0,309394000.0,31.5573056,36.4631032,36.4631032,1.2673734,1.439313,1.439313,1.2007137,USD,USD,1.0,1.0,0.47,0.47,0.47,0.47,0.3522636,35.62,52.09,47.83482,5.5298212,41.7181359,-3.0908044,1.804493,34.5248051,1.8375709,1.7099284,0.0,0.0,0.9421449,1.4526894,1.2793432,1.0854161,1.7199284,0.01,1.4626894,1.0954161,1.4076722,7430890533.333333,7535080266.666667,7535080266.666667,3235921000.0,3062484200.0,3062484200.0,0.1015273,0.1037577,21145733.3333333,4957133.3333333,4957133.3333333,4076579000.0,4406922933.333333,4406922933.333333,0.3099631,None
